"node_1","node_2","edge"
6967,18243,5
4796,9872,5
18243,9398917,5
4796,6724,5
9872,6724,5
18243,19969,1
9398917,19969,2
6967,20084,5
18243,20084,5
9398917,20084,5
19969,20084,1
4796,5779,5
4796,9873,5
5779,9873,1
24675191,24675193,5
9872,18599,1
6724,18599,1
24675193,19187,1
18243,20746,2
19187,20746,3
18243,19968,3
9398917,19968,2
20084,19968,2
19187,19968,2
20746,19968,3
18243,20589,5
9398917,20589,5
19732,20589,3
19969,20589,4
20084,20589,5
18599,20589,1
19187,20589,3
19968,20589,5
24675191,1076,1
24675193,1076,1
19187,1076,1
20746,1076,2
19968,1076,2
9872,5706,2
5779,5706,4
24675193,5706,1
20589,5706,1
6967,9438843,5
20589,9438843,4
20589,3250,2
9438843,3250,1
3250,5710,2
18243,19900,3
9398917,19900,5
20084,19900,2
20746,19900,1
19968,19900,1
20589,19900,4
20746,9415873,1
1076,9415873,1
9438843,9415873,4
3250,9415873,5
18243,9415188,5
9398917,9415188,5
20084,9415188,2
20746,9415188,2
19968,9415188,3
20589,9415188,2
9438843,9415188,2
19900,9415188,3
9873,5695,1
20589,5695,1
6967,19149,3
18243,19149,3
9398917,19149,5
20084,19149,2
20589,19149,3
9415188,19149,5
18243,20587,1
19732,20587,1
20084,20587,1
19187,20587,2
20746,20587,1
1076,20587,1
19900,20587,4
18243,9592050,3
20084,9592050,1
20746,9592050,2
19968,9592050,3
20589,9592050,4
1076,9592050,2
9438843,9592050,3
19900,9592050,1
20587,9592050,5
18243,9429868,5
19732,9429868,3
19969,9429868,3
20084,9429868,3
19624,9429868,2
19187,9429868,5
20746,9429868,5
19968,9429868,5
20589,9429868,2
1076,9429868,5
9438843,9429868,1
19900,9429868,5
9415873,9429868,4
9415188,9429868,5
5695,9429868,1
19149,9429868,4
20587,9429868,4
4796,3099,1
24675191,3099,5
9438855,3099,3
24675193,3099,5
5706,3099,3
20587,3099,2
18243,9421515,2
20746,9421515,1
4796,9464906,5
9872,9464906,5
9398917,9464906,1
6724,9464906,5
19732,9464906,1
9438855,9464906,1
9873,9464906,5
18599,9464906,2
20589,9464906,3
5706,9464906,2
5695,9464906,3
9872,5703,1
24675193,5703,1
20589,5703,3
3099,5703,1
4796,10006,5
5779,10006,5
9438855,10006,2
18599,10006,2
19968,10006,5
1076,10006,3
19900,10006,1
20587,10006,3
3099,10006,4
9464906,10006,3
5703,10006,1
24675191,8602,5
18243,8602,5
19732,8602,2
19969,8602,2
20084,8602,2
24675193,8602,5
19624,8602,3
19187,8602,5
20746,8602,5
19968,8602,5
1076,8602,5
19900,8602,4
9415873,8602,5
20587,8602,5
9429868,8602,5
3099,8602,3
9421515,8602,1
5703,8602,1
10006,8602,5
18243,9398910,5
9398917,9398910,5
19732,9398910,3
19969,9398910,3
20084,9398910,5
19624,9398910,2
19187,9398910,5
20746,9398910,5
19968,9398910,5
20589,9398910,5
1076,9398910,5
19900,9398910,5
9415873,9398910,3
9415188,9398910,5
19149,9398910,3
20587,9398910,5
9592050,9398910,2
9429868,9398910,5
10006,9398910,3
8602,9398910,5
9873,9265,1
19187,9265,1
1076,9265,1
5710,9265,1
5703,9265,2
19187,9416120,1
20746,9416120,5
19968,9416120,4
20589,9416120,1
9438843,9416120,3
9415873,9416120,2
9415188,9416120,5
19149,9416120,3
9429868,9416120,5
9421515,9416120,5
8602,9416120,2
9398910,9416120,1
24675191,18864,3
9873,18864,3
24675193,18864,4
20589,18864,1
3099,18864,1
9464906,18864,1
8602,18864,1
6967,5700,5
18243,5700,5
9398917,5700,4
20084,5700,3
20746,5700,1
20589,5700,1
19900,5700,2
9415188,5700,5
19149,5700,2
20587,5700,1
9429868,5700,4
9421515,5700,2
9398910,5700,4
9416120,5700,2
18243,9558030,1
9398917,9558030,5
19732,9558030,1
20084,9558030,3
20746,9558030,1
19968,9558030,5
20589,9558030,5
9438843,9558030,5
3250,9558030,1
9415873,9558030,1
9415188,9558030,1
19149,9558030,1
9592050,9558030,2
9464906,9558030,1
9416120,9558030,5
6967,9581464,1
18243,9581464,3
19969,9581464,3
19624,9581464,1
19187,9581464,1
20746,9581464,4
19968,9581464,2
9415873,9581464,2
9415188,9581464,2
19149,9581464,1
9421515,9581464,5
9416120,9581464,5
5700,9581464,1
9558030,9581464,4
5779,5699,2
9873,5699,2
20589,5699,1
3250,5699,1
5695,5699,1
20587,5699,1
3099,5699,1
10006,5699,5
9558030,5699,1
4796,5694,5
24675191,5694,5
9872,5694,5
6724,5694,5
5779,5694,5
9873,5694,2
24675193,5694,4
5706,5694,1
3099,5694,4
9464906,5694,5
10006,5694,3
4796,18771,1
24675191,18771,5
9872,18771,5
6724,18771,3
5779,18771,2
9873,18771,5
24675193,18771,5
5706,18771,5
3099,18771,4
9464906,18771,5
8602,18771,1
9265,18771,2
18864,18771,2
5694,18771,2
9872,2868,5
6724,2868,5
9873,2868,3
9464906,2868,5
18771,2868,2
9438855,36182097,4
1076,36182097,2
3250,36182097,3
5710,36182097,4
19900,36182097,1
3099,36182097,3
9265,36182097,2
5700,36182097,1
5699,36182097,4
6967,5697,5
18243,5697,3
9398917,5697,1
19732,5697,1
20084,5697,3
5779,5697,2
9438855,5697,3
9873,5697,1
18599,5697,1
20589,5697,2
