"node_1","node_2","edge"
10006,15869,1
10006,18771,1
1076,18771,1
10006,18864,1
1076,18864,1
10006,19092,2
1076,19092,1
10006,19149,2
1076,19149,1
18864,19149,1
10006,19187,1
15869,19187,1
18771,19187,1
18864,19187,1
19092,19187,1
19149,19187,2
10006,19431,3
15869,19431,1
18864,19431,1
19092,19431,1
19149,19431,1
19187,19431,2
10006,19624,2
19187,19624,1
19431,19624,1
10006,19732,1
1076,19732,1
18771,19732,1
19092,19732,1
19149,19732,1
19431,19732,1
10006,19900,1
1076,19900,1
18771,19900,1
18864,19900,1
19092,19900,1
19149,19900,3
19431,19900,2
19732,19900,2
10006,19968,1
18864,19968,1
19149,19968,2
19187,19968,2
19431,19968,2
19732,19968,1
19900,19968,2
19187,19969,1
19431,19969,1
10006,20084,1
1076,20084,1
15869,20084,1
18771,20084,1
19187,20084,1
19431,20084,1
19900,20084,1
19969,20084,2
1076,20127,1
19149,20127,1
19187,20127,1
19431,20127,2
19624,20127,1
19732,20127,1
19968,20127,1
19969,20127,2
20084,20127,2
10006,20587,2
1076,20587,2
18771,20587,1
18864,20587,1
19092,20587,1
19149,20587,2
19187,20587,1
19431,20587,2
19624,20587,2
19732,20587,2
19900,20587,3
19968,20587,3
19969,20587,1
20127,20587,2
15869,20589,1
19092,20589,2
19431,20589,1
19900,20589,1
19968,20589,1
19969,20589,1
20127,20589,1
20587,20589,1
10006,20746,1
1076,20746,1
15869,20746,1
18771,20746,1
18864,20746,1
19092,20746,1
19149,20746,1
19187,20746,1
19431,20746,1
19968,20746,1
20587,20746,1
19968,2293,1
19969,2293,1
1076,27977059,1
15869,27977059,1
18864,27977059,1
19092,27977059,1
19149,27977059,1
19187,27977059,1
19624,27977059,1
19900,27977059,1
19968,27977059,2
19969,27977059,1
20127,27977059,2
20587,27977059,1
2293,27977059,1
10006,2818,1
15869,2818,1
19092,2818,1
19187,2818,1
19431,2818,1
19624,2818,1
19732,2818,1
19968,2818,1
19969,2818,2
20084,2818,1
20127,2818,2
27977059,2818,2
10006,3099,2
1076,3099,1
19149,3099,1
19732,3099,2
19900,3099,1
19968,3099,1
20127,3099,1
20587,3099,1
27977059,3099,1
2818,3099,2
15869,3250,1
18771,3250,1
18864,3250,1
19624,3250,1
19732,3250,1
2293,3250,2
10006,36182097,2
15869,36182097,1
18771,36182097,1
19092,36182097,1
19149,36182097,1
19187,36182097,1
19431,36182097,1
19900,36182097,1
19968,36182097,1
19969,36182097,1
20084,36182097,2
20127,36182097,3
20587,36182097,1
20589,36182097,1
20746,36182097,1
3099,36182097,1
10006,40613279,2
15869,40613279,1
18771,40613279,1
18864,40613279,1
19092,40613279,2
19149,40613279,1
19187,40613279,1
19431,40613279,1
19624,40613279,1
19732,40613279,1
19900,40613279,2
19968,40613279,1
19969,40613279,1
20084,40613279,4
20127,40613279,2
20587,40613279,2
20589,40613279,2
2293,40613279,1
27977059,40613279,1
2818,40613279,1
36182097,40613279,2
10006,4796,2
19968,4796,1
19969,4796,1
20084,4796,1
20127,4796,1
20589,4796,1
20746,4796,1
2818,4796,2
40613279,4796,1
10006,4797,2
15869,4797,1
18771,4797,1
18864,4797,1
19187,4797,2
19624,4797,1
19969,4797,1
20084,4797,2
20127,4797,1
27977059,4797,1
2818,4797,1
3250,4797,1
40613279,4797,2
4796,4797,1
10006,5694,1
19149,5694,1
19431,5694,1
19732,5694,1
19900,5694,1
19968,5694,1
20587,5694,2
20589,5694,1
2818,5694,1
3099,5694,2
3250,5694,1
4796,5694,1
10006,5698,1
1076,5698,1
18771,5698,1
18864,5698,1
19092,5698,1
19187,5698,1
19431,5698,1
19968,5698,1
20127,5698,2
20587,5698,1
20589,5698,2
20746,5698,1
2818,5698,1
3250,5698,1
36182097,5698,2
40613279,5698,1
4796,5698,1
10006,5699,2
1076,5699,1
18864,5699,2
19092,5699,1
19149,5699,1
19187,5699,1
19732,5699,1
19968,5699,1
20587,5699,2
20746,5699,1
2293,5699,1
3099,5699,1
36182097,5699,2
40613279,5699,1
5698,5699,1
10006,5700,2
15869,5700,1
19092,5700,2
19431,5700,1
19624,5700,1
19732,5700,1
19968,5700,1
19969,5700,1
20084,5700,1
20127,5700,1
20587,5700,1
20589,5700,1
36182097,5700,1
40613279,5700,1
5694,5700,1
5698,5700,2
5699,5700,1
19969,5703,1
20587,5703,1
20589,5703,1
2293,5703,2
27977059,5703,1
40613279,5703,1
4797,5703,1
5698,5703,1
5699,5703,1
10006,5704,1
20084,5704,1
2293,5704,1
3099,5704,1
40613279,5704,1
4796,5704,1
4797,5704,1
5699,5704,2
5703,5704,1
10006,5710,2
19092,5710,1
19149,5710,1
19187,5710,1
19431,5710,1
19624,5710,1
19732,5710,1
19900,5710,1
19969,5710,1
20084,5710,1
20127,5710,1
20587,5710,2
20589,5710,1
2818,5710,3
3099,5710,2
4796,5710,1
4797,5710,1
5694,5710,1
5698,5710,1
5699,5710,1
5700,5710,1
5704,5710,1
10006,5779,1
19149,5779,1
19187,5779,1
19431,5779,1
19624,5779,1
19732,5779,1
19900,5779,1
19968,5779,1
20127,5779,1
20587,5779,1
27977059,5779,1
3099,5779,1
3250,5779,1
4796,5779,1
5694,5779,3
5700,5779,1
5710,5779,1
19092,6306,1
19624,6306,1
20746,6306,1
27977059,6306,1
3099,6306,1
4796,6306,1
5694,6306,1
5698,6306,1
5710,6306,1
5779,6306,1
1076,668,1
27977059,668,1
3099,668,1
3250,668,1
5698,668,1
5779,668,1
10006,6796,1
19149,6796,1
19624,6796,1
20589,6796,1
2818,6796,2
3099,6796,1
3250,6796,2
36182097,6796,1
5698,6796,1
5699,6796,1
5703,6796,1
5710,6796,1
5779,6796,1
668,6796,1
10006,7535011,2
18864,7535011,1
19092,7535011,1
19431,7535011,1
20127,7535011,1
20587,7535011,1
20589,7535011,1
40613279,7535011,1
5694,7535011,1
5698,7535011,1
5700,7535011,2
6306,7535011,1
10006,8967,1
18864,8967,1
19187,8967,1
19969,8967,1
2818,8967,2
5704,8967,1
5710,8967,1
6306,8967,1
1076,9181,1
2293,9181,1
3099,9181,1
4796,9181,1
5699,9181,2
5703,9181,1
5704,9181,2
5710,9181,1
10006,9265,1
18864,9265,1
19149,9265,1
19187,9265,1
19624,9265,1
19968,9265,1
19969,9265,1
20084,9265,1
2818,9265,1
40613279,9265,1
4796,9265,1
4797,9265,1
5699,9265,1
5704,9265,1
5710,9265,1
6796,9265,1
9181,9265,1
10006,9399036,2
15869,9399036,1
18864,9399036,1
19092,9399036,1
19149,9399036,1
19187,9399036,2
19431,9399036,1
19624,9399036,2
19732,9399036,2
19968,9399036,1
19969,9399036,1
20084,9399036,1
20127,9399036,1
20587,9399036,1
20746,9399036,1
2293,9399036,1
27977059,9399036,1
2818,9399036,2
40613279,9399036,2
4796,9399036,1
4797,9399036,1
5700,9399036,1
5710,9399036,1
6796,9399036,1
7535011,9399036,1
8967,9399036,1
9265,9399036,1
10006,9399403,1
1076,9399403,1
19149,9399403,1
19968,9399403,1
27977059,9399403,1
2818,9399403,1
3099,9399403,1
