"node_1","node_2","edge"
6979921,6974676,5
6979921,7125386,1
82,12171,1
7125386,20197,5
12171,4067,4
4799,7046369,3
7125386,3058,5
7125386,4705,5
20197,4705,5
4799,7004381,5
12171,7004381,5
4067,7004381,5
7046369,7004381,5
20197,6974121,5
2971672,6974121,5
6979921,7336406,5
7125386,7336406,5
4067,7336406,1
12171,4437,5
7004381,4437,5
7125386,3061,5
4705,3061,1
6974121,3061,1
20197,21168,1
6979921,6978554,5
6974676,6978554,5
6162,6978554,5
6974121,6978554,2
3061,6978554,5
4799,14460,5
7046369,14460,5
7004381,14460,5
4799,7026970,5
82,7026970,3
12171,7026970,5
4067,7026970,5
7004381,7026970,5
4437,7026970,5
6979921,12282,4
2971672,12282,2
6974121,12282,2
4705,4801,5
21168,4801,5
6978554,4801,4
7125386,3825,3
7336406,3825,5
6979921,6974635,4
6974676,6974635,4
7125386,6974635,4
3061,6974635,3
6978554,6974635,5
18863,6974635,1
4801,6974635,2
20197,6980650,3
4705,6980650,1
2971672,6980650,5
6974121,6980650,5
12282,6980650,5
4801,6980650,1
12171,7000771,5
7046369,7000771,3
7004381,7000771,5
7026970,7000771,5
7336406,3174,1
3059,3174,1
6979921,6986088,1
4705,6986088,1
2971672,6986088,5
7336406,6986088,1
21168,6986088,5
6978554,6986088,5
3825,6986088,2
6974635,6986088,5
6980650,6986088,1
18863,6975588,5
6974635,6975588,1
6980650,6975588,1
7125386,3226,5
20197,3226,1
2971672,3226,5
6974121,3226,5
3061,3226,2
6978554,3226,4
12282,3226,1
6980650,3226,5
6975588,3226,1
20197,6973731,1
4705,6973731,5
2971672,6973731,3
6974121,6973731,5
21168,6973731,2
12282,6973731,2
4801,6973731,1
6980650,6973731,5
6986088,6973731,1
3226,6973731,3
6162,1235026,3
6975588,1235026,1
7336406,1235028,1
1235026,1235028,5
6162,1235031,3
7336406,1235031,5
1235026,1235031,5
1235028,1235031,5
6162,13104,2
1235026,13104,5
1235028,13104,5
1235031,13104,5
6979921,6979804,2
20197,6979804,4
2971672,6979804,5
6974121,6979804,5
3061,6979804,1
6978554,6979804,3
12282,6979804,5
6974635,6979804,1
6980650,6979804,5
6975588,6979804,2
3226,6979804,5
6973731,6979804,5
82,6973410,5
12171,6973410,1
6162,6973410,5
4437,6973410,3
3061,6973410,1
18863,6973410,5
12282,6973410,2
3825,6973410,5
3059,6973410,5
6980650,6973410,2
3174,6973410,5
3226,6973410,5
1235028,6973410,5
1235031,6973410,5
13104,6973410,5
6979921,6974127,2
7125386,6974127,5
4705,6974127,4
2971672,6974127,5
6974121,6974127,3
12282,6974127,4
4801,6974127,2
6980650,6974127,5
6986088,6974127,5
3226,6974127,5
6973731,6974127,4
6979804,6974127,5
7125386,6973425,5
7336406,6973425,3
21168,6973425,5
6975588,6973425,5
7125386,6980694,5
4705,6980694,5
21168,6980694,5
6978554,6980694,5
4801,6980694,4
6974635,6980694,3
6980650,6980694,1
6986088,6980694,5
6973731,6980694,1
6974127,6980694,4
6979921,6988417,2
7125386,6988417,4
2971672,6988417,3
6974121,6988417,5
7336406,6988417,5
6978554,6988417,5
12282,6988417,3
3825,6988417,2
6974635,6988417,3
6980650,6988417,5
6986088,6988417,5
3226,6988417,5
6973731,6988417,2
6979804,6988417,5
6974127,6988417,4
12171,3205,5
7026970,3205,5
6973410,3205,5
6979921,4800,5
6974676,4800,5
7125386,4800,5
4067,4800,1
2971672,4800,4
6974121,4800,4
7336406,4800,5
3061,4800,5
18863,4800,5
3825,4800,5
3059,4800,4
6974635,4800,5
3174,4800,3
6986088,4800,5
3226,4800,2
1235028,4800,5
1235031,4800,5
6979804,4800,5
6974127,4800,5
6973425,4800,5
6980694,4800,5
6988417,4800,5
3205,4800,2
20197,362,3
2971672,362,5
6974121,362,5
3061,362,5
6978554,362,5
12282,362,5
4801,362,3
6974635,362,5
6980650,362,5
6986088,362,2
3226,362,5
6973731,362,5
6979804,362,5
6974127,362,5
6988417,362,5
4800,362,5
2971672,6980688,5
6974121,6980688,5
21168,6980688,5
12282,6980688,5
6980650,6980688,5
6986088,6980688,5
3226,6980688,4
6973731,6980688,3
6979804,6980688,5
6973410,6980688,2
6974127,6980688,5
6988417,6980688,3
4800,6980688,1
362,6980688,5
20197,3054,2
18863,3054,5
4801,3054,1
6974635,3054,5
4800,3054,5
7125386,7091930,5
20197,7091930,5
3058,7091930,2
4705,7091930,5
7336406,7091930,3
3061,7091930,5
4801,7091930,5
6974635,7091930,3
6980650,7091930,2
3226,7091930,5
6974127,7091930,5
6973425,7091930,3
6980694,7091930,2
4800,7091930,5
7046369,6975981,2
6974121,6975981,5
14460,6975981,5
6980650,6975981,1
6979804,6975981,5
6988417,6975981,5
