"node_1","node_2","edge"
4802,5857,5
5857,18865,2
5857,4803,5
2859,4803,5
2859,9911127,5
4802,362,5
18865,362,5
4802,5827,5
5857,5827,5
362,5827,5
5857,10098,5
18865,10098,4
362,10098,1
5827,10098,5
4802,9845736,5
5857,9845736,2
4802,21140,3
2859,21140,5
4803,21140,5
9911127,21140,2
4802,5848,2
5857,5848,1
10098,5848,2
10098,20199,3
5857,5862,3
2859,5862,5
4803,5862,5
4802,8803,5
18865,8803,1
10098,8803,1
18865,16185,1
10098,16185,1
4802,8804,5
8803,8804,5
21140,2566,5
4802,2985,3
5857,2985,2
2859,2985,2
4803,2985,5
5862,2985,3
2566,2985,5
2859,20129,4
4803,20129,2
9911127,20129,3
21140,20129,5
2566,20129,5
2985,20129,5
5857,96,1
2859,96,1
18865,96,1
10098,96,5
18865,913,4
10098,913,1
5857,6227,5
2859,6227,5
18865,6227,1
4803,6227,5
362,6227,1
5862,6227,5
16185,6227,4
2985,6227,5
913,6227,5
20199,1595599,5
5857,40461788,5
5827,40461788,3
4802,8549,5
5857,8549,5
9911127,8549,5
913,8549,2
913,28729689,2
18865,21110,1
10098,21110,1
913,21110,3
6227,21110,1
28729689,21110,1
5857,2218,3
18865,2218,5
362,2218,5
5827,2218,3
10098,2218,5
9845736,2218,1
5862,2218,1
8803,2218,5
96,2218,1
913,2218,5
6227,2218,1
21110,2218,1
18865,4460,3
362,4460,5
5827,4460,2
5862,4460,5
913,4460,4
21110,4460,5
2218,4460,5
5857,9601565,2
9911127,9601565,5
20199,9601565,5
20129,9601565,5
18865,9723397,2
18865,6449,2
4802,5912,5
5857,5912,5
5827,5912,5
10098,5912,4
40461788,5912,1
8549,5912,1
10098,9647787,1
28729689,9647787,1
21110,9647787,1
5912,9647787,4
4802,6001,5
5857,6001,3
18865,6001,1
362,6001,3
5827,6001,4
5848,6001,5
96,6001,1
21110,6001,1
6449,6001,3
5912,6001,2
4802,9600313,5
5857,9600313,5
5827,9600313,2
5848,9600313,5
5912,9600313,3
6001,9600313,5
18865,6716,5
362,6716,3
10098,6716,5
8803,6716,5
16185,6716,5
96,6716,5
913,6716,2
2218,6716,5
18865,8979,1
913,8979,1
2218,8979,3
4460,8979,5
9723397,8979,1
9647787,8979,1
6716,8979,1
5857,9601577,5
2859,9601577,5
4803,9601577,5
9911127,9601577,1
5862,9601577,5
96,9601577,5
4802,2670,4
5857,2670,4
5912,2670,2
6001,2670,1
9600313,2670,2
9601577,2670,1
5857,11571,1
18865,11571,1
362,11571,5
5827,11571,2
10098,11571,5
9845736,11571,5
96,11571,1
913,11571,1
6227,11571,1
8549,11571,1
21110,11571,2
2218,11571,5
4460,11571,5
6001,11571,3
9600313,11571,4
6716,11571,3
4802,28136258,5
362,28136258,1
10098,28136258,2
2985,28136258,5
5912,28136258,3
2670,28136258,4
4802,28138627,5
10098,28138627,1
2985,28138627,5
5912,28138627,2
2670,28138627,2
28136258,28138627,5
4802,6000,5
18865,6000,4
362,6000,2
5827,6000,2
10098,6000,3
6449,6000,5
5912,6000,1
6001,6000,5
2670,6000,5
9845736,5831,1
21140,5831,1
96,5831,1
6227,5831,5
2218,5831,1
11571,5831,1
4802,18601,1
2218,18601,1
4460,18601,2
6001,18601,2
6000,18601,5
18865,5840,2
10098,5840,1
913,5840,1
6227,5840,5
2218,5840,5
4460,5840,2
6716,5840,2
11571,5840,1
4802,5845,4
5857,5845,3
18865,5845,3
5827,5845,2
10098,5845,5
5848,5845,2
16185,5845,1
6227,5845,1
28729689,5845,2
2218,5845,5
9601565,5845,1
6001,5845,2
9600313,5845,3
6716,5845,4
11571,5845,2
5840,5845,3
4802,18584,5
5857,18584,5
18865,18584,2
362,18584,3
5827,18584,2
10098,18584,3
5912,18584,2
6001,18584,1
9600313,18584,5
2670,18584,5
11571,18584,2
6227,2438,1
21110,2438,1
4460,2438,5
9723397,2438,2
6449,2438,1
9647787,2438,5
6001,2438,2
9600313,2438,3
6000,2438,5
18584,2438,2
18865,435,1
362,435,1
5827,435,3
5862,435,1
913,435,5
21110,435,3
2218,435,5
4460,435,5
9723397,435,5
6716,435,1
8979,435,5
2438,435,2
5857,9601516,5
18865,9601516,1
4803,9601516,2
362,9601516,4
5827,9601516,3
10098,9601516,5
20199,9601516,1
96,9601516,2
2218,9601516,2
9601565,9601516,5
5912,9601516,1
6716,9601516,3
9601577,9601516,1
2670,9601516,1
11571,9601516,5
5845,9601516,3
18584,9601516,3
5857,9878270,2
2859,9878270,3
4803,9878270,5
5862,9878270,3
2566,9878270,5
2985,9878270,5
20129,9878270,5
6227,9878270,5
5857,9622353,5
2859,9622353,5
18865,9622353,5
4803,9622353,5
20199,9622353,3
5862,9622353,5
16185,9622353,2
2985,9622353,5
913,9622353,3
6227,9622353,5
2438,9622353,1
9878270,9622353,5
2218,2772,4
4460,2772,5
6001,2772,1
9600313,2772,3
2438,2772,3
435,2772,5
10098,3797,1
4460,3797,3
6001,3797,2
6000,3797,3
2859,9600673,5
4803,9600673,5
9911127,9600673,5
10098,9600673,2
21140,9600673,5
5848,9600673,1
5862,9600673,1
2566,9600673,5
20129,9600673,1
96,9600673,4
9601577,9600673,5
5831,9600673,1
18865,3069,3
9845736,3069,3
913,3069,3
6227,3069,1
28729689,3069,4
21110,3069,1
2218,3069,5
4460,3069,5
6716,3069,2
8979,3069,2
11571,3069,5
435,3069,5
9622353,3069,2
2772,3069,2
5857,5856,1
18865,5856,3
362,5856,1
5827,5856,1
10098,5856,5
96,5856,5
6227,5856,3
2218,5856,3
9601565,5856,3
5912,5856,1
6001,5856,1
6716,5856,2
2670,5856,4
11571,5856,1
6000,5856,5
5845,5856,5
9601516,5856,5
4802,5853,3
5857,5853,1
2859,5853,1
10098,5853,5
5848,5853,1
6227,5853,5
8549,5853,1
21110,5853,1
2218,5853,4
4460,5853,1
6001,5853,1
9600313,5853,1
11571,5853,4
28136258,5853,1
5831,5853,1
5845,5853,3
9601516,5853,1
5856,5853,5
10098,5847,1
6227,5847,1
