"node_1","node_2","edge"
1116,11181,1
10098,1174,1
11181,1174,1
10098,130,2
1174,130,1
10098,13106,1
1174,13106,1
130,13106,1
130,1338,1
13106,1338,3
13106,1355,1
1338,1355,1
1355,145,1
1174,1466,1
1116,16185,1
130,16185,1
13106,16185,1
1338,16185,1
10098,1692,2
1116,1692,2
1174,1692,1
130,1692,3
13106,1692,1
1355,1692,2
145,1692,1
16185,1692,2
10098,1702,1
11181,1702,2
130,1702,1
13106,1702,2
145,1702,1
1692,1702,1
1116,17161,1
11181,17161,1
130,17161,2
1355,17161,1
1466,17161,1
1692,17161,2
1702,17161,1
10098,1725,1
1174,1725,1
130,1725,1
13106,1725,1
1355,1725,1
145,1725,1
16185,1725,2
1692,1725,1
10098,1778,1
130,1778,1
13106,1778,1
1355,1778,1
145,1778,1
1692,1778,2
1702,1778,1
17161,1778,1
1725,1778,1
1116,1780,1
11181,1780,1
1174,1780,1
1338,1780,1
1692,1780,1
1702,1780,1
17161,1780,1
10098,18584,1
1116,18584,1
130,18584,1
145,18584,1
16185,18584,2
1692,18584,1
17161,18584,2
1725,18584,1
10098,18601,1
1116,18601,1
11181,18601,1
13106,18601,1
1466,18601,1
16185,18601,1
1692,18601,2
1702,18601,1
1725,18601,2
1778,18601,1
1780,18601,1
18584,18601,1
10098,18865,1
11181,18865,1
1174,18865,2
130,18865,1
1338,18865,1
145,18865,1
16185,18865,2
1692,18865,1
1702,18865,1
1725,18865,1
1780,18865,1
18584,18865,1
1116,19115,1
11181,19115,1
130,19115,1
13106,19115,1
1355,19115,1
1692,19115,1
17161,19115,2
1778,19115,1
10098,20199,1
11181,20199,1
130,20199,1
13106,20199,1
16185,20199,1
1692,20199,2
1702,20199,1
1778,20199,1
18584,20199,1
18601,20199,2
18865,20199,2
19115,20199,1
1116,2034,2
11181,2034,1
130,2034,1
13106,2034,1
16185,2034,1
1692,2034,2
17161,2034,1
1778,2034,1
1780,2034,2
18584,2034,1
18601,2034,1
18865,2034,1
19115,2034,1
20199,2034,1
1780,2046,1
18865,2046,2
19115,2046,1
130,207,2
1692,207,1
17161,207,2
1725,207,1
18584,207,1
18865,207,1
2046,207,1
11181,21110,1
13106,21110,1
1338,21110,1
1466,21110,1
1116,2114,1
1174,2114,1
130,2114,1
1355,2114,1
1692,2114,3
17161,2114,1
1778,2114,1
18584,2114,1
19115,2114,2
2034,2114,1
2046,2114,1
10098,2218,1
1116,2218,1
11181,2218,1
13106,2218,2
1338,2218,1
1692,2218,2
1702,2218,2
17161,2218,1
1725,2218,2
1778,2218,1
1780,2218,2
18584,2218,1
18601,2218,1
18865,2218,2
19115,2218,1
20199,2218,1
2034,2218,1
2114,2218,1
1116,2222,1
1355,2222,1
16185,2222,2
1692,2222,1
1725,2222,1
1778,2222,1
18584,2222,2
18601,2222,1
18865,2222,1
19115,2222,1
20199,2222,1
2034,2222,1
207,2222,1
2114,2222,2
1116,2438,1
130,2438,1
13106,2438,1
1702,2438,1
1780,2438,1
18584,2438,1
2034,2438,1
2114,2438,1
10098,244,1
11181,244,1
1174,244,1
130,244,2
13106,244,1
1338,244,3
1355,244,1
1466,244,1
1692,244,1
1702,244,2
1725,244,1
1778,244,1
1780,244,1
18865,244,1
19115,244,1
20199,244,1
2034,244,2
2046,244,1
2218,244,1
2222,244,1
2438,244,1
10098,2446,1
1116,2446,1
13106,2446,1
145,2446,1
1466,2446,1
16185,2446,2
1692,2446,2
1702,2446,1
17161,2446,1
1725,2446,1
1778,2446,2
1780,2446,1
18584,2446,1
18601,2446,2
20199,2446,2
2034,2446,1
2046,2446,1
2114,2446,3
2218,2446,1
2222,2446,2
1174,25,1
130,25,1
1692,25,2
1725,25,1
1778,25,1
18584,25,1
18601,25,1
19115,25,1
2114,25,1
2446,25,1
1116,2633,1
11181,2633,1
13106,2633,2
1725,2633,1
18865,2633,2
20199,2633,1
2034,2633,1
2218,2633,1
2222,2633,1
2446,2633,1
1116,2670,1
130,2670,1
1355,2670,1
145,2670,1
1692,2670,1
17161,2670,1
1778,2670,2
1780,2670,1
18584,2670,1
18865,2670,1
19115,2670,1
2034,2670,1
2114,2670,2
2218,2670,1
2222,2670,1
244,2670,2
25,2670,2
10098,2675,1
1692,2675,1
1778,2675,1
1780,2675,2
18601,2675,1
18865,2675,1
20199,2675,1
2046,2675,1
2218,2675,1
2222,2675,1
244,2675,1
2446,2675,1
11181,2695,1
1174,2695,1
130,2695,1
13106,2695,1
1692,2695,1
1702,2695,2
1780,2695,1
18865,2695,1
