"node_1","node_2","edge"
5798,20198,2
7277501,5814,4
20198,5814,5
5798,7102,1
20198,19514,1
5798,5804,3
19514,5804,5
5798,2299,2
7102,2299,1
5804,2299,1
5814,5806,5
5798,2834,3
20198,2834,1
5814,2834,2
5806,2834,5
5798,6749,1
7277501,6749,1
5804,6749,1
2299,6749,1
5798,5800,2
19514,5800,1
5804,5800,1
2299,5800,1
584,5800,3
5814,8817734,1
20198,18772,2
5804,2437,1
6749,2437,1
18772,2437,2
5798,207,1
7277501,207,1
5804,207,1
5798,2124,1
7102,2124,1
5804,2124,2
2299,2124,2
584,2124,4
6749,2124,1
207,2124,2
5798,3776,1
7102,3776,3
2299,3776,1
2124,3776,5
5798,3799,1
7102,3799,5
2299,3799,2
2437,3799,1
207,3799,2
2124,3799,5
3776,3799,5
5798,3841,1
7102,3841,2
5804,3841,2
2299,3841,1
6749,3841,2
18772,3841,1
2437,3841,3
2124,3841,4
3776,3841,3
3799,3841,5
5798,5810,3
20198,5810,1
7102,5810,2
19514,5810,3
5804,5810,2
5800,5810,2
2437,5810,1
207,5810,2
3776,5810,2
3799,5810,3
3841,5810,1
5798,5813,2
7277501,5813,1
20198,5813,1
207,5813,1
2124,5813,1
3799,5813,1
5810,5813,1
20198,5823,1
7102,5823,3
2437,5823,1
2124,5823,2
3799,5823,2
3841,5823,5
5798,6948,1
2124,6948,3
3776,6948,1
3799,6948,4
3841,6948,1
5798,8467,3
19514,8467,2
5804,8467,5
207,8467,1
2124,8467,4
3776,8467,2
3799,8467,4
5810,8467,3
5798,8481,4
20198,8481,5
5804,8481,1
2299,8481,1
5800,8481,1
207,8481,1
2124,8481,1
3799,8481,1
5810,8481,2
5813,8481,1
8467,8481,2
5798,8595617,1
7277501,8595617,5
5804,8595617,1
2299,8595617,1
584,8595617,2
6749,8595617,1
207,8595617,2
2124,8595617,5
3776,8595617,5
3799,8595617,5
3841,8595617,4
5813,8595617,2
5823,8595617,1
6948,8595617,2
8467,8595617,3
7277501,2818,5
20198,2818,5
6749,2818,1
18772,2818,3
3841,2818,5
5813,2818,1
5823,2818,1
8595617,2818,1
20198,12586,5
2834,12586,3
18772,12586,4
2437,12586,1
3841,12586,5
5823,12586,1
2818,12586,5
5798,8443539,1
7277501,8443539,1
20198,8443539,1
5806,8443539,1
2834,8443539,3
2818,8443539,1
7102,298,2
3776,298,5
3799,298,4
5798,5911,3
7102,5911,1
19514,5911,2
5804,5911,5
2299,5911,1
5800,5911,2
207,5911,1
2124,5911,2
3799,5911,2
5810,5911,3
8467,5911,5
8481,5911,2
5798,8459,1
7277501,8459,2
20198,8459,1
18772,8459,2
3841,8459,1
5823,8459,1
2818,8459,2
12586,8459,1
7277501,18833,5
20198,18833,1
3776,18833,4
3799,18833,4
3841,18833,2
5813,18833,1
8595617,18833,3
2818,18833,5
12586,18833,2
298,18833,1
5798,8632022,1
5804,8632022,1
6948,8632022,2
12586,8632022,2
19514,5746,3
5804,5746,3
2299,5746,1
5806,5746,3
6749,5746,1
8817734,5746,2
18772,5746,1
2437,5746,4
3841,5746,5
5823,5746,1
2818,5746,2
12586,5746,2
5798,5816,1
20198,5816,1
5814,5816,1
2834,5816,1
5798,139032,4
5804,139032,2
2299,139032,1
5800,139032,1
2437,139032,1
207,139032,1
2124,139032,1
3776,139032,1
3799,139032,2
3841,139032,1
5810,139032,3
6948,139032,1
8467,139032,1
8481,139032,1
5911,139032,2
7102,4485,1
