"node_1","node_2","edge"
5798,6458,5
20198,20909,5
19514,8476385,4
20198,8476385,5
20909,8476385,5
19514,5814,5
6458,2299,3
19514,2299,1
5798,5815,4
20198,5815,2
5814,5815,2
5798,9263,5
6458,9263,5
2299,9263,1
5815,9263,4
132,584,1
5798,12586,5
6458,12586,5
2299,12586,1
9263,12586,5
5798,10095,3
6458,10095,2
9263,10095,3
12586,10095,4
7102,18772,1
5798,8481,1
2299,741,1
2818,741,2
132,741,4
584,741,1
18772,741,1
19514,1536,5
584,1536,2
2818,4064,4
132,4064,2
741,4064,5
2299,5823,1
2818,5823,2
132,5823,3
584,5823,4
741,5823,5
4064,5823,4
19514,6948,2
5814,6948,1
5823,6948,1
19514,8443539,5
5814,8443539,2
7102,8443539,2
741,8443539,2
1536,8443539,3
4064,8443539,3
5798,40613303,1
20198,40613303,2
5815,40613303,3
741,40613303,3
1536,40613303,1
4064,40613303,2
5823,40613303,4
6948,40613303,2
8443539,40613303,2
5815,2437,1
9263,2437,2
584,2437,2
10095,2437,1
1536,2437,1
20909,2834,1
5814,2834,1
5815,2834,5
9263,2834,1
741,2834,1
6948,2834,1
2437,2834,2
9263,5802,1
10095,5802,1
2437,5802,3
7102,8459,1
9263,8459,2
12586,8459,1
10095,8459,1
4064,8459,1
5798,8817734,1
6458,8817734,3
5814,8817734,1
7102,8817734,1
5815,8817734,3
9263,8817734,2
12586,8817734,1
40613303,8817734,1
2834,8817734,2
5815,8900533,3
2818,8900533,1
9263,8900533,2
584,8900533,1
12586,8900533,1
10095,8900533,1
4064,8900533,1
5823,8900533,3
2437,8900533,3
2834,8900533,3
5802,8900533,3
8459,8900533,2
5815,207,2
584,207,1
2437,207,1
2834,207,1
8817734,207,1
8900533,207,3
2299,3841,1
584,3841,3
18772,3841,1
741,3841,2
2834,3841,3
8817734,3841,1
207,3841,3
19514,4485,5
20198,4485,1
20909,4485,5
8476385,4485,5
5814,4485,2
584,4485,1
1536,4485,2
3841,4485,3
19514,5746,4
5814,5746,1
584,5746,3
741,5746,1
1536,5746,1
5823,5746,3
2437,5746,1
8900533,5746,3
207,5746,2
3841,5746,2
4485,5746,1
2299,8595617,1
132,8595617,4
584,8595617,3
741,8595617,1
1536,8595617,1
5823,8595617,1
2437,8595617,1
3841,8595617,2
4485,8595617,3
5746,8595617,2
5798,8668840,1
7102,8668840,1
132,8668840,1
18772,8668840,1
8443539,8668840,1
3841,8668840,1
2299,1265,1
132,1265,3
584,1265,2
10095,1265,1
1536,1265,1
4064,1265,2
6948,1265,1
40613303,1265,1
3841,1265,1
4485,1265,2
8595617,1265,5
5814,5804,1
7102,5804,2
132,5804,1
584,5804,1
10095,5804,1
741,5804,1
2437,5804,2
2834,5804,2
8817734,5804,1
3841,5804,4
4485,5804,1
1265,5804,1
2437,6749,1
2834,6749,1
19514,10309,4
5814,10309,1
584,10309,1
2437,10309,2
3841,10309,1
4485,10309,1
5804,10309,1
5798,8573571,3
7102,8573571,4
132,8573571,1
584,8573571,2
10095,8573571,2
2437,8573571,2
5802,8573571,2
4485,8573571,1
8595617,8573571,1
1265,8573571,2
5804,8573571,5
6749,8573571,1
10309,8573571,2
2818,4994,2
12586,4994,1
10095,4994,3
4064,4994,3
8443539,4994,2
8459,4994,2
8900533,4994,1
8668840,4994,1
1265,4994,2
10309,4994,1
8573571,4994,1
5798,5813,2
12586,5813,2
741,5813,1
4064,5813,1
5823,5813,2
8443539,5813,1
40613303,5813,1
19514,19335,1
2818,19335,1
132,19335,1
12586,19335,3
741,19335,1
4064,19335,1
5823,19335,2
6948,19335,1
8443539,19335,1
40613303,19335,2
2834,19335,1
8900533,19335,3
12586,8635914,1
10095,8635914,1
2834,8635914,1
8668840,8635914,1
8573571,8635914,1
4994,8635914,5
7102,17296,1
2299,17296,1
2818,17296,3
584,17296,1
10095,17296,2
4064,17296,3
5823,17296,3
6948,17296,2
8459,17296,2
8900533,17296,4
5746,17296,1
8595617,17296,2
1265,17296,3
6749,17296,1
4994,17296,2
19335,17296,1
8635914,17296,1
20198,435,5
5814,435,1
5815,435,3
40613303,435,3
8817734,435,2
2818,5800,2
132,5800,1
741,5800,3
6948,5800,1
2834,5800,1
3841,5800,2
5804,5800,1
5813,5800,1
19335,5800,1
435,5800,1
5814,8742142,1
7102,8742142,2
5815,8742142,5
9263,8742142,3
1536,8742142,1
8443539,8742142,2
2437,8742142,2
2834,8742142,3
5802,8742142,5
8459,8742142,1
8817734,8742142,3
8900533,8742142,3
5746,8742142,1
435,8742142,3
5800,8742142,2
5798,8642789,1
2818,8642789,3
9263,8642789,3
584,8642789,2
10095,8642789,2
741,8642789,2
2437,8642789,2
2834,8642789,4
8459,8642789,1
3841,8642789,5
5804,8642789,3
10309,8642789,3
4994,8642789,2
5800,8642789,2
5798,1063,5
6458,1063,5
2299,1063,1
5815,1063,3
9263,1063,5
12586,1063,5
10095,1063,2
2834,1063,2
5802,1063,1
8459,1063,1
8817734,1063,3
8900533,1063,2
19335,1063,1
8742142,1063,2
5798,5818,5
6458,5818,5
2299,5818,2
5815,5818,4
9263,5818,5
12586,5818,5
10095,5818,2
2834,5818,1
8459,5818,2
8817734,5818,3
8900533,5818,1
19335,5818,1
8742142,5818,2
1063,5818,5
6458,2904,1
19514,2904,2
7102,2904,5
2299,2904,1
584,2904,3
1536,2904,3
2437,2904,3
8817734,2904,3
207,2904,2
5746,2904,3
8595617,2904,5
10309,2904,3
7102,18926694,4
2818,18926694,2
584,18926694,1
1536,18926694,1
4064,18926694,1
8443539,18926694,1
2437,18926694,1
8595617,18926694,1
10309,18926694,3
4994,18926694,3
8642789,18926694,2
2904,18926694,5
5798,26134814,1
20198,26134814,1
7102,26134814,2
2818,26134814,2
132,26134814,5
18772,26134814,1
741,26134814,2
5823,26134814,3
8595617,26134814,1
8668840,26134814,3
5804,26134814,2
8573571,26134814,2
5813,26134814,1
5800,26134814,4
2299,40613847,1
2818,40613847,4
132,40613847,5
741,40613847,4
4064,40613847,4
5823,40613847,4
5746,40613847,1
8595617,40613847,5
1265,40613847,3
4994,40613847,2
19335,40613847,2
17296,40613847,5
5800,40613847,2
26134814,40613847,3
20909,8635907,3
6948,8635907,2
2834,8635907,4
8595617,8635907,2
8668840,8635907,1
1265,8635907,3
4994,8635907,2
8635914,8635907,5
17296,8635907,4
40613847,8635907,3
584,1116,2
741,1116,2
4064,1116,1
5823,1116,4
6948,1116,2
40613303,1116,2
2834,1116,3
207,1116,2
3841,1116,5
5746,1116,1
8635914,1116,2
17296,1116,2
8642789,1116,1
8635907,1116,1
19514,139032,1
584,139032,2
1536,139032,2
40613303,139032,1
2437,139032,1
8900533,139032,1
4485,139032,1
5746,139032,1
1265,139032,1
2904,139032,1
18926694,139032,1
1116,139032,1
132,1325,3
584,1325,4
741,1325,2
1536,1325,1
