"node_1","node_2","edge"
10021,10129,5
10041,10129,1
10104,10129,5
10021,10130,1
10128,10130,1
10021,102568,3
10104,102568,1
10128,102568,2
10130,102568,2
10041,10358,1
10021,10395,5
10041,10395,2
10129,10395,5
10130,10395,1
102568,10395,3
10021,10450,5
10129,10450,5
10130,10450,5
10395,10450,5
10128,10670,5
10021,10709,5
10129,10709,5
10395,10709,5
10450,10709,4
10709,10713,5
10021,10716,5
10129,10716,5
10395,10716,5
10709,10716,1
10713,10716,2
10128,10717,1
102568,10717,5
10716,10717,1
10021,10722,5
10104,10722,3
10130,10722,5
102568,10722,3
10395,10722,4
10450,10722,1
10104,10723,5
10129,10723,5
10450,10723,1
10021,10724,5
10104,10724,4
10128,10724,3
10129,10724,5
10130,10724,1
102568,10724,2
10395,10724,5
10450,10724,5
10709,10724,5
10716,10724,2
10722,10724,4
10104,10725,5
10129,10725,5
10450,10725,2
10723,10725,5
102568,10726,1
10709,10726,5
10713,10726,5
10716,10726,3
10717,10726,1
10716,10727,3
10717,10727,5
102568,10728,5
10450,10728,2
10709,10728,5
10713,10728,5
10717,10728,5
10726,10728,5
10104,10730,2
10709,10730,4
10713,10730,5
10716,10730,1
10724,10730,5
10726,10730,3
10021,10731,5
10129,10731,5
10130,10731,2
10358,10731,1
10395,10731,5
10450,10731,5
10709,10731,4
10724,10731,5
10730,10731,5
10021,10733,4
10104,10733,5
10129,10733,4
10395,10733,4
10450,10733,4
10716,10733,2
10717,10733,4
10723,10733,5
10724,10733,4
10725,10733,5
10726,10733,1
10727,10733,5
10730,10733,2
10731,10733,3
10021,10734,2
10129,10734,4
10358,10734,4
10395,10734,3
10716,10734,2
10731,10734,1
10129,10737,4
10130,10737,5
10358,10737,2
10716,10737,1
10722,10737,4
10731,10737,3
10734,10737,2
10041,10743,1
10358,10743,5
10716,10743,3
10733,10743,1
10734,10743,4
10021,10749,2
10104,10749,2
10130,10749,5
102568,10749,3
10358,10749,5
10395,10749,2
10717,10749,1
10722,10749,5
10724,10749,5
10727,10749,2
10730,10749,5
10743,10749,5
10021,10751,1
10104,10751,5
10129,10751,4
10130,10751,5
10395,10751,2
10709,10751,1
10722,10751,3
10723,10751,5
10724,10751,5
10725,10751,5
10730,10751,5
10731,10751,3
10733,10751,1
10749,10751,1
10104,10753,5
10129,10753,2
10395,10753,2
10709,10753,5
10713,10753,5
10717,10753,1
10723,10753,5
10725,10753,3
10727,10753,3
10021,10754,4
10104,10754,1
10129,10754,4
10130,10754,5
10395,10754,5
10450,10754,3
10709,10754,5
10713,10754,5
10722,10754,3
10723,10754,3
10724,10754,1
10725,10754,2
10726,10754,1
10728,10754,2
10731,10754,1
10733,10754,1
10358,10761,5
10731,10761,1
10734,10761,2
10737,10761,1
10743,10761,5
10749,10761,5
10753,10761,2
10130,10764,3
10358,10764,5
10722,10764,1
10731,10764,1
10734,10764,1
10737,10764,4
10743,10764,5
10749,10764,1
10761,10764,4
10358,10765,5
10713,10765,1
10728,10765,1
10734,10765,2
10743,10765,5
10749,10765,5
10761,10765,5
10764,10765,2
10129,10766,2
10716,10766,1
10726,10766,1
10737,10766,2
102568,10775,1
10358,10775,5
10716,10775,2
10722,10775,3
10724,10775,4
10730,10775,5
10731,10775,1
10743,10775,5
10749,10775,5
10761,10775,5
10764,10775,1
10765,10775,4
10104,10777,5
10129,10777,2
10358,10777,5
10717,10777,3
10723,10777,5
10724,10777,3
10725,10777,5
10727,10777,4
10730,10777,5
10731,10777,5
10733,10777,3
10737,10777,5
10749,10777,1
10751,10777,2
10761,10777,3
10764,10777,1
10775,10777,2
10021,10782,5
10104,10782,5
10129,10782,5
10395,10782,4
10709,10782,5
10713,10782,5
10723,10782,5
10724,10782,1
10725,10782,4
10726,10782,5
10728,10782,5
10730,10782,4
10753,10782,5
10754,10782,5
10104,10787,3
10129,10787,3
10130,10787,3
10709,10787,3
10713,10787,5
10717,10787,1
10723,10787,5
10725,10787,2
10727,10787,1
10728,10787,1
10782,10787,4
10021,10790,2
10041,10790,1
10104,10790,1
10129,10790,3
10130,10790,5
10395,10790,2
10450,10790,5
10709,10790,3
10713,10790,1
10717,10790,1
10722,10790,5
10723,10790,4
10725,10790,5
10726,10790,5
10727,10790,1
10728,10790,5
10731,10790,5
10733,10790,5
10734,10790,1
10737,10790,1
10751,10790,3
10753,10790,1
10754,10790,5
10764,10790,1
10766,10790,1
10782,10790,3
10787,10790,3
10129,10792,1
10670,10792,5
10716,10792,1
10737,10792,3
10743,10792,1
10753,10792,2
10761,10792,5
10765,10792,2
10775,10792,2
10128,10793,2
10450,10793,1
10670,10793,1
10723,10793,4
10728,10793,5
10737,10793,1
10754,10793,1
10761,10793,3
10765,10793,2
10130,10795,1
10450,10795,4
10709,10795,5
10713,10795,5
10726,10795,5
10728,10795,5
10730,10795,1
10731,10795,3
10733,10795,3
10753,10795,5
10754,10795,5
10766,10795,1
10782,10795,5
10787,10795,2
10790,10795,5
10130,10799,5
10716,10799,3
10717,10799,5
10722,10799,3
10727,10799,5
10733,10799,5
10737,10799,4
10749,10799,2
10753,10799,1
10754,10799,1
10777,10799,3
10787,10799,2
10790,10799,3
10450,10804,3
10717,10804,2
10724,10804,1
10726,10804,2
10727,10804,3
10728,10804,3
10730,10804,2
10731,10804,3
10733,10804,5
10734,10804,1
10737,10804,5
10754,10804,2
10766,10804,1
10777,10804,4
10790,10804,5
10793,10804,3
10795,10804,5
10799,10804,4
10104,1084,5
10129,1084,5
10716,1084,3
10723,1084,5
10725,1084,5
10733,1084,1
10734,1084,1
10737,1084,5
10751,1084,1
10766,1084,3
10777,1084,2
10792,1084,3
10799,1084,2
10804,1084,4
10450,10901,5
10709,10901,5
10713,10901,5
10726,10901,5
10728,10901,5
10730,10901,3
10731,10901,2
10733,10901,2
10753,10901,5
10754,10901,5
10766,10901,1
10782,10901,5
10787,10901,3
10790,10901,5
10795,10901,5
10804,10901,5
10021,11105,5
10041,11105,1
10129,11105,5
10358,11105,4
10395,11105,5
10450,11105,1
10709,11105,2
10713,11105,2
10716,11105,5
10724,11105,3
10726,11105,2
10728,11105,1
10730,11105,5
10731,11105,5
10733,11105,2
10734,11105,4
10737,11105,5
10743,11105,2
10761,11105,4
10764,11105,4
10766,11105,3
10775,11105,5
10777,11105,4
10104,1113,5
10129,1113,3
10723,1113,5
10724,1113,5
10725,1113,5
10730,1113,5
10733,1113,1
10749,1113,2
10751,1113,5
10777,1113,5
10793,1113,2
1084,1113,4
10104,1116,2
10129,1116,1
10130,1116,2
102568,1116,2
10709,1116,1
10717,1116,1
10722,1116,1
10723,1116,3
10728,1116,1
10793,1116,1
10021,11335,3
10128,11335,3
10129,11335,1
102568,11335,5
10395,11335,3
10670,11335,1
10717,11335,4
10724,11335,1
10728,11335,4
10793,11335,4
1116,11335,1
10128,113907,4
102568,113907,4
10358,113907,1
10670,113907,4
10717,113907,4
10728,113907,2
10730,113907,1
10731,113907,1
10737,113907,1
10761,113907,1
10764,113907,1
10775,113907,1
10777,113907,1
10787,113907,2
10793,113907,1
11105,113907,1
11335,113907,4
10041,11513,2
10358,11513,5
10730,11513,4
10731,11513,4
10734,11513,4
10737,11513,4
10743,11513,1
10749,11513,1
10761,11513,5
10764,11513,4
10765,11513,1
10766,11513,2
10775,11513,4
10777,11513,4
1084,11513,1
11105,11513,4
1116,11513,1
10358,1156,4
10717,1156,1
10727,1156,1
10733,1156,1
10734,1156,1
10743,1156,4
10749,1156,4
10761,1156,4
10764,1156,4
10765,1156,4
10775,1156,2
10777,1156,2
10799,1156,1
11335,1156,4
11513,1156,2
10358,11659,2
10716,11659,1
10717,11659,4
10724,11659,1
10727,11659,4
10730,11659,1
10731,11659,1
10733,11659,5
10749,11659,2
10751,11659,1
10753,11659,2
10777,11659,4
10790,11659,2
10795,11659,1
10799,11659,4
10804,11659,5
10901,11659,1
1113,11659,1
11335,11659,1
1156,11659,4
10021,119,1
102568,119,1
10722,119,1
10724,119,4
10726,119,1
10727,119,1
10728,119,2
10730,119,4
10731,119,4
10733,119,4
10749,119,4
10751,119,4
10753,119,1
10761,119,1
10775,119,2
10777,119,2
10790,119,4
10792,119,1
10795,119,4
10804,119,4
10901,119,4
1113,119,4
10021,12055,4
10104,12055,2
10130,12055,4
102568,12055,4
10395,12055,3
10722,12055,4
10724,12055,5
10730,12055,1
10749,12055,4
10751,12055,1
10753,12055,4
10761,12055,4
10775,12055,4
10792,12055,4
1113,12055,1
11659,12055,1
10021,121071,1
10104,121071,3
10128,121071,2
10129,121071,1
10395,121071,1
10450,121071,1
10709,121071,1
10724,121071,5
10727,121071,1
10730,121071,4
10731,121071,3
10733,121071,1
10749,121071,3
10751,121071,4
10764,121071,1
10775,121071,3
10777,121071,3
10793,121071,1
10804,121071,2
1113,121071,4
119,121071,4
10021,1212,4
10129,1212,4
10395,1212,4
10450,1212,4
10709,1212,5
10713,1212,1
10716,1212,4
10724,1212,4
10726,1212,1
10727,1212,4
10728,1212,1
10730,1212,1
10731,1212,2
10733,1212,1
10753,1212,1
10754,1212,1
10782,1212,1
10787,1212,1
10793,1212,4
10795,1212,1
10901,1212,1
11105,1212,3
11335,1212,4
10709,1217344,5
10713,1217344,5
10726,1217344,5
10728,1217344,4
10730,1217344,4
10753,1217344,5
10754,1217344,4
10761,1217344,1
10782,1217344,5
10787,1217344,4
10790,1217344,2
10792,1217344,1
10795,1217344,5
10901,1217344,5
1116,1217344,2
119,1217344,2
1212,1217344,1
10358,121931,1
10709,121931,4
10713,121931,4
10726,121931,4
10728,121931,2
10753,121931,4
10761,121931,5
10775,121931,4
10777,121931,1
10782,121931,4
10792,121931,4
10795,121931,4
10901,121931,4
11105,121931,1
113907,121931,1
119,121931,1
12055,121931,4
1217344,121931,5
10358,12265,5
10722,12265,1
10727,12265,1
10731,12265,2
10737,12265,4
10743,12265,1
10761,12265,5
10775,12265,4
10777,12265,5
10792,12265,1
11105,12265,5
113907,12265,1
11513,12265,4
1156,12265,3
11659,12265,1
119,12265,1
12055,12265,4
121931,12265,5
10130,1233,5
102568,1233,2
10358,1233,4
10709,1233,2
10713,1233,2
10722,1233,5
10724,1233,1
10730,1233,3
10731,1233,5
10737,1233,4
10749,1233,1
10751,1233,1
10761,1233,4
10764,1233,1
10775,1233,4
10777,1233,4
10782,1233,1
10790,1233,1
10901,1233,1
11105,1233,4
1113,1233,1
11513,1233,4
11659,1233,1
12055,1233,5
1217344,1233,4
12265,1233,4
10041,1244015,1
10104,1244015,3
10128,1244015,4
10130,1244015,5
102568,1244015,1
10450,1244015,2
10717,1244015,1
10722,1244015,5
10724,1244015,5
10730,1244015,5
10731,1244015,4
10733,1244015,1
10737,1244015,3
10749,1244015,4
10751,1244015,4
10754,1244015,3
10764,1244015,2
10775,1244015,2
10777,1244015,2
10790,1244015,4
10799,1244015,2
10804,1244015,2
1113,1244015,4
1116,1244015,1
119,1244015,4
12055,1244015,1
121071,1244015,4
1233,1244015,1
10130,1256806,4
102568,1256806,4
10713,1256806,1
10716,1256806,1
10717,1256806,4
10722,1256806,4
10724,1256806,4
10726,1256806,1
10728,1256806,2
10730,1256806,5
10737,1256806,3
10749,1256806,1
10751,1256806,3
10765,1256806,1
10775,1256806,1
10792,1256806,1
10799,1256806,1
1084,1256806,2
11105,1256806,1
1113,1256806,1
11335,1256806,4
119,1256806,3
121071,1256806,4
1244015,1256806,4
10104,1257904,1
10129,1257904,1
10713,1257904,4
10716,1257904,5
10723,1257904,1
10725,1257904,1
10726,1257904,4
10728,1257904,4
10730,1257904,4
10734,1257904,2
10737,1257904,1
10765,1257904,4
10766,1257904,1
10775,1257904,4
10787,1257904,2
10792,1257904,5
10793,1257904,1
10799,1257904,1
1084,1257904,1
11105,1257904,4
1113,1257904,1
1244015,1257904,1
10104,1259,5
10129,1259,5
10716,1259,4
10723,1259,5
10724,1259,1
10725,1259,5
10730,1259,1
10733,1259,1
10734,1259,4
10737,1259,4
10751,1259,4
10754,1259,4
10764,1259,2
10765,1259,3
10766,1259,4
10777,1259,2
10782,1259,1
10787,1259,4
10792,1259,4
10799,1259,4
10804,1259,4
1084,1259,5
1113,1259,5
1116,1259,4
11659,1259,1
12055,1259,1
1233,1259,1
1256806,1259,4
1257904,1259,1
10104,12600,4
10129,12600,4
10358,12600,1
10723,12600,4
10724,12600,4
10725,12600,4
10730,12600,4
