"node_1","node_2","edge"
4811,4813,5
4811,20210,5
4813,20210,5
4813,6518581,5
20210,6518581,5
4811,19292,5
4813,19292,5
20210,19292,5
6518581,19292,5
19292,19450,3
4811,20133,2
4813,20133,5
20210,20133,5
6518581,20133,5
19292,20133,5
19450,20133,2
19292,20214,2
4813,6724585,5
6518581,6724585,5
19292,6724585,5
20133,6724585,5
4813,7294,5
6518581,7294,2
19292,7294,5
20133,7294,5
6724585,7294,5
5992681,3448,2
20214,20785,2
6724585,20785,5
7294,20785,5
4811,6329811,2
4813,6329811,5
20210,6329811,5
6518581,6329811,5
19292,6329811,5
19450,6329811,5
20133,6329811,5
6724585,6329811,5
7294,6329811,5
4811,20239,5
6348,20239,1
20210,20239,5
4811,20498,1
4813,20498,5
20210,20498,5
6518581,20498,5
19292,20498,5
19450,20498,3
20133,20498,5
20214,20498,3
6724585,20498,5
6329811,20498,5
3448,6334,1
20239,6334,5
4120,6334,5
4808,6005211,1
5992681,6005211,5
6334,6005211,5
4811,20821,2
20210,20821,2
6518581,20821,5
19292,20821,4
20133,20821,5
6724585,20821,5
7294,20821,5
20785,20821,5
6329811,20821,3
20498,20821,5
4811,6081958,1
20210,6081958,5
20239,6081958,5
6334,6081958,3
4811,20527,3
4813,20527,5
20210,20527,5
6518581,20527,5
19292,20527,5
20133,20527,5
6724585,20527,5
7294,20527,4
20785,20527,4
6329811,20527,5
20239,20527,3
20498,20527,5
20821,20527,5
6081958,20527,1
6334,6126824,2
6005211,6126824,5
4811,6342,5
4813,6342,5
20210,6342,5
6518581,6342,5
19292,6342,3
20133,6342,5
6724585,6342,2
6329811,6342,5
20239,6342,3
20498,6342,5
20821,6342,5
6081958,6342,1
20527,6342,5
20239,6336,1
6334,6336,4
20214,5986317,5
20785,5986317,1
4811,19736,4
4813,19736,4
20210,19736,5
6518581,19736,5
19292,19736,5
19450,19736,2
20133,19736,5
20214,19736,5
6724585,19736,1
6329811,19736,5
20239,19736,5
20498,19736,5
20821,19736,5
6081958,19736,5
20527,19736,3
6342,19736,5
4811,6657953,3
4813,6657953,5
20210,6657953,5
6518581,6657953,5
19292,6657953,5
20133,6657953,5
6724585,6657953,5
6329811,6657953,5
20498,6657953,5
20821,6657953,5
20527,6657953,5
6342,6657953,5
19736,6657953,5
4813,19691,5
20210,19691,3
6518581,19691,5
19292,19691,3
20133,19691,5
20214,19691,1
6724585,19691,5
7294,19691,5
20785,19691,5
6329811,19691,5
20498,19691,5
20821,19691,5
20527,19691,5
6342,19691,3
19736,19691,2
6657953,19691,5
4813,20417,5
20210,20417,5
6518581,20417,5
19292,20417,5
19450,20417,1
20133,20417,5
20214,20417,5
6724585,20417,5
7294,20417,5
20785,20417,5
6329811,20417,5
20498,20417,5
20821,20417,5
20527,20417,5
6342,20417,1
5986317,20417,5
19736,20417,5
6657953,20417,3
19691,20417,5
4811,6329524,5
4813,6329524,5
20210,6329524,5
6518581,6329524,5
19292,6329524,5
19450,6329524,3
20133,6329524,5
20214,6329524,5
6724585,6329524,5
7294,6329524,5
6329811,6329524,5
20498,6329524,2
20527,6329524,5
6342,6329524,5
5986317,6329524,4
19736,6329524,5
6657953,6329524,5
19691,6329524,5
20417,6329524,5
4811,6390854,5
4813,6390854,5
20210,6390854,5
6518581,6390854,5
19292,6390854,5
20133,6390854,5
6724585,6390854,5
7294,6390854,2
6329811,6390854,5
20239,6390854,5
20498,6390854,5
20821,6390854,3
6081958,6390854,5
20527,6390854,5
6342,6390854,5
19736,6390854,5
6657953,6390854,5
19691,6390854,3
20417,6390854,5
6329524,6390854,5
4811,6149444,2
20210,6149444,3
6518581,6149444,5
20133,6149444,5
6724585,6149444,5
6329811,6149444,5
20498,6149444,5
20821,6149444,5
6342,6149444,5
19736,6149444,5
6390854,6149444,5
4813,11245,3
6518581,11245,5
20214,11245,4
6329811,11245,5
20498,11245,3
4120,11245,2
6334,11245,2
5986317,11245,5
6657953,11245,1
19691,11245,2
6329524,11245,1
4120,6349,1
6005211,6349,1
6334,40614351,5
6149444,40614351,3
4811,19204,5
4813,19204,5
20210,19204,5
6518581,19204,5
19292,19204,5
19450,19204,2
20133,19204,5
6724585,19204,5
6329811,19204,5
20498,19204,5
20821,19204,5
20527,19204,5
6342,19204,5
19736,19204,4
6657953,19204,5
19691,19204,5
20417,19204,5
6329524,19204,3
6390854,19204,5
19292,20203,2
