"node_1","node_2","edge"
10051,1045,1
1045,11240,1
1087,11240,2
1087,11241,1
11233,11241,1
10051,11245,1
11233,11245,1
11239,11245,1
10051,11649,1
1087,11649,1
11233,11649,1
11239,11649,1
11240,11649,1
10051,11997785,1
1087,11997785,1
11233,11997785,1
11239,11997785,3
11240,11997785,1
11241,11997785,1
11245,11997785,2
10456,11998123,1
11241,11998123,1
11245,11998123,1
1087,12003127,1
11240,12003127,1
11245,12003127,1
11649,12003127,1
10051,12003246,1
1045,12003246,1
10456,12003246,2
1087,12003246,2
11239,12003246,1
11240,12003246,1
11241,12003246,1
11649,12003246,3
11997785,12003246,2
10051,12564489,1
1045,12564489,1
11026638,12564489,1
11649,12564489,2
11997785,12564489,1
10456,1258,1
11026638,1258,2
11239,1258,1
11245,1258,1
11649,1258,1
11997785,1258,1
12003246,1258,2
1045,12608560,1
10456,12608560,1
1087,12608560,1
11239,12608560,1
11241,12608560,1
11245,12608560,2
11649,12608560,1
11997785,12608560,3
11998123,12608560,1
12003246,12608560,2
12564489,12608560,1
1258,12608560,2
10051,1307,1
1045,1307,1
11233,1307,1
11239,1307,1
11241,1307,1
11649,1307,1
12003246,1307,2
12608560,1307,1
1087,132,1
11026638,132,1
11240,132,1
11649,132,1
11997785,132,1
12003127,132,1
1258,132,1
10456,13794575,1
11026638,13794575,1
11240,13794575,1
11649,13794575,1
11998123,13794575,1
12003246,13794575,1
12608560,13794575,1
1307,13794575,1
132,13794575,1
10051,145,1
1045,145,1
10456,145,1
1087,145,1
11233,145,1
11239,145,1
11245,145,1
11649,145,1
11997785,145,2
12003127,145,1
12003246,145,1
12608560,145,2
1307,145,1
132,145,1
13794575,145,1
10456,15825589,2
1087,15825589,1
11241,15825589,1
11649,15825589,1
11997785,15825589,1
12003246,15825589,2
1258,15825589,1
12608560,15825589,2
1307,15825589,1
13794575,15825589,1
145,15825589,1
1087,15825914,1
11026638,15825914,1
11241,15825914,1
1258,15825914,1
1307,15825914,1
15825589,15825914,1
10456,15835547,2
11239,15835547,1
11240,15835547,1
11241,15835547,1
11245,15835547,1
11997785,15835547,2
12003127,15835547,1
12003246,15835547,1
12564489,15835547,1
1258,15835547,1
1307,15835547,1
132,15835547,1
15825589,15835547,1
15825914,15835547,1
10051,15952159,1
1045,15952159,1
10456,15952159,2
1087,15952159,1
11240,15952159,1
11997785,15952159,2
12003246,15952159,2
1258,15952159,1
12608560,15952159,2
