"node_1","node_2","edge"
7127882,18251,5
7523989,7438711,5
7457654,40614477,5
7438711,40614477,5
7091394,7310288,5
7127882,7303289,5
7091394,7303289,3
18251,7303289,5
7310288,7303289,5
7457654,4814,5
7523989,4814,5
7438711,4814,5
40614477,4814,5
6732,5210599,5
7523989,5210599,5
40614477,5210599,5
4814,5210599,5
7127882,7450713,5
7310288,7450713,5
7303289,7450713,5
7523989,40614474,2
7438711,40614474,5
4814,40614474,5
5210599,40614474,3
7518059,7564257,5
7523989,40614542,5
4814,40614542,1
5210599,40614542,5
40614474,40614542,5
7457654,7308966,5
6732,7308966,5
7523989,7308966,5
40614477,7308966,5
4814,7308966,5
5210599,7308966,5
40614542,7308966,5
40614542,6406,5
40614477,40614493,5
4814,40614493,5
5210599,40614493,5
40614474,40614493,5
40614542,40614493,5
7310288,7450566,5
7303289,7450566,5
7450713,7450566,5
40614477,7184585,4
4814,7184585,4
5210599,7184585,5
40614493,7184585,5
40614542,7091705,5
7127882,7134050,5
7091394,7134050,5
18251,7134050,5
7310288,7134050,4
7303289,7134050,2
7523989,7166926,5
5210599,7166926,5
40614474,7166926,5
40614542,7166926,5
18251,40614608,5
7310288,40614608,4
7303289,40614608,3
8156896,40614608,5
6406,29593114,3
6412,29593114,2
7127882,20700,5
7091394,20700,5
18251,20700,5
7310288,20700,2
7303289,20700,1
7450713,20700,1
7134050,20700,5
40614608,20700,4
6732,7091716,5
6406,7091716,5
7166926,7455628,5
18251,13788,3
7310288,13788,5
7450713,13788,1
7134050,13788,5
8156896,13788,5
40614608,13788,5
20700,13788,5
18251,7302978,5
6412,7302978,3
7134050,7302978,1
8156896,7302978,1
6406,6413,1
7091716,6413,1
13788,6413,4
7127882,7308012,5
18251,7308012,5
7310288,7308012,3
7303289,7308012,5
7134050,7308012,3
8156896,7308012,3
20700,7308012,3
13788,7308012,1
7302978,7308012,5
40614608,7090897,1
20700,7090897,2
13788,7090897,2
6413,7090897,5
7308012,7090897,5
7450713,7450620,5
7450566,7450620,5
13788,7450620,1
7302978,7450620,3
6413,7450620,5
7308012,7450620,1
7090897,7450620,5
7091394,7518233,5
7310288,7518233,1
5210599,7518233,5
7457654,18254,5
6732,18254,3
7523989,18254,5
40614477,18254,5
4814,18254,4
5210599,18254,5
40614474,18254,5
40614542,18254,5
7308966,18254,5
40614493,18254,5
7184585,18254,5
7166926,18254,5
7455628,18254,5
7134050,7472503,5
7308012,7472503,3
5210599,7623132,5
40614542,7623132,5
7091705,7623132,5
7303289,7333992,5
40614608,7333992,5
7308012,7333992,5
7090897,7333992,5
4814,7163400,5
18251,40614500,5
7303289,40614500,3
7134050,40614500,5
7302978,40614500,5
7308012,40614500,5
6732,7456790,5
6406,5716,1
18251,7520059,5
29593114,7520059,5
6412,7108303,1
7523989,7598345,5
7438711,7598345,4
4814,7598345,5
5210599,7598345,5
40614474,7598345,5
40614493,7598345,5
7127882,20373,5
7091394,20373,5
7310288,20373,2
7134050,20373,4
8156896,20373,4
40614608,20373,4
29593114,20373,1
20700,20373,5
13788,20373,5
6413,20373,1
7308012,20373,4
7090897,20373,5
7450620,20373,3
7333992,20373,1
40614500,20373,3
20700,7513189,3
13788,7513189,5
7308012,7513189,3
7472503,7513189,5
7333992,7513189,2
40614500,7513189,1
20373,7513189,1
5210599,7091696,5
40614542,7091696,5
6406,7091696,3
40614493,7091696,5
7091394,11017954,5
18251,11017954,5
7450713,11017954,1
40614608,11017954,3
7308012,11017954,5
7090897,11017954,5
7333992,11017954,5
20373,11017954,2
40614474,7589568,1
40614493,7589568,5
5716,7589568,4
18251,7568623,5
7310288,7568623,5
7303289,7568623,5
7450713,7568623,4
7450566,7568623,5
6412,7568623,1
7302978,7568623,5
7308012,7568623,5
40614474,10041,1
40614542,10041,5
6413,10041,2
5716,10041,3
7598345,10041,1
18251,40613055,5
7303289,40613055,3
40614608,40613055,1
20700,40613055,5
7302978,40613055,3
7308012,40613055,4
7333992,40613055,3
7520059,40613055,5
6412,6415,1
29593114,6415,5
7302978,6415,5
5716,6415,2
7108303,6415,5
7568623,6415,5
29593114,6407,4
6413,6407,2
7090897,6407,1
7450620,6407,1
7456790,6407,1
40614474,21110,1
40614542,21110,5
7450566,21110,1
7166926,21110,5
29593114,21110,4
18254,21110,5
7520059,21110,5
7108303,21110,1
7091394,10908358,5
18251,10908358,5
7166926,10908358,4
7302978,10908358,5
6413,10908358,4
7518233,10908358,5
7456790,10908358,5
7568623,10908358,5
6412,6410,3
29593114,6410,5
7456790,6410,1
5716,6410,3
7520059,6410,1
21110,6410,2
7523989,7309433,5
4814,7309433,5
5210599,7309433,2
40614474,7309433,2
40614542,7309433,3
7166926,7309433,5
7455628,7309433,5
18254,7309433,5
7598345,7309433,5
