"node_1","node_2","edge"
7450313,7450669,1
7450313,4298525,5
7450669,4298525,4
7456773,7182451,5
7684308,7458509,5
7526336,7458509,5
4298525,43655796,5
7456773,4814,5
7684308,7091637,5
7526336,7091637,3
7182451,7091637,5
7458509,7091637,5
7456773,7455587,5
7182451,7455587,2
7450313,4679145,5
7450669,4679145,5
4298525,4679145,5
43655796,4679145,5
7450313,4298529,5
7450669,4298529,5
4298525,4298529,5
4679145,4298529,5
4298350,7209193,5
43655796,7209193,5
7684308,7183436,5
7526336,7183436,4
7182451,7183436,5
7458509,7183436,5
7091637,7183436,5
7455587,7183436,3
7450313,7304688,3
7450669,7304688,5
4298525,7304688,2
4298350,7304688,5
4679145,7304688,1
4298529,7304688,5
7209193,7304688,5
7684308,7526709,5
7526336,7526709,5
7456773,7526709,5
7182451,7526709,5
7458509,7526709,5
4814,7526709,5
7091637,7526709,5
7455587,7526709,3
7183436,7526709,5
4814,7455582,4
7455587,7455582,5
7450313,13788,3
7450669,13788,5
4298525,13788,5
4679145,13788,5
4298529,13788,5
7304688,13788,5
6413,13788,5
4298350,7450401,5
43655796,7450401,5
6412,7450401,1
7209193,7450401,5
7182451,6732,1
7091637,6732,5
7450313,20700,1
7450669,20700,5
4298350,20700,2
43655796,20700,2
4679145,20700,1
4298529,20700,5
7209193,20700,5
7304688,20700,5
13788,20700,5
7450401,20700,5
7450313,27325427,5
7450669,27325427,5
4298525,27325427,5
43655796,27325427,5
4679145,27325427,5
4298529,27325427,5
7304688,27325427,5
13788,27325427,5
20700,27325427,5
4298350,7303289,5
6413,7303289,5
13788,7303289,5
7450401,7303289,4
6400,7303289,1
4298350,5716,1
5716,7204,1
4298525,7209145,1
4298529,7209145,4
7304688,7209145,5
13788,7209145,5
20700,7209145,3
27325427,7209145,5
4298525,6406,3
43655796,6406,5
7304688,6406,2
13788,6406,2
27325427,6406,5
7303289,6406,3
7209145,6406,3
7304688,20373,1
13788,20373,1
20700,20373,1
27325427,20373,4
4814,7184585,5
6732,7184585,5
7455587,2034,1
7684308,7455628,5
7526336,7455628,5
7182451,7455628,5
4814,7455628,4
7091637,7455628,5
7455587,7455628,5
7526709,7455628,1
6413,7455628,5
6732,7455628,5
6403,7455628,1
7209145,7455628,1
2034,7455628,5
7450313,40613728,5
7450669,40613728,5
4298525,40613728,3
