"node_1","node_2","edge"
4815,8073,2
11611,8401971,5
11611,3911,5
4815,650,2
8073,3983749,5
650,3983749,5
6521,6533,2
11611,8459126,4
6521,8459126,3
8073,3377007,1
650,3377007,2
3983749,3377007,1
2625,3377007,2
3911,6064,5
8459126,6064,5
4815,6538,5
8073,6538,3
650,6538,5
3983749,6538,2
4815,20614,3
8073,20614,5
650,20614,2
3983749,20614,5
6538,20614,1
6521,6778,5
6533,6778,3
8459126,6778,2
2625,6778,2
6533,8187,3
8187,8404421,3
2625,8475856,5
3377007,8475856,1
8187,8475856,3
8404421,8475856,5
3911,17311,5
8459126,17311,1
6064,17311,5
8404421,17311,1
8073,904,5
3983749,904,3
6538,904,5
20614,904,1
11611,298,2
6521,298,2
6533,298,2
8459126,298,2
2625,298,2
6778,298,2
8404421,298,5
8475856,298,1
17311,298,1
8073,19410,5
650,19410,3
3983749,19410,5
3377007,19410,1
20614,19410,3
4815,16869510,5
8073,16869510,5
650,16869510,5
3983749,16869510,4
3377007,16869510,3
6538,16869510,1
20614,16869510,2
19410,16869510,3
6533,2741,1
2625,2741,5
6778,2741,1
8404421,2741,1
8475856,2741,3
298,2741,2
6533,6527,2
8187,6527,5
8404421,6527,2
8475856,6527,4
3911,6539,5
6064,6539,5
8404421,6539,5
8475856,6539,2
17311,6539,3
650,42144402,2
3983749,42144402,2
2625,42144402,1
20614,42144402,2
904,42144402,2
650,20213,1
6533,20213,1
6533,2513,1
2625,2513,2
6778,2513,1
2741,2513,1
6521,11612,1
8459126,11612,2
6064,11612,1
6778,11612,1
298,11612,1
8401971,16870279,3
2625,16870279,1
298,16870279,1
20213,16870279,1
2513,16870279,1
11611,1854,3
8401971,1854,5
3911,1854,1
6521,1854,2
6533,1854,1
6064,1854,1
20213,1854,1
16870279,1854,1
6533,6536,1
6778,6536,1
8187,6536,3
8404421,6536,1
6527,6536,2
19777,6520,4
2625,6450,4
3377007,6450,1
6778,6450,1
8475856,6450,3
2741,6450,1
19777,19344,3
6536,19344,3
6450,19344,5
2625,28736533,2
3377007,28736533,2
8475856,28736533,3
6450,28736533,5
19344,28736533,5
2625,29298910,2
6450,29298910,4
19344,29298910,2
28736533,29298910,4
4815,19579,1
8073,19579,5
3983749,19579,3
20614,19579,2
19410,19579,5
16869510,19579,1
4815,19649,5
8073,19649,5
650,19649,4
3983749,19649,5
6538,19649,3
20614,19649,4
904,19649,2
19410,19649,4
16869510,19649,3
19579,19649,3
8073,19948,5
650,19948,4
3983749,19948,5
3377007,19948,2
19410,19948,5
16869510,19948,4
19579,19948,3
19649,19948,3
4815,20704,5
8073,20704,5
650,20704,3
3983749,20704,5
6538,20704,3
20614,20704,4
904,20704,1
19410,20704,4
16869510,20704,5
19579,20704,2
19649,20704,5
19948,20704,3
8073,20777,5
3983749,20777,4
3377007,20777,2
20614,20777,2
8187,20777,4
8475856,20777,1
904,20777,2
19410,20777,1
6527,20777,2
19579,20777,1
19649,20777,3
19948,20777,1
8073,20817,5
650,20817,5
3983749,20817,3
3377007,20817,3
6538,20817,1
20614,20817,2
8404421,20817,1
904,20817,5
19410,20817,2
16869510,20817,2
19649,20817,3
19948,20817,5
20704,20817,1
20777,20817,2
8073,5597433,5
650,5597433,4
3983749,5597433,5
6538,5597433,2
20614,5597433,4
904,5597433,3
19410,5597433,5
16869510,5597433,3
19579,5597433,4
19649,5597433,5
19948,5597433,5
20704,5597433,5
20777,5597433,3
20817,5597433,5
4815,6541,3
8073,6541,4
650,6541,1
3983749,6541,2
20614,6541,2
8187,6541,1
8404421,6541,1
8475856,6541,1
904,6541,1
6527,6541,2
19649,6541,1
20704,6541,1
20777,6541,3
20817,6541,1
5597433,6541,1
4815,9084,4
650,9084,5
3983749,9084,1
6538,9084,4
16869510,9084,2
20704,9084,4
4815,18252,5
8073,18252,5
650,18252,4
3983749,18252,3
6538,18252,2
20614,18252,2
904,18252,2
19410,18252,3
16869510,18252,5
19649,18252,5
19948,18252,2
20704,18252,5
5597433,18252,5
6541,18252,1
9084,18252,2
4815,20755,5
650,20755,5
3983749,20755,3
6538,20755,4
16869510,20755,4
42144402,20755,1
19649,20755,1
19948,20755,2
20704,20755,3
6541,20755,1
9084,20755,5
18252,20755,3
4815,1816235,5
8073,1816235,5
650,1816235,3
3983749,1816235,3
6538,1816235,5
20614,1816235,1
904,1816235,5
16869510,1816235,3
19649,1816235,2
20704,1816235,3
5597433,1816235,1
6541,1816235,1
9084,1816235,2
18252,1816235,2
20755,1816235,5
4815,8399357,4
8073,8399357,4
3983749,8399357,3
6538,8399357,4
20614,8399357,1
904,8399357,1
16869510,8399357,1
19649,8399357,1
20704,8399357,3
20817,8399357,2
5597433,8399357,3
6541,8399357,2
18252,8399357,2
20755,8399357,1
1816235,8399357,3
4815,8420960,2
8073,8420960,5
3983749,8420960,2
6538,8420960,5
20614,8420960,2
904,8420960,5
16869510,8420960,1
19649,8420960,1
20704,8420960,5
5597433,8420960,3
9084,8420960,1
18252,8420960,3
1816235,8420960,5
8399357,8420960,5
4815,8426138,5
650,8426138,4
6538,8426138,5
20614,8426138,1
16869510,8426138,1
19649,8426138,2
20704,8426138,2
6541,8426138,1
9084,8426138,3
18252,8426138,2
20755,8426138,4
1816235,8426138,5
8399357,8426138,2
8420960,8426138,2
4815,3116,1
8073,3116,5
3983749,3116,1
6538,3116,1
20614,3116,1
19410,3116,2
19579,3116,5
19649,3116,1
20704,3116,2
5597433,3116,2
8420960,3116,4
8073,20467,5
650,20467,2
3983749,20467,3
3377007,20467,1
20614,20467,3
19410,20467,5
16869510,20467,3
19579,20467,2
19649,20467,4
19948,20467,3
20704,20467,2
20777,20467,1
20817,20467,2
5597433,20467,5
18252,20467,2
8399357,20467,1
3116,20467,1
3911,2772,3
6521,2772,1
6533,2772,1
2625,2772,2
6064,2772,2
6778,2772,2
8404421,2772,1
17311,2772,1
298,2772,2
2741,2772,1
11612,2772,1
3911,9517,5
6064,9517,5
17311,9517,2
6539,9517,5
11611,8657381,5
3911,8657381,5
8459126,8657381,3
6064,8657381,5
8404421,8657381,4
17311,8657381,3
298,8657381,5
6539,8657381,2
11612,8657381,3
2772,8657381,1
9517,8657381,2
11611,40614635,3
8401971,40614635,5
3911,40614635,5
6064,40614635,5
6539,40614635,1
1854,40614635,4
9517,40614635,3
11611,6489,5
3911,6489,2
8459126,6489,5
6064,6489,3
8404421,6489,1
17311,6489,1
298,6489,4
2741,6489,1
2772,6489,1
8657381,6489,5
6521,6531,3
6533,6531,2
8459126,6531,2
2625,6531,1
6778,6531,3
298,6531,3
2741,6531,2
2772,6531,2
11611,8400006,5
3911,8400006,5
298,8400006,1
2772,8400006,1
8657381,8400006,3
6489,8400006,5
11611,8504505,5
6521,8504505,1
298,8504505,1
11612,8504505,1
8657381,8504505,4
6531,8504505,1
8400006,8504505,4
11611,26363656,4
3911,26363656,1
8459126,26363656,5
6064,26363656,4
8404421,26363656,4
298,26363656,4
2741,26363656,2
2772,26363656,1
8657381,26363656,5
6489,26363656,5
6531,26363656,2
8400006,26363656,5
8504505,26363656,2
11611,28735879,5
3911,28735879,5
11612,28735879,1
1854,28735879,1
8657381,28735879,2
40614635,28735879,3
6489,28735879,1
6531,28735879,1
8400006,28735879,3
8504505,28735879,2
26363656,28735879,1
650,898,5
3983749,898,5
3377007,898,5
20614,898,1
8187,898,1
19410,898,3
16869510,898,1
42144402,898,1
6450,898,2
19344,898,2
28736533,898,5
19649,898,1
19948,898,3
6541,898,1
9084,898,3
20755,898,3
20467,898,1
650,20887,5
3983749,20887,5
3377007,20887,2
20614,20887,1
904,20887,1
19410,20887,5
16869510,20887,2
42144402,20887,2
19649,20887,2
19948,20887,3
20704,20887,2
20817,20887,3
5597433,20887,2
9084,20887,3
18252,20887,3
20755,20887,5
20467,20887,3
898,20887,5
4815,8442622,5
8073,8442622,5
650,8442622,5
3983749,8442622,1
6538,8442622,1
904,8442622,5
19410,8442622,1
16869510,8442622,2
6539,8442622,1
19649,8442622,2
19948,8442622,1
20704,8442622,1
20817,8442622,2
5597433,8442622,1
6541,8442622,2
18252,8442622,2
20755,8442622,2
1816235,8442622,3
8426138,8442622,3
898,8442622,4
20887,8442622,5
8073,22185802,3
650,22185802,5
3983749,22185802,4
3377007,22185802,1
6538,22185802,1
904,22185802,2
19410,22185802,4
16869510,22185802,2
19649,22185802,2
19948,22185802,4
20704,22185802,5
20817,22185802,1
5597433,22185802,3
6541,22185802,1
18252,22185802,4
20755,22185802,2
8399357,22185802,2
8420960,22185802,1
20467,22185802,3
898,22185802,3
20887,22185802,5
8442622,22185802,1
40614635,1926,2
4815,7512,5
8073,7512,3
20614,7512,1
19410,7512,1
42144402,7512,2
19649,7512,2
20704,7512,1
6541,7512,1
18252,7512,1
8426138,7512,5
20467,7512,1
8442622,7512,3
4815,8402715,5
6538,8402715,1
20614,8402715,1
904,8402715,3
19649,8402715,2
20704,8402715,2
5597433,8402715,1
6541,8402715,1
18252,8402715,2
1816235,8402715,1
8399357,8402715,1
8420960,8402715,1
8426138,8402715,5
20887,8402715,1
8442622,8402715,3
22185802,8402715,2
7512,8402715,5
11611,9236,1
8401971,9236,2
16870279,9236,5
4815,40613056,2
8073,40613056,5
6538,40613056,5
20614,40613056,1
904,40613056,5
19410,40613056,1
16869510,40613056,1
19649,40613056,1
20704,40613056,3
20817,40613056,2
5597433,40613056,1
6541,40613056,2
18252,40613056,3
1816235,40613056,4
8399357,40613056,5
8420960,40613056,5
20887,40613056,1
8442622,40613056,2
22185802,40613056,5
8402715,40613056,2
8401971,2695,3
6533,2695,2
2625,2695,1
3377007,2695,1
8187,2695,2
8475856,2695,1
6527,2695,2
6450,2695,1
6533,6537,2
2625,6537,2
6064,6537,1
6778,6537,1
2772,6537,1
8504505,6537,1
8401971,8504574,1
19777,8504574,1
1854,8504574,4
19344,8504574,5
40614635,8504574,1
6489,8504574,1
11611,8505523,5
6521,8505523,1
6533,8505523,1
8459126,8505523,1
6778,8505523,1
1854,8505523,2
6536,8505523,1
6450,8505523,2
19344,8505523,3
29298910,8505523,1
8504505,8505523,4
8504574,8505523,5
2513,2046,1
6521,6526,2
6533,6526,2
8459126,6526,3
6778,6526,2
20213,6526,2
11612,6526,1
1854,6526,1
