"node_1","node_2","edge"
1091,116,2
1095,11860,1
1091,12559200,2
116,12559200,1
1095,127,2
116,127,1
116,13487097,1
11860,13487097,1
1095,13986048,2
116,13986048,1
127,13986048,1
1095,145,2
11611,145,1
127,145,1
116,1569,2
11611,1569,1
13487097,1569,1
1091,15779447,1
116,15779447,2
13986048,15779447,1
145,15779447,1
11612,15947723,1
116,16124445,1
11611,16124445,2
1091,16129527,1
1095,16129527,1
11611,16129527,1
1091,1629,1
1095,1629,1
116,1629,2
1569,1629,2
1091,16728,3
11611,16728,1
15779447,16728,1
11611,16820006,1
11860,16820006,1
16124445,16820006,2
1091,16868884,1
12559200,16868884,1
1569,16868884,1
1629,16868884,2
16728,16868884,2
11611,16868894,2
11860,16868894,1
145,16868894,1
15779447,16868894,1
16820006,16868894,1
16868884,16868894,1
1091,16868896,2
1095,16868896,1
12559200,16868896,2
15779447,16868896,2
16728,16868896,1
1095,16869389,1
16820006,16869389,1
13487097,16869510,2
15779447,16869510,1
16728,16869510,1
16868894,16869510,1
116,16870188,1
11611,16870188,3
15947723,16870188,2
1091,16870189,2
1095,16870189,1
116,16870189,1
11611,16870189,1
12559200,16870189,1
15779447,16870189,1
16868896,16870189,2
1091,16870191,1
1095,16870191,3
127,16870191,2
145,16870191,1
15779447,16870191,1
16868896,16870191,1
16870189,16870191,1
1091,16870264,1
1095,16870264,1
13986048,16870264,1
1569,16870264,1
1629,16870264,3
11611,16870279,2
13487097,16870279,1
16869389,16870279,1
16870189,16870279,1
1095,16870325,1
11611,16870325,1
127,16870325,1
15779447,16870325,1
16124445,16870325,1
16870191,16870325,1
16870264,16870325,1
1091,1692,1
116,1692,1
1569,1692,1
1091,1713,1
1095,1713,2
127,1713,1
145,1713,1
16728,1713,1
16870189,1713,1
16870191,1713,1
16870325,1713,1
11860,17237,1
13487097,17237,1
15947723,17237,1
16869510,17237,1
16870264,17237,1
16870325,17237,1
1095,17262,1
145,17262,1
1569,17262,1
15947723,17262,1
16129527,17262,1
1629,17262,1
16870191,17262,1
1692,17262,1
1713,17262,1
1091,17311,2
1095,17311,1
11611,17311,2
145,17311,1
16870189,17311,1
16870264,17311,1
1692,17311,1
1713,17311,2
13487097,1816235,1
15947723,1816235,2
16728,1816235,1
16869510,1816235,1
16870279,1816235,1
1692,1816235,1
1095,1864,1
116,1864,1
127,1864,1
145,1864,1
1569,1864,1
15779447,1864,1
16124445,1864,1
1629,1864,1
16870191,1864,1
16870264,1864,1
16870279,1864,1
16870325,1864,1
17311,1864,1
1091,19155,1
11611,19155,1
15947723,19155,1
16868896,19155,1
1692,19155,1
1713,19155,1
17262,19155,2
17311,19155,2
1095,19579,1
15779447,19579,1
16728,19579,2
16868884,19579,2
16868894,19579,2
16868896,19579,1
16869389,19579,1
16870191,19579,1
1713,19579,1
1816235,19579,2
1864,19579,1
1091,19649,2
11611,19649,2
16728,19649,2
16868884,19649,1
16868894,19649,1
16868896,19649,1
17311,19649,2
1864,19649,1
19155,19649,1
19579,19649,3
1091,19777,1
1095,19777,1
11860,19777,1
16870189,19777,1
19155,19777,1
19579,19777,1
19649,19777,1
1091,19914,1
11860,19914,1
127,19914,1
1569,19914,1
15779447,19914,1
16728,19914,1
16820006,19914,1
16868884,19914,1
16868894,19914,1
16868896,19914,2
16869510,19914,1
16870189,19914,1
16870191,19914,1
16870325,19914,1
17262,19914,1
19155,19914,1
19579,19914,1
19649,19914,1
1091,20100,2
11611,20100,1
1569,20100,1
15779447,20100,1
16124445,20100,1
16728,20100,2
16868896,20100,1
16870189,20100,1
16870325,20100,1
17311,20100,1
1816235,20100,1
1864,20100,1
19155,20100,1
19579,20100,1
19649,20100,2
19777,20100,1
19914,20100,1
1095,2015,1
15947723,2015,2
16129527,2015,3
1629,2015,2
16728,2015,1
16869510,2015,1
16870188,2015,2
16870264,2015,1
17237,2015,1
17262,2015,1
19155,2015,1
11611,20213,1
1569,20213,1
15947723,20213,1
16868896,20213,1
19649,20213,1
19777,20213,1
19914,20213,1
2015,20213,1
1095,2034,3
11611,2034,1
127,2034,1
13487097,2034,1
145,2034,1
1569,2034,1
16868896,2034,1
16870189,2034,1
16870191,2034,2
16870264,2034,1
17311,2034,1
1864,2034,1
19155,2034,1
2015,2034,1
1091,20467,1
1095,20467,1
11611,20467,1
127,20467,1
13986048,20467,1
16728,20467,2
16868884,20467,1
16870188,20467,1
17262,20467,1
19579,20467,1
19649,20467,1
19914,20467,1
20100,20467,1
19579,207,1
2034,207,1
20467,207,1
13487097,20704,1
1569,20704,1
15947723,20704,1
1629,20704,1
16728,20704,1
16868884,20704,3
16868894,20704,1
16869510,20704,1
16870188,20704,1
1816235,20704,1
1864,20704,1
19579,20704,1
19649,20704,1
19914,20704,1
20100,20704,2
2015,20704,1
2034,20704,1
1091,20755,1
116,20755,1
11611,20755,1
15947723,20755,1
16868896,20755,1
16870188,20755,1
16870325,20755,1
1692,20755,1
1713,20755,1
17262,20755,1
19155,20755,1
19579,20755,1
20100,20755,2
2015,20755,1
2034,20755,1
20704,20755,1
1095,20777,2
11611,20777,1
127,20777,1
13487097,20777,1
145,20777,1
16870189,20777,1
16870191,20777,1
16870325,20777,1
1713,20777,2
1864,20777,1
19155,20777,1
19777,20777,1
20100,20777,1
20213,20777,1
20467,20777,1
20755,20777,1
1095,21086,1
127,21086,1
13986048,21086,1
1569,21086,1
16870191,21086,1
1713,21086,1
1864,21086,1
2034,21086,1
20704,21086,1
20777,21086,1
11860,2218,1
16820006,2218,1
16870189,2218,1
19914,2218,2
20777,2218,1
1091,22199429,1
11611,22199429,1
13986048,22199429,1
15779447,22199429,2
16124445,22199429,1
16129527,22199429,1
1629,22199429,1
16728,22199429,1
16820006,22199429,1
16868884,22199429,1
16868894,22199429,1
16868896,22199429,1
16870264,22199429,1
1713,22199429,1
17262,22199429,1
19579,22199429,1
19649,22199429,1
19914,22199429,1
20100,22199429,1
2015,22199429,1
20467,22199429,1
20777,22199429,1
21086,22199429,1
1091,22202446,1
1095,22202446,1
127,22202446,1
13986048,22202446,1
15779447,22202446,2
16124445,22202446,1
16728,22202446,2
16868884,22202446,1
16869389,22202446,1
16870189,22202446,1
16870191,22202446,1
16870264,22202446,1
16870325,22202446,2
17237,22202446,1
17262,22202446,1
17311,22202446,1
1816235,22202446,1
1864,22202446,1
19579,22202446,1
19777,22202446,1
20100,22202446,1
2034,22202446,1
20467,22202446,1
20704,22202446,1
20777,22202446,1
21086,22202446,1
2218,22202446,1
1095,22202725,1
116,22202725,1
11611,22202725,1
13986048,22202725,1
15779447,22202725,1
15947723,22202725,1
16728,22202725,1
16870189,22202725,1
16870279,22202725,2
1713,22202725,1
17311,22202725,1
2034,22202725,1
20467,22202725,1
207,22202725,1
1091,22202757,2
1095,22202757,1
13986048,22202757,1
1569,22202757,1
16868896,22202757,1
16869389,22202757,1
16870264,22202757,1
1713,22202757,1
19579,22202757,1
19914,22202757,2
20704,22202757,1
20755,22202757,1
20777,22202757,1
22202446,22202757,1
