"node_1","node_2","edge"
1009,1196715,5
1009,73938,5
1196715,73938,5
4816,1166915,5
1196715,12070,3
1009,16074,5
1196715,16074,5
73938,16074,5
4816,20219,5
1166915,20219,5
1196715,10145,5
1196715,20305,1
1196715,18778,2
1498096,11507,1
1166915,11507,5
1009,2433,2
1196715,2433,5
1009,13179,5
4816,13179,1
3826,13179,5
12070,13179,5
3738,13179,5
3840,13179,5
19040,13179,5
10145,13179,1
61441,13179,2
18580,13179,5
4439,13179,1
2433,13179,5
1009,1864,1
13179,1864,5
13179,3469,5
1498096,30148,5
1196715,3735,5
13179,3735,2
13179,19471,1
4816,898,5
20219,898,2
30148,898,5
13179,3399,3
13179,4693,5
19040,28191107,4
1864,28191107,4
2741,28191107,1
4693,28191107,2
13179,2446,2
1009,9870,5
73938,9870,3
12070,9870,5
16074,9870,2
19040,9870,1
3272,9870,1
18580,9870,2
1864,9870,4
3469,9870,4
2741,9870,1
3735,9870,3
4693,9870,1
28191107,9870,5
1009,17291,2
13179,17291,4
9870,17291,1
13179,4069,3
1196715,1530815,1
73938,1530815,1
28191107,1530815,1
1196715,2375,5
73938,2375,5
2452,2375,2
4816,37556,4
2741,37556,3
28191107,37556,5
4816,40615065,5
3826,40615065,3
12070,40615065,2
19040,40615065,1
18778,40615065,3
3836,40615065,2
61441,40615065,1
13179,40615065,5
3469,40615065,4
19471,40615065,2
259,40615065,1
3399,40615065,1
4693,40615065,3
4069,40615065,3
1196715,16064,5
73938,16064,5
1196715,338,5
2375,338,4
37556,338,3
16064,338,2
1009,18980,5
16074,18980,5
3840,18980,1
18778,18980,1
3272,18980,5
3836,18980,2
3741,18980,2
4693,18980,2
28191107,18980,2
9870,18980,5
17291,18980,2
4069,18980,4
2375,18980,5
338,18980,1
1009,522695,1
9870,522695,5
2375,522695,1
18980,522695,5
13179,16282,5
40615065,16282,5
18980,16282,3
13179,18869,5
40615065,18869,3
18980,18869,3
13179,9612,5
1864,9612,5
28191107,9612,5
1530815,9612,2
40615065,9612,5
4816,499655,5
1196715,499655,5
1166915,499655,5
20219,499655,2
30148,499655,1
3735,499655,1
1530815,499655,3
16064,499655,1
338,499655,2
522695,499655,2
1196715,2431,5
73938,2431,5
13179,2431,5
9870,2431,1
73938,1655357,5
3840,1655357,1
11507,1655357,1
