"node_1","node_2","edge"
3412,3470,5
3470,1236933,3
3412,12413,5
3412,7041009,5
12413,7041009,5
3412,3837,5
3470,3837,5
1236933,3837,5
3412,4708,5
3470,4708,5
3837,4708,5
3412,3859,5
3470,3859,5
12413,3859,1
3837,3859,5
4708,3859,5
3412,6914,5
3470,6914,5
1236933,6914,1
3837,6914,5
4708,6914,5
3412,4072,5
3470,4072,5
1236933,4072,5
40613708,4072,1
3837,4072,5
4708,4072,5
3859,4072,5
6914,4072,5
3412,3797,5
3470,3797,5
1236933,3797,2
12413,3797,5
7041009,3797,5
3837,3797,5
4708,3797,5
6914,3797,5
4072,3797,5
3412,18780,2
3470,18780,2
4708,18780,5
3412,3827,5
3470,3827,5
1236933,3827,1
12413,3827,5
7041009,3827,3
3837,3827,5
4708,3827,4
3859,3827,5
6914,3827,5
4072,3827,5
3797,3827,3
3412,12060,5
3470,12060,5
1236933,12060,1
3837,12060,5
4708,12060,5
3859,12060,5
6914,12060,5
4072,12060,5
3797,12060,5
3827,12060,5
3412,15110,5
3470,15110,5
1236933,15110,5
3837,15110,5
4708,15110,5
3859,15110,5
6914,15110,5
4072,15110,5
3797,15110,5
3827,15110,5
12060,15110,5
3412,7311847,5
3470,7311847,5
3837,7311847,5
4708,7311847,5
3859,7311847,5
6914,7311847,5
4072,7311847,5
3797,7311847,5
3827,7311847,5
12060,7311847,5
15110,7311847,5
3412,40613121,5
3470,40613121,5
40613708,40613121,4
3837,40613121,5
4708,40613121,5
3859,40613121,5
6914,40613121,5
4072,40613121,5
3797,40613121,5
3827,40613121,5
12060,40613121,5
15110,40613121,5
7311847,40613121,5
3412,3227,5
3470,3227,5
3837,3227,5
4708,3227,5
6914,3227,5
4072,3227,5
3797,3227,5
3827,3227,5
12060,3227,5
15110,3227,5
7311847,3227,5
40613121,3227,5
3470,6909,5
3837,6909,3
4708,6909,4
18780,6909,5
15110,6909,5
7311847,6909,2
40613121,6909,3
3412,7623449,5
4708,7623449,1
18780,7623449,4
3227,7623449,5
3412,20220,5
3470,20220,2
4708,20220,5
15110,20220,5
7311847,20220,5
40613121,20220,5
7623449,20220,1
3412,3840,5
3470,3840,5
1236933,3840,5
3837,3840,5
4708,3840,5
6914,3840,5
4072,3840,5
3797,3840,5
3827,3840,3
12060,3840,5
15110,3840,5
7311847,3840,5
40613121,3840,5
3227,3840,3
6909,3840,5
3412,7561,5
3470,7561,5
1236933,7561,5
3837,7561,5
4708,7561,5
6914,7561,5
4072,7561,5
3797,7561,5
3827,7561,5
12060,7561,5
15110,7561,5
7311847,7561,5
40613121,7561,5
3227,7561,5
6909,7561,2
3840,7561,5
3412,6911,5
3470,6911,2
3837,6911,4
4708,6911,5
6914,6911,1
4072,6911,5
3797,6911,5
7623449,6911,2
7561,6911,1
4708,2351,5
15110,2351,1
4708,37268194,3
2351,37268194,5
40613708,4817,5
6800649,4817,5
3412,3177,5
3470,3177,5
1236933,3177,5
12413,3177,5
7041009,3177,2
3837,3177,5
4708,3177,5
6914,3177,2
4072,3177,5
3797,3177,5
3827,3177,5
12060,3177,4
15110,3177,5
7311847,3177,5
40613121,3177,5
3227,3177,2
3840,3177,5
7561,3177,5
4708,6442,5
15110,6442,5
7311847,6442,5
40613121,6442,2
2351,6442,2
40613708,6843513,5
6800649,6843513,5
4817,6843513,5
4708,6823398,5
7311847,6823398,1
2351,6823398,3
37268194,6823398,5
3412,132,5
3470,132,5
1236933,132,1
3837,132,5
4708,132,5
3859,132,5
6914,132,5
4072,132,5
3797,132,5
3827,132,5
12060,132,5
15110,132,5
7311847,132,5
40613121,132,5
3227,132,5
6909,132,1
3840,132,5
7561,132,5
3177,132,3
3412,3464,5
3470,3464,5
1236933,3464,5
3837,3464,5
4708,3464,5
6914,3464,5
4072,3464,5
3797,3464,5
3827,3464,5
12060,3464,5
15110,3464,5
7311847,3464,5
