"node_1","node_2","edge"
7623449,3412,5
7623449,4708,5
3412,4708,5
7623449,6914,5
3412,6914,5
4708,6914,5
7623449,1248,5
7623449,3470,4
3412,3470,5
4708,3470,5
6914,3470,5
3412,4072,5
4708,4072,2
3470,4072,5
3412,7115316,5
4708,7115316,5
3412,6442,5
4708,6442,5
7115316,6442,5
3412,18780,5
4708,18780,5
6914,18780,5
3470,18780,5
7115316,18780,5
6442,18780,5
7623449,7282810,5
3412,7282810,5
4708,7282810,5
6914,7282810,3
7115316,7282810,5
6442,7282810,5
18780,7282810,5
7623449,2034,5
6914,2034,4
1248,2034,4
3470,2034,4
7623449,3840,5
3412,3840,5
4708,3840,5
6914,3840,5
3470,3840,5
4072,3840,5
2034,3840,5
7623449,3859,5
3412,3859,5
4708,3859,3
6914,3859,5
3470,3859,5
4072,3859,5
2034,3859,3
3840,3859,5
7623449,4723,5
3412,4723,4
4708,4723,3
6914,4723,5
1248,4723,1
3470,4723,2
18780,4723,1
2034,4723,5
3840,4723,5
3859,4723,5
7623449,7561,5
3412,7561,5
4708,7561,5
6914,7561,5
1248,7561,1
3470,7561,5
18780,7561,2
2034,7561,5
3840,7561,5
3859,7561,5
4723,7561,5
3412,3797,5
4708,3797,5
6914,3797,4
3470,3797,5
4072,3797,5
7115316,3797,5
6442,3797,5
18780,3797,5
7282810,3797,1
4818,6926021,5
4818,6801230,5
6926021,6801230,5
4818,6843513,3
6926021,6843513,5
6801230,6843513,5
7623449,6911,5
3412,6911,5
4708,6911,5
6914,6911,4
3470,6911,5
4072,6911,5
7115316,6911,4
6442,6911,5
18780,6911,5
7282810,6911,5
3840,6911,2
3859,6911,4
7561,6911,4
3797,6911,5
4708,3798,5
1248,3798,5
7282810,3798,5
4708,7308152,5
3470,7308152,3
7115316,7308152,5
6442,7308152,5
18780,7308152,3
3797,7308152,5
6911,7308152,3
3470,2572,3
2034,2572,5
3840,2572,5
7623449,3794,5
3412,3794,5
4708,3794,4
6914,3794,1
3470,3794,5
4072,3794,3
18780,3794,4
2034,3794,3
3840,3794,5
3859,3794,5
4723,3794,2
7561,3794,4
6911,3794,1
3412,9021,1
4818,9021,5
6926021,9021,5
6801230,9021,5
3794,9021,5
3412,2545,5
4708,2545,5
3470,2545,5
3797,2545,5
6911,2545,5
4818,4122,5
6926021,4122,5
6801230,4122,5
6843513,4122,5
7623449,3837,5
3412,3837,5
4708,3837,5
6914,3837,5
3470,3837,5
4072,3837,5
2034,3837,5
3840,3837,5
3859,3837,5
4723,3837,5
7561,3837,5
3797,3837,5
6911,3837,3
7308152,3837,1
3794,3837,5
7623449,4440,5
3412,4440,5
4708,4440,5
6914,4440,2
3470,4440,5
4072,4440,5
2034,4440,5
3840,4440,5
3859,4440,5
4723,4440,3
7561,4440,2
3797,4440,1
6911,4440,2
7308152,4440,3
2572,4440,2
3794,4440,1
3837,4440,4
9021,2768,5
7623449,6909,5
3412,6909,5
4708,6909,5
6914,6909,5
3470,6909,5
6442,6909,2
18780,6909,4
2034,6909,5
3840,6909,5
3859,6909,3
4723,6909,5
7561,6909,5
3797,6909,2
6911,6909,3
7308152,6909,1
3794,6909,2
3837,6909,5
7623449,3227,5
3412,3227,5
4708,3227,3
3470,3227,5
3859,3227,2
3837,3227,2
4440,3227,1
3412,126,5
3470,126,5
3859,126,5
4723,126,5
7561,126,1
3794,126,3
3837,126,4
3227,126,1
3470,12427,3
2034,12427,1
2572,12427,4
3837,12427,5
4440,12427,2
126,12427,5
3412,7065569,5
4708,7065569,5
3470,7065569,5
6442,7065569,2
18780,7065569,5
7282810,7065569,3
3859,7065569,5
3797,7065569,5
6911,7065569,5
2572,7065569,1
3794,7065569,3
9021,7065569,2
2545,7065569,5
126,7065569,4
4708,3107,1
7308152,3107,2
4440,3107,3
3227,3107,1
12427,3107,1
7623449,4076,5
3412,4076,2
4708,4076,1
3470,4076,5
4072,4076,5
2034,4076,4
3840,4076,5
3859,4076,4
2572,4076,2
3837,4076,2
4440,4076,3
7623449,132,5
3412,132,5
4708,132,5
3470,132,4
4072,132,2
3840,132,1
3859,132,5
3797,132,1
6911,132,3
2545,132,4
4440,132,1
7065569,132,3
3859,13,1
1248,6946732,5
3798,6946732,5
3412,12411,2
4708,12411,5
7115316,12411,1
6442,12411,5
18780,12411,3
7282810,12411,5
6911,12411,3
2545,12411,2
7623449,6428,5
4708,6428,1
6914,6428,3
1248,6428,3
3470,6428,1
2034,6428,5
3840,6428,5
3859,6428,5
4723,6428,5
7561,6428,5
2572,6428,2
3794,6428,2
3837,6428,5
4440,6428,3
6909,6428,5
3227,6428,1
7065569,6428,5
4076,6428,3
132,6428,2
7623449,40613602,5
3412,40613602,2
6914,40613602,5
1248,40613602,4
3470,40613602,1
2034,40613602,5
3840,40613602,5
3859,40613602,5
4723,40613602,5
7561,40613602,5
3794,40613602,3
3837,40613602,5
4440,40613602,3
6909,40613602,5
3227,40613602,1
126,40613602,5
4076,40613602,1
132,40613602,1
6428,40613602,5
7623449,4765,5
3412,4765,5
4708,4765,5
3470,4765,5
18780,4765,2
2034,4765,5
3840,4765,2
3859,4765,4
4723,4765,5
7561,4765,4
6911,4765,1
7308152,4765,2
3794,4765,1
3837,4765,3
4440,4765,2
126,4765,5
7065569,4765,2
6428,4765,2
40613602,4765,5
7623449,20220,5
3412,20220,5
4708,20220,5
3470,20220,4
7115316,20220,1
18780,20220,1
7282810,20220,3
7561,20220,1
6911,20220,2
3798,20220,1
126,20220,1
3412,3827,5
4708,3827,4
6914,3827,1
3470,3827,5
4072,3827,1
3859,3827,4
3797,3827,2
6911,3827,2
7308152,3827,3
2545,3827,1
3837,3827,1
4440,3827,1
126,3827,2
7065569,3827,5
7623449,8310,5
3412,8310,5
4708,8310,1
6914,8310,5
3470,8310,5
4072,8310,1
18780,8310,5
2034,8310,2
3840,8310,5
3859,8310,5
4723,8310,5
7561,8310,5
3797,8310,1
6911,8310,2
3794,8310,5
3837,8310,5
4440,8310,2
6909,8310,5
3227,8310,1
126,8310,5
12427,8310,5
6428,8310,2
40613602,8310,5
4765,8310,1
20220,8310,1
3827,8310,1
7115316,19399,5
12411,19399,3
7623449,40613121,5
3412,40613121,1
4708,40613121,1
6914,40613121,3
3470,40613121,1
2034,40613121,4
3859,40613121,3
4723,40613121,5
7561,40613121,5
6911,40613121,3
7308152,40613121,1
3794,40613121,1
3837,40613121,3
4440,40613121,1
6909,40613121,1
3227,40613121,1
126,40613121,2
6428,40613121,3
40613602,40613121,5
4765,40613121,3
8310,40613121,2
3412,3177,5
4708,3177,3
3470,3177,2
18780,3177,1
3797,3177,1
6911,3177,1
7065569,3177,2
3412,20347,5
4708,20347,5
7115316,20347,2
3797,20347,5
9021,20347,5
2545,20347,1
19399,20347,3
3412,2914,3
3470,2914,2
3837,2914,4
126,2914,5
12427,2914,5
8310,2914,5
40613121,2914,5
7065569,11499,5
11499,7024832,5
1248,7257749,5
6946732,7257749,5
11499,7257749,5
7024832,7257749,5
4708,2351,4
7282810,2351,2
19399,2351,5
1248,4063,5
6946732,4063,5
7024832,4063,5
7257749,4063,5
12427,7074725,3
7024832,7074725,5
4063,7074725,5
20347,7404587,5
7024832,7404587,5
4063,7404587,5
7074725,7404587,5
7623449,592,5
3412,592,1
4708,592,1
6914,592,5
1248,592,2
3470,592,3
2034,592,5
3840,592,5
3859,592,5
4723,592,5
7561,592,5
3794,592,2
3837,592,3
4440,592,1
6909,592,5
6428,592,5
40613602,592,5
8310,592,3
40613121,592,2
7623449,8040,5
3412,8040,4
4708,8040,1
6914,8040,1
3470,8040,3
2034,8040,5
3840,8040,5
3859,8040,3
4723,8040,5
7561,8040,5
3794,8040,2
3837,8040,4
6909,8040,3
126,8040,1
6428,8040,5
40613602,8040,5
4765,8040,1
8310,8040,4
40613121,8040,2
592,8040,5
7623449,12060,5
3412,12060,3
4708,12060,1
6914,12060,5
3470,12060,2
2034,12060,5
3840,12060,5
3859,12060,5
4723,12060,5
7561,12060,5
3794,12060,2
3837,12060,3
4440,12060,1
6909,12060,5
132,12060,1
