"node_1","node_2","edge"
7030,7014,5
26190638,20138,5
7030,8358,2
20138,8358,1
26190638,9636199,5
20138,9636199,5
7030,4740,5
26190638,4740,1
20138,4740,1
8358,4740,5
26190638,8365,2
8358,8365,1
4740,8365,4
7030,566,5
7014,566,3
4822,566,2
7014,10108668,1
4822,10108668,5
566,10108668,5
7030,1526,3
7014,1526,5
566,1526,5
10108668,1526,1
20138,2695,1
8358,2695,3
4740,2695,5
7030,9181,4
7014,9181,4
566,9181,5
10108668,9181,1
1526,9181,5
566,29039707,5
10108668,29039707,5
1526,29039707,2
2695,29039707,1
9181,29039707,2
7030,515,5
7014,515,5
566,515,5
1526,515,5
9181,515,4
26190638,10081511,5
4740,10081511,1
566,7040,1
1526,7040,5
515,7040,2
20138,19608,5
2695,19608,1
20138,20222,5
9636199,20222,3
10081511,20222,5
19608,20222,5
8358,18782,3
4740,18782,5
2695,18782,5
19608,18782,1
20138,5341880,5
9636199,5341880,5
10081511,5341880,5
19608,5341880,2
20222,5341880,5
4740,6775,4
18782,6775,1
20138,9516,3
2695,9516,3
19608,9516,5
20222,9516,2
5341880,9516,1
8358,2046,3
4740,2046,4
20138,19826,5
9636199,19826,1
4740,19826,5
10081511,19826,5
19608,19826,5
20222,19826,5
18782,19826,3
5341880,19826,3
20138,7039,1
8358,7039,4
4740,7039,5
2695,7039,5
18782,7039,2
6775,7039,2
9516,7039,1
2046,7039,1
20138,9272,2
8358,9272,1
9636199,9272,1
4740,9272,1
2695,9272,4
18782,9272,3
7039,9272,5
7030,12756,2
7014,12756,1
4740,12756,1
1526,12756,1
2695,12756,2
9181,12756,1
515,12756,5
18782,12756,1
6775,12756,3
9272,12756,4
26190638,904,3
4740,904,1
10081511,904,5
20222,904,1
18782,904,2
5341880,904,1
19826,904,4
4740,21265312,4
10081511,21265312,5
18782,21265312,2
19826,21265312,5
904,21265312,5
4740,8366,3
2695,8366,5
6775,8366,5
12756,8366,1
4740,27642668,2
2695,27642668,5
6775,27642668,5
8366,27642668,5
4740,7029,2
2695,7029,5
18782,7029,5
19826,7029,2
21265312,7029,4
27642668,7029,1
7030,2458,4
8358,2458,1
4740,2458,3
8365,2458,2
515,2458,3
6775,2458,5
12756,2458,5
8366,2458,5
27642668,2458,5
7030,10098338,3
26190638,19417,2
20138,19417,5
8358,19417,1
4740,19417,3
2695,19417,3
19608,19417,5
20222,19417,3
18782,19417,5
5341880,19417,1
9516,19417,5
19826,19417,5
7039,19417,3
7029,19417,1
566,10089459,1
10108668,10089459,5
29039707,10089459,3
26190638,20800,1
20138,20800,5
4740,20800,3
2695,20800,3
19608,20800,5
20222,20800,1
18782,20800,2
9516,20800,5
19826,20800,5
21265312,20800,1
19417,20800,5
7014,7425,3
4822,7425,5
566,7425,5
10108668,7425,5
1526,7425,4
8358,592,1
4740,592,4
2695,592,1
18782,592,1
6775,592,5
7039,592,4
9272,592,5
20138,8372,3
19608,8372,5
20222,8372,3
5341880,8372,3
9516,8372,5
19826,8372,3
19417,8372,3
20138,1466,1
9636199,1466,3
4740,1466,4
20222,1466,1
18782,1466,3
6775,1466,5
592,1466,5
8358,7269,2
4740,7269,5
2695,7269,5
18782,7269,3
6775,7269,2
7039,7269,5
9272,7269,5
12756,7269,4
2458,7269,1
19417,7269,1
20800,7269,1
592,7269,3
7014,7722,5
566,7722,3
10108668,7722,3
1526,7722,2
9181,7722,1
29039707,7722,1
9272,7722,3
26190638,10091084,2
4740,10091084,2
566,10091084,1
515,10091084,1
1466,10091084,2
