"node_1","node_2","edge"
10080616,10080699,4
10080616,10081124,2
10080616,10081291,1
10080616,10081341,2
10080699,10081341,1
10081124,10081341,2
10080660,10081483,1
10081124,10081483,1
10080616,10081501,1
10080616,10081511,1
10080660,10081511,2
10081291,10081511,2
10080616,10081545,2
10080660,10081545,1
10080699,10081545,1
10081124,10081545,1
10081501,10081545,1
10080616,10081590,1
10081291,10081590,1
10081483,10081590,3
10081501,10081590,1
10081511,10081590,1
10080616,10085220,4
10080699,10085220,2
10081124,10085220,2
10081291,10085220,1
10081341,10085220,2
10081501,10085220,2
10081545,10085220,2
10081124,10088566,1
10081291,10088566,1
10081483,10088566,1
10081501,10088566,1
10081545,10088566,2
10085220,10088566,1
10080616,10089649,3
10080699,10089649,2
10081124,10089649,2
10081291,10089649,1
10081341,10089649,2
10081545,10089649,2
10085220,10089649,3
10088566,10089649,1
10081291,10089873,1
10081511,10089873,2
10080616,10090543,3
10081124,10090543,2
10081341,10090543,2
10081511,10090543,2
10081590,10090543,1
10085220,10090543,2
10089649,10090543,2
10081341,10092094,1
10081501,10092094,1
10081511,10092094,1
10089873,10092094,1
10090543,10092094,1
10080616,10094237,1
10081124,10094237,1
10085220,10094237,1
10089649,10094237,1
10092094,10094237,1
10081124,10095991,1
10088566,10095991,1
10080616,10096062,1
10081124,10096062,1
10081341,10096062,1
10081501,10096062,2
10081545,10096062,3
10081590,10096062,1
10085220,10096062,1
10088566,10096062,1
10089873,10096062,1
10094237,10096062,1
10081124,10096297,1
10081341,10096297,1
10081501,10096297,1
10081545,10096297,1
10081590,10096297,1
10088566,10096297,1
10092094,10096297,2
10095991,10096297,2
10096062,10096297,2
10080616,10096437,1
10081124,10096437,1
10081291,10096437,1
10085220,10096437,1
10089649,10096437,1
10090543,10096437,1
10096062,10096437,1
10080616,10096518,3
10080699,10096518,1
10081124,10096518,1
10081291,10096518,1
10081341,10096518,1
10085220,10096518,1
10089649,10096518,2
10090543,10096518,2
10080616,10097038,1
10081124,10097038,1
10081291,10097038,1
10081341,10097038,1
10081483,10097038,1
10085220,10097038,1
10089649,10097038,2
10089873,10097038,1
10090543,10097038,1
10092094,10097038,1
10094237,10097038,1
10096437,10097038,1
10096518,10097038,1
10080616,10097060,2
10080699,10097060,1
10081124,10097060,2
10081291,10097060,1
10081483,10097060,2
10081545,10097060,1
10085220,10097060,1
10089649,10097060,2
10090543,10097060,1
10094237,10097060,1
10095991,10097060,1
10096518,10097060,1
10097038,10097060,1
10080616,10097575,1
10080660,10097575,1
10080699,10097575,1
10081291,10097575,1
10081341,10097575,1
10081545,10097575,2
10085220,10097575,1
10088566,10097575,1
10089649,10097575,1
10096062,10097575,2
10096297,10097575,1
10096437,10097575,1
10097038,10097575,1
10097060,10097575,1
10080616,10097721,1
10080699,10097721,1
10081124,10097721,1
10081511,10097721,1
10081545,10097721,3
10085220,10097721,1
10088566,10097721,2
10089649,10097721,1
10095991,10097721,1
10096062,10097721,2
10096297,10097721,1
10097575,10097721,1
10080699,10098329,1
10081483,10098329,1
10081545,10098329,1
10088566,10098329,1
10089649,10098329,1
10089873,10098329,1
10094237,10098329,1
10095991,10098329,2
10096062,10098329,1
10096297,10098329,2
10097038,10098329,1
10097721,10098329,1
10080616,10130436,1
10081124,10130436,2
10081483,10130436,1
10088566,10130436,2
10089649,10130436,1
10090543,10130436,1
10092094,10130436,1
10095991,10130436,1
10096062,10130436,2
10096297,10130436,1
10096437,10130436,1
10098329,10130436,1
10081291,12756,1
10081483,12756,1
10081511,12756,1
10085220,12756,1
10088566,12756,1
10089649,12756,1
10096062,12756,1
10096437,12756,1
10098329,12756,2
10080616,15907091,2
10081124,15907091,3
10081341,15907091,3
10081483,15907091,1
10081511,15907091,1
10085220,15907091,2
10088566,15907091,1
10089649,15907091,2
10090543,15907091,2
10096437,15907091,1
10096518,15907091,1
10097038,15907091,4
10097060,15907091,2
10130436,15907091,1
12756,15907091,1
10080616,1654,2
10080660,1654,2
10080699,1654,2
10081124,1654,1
10081341,1654,1
10081483,1654,2
10081511,1654,2
10081545,1654,2
10081590,1654,1
10085220,1654,2
