"node_1","node_2","edge"
4824,9382,1
19129,4128,5
19129,20708,5
4128,20708,1
19129,2108,3
4128,2108,5
18606,2108,5
3136,2108,5
4630,2108,5
4443,2108,5
19129,7225,5
4128,7225,5
20708,7225,4
2108,7225,5
898,7225,2
2108,5221,5
19129,7231,3
4128,7231,5
3136,7231,5
4443,7231,5
2108,7231,5
7225,7231,5
5221,7231,5
4128,2147,5
3136,2147,5
4443,2147,3
2108,2147,5
7225,2147,3
5221,2147,2
7231,2147,5
19129,2997,5
898,2997,1
7225,2997,5
898,243574,1
2997,243574,3
898,2351,5
20226,2351,1
898,7546,5
243574,7546,5
3136,7226,5
2108,7226,5
7231,7226,5
2147,7226,5
2108,7244,5
2351,7244,2
19129,7239,5
4128,7239,5
18606,7239,5
3136,7239,5
20708,7239,1
4630,7239,5
4443,7239,5
2108,7239,5
7225,7239,5
5221,7239,5
7231,7239,5
2147,7239,5
2997,7239,1
7226,7239,5
7244,7239,5
9382,1396,3
2108,1396,5
7239,1396,5
2108,3124,5
7239,3124,5
4128,4710,1
7225,4710,2
2351,4710,2
19129,6286,1
4128,6286,5
18606,6286,3
3136,6286,5
4443,6286,3
2108,6286,5
7225,6286,5
2147,6286,5
7226,6286,2
7244,6286,5
7239,6286,5
4710,6286,3
7225,20801,1
2351,20801,5
4825,20041,2
19129,20041,1
2997,20041,2
20226,20041,3
243574,20041,5
2351,20041,5
4710,20041,1
20801,20041,5
9382,3623,1
6286,3623,5
3136,7232,4
2108,7232,5
7231,7232,5
2147,7232,5
7226,7232,3
7239,7232,5
1396,7232,1
6286,7232,5
2108,3183,5
7231,3183,2
2147,3183,1
7239,3183,5
6286,3183,5
19129,7730,5
4128,7730,5
18606,7730,5
3136,7730,5
4630,7730,4
4443,7730,5
2108,7730,5
898,7730,2
7225,7730,5
5221,7730,5
7231,7730,5
2147,7730,5
7226,7730,5
7244,7730,1
7239,7730,5
1396,7730,5
3124,7730,4
6286,7730,4
7232,7730,5
3183,7730,5
3136,7218,1
2108,7218,5
7231,7218,5
2147,7218,5
7239,7218,5
7232,7218,4
7730,7218,5
9382,7241,3
4128,7241,5
18606,7241,5
3136,7241,5
4630,7241,5
7545,7241,5
4443,7241,5
2108,7241,5
5221,7241,5
7231,7241,5
2147,7241,5
7226,7241,5
7244,7241,5
7239,7241,5
1396,7241,5
3124,7241,5
6286,7241,5
7232,7241,5
3183,7241,5
7730,7241,5
7218,7241,5
19129,7248,3
4128,7248,5
3136,7248,5
4443,7248,5
2108,7248,5
7225,7248,5
5221,7248,5
7231,7248,5
2147,7248,5
7226,7248,5
7239,7248,5
1396,7248,1
6286,7248,5
7232,7248,5
3183,7248,4
7730,7248,5
7218,7248,5
7241,7248,5
898,9056,2
7244,9056,1
4710,9056,2
20801,9056,2
19129,7230,2
9382,7230,5
4128,7230,3
3136,7230,4
7545,7230,1
4443,7230,3
2108,7230,5
7225,7230,5
5221,7230,2
7231,7230,5
2147,7230,5
7226,7230,3
7239,7230,5
1396,7230,2
6286,7230,5
7232,7230,5
3183,7230,1
7730,7230,5
7218,7230,3
7241,7230,5
7248,7230,5
19129,6023429,2
20708,6023429,1
898,6023429,5
2997,6023429,1
243574,6023429,5
2351,6023429,5
20041,6023429,5
7730,6023429,5
19129,2288,5
4128,2288,5
18606,2288,5
3136,2288,5
20708,2288,1
4443,2288,5
2108,2288,5
7225,2288,5
5221,2288,5
7231,2288,5
2147,2288,5
2997,2288,2
7226,2288,5
7244,2288,2
7239,2288,5
1396,2288,3
3124,2288,2
6286,2288,5
7232,2288,5
3183,2288,5
7730,2288,5
7218,2288,5
7241,2288,5
7248,2288,5
7230,2288,5
18606,7107,1
3136,7107,5
4443,7107,3
2108,7107,5
5221,7107,3
7231,7107,5
2147,7107,5
7226,7107,5
7239,7107,5
1396,7107,2
3124,7107,2
6286,7107,5
7232,7107,5
3183,7107,3
7730,7107,5
7218,7107,5
7241,7107,5
7248,7107,5
7230,7107,5
2288,7107,5
243574,2983,5
2351,2983,5
20801,2983,5
20041,2983,5
7241,2983,1
6023429,2983,5
2997,6266211,1
20801,6266211,2
243574,20914,5
2351,20914,5
7546,20914,1
20801,20914,1
20041,20914,5
6023429,20914,2
2983,20914,5
6266211,20914,2
3136,18588,5
4630,18588,2
2108,18588,5
7231,18588,4
2147,18588,2
7226,18588,3
7239,18588,5
1396,18588,3
3124,18588,3
7232,18588,1
3183,18588,2
7730,18588,5
7218,18588,5
7241,18588,5
7248,18588,5
7230,18588,1
2288,18588,5
7107,18588,5
19129,7215,5
4128,7215,5
20708,7215,5
4443,7215,3
2108,7215,5
898,7215,2
7225,7215,5
5221,7215,3
7231,7215,5
2147,7215,5
2997,7215,5
7226,7215,5
7239,7215,5
4710,7215,2
20801,7215,1
3183,7215,5
7730,7215,5
7241,7215,5
7248,7215,5
7230,7215,5
2288,7215,5
7107,7215,5
18588,7215,5
4128,4092,5
2108,4092,5
7225,4092,3
7231,4092,3
2147,4092,3
7239,4092,5
6286,4092,5
7232,4092,2
7730,4092,5
7241,4092,5
7248,4092,4
7230,4092,4
2288,4092,5
7107,4092,3
7215,4092,5
3136,13,1
2108,13,5
7231,13,2
7239,13,5
7730,13,5
7241,13,5
7248,13,2
7230,13,2
6023429,13,5
2288,13,5
7107,13,3
18588,13,1
7215,13,3
18606,435,5
3136,435,5
4630,435,5
4443,435,5
2108,435,5
5221,435,5
7231,435,5
2147,435,5
7226,435,5
7244,435,5
7239,435,5
1396,435,5
3124,435,5
6286,435,5
7232,435,5
3183,435,5
7730,435,5
7218,435,5
7241,435,5
7248,435,5
7230,435,5
2288,435,5
7107,435,5
18588,435,5
7215,435,5
4092,435,5
13,435,5
19129,13191,5
4128,13191,5
18606,13191,5
3136,13191,5
20708,13191,1
4630,13191,5
4443,13191,5
2108,13191,5
7225,13191,5
5221,13191,5
7231,13191,5
2147,13191,5
