"node_1","node_2","edge"
10237026,1116,4
10237026,1194,5
10958,12302,3
10736404,12303,5
10958,12303,2
12302,12303,3
10237026,1287,5
1194,1287,4
10237026,13,3
10237026,13191,5
1194,13191,5
1287,13191,5
13,13191,1
10237026,134,3
1194,134,3
1287,134,3
13,134,3
13191,134,3
10237026,13857,5
1116,13857,2
1194,13857,2
1287,13857,4
13,13857,2
13191,13857,5
134,13857,3
10237026,1396,5
1194,1396,5
1287,1396,5
13,1396,1
13191,1396,5
134,1396,3
13857,1396,5
10237026,145,2
10958,145,2
1116,145,3
1194,145,2
1287,145,2
13,145,2
13191,145,2
13857,145,2
1396,145,2
10237026,1486,1
10736404,1486,1
10958,1486,1
1116,1486,2
134,1486,1
10237026,1511954,3
10736404,1511954,2
10958,1511954,2
12303,1511954,1
1287,1511954,1
134,1511954,3
1396,1511954,2
10237026,1702,5
1194,1702,1
1287,1702,3
13,1702,2
13191,1702,3
134,1702,3
13857,1702,3
1396,1702,3
145,1702,2
1486,1702,1
1511954,1702,2
10237026,17052,5
1116,17052,2
1194,17052,3
1287,17052,4
13,17052,2
13191,17052,4
134,17052,3
13857,17052,4
1396,17052,3
145,17052,2
1511954,17052,2
1702,17052,5
10237026,1725,5
1116,1725,4
1194,1725,4
1287,1725,5
13,1725,3
13191,1725,5
134,1725,3
13857,1725,4
1396,1725,5
145,1725,2
1486,1725,1
1702,1725,3
17052,1725,5
10237026,1758,5
1116,1758,2
1194,1758,5
1287,1758,5
13,1758,3
13191,1758,5
134,1758,3
13857,1758,5
1396,1758,5
145,1758,2
1486,1758,1
1511954,1758,3
1702,1758,5
17052,1758,5
1725,1758,5
10237026,1854,5
1116,1854,2
1194,1854,4
1287,1854,4
13,1854,4
13191,1854,4
134,1854,3
13857,1854,4
1396,1854,4
145,1854,2
1511954,1854,2
1702,1854,5
17052,1854,4
1725,1854,5
1758,1854,5
10237026,18588,5
1116,18588,1
1194,18588,2
1287,18588,2
13,18588,2
13191,18588,3
134,18588,3
13857,18588,2
1396,18588,5
145,18588,2
1702,18588,3
17052,18588,4
1725,18588,3
1758,18588,5
1854,18588,4
10237026,18606,5
1116,18606,1
1194,18606,1
1287,18606,3
13191,18606,3
134,18606,3
13857,18606,2
1396,18606,2
145,18606,2
1702,18606,1
17052,18606,2
1725,18606,3
1758,18606,5
1854,18606,4
18588,18606,2
10237026,18785,2
1116,18785,1
1194,18785,1
12303,18785,1
1287,18785,2
13191,18785,2
13857,18785,2
145,18785,2
1702,18785,1
1725,18785,2
1758,18785,2
1854,18785,2
18588,18785,2
10237026,18786,2
10958,18786,1
1116,18786,4
12303,18786,1
134,18786,2
1396,18786,2
17052,18786,2
1725,18786,1
1758,18786,2
1854,18786,2
10237026,18876,2
1116,18876,2
1194,18876,1
12303,18876,2
1287,18876,2
13191,18876,2
13857,18876,2
145,18876,2
1702,18876,2
17052,18876,1
1725,18876,2
1758,18876,2
1854,18876,2
18588,18876,2
10958,19117,2
1194,19117,2
12302,19117,1
12303,19117,4
134,19117,2
10736404,19317,1
10958,19317,3
12302,19317,3
12303,19317,2
18786,19317,1
19117,19317,2
10736404,19324,2
11031082,19324,1
12303,19324,1
10736404,19425,1
10958,19425,2
12302,19425,3
12303,19425,1
1702,19425,1
19117,19425,2
10237026,19562,1
10958,19562,2
11031082,19562,2
12302,19562,2
12303,19562,2
1287,19562,1
13,19562,1
13191,19562,1
134,19562,1
1396,19562,1
1702,19562,1
1725,19562,1
1758,19562,1
19317,19562,2
10736404,19619,2
10958,19619,3
11031082,19619,2
12303,19619,2
19317,19619,1
10736404,19887,2
10958,19887,3
12302,19887,1
12303,19887,2
1511954,19887,2
19317,19887,1
19324,19887,2
19562,19887,2
19619,19887,1
10237026,19893,2
11031082,19893,1
12302,19893,2
1287,19893,2
13,19893,2
13191,19893,2
134,19893,2
13857,19893,2
1396,19893,2
1511954,19893,1
17052,19893,2
1725,19893,2
1758,19893,2
1854,19893,2
18606,19893,2
18785,19893,2
18786,19893,1
19317,19893,1
19324,19893,1
19425,19893,1
19562,19893,2
10736404,20226,1
10958,20226,2
1396,20226,1
1486,20226,1
18785,20226,1
19117,20226,2
19324,20226,2
19425,20226,2
19562,20226,1
19887,20226,1
10237026,2034,2
10958,2034,3
1194,2034,2
12302,2034,1
1287,2034,2
13,2034,2
13191,2034,2
13857,2034,2
1396,2034,2
145,2034,2
1486,2034,1
1702,2034,2
17052,2034,2
1725,2034,2
1758,2034,2
1854,2034,2
18588,2034,2
18606,2034,2
18785,2034,2
18786,2034,2
18876,2034,2
19117,2034,1
19317,2034,1
19425,2034,2
19619,2034,3
19887,2034,1
20226,2034,2
10736404,20422,2
10958,20422,2
11031082,20422,2
145,20422,2
1511954,20422,2
19317,20422,2
19425,20422,2
19562,20422,4
19619,20422,3
10958,20557,3
12302,20557,3
12303,20557,1
145,20557,1
1511954,20557,2
18876,20557,2
19317,20557,2
19562,20557,2
19887,20557,3
19893,20557,1
2034,20557,1
20422,20557,2
10736404,20576,1
10958,20576,2
11031082,20576,2
12302,20576,1
1486,20576,1
1511954,20576,2
18785,20576,1
19117,20576,2
19425,20576,3
19619,20576,3
19887,20576,2
20226,20576,3
2034,20576,2
20557,20576,1
10237026,20708,1
10958,20708,1
1194,20708,1
1287,20708,1
13,20708,1
13191,20708,1
134,20708,1
13857,20708,1
1396,20708,1
1486,20708,1
1511954,20708,1
1702,20708,1
17052,20708,1
1725,20708,1
1758,20708,1
1854,20708,1
18588,20708,1
18606,20708,1
19117,20708,2
19562,20708,1
20226,20708,2
2034,20708,2
10958,20801,4
12302,20801,3
12303,20801,1
1511954,20801,1
1702,20801,1
19317,20801,1
19425,20801,2
19562,20801,2
19887,20801,1
19893,20801,1
20226,20801,2
2034,20801,2
20422,20801,2
20557,20801,1
20576,20801,2
10237026,20807,1
10736404,20807,2
10958,20807,3
1194,20807,1
12302,20807,1
12303,20807,2
1287,20807,1
