"node_1","node_2","edge"
6163,7139,2
6163,1724,2
7139,1724,5
20223,7883401,5
6163,7145,3
7139,7145,5
1724,7145,4
20223,4827,1
7883401,4827,1
3415,13052,1
1724,2675,5
6163,207,5
7139,207,5
1724,207,5
7145,207,4
6163,2218,2
1724,2218,5
207,2218,2
7139,17298,5
18260,17298,1
7145,17298,1
21432,17298,1
6163,7142,2
7139,7142,2
7145,7142,3
3415,7142,5
20223,40588514,3
13052,40588514,5
2675,40588514,5
7139,3248,5
1724,3248,3
7145,3248,3
21432,3248,1
207,3248,2
17298,3248,1
6163,13053,5
1724,13053,2
207,13053,3
7139,7144,1
7145,7144,2
21432,7144,4
207,7144,2
20223,7917405,5
40588514,7917405,5
7139,13171,1
3415,13171,1
17298,13171,1
7139,13040,5
1724,13040,5
7145,13040,2
17298,13040,5
3248,13040,2
13171,13040,3
20223,650,5
7883401,650,2
4827,650,3
7917405,650,5
13171,18972,1
13040,18972,5
20223,7883163,5
7883401,7883163,5
4827,7883163,3
13052,7883163,5
40588514,7883163,5
7917405,7883163,5
650,7883163,5
20223,7901352,3
4827,7901352,5
13052,7901352,5
40588514,7901352,5
7917405,7901352,5
650,7901352,5
7883163,7901352,5
20223,7913355,5
7883401,7913355,5
4827,7913355,4
13052,7913355,3
40588514,7913355,5
7917405,7913355,4
650,7913355,5
7883163,7913355,5
7901352,7913355,5
6163,5659,1
7139,5659,2
18260,5659,2
17298,5659,1
3248,5659,1
207,18983,1
13053,18983,5
5659,18983,2
20223,19520,5
7883401,19520,5
4827,19520,3
650,19520,5
7883163,19520,5
7901352,19520,3
7913355,19520,5
20223,7897046,5
7883401,7897046,5
4827,7897046,5
13052,7897046,5
650,7897046,5
7883163,7897046,5
7901352,7897046,5
7913355,7897046,5
19520,7897046,5
18260,7884279,5
3415,7884279,5
7142,7884279,2
13171,7884279,3
7139,2795,2
1724,2795,3
207,2795,2
3248,2795,5
13053,2795,5
13040,2795,1
5659,2795,1
18983,2795,1
7139,8557,5
1724,8557,5
7145,8557,3
3415,8557,2
207,8557,4
17298,8557,1
3248,8557,5
13053,8557,3
13171,8557,1
13040,8557,5
18972,8557,3
5659,8557,1
2795,8557,5
18260,12302,5
17298,12302,5
5659,12302,3
18983,12302,2
7884279,12302,3
7139,1408,5
1724,1408,5
7145,1408,5
207,1408,4
17298,1408,3
3248,1408,5
13171,1408,2
13040,1408,5
5659,1408,2
2795,1408,5
8557,1408,5
6163,7896630,3
7139,7896630,5
1724,7896630,5
7145,7896630,5
2675,7896630,1
207,7896630,3
2218,7896630,4
17298,7896630,2
3248,7896630,1
13053,7896630,2
13040,7896630,3
8557,7896630,5
1408,7896630,3
6163,2147,3
7139,2147,5
1724,2147,3
7145,2147,2
207,2147,3
17298,2147,1
7142,2147,2
8557,2147,1
1408,2147,2
7896630,2147,2
7139,13045,1
1724,13045,1
21432,13045,5
13053,13045,1
7144,13045,2
13040,13045,2
7884279,13045,1
8557,13045,1
1408,13045,1
7139,1116,2
1724,1116,1
18260,1116,1
7145,1116,4
21432,1116,5
17298,1116,5
3248,1116,5
7144,1116,5
7897046,1116,2
2795,1116,4
8557,1116,2
12302,1116,5
1408,1116,5
2147,1116,1
13045,1116,5
18260,4826,5
21432,4826,2
17298,4826,5
12302,4826,5
1116,4826,5
7145,7313,1
13052,7313,1
21432,7313,5
2218,7313,1
17298,7313,3
3248,7313,1
7144,7313,3
2795,7313,1
12302,7313,3
1408,7313,2
2147,7313,1
13045,7313,2
1116,7313,5
4826,7313,5
18260,7933846,5
7145,7933846,2
21432,7933846,5
17298,7933846,5
7144,7933846,5
13171,7933846,2
13040,7933846,5
12302,7933846,5
1408,7933846,1
13045,7933846,4
1116,7933846,5
4826,7933846,5
7313,7933846,5
7139,1233,5
7145,1233,5
2675,1233,3
21432,1233,3
207,1233,2
7142,1233,4
3248,1233,5
7144,1233,4
2795,1233,5
8557,1233,5
1408,1233,5
2147,1233,1
1116,1233,5
7313,1233,4
6163,6324,1
7139,6324,5
7145,6324,3
3415,6324,5
207,6324,2
7142,6324,5
3248,6324,1
7144,6324,2
7884279,6324,3
8557,6324,3
1408,6324,2
7896630,6324,1
2147,6324,2
1233,6324,5
7139,7141,5
1724,7141,2
7145,7141,4
207,7141,3
17298,7141,1
3248,7141,3
7144,7141,1
2795,7141,1
8557,7141,1
1408,7141,3
7896630,7141,1
2147,7141,1
1116,7141,1
1233,7141,5
6324,7141,3
20223,780,2
7883401,780,1
4827,780,4
40588514,780,5
7883163,780,5
7901352,780,5
7913355,780,5
19520,780,1
7897046,780,3
21432,7900647,2
7142,7900647,3
7896630,7900647,2
6324,7900647,5
20223,20140,5
7883401,20140,1
3415,20140,5
4827,20140,4
7917405,20140,1
650,20140,5
7883163,20140,5
7901352,20140,3
7913355,20140,5
19520,20140,4
7897046,20140,5
7139,13049,5
7145,13049,1
21432,13049,1
207,13049,2
17298,13049,1
3248,13049,5
13040,13049,2
2795,13049,5
8557,13049,5
1408,13049,5
1116,13049,5
7313,13049,1
7933846,13049,1
1233,13049,5
7141,13049,4
20223,7965189,5
13052,7965189,5
7883163,7965189,5
7913355,7965189,1
19520,7965189,1
7897046,7965189,5
20140,7965189,4
21432,18924,3
17298,18924,2
7144,18924,2
13045,18924,1
1116,18924,5
7313,18924,3
7933846,18924,5
7900647,18924,2
7139,40615669,5
1724,40615669,1
7145,40615669,2
207,40615669,2
17298,40615669,5
7142,40615669,2
3248,40615669,3
7144,40615669,1
13040,40615669,5
5659,40615669,1
8557,40615669,5
1408,40615669,2
7896630,40615669,5
2147,40615669,4
13045,40615669,1
7933846,40615669,1
1233,40615669,5
6324,40615669,5
7141,40615669,2
13049,40615669,3
18924,40615669,1
1724,695,4
3415,695,3
207,695,2
2218,695,1
13053,695,5
2795,695,5
8557,695,2
13045,695,4
7139,5633,1
18260,5633,5
21432,5633,5
17298,5633,5
3248,5633,3
13040,5633,1
5659,5633,1
12302,5633,5
1408,5633,3
1116,5633,5
4826,5633,5
7313,5633,5
7933846,5633,5
13049,5633,1
18924,5633,1
7139,6103,5
1724,6103,1
207,6103,1
17298,6103,5
3248,6103,3
13040,6103,5
18983,6103,1
8557,6103,3
12302,6103,1
1408,6103,3
7933846,6103,1
18924,6103,2
40615669,6103,5
5633,6103,2
3415,27703337,1
18972,27703337,5
8557,27703337,1
695,27703337,1
6163,16284,5
7139,16284,4
1724,16284,5
7145,16284,4
2675,16284,2
207,16284,2
2218,16284,2
17298,16284,5
13053,16284,2
13171,16284,2
5659,16284,1
8557,16284,5
1408,16284,5
7896630,16284,5
2147,16284,1
1233,16284,5
6324,16284,1
7141,16284,3
6103,16284,1
