"node_1","node_2","edge"
7144,15861,2
7144,13047,5
7144,18924,1
13047,18924,1
13047,7885662,1
15861,1724,5
18924,958,1
1724,958,1
7144,7145,2
15861,7145,5
18924,7145,1
1724,7145,2
17174,7145,3
958,7145,1
7144,15888,3
13047,15888,5
1724,15888,1
7145,15888,1
7145,13042,2
15861,3415,4
1724,3415,2
7145,3415,5
13042,13052,3
3415,13052,2
7145,20223,1
15861,8557,1
13047,8557,1
18924,8557,1
7885662,8557,4
1724,8557,3
7145,8557,3
15888,8557,2
13042,8557,1
7145,19520,3
13042,19520,3
13052,19520,4
20223,19520,3
8557,19520,2
8557,1758,1
7144,7139,3
15861,7139,5
13047,7139,1
18924,7139,1
1724,7139,3
7145,7139,5
15888,7139,1
3415,7139,2
13052,7139,1
8557,7139,1
8557,7141,2
13047,7885550,1
7885662,7885550,5
1724,7885550,1
8557,7885550,5
1758,7885550,1
7141,7885550,1
15888,281,1
13042,281,1
8557,281,1
15861,7892503,2
3415,7892503,1
7139,7892503,1
1724,541,2
3415,541,2
8557,541,1
15861,1408,4
1724,1408,2
7145,1408,1
8557,1408,1
7139,1408,3
7144,13607267,1
15861,13607267,2
7139,13607267,1
15861,2675,3
18924,2675,1
1724,2675,1
8557,2675,3
19520,2675,1
7139,2675,2
7885550,2675,1
1408,2675,1
15861,4265,2
1724,4265,1
1758,4265,1
2675,4265,1
1724,15185,1
15861,13811867,3
18924,13811867,1
7885662,13811867,4
1724,13811867,5
958,13811867,5
3415,13811867,1
8557,13811867,5
1758,13811867,5
7139,13811867,1
7141,13811867,5
7885550,13811867,5
281,13811867,5
7892503,13811867,1
541,13811867,2
1408,13811867,2
2675,13811867,5
4265,13811867,5
15185,13811867,5
15888,5659,2
15185,5659,2
13811867,5659,3
15861,9181,1
1724,9181,2
8557,9181,3
1758,9181,2
7139,9181,1
7141,9181,2
7892503,9181,2
2675,9181,3
4265,9181,2
13811867,9181,5
13047,13044,5
18924,13044,3
7885662,13044,3
1724,13044,2
8557,13044,5
7139,13044,1
7885550,13044,5
1408,13044,2
2675,13044,3
13811867,13044,4
9181,13044,1
15861,7066,1
1724,7066,1
8557,7066,2
7139,7066,1
2675,7066,2
15185,7066,2
13811867,7066,5
9181,7066,2
13044,7066,1
15185,18981,1
13811867,18981,5
13047,435,1
7885662,435,3
1724,435,2
8557,435,2
7885550,435,3
13811867,435,2
13044,435,5
7144,9048,2
13047,9048,5
18924,9048,4
7885662,9048,5
8557,9048,1
7885550,9048,5
1408,9048,1
2675,9048,2
13044,9048,5
435,9048,4
13607267,17009796,1
13811867,17009796,2
9048,17009796,1
17174,20140,1
7145,20140,1
3415,20140,1
20223,20140,5
20223,24856187,4
17009796,24856187,5
20140,24856187,5
7144,13897,4
15861,13897,3
7139,13897,1
7892503,13897,1
13607267,13897,4
9181,13897,1
7066,13897,2
7139,26354560,1
13811867,26354560,1
7066,26354560,1
18981,26354560,5
13042,19466171,1
19520,19466171,2
8557,1396,2
19520,1396,1
1758,1396,2
2675,1396,2
13811867,1396,5
9181,1396,3
19466171,1396,2
13044,21432,2
9048,21432,2
15861,7886337,1
1724,7886337,1
3415,7886337,2
8557,7886337,2
19520,7886337,5
541,7886337,3
1408,7886337,3
2675,7886337,2
13044,7886337,2
26354560,7886337,2
19466171,7886337,2
1396,7886337,3
21432,7886337,3
1724,7913723,5
2695,7913723,1
7144,17009961,3
1724,17009961,1
15888,17009961,2
4265,17009961,3
15185,17009961,2
13811867,17009961,5
5659,17009961,1
26354560,17009961,1
21432,17009961,2
