"node_1","node_2","edge"
20224,4077,2
20224,13154,5
4077,13154,5
4077,3852,5
13154,3852,5
20224,3615,5
4077,3615,5
13154,3615,5
3852,3615,5
20224,2710,5
4077,2710,5
13154,2710,5
3852,2710,5
3615,2710,5
31606078,2640296,5
20224,15149,5
4077,15149,5
3852,15149,5
3615,15149,5
20446,15149,5
2710,15149,5
4077,4052,5
13154,4052,5
3852,4052,1
3615,4052,5
2710,4052,5
4077,3112,5
13154,3112,5
3852,3112,5
3615,3112,5
2710,3112,5
15149,3112,1
4052,3112,5
15149,4709,5
20224,773,5
4077,773,5
13154,773,5
3852,773,5
3615,773,5
2710,773,5
4052,773,5
3112,773,5
20224,4410,5
4077,4410,5
3852,4410,5
3615,4410,5
20446,4410,5
2710,4410,5
15149,4410,5
3476,4410,3
4709,4410,5
4077,4764,5
13154,4764,5
3852,4764,5
3615,4764,5
2710,4764,5
15149,4764,5
3112,4764,5
773,4764,5
4410,4764,5
20224,2593495,5
4077,2593495,5
3852,2593495,5
3615,2593495,5
20446,2593495,4
2710,2593495,5
15149,2593495,5
4709,2593495,5
4410,2593495,5
4764,2593495,5
4077,2046,5
13154,2046,5
3852,2046,5
3615,2046,5
2710,2046,5
15149,2046,5
4052,2046,5
3112,2046,5
773,2046,5
4410,2046,5
4764,2046,5
2593495,2046,5
4077,259,5
13154,259,5
3852,259,5
3615,259,5
2710,259,5
15149,259,5
3112,259,5
773,259,5
4410,259,5
4764,259,5
2593495,259,5
2046,259,5
20224,864506,5
4077,864506,5
13154,864506,5
3852,864506,5
3615,864506,5
2710,864506,5
15149,864506,5
4052,864506,5
3112,864506,5
773,864506,5
4410,864506,5
4764,864506,5
2593495,864506,5
2046,864506,5
259,864506,5
4077,20905,5
3852,20905,5
3615,20905,5
2710,20905,5
15149,20905,5
4410,20905,5
4764,20905,5
2593495,20905,5
2046,20905,1
259,20905,5
864506,20905,5
13154,4441,5
3615,4441,3
2710,4441,5
15149,4441,5
773,4441,5
4410,4441,5
2593495,4441,4
864506,4441,5
20224,799869,5
4077,799869,5
3852,799869,5
3615,799869,5
20446,799869,3
2710,799869,5
15149,799869,5
4709,799869,5
4410,799869,5
4764,799869,5
2593495,799869,5
2046,799869,5
259,799869,5
864506,799869,5
20905,799869,5
4441,799869,5
