"node_1","node_2","edge"
10133,1043,3
10133,1071,2
1043,1071,5
10133,10746294,5
1043,10746294,5
1071,10746294,3
1043,1087,5
1071,1087,1
10133,10894,2
1043,10894,5
1071,10894,5
10746294,10894,5
1087,10894,2
10133,10908,1
1043,10908,5
1071,10908,5
10746294,10908,2
10894,10908,5
1087,11022,3
10133,11155,1
1043,11155,5
1071,11155,5
10746294,11155,3
1087,11155,2
10894,11155,5
10908,11155,5
10908,1116,5
10133,1121,3
1043,1121,5
1071,1121,5
10746294,1121,5
1087,1121,3
10894,1121,5
10908,1121,5
11155,1121,5
11022,1147,2
1116,1147,2
1087,11912,5
10133,1194,1
1043,1194,5
1071,1194,5
10746294,1194,4
10894,1194,5
10908,1194,5
11155,1194,5
1121,1194,5
10133,12093591,1
1087,12093591,2
11912,12093591,3
10746294,12104,1
1087,12104,4
11912,12104,5
12093591,12104,1
10133,12424466,4
1043,12424466,5
1071,12424466,3
10746294,12424466,5
10894,12424466,5
10908,12424466,2
11022,12424466,1
11155,12424466,4
1121,12424466,5
1194,12424466,5
12093591,12424466,5
12104,12424466,4
10133,12557,3
1043,12557,5
1071,12557,5
10746294,12557,5
1087,12557,3
10894,12557,5
10908,12557,5
11155,12557,5
1121,12557,5
1194,12557,5
12424466,12557,4
10133,12637,1
1043,12637,5
1071,12637,5
10746294,12637,4
1087,12637,1
10894,12637,5
10908,12637,5
11155,12637,5
1121,12637,5
1194,12637,5
12424466,12637,4
12557,12637,5
10133,1268367,4
1043,1268367,5
1071,1268367,5
10746294,1268367,5
1087,1268367,2
10894,1268367,5
10908,1268367,5
11155,1268367,5
1121,1268367,5
1194,1268367,5
12424466,1268367,5
12557,1268367,5
12637,1268367,5
10133,1269570,5
1043,1269570,5
1071,1269570,5
10746294,1269570,1
10894,1269570,5
10908,1269570,3
11155,1269570,5
1121,1269570,5
1194,1269570,5
12093591,1269570,4
12424466,1269570,2
12557,1269570,5
12637,1269570,5
1268367,1269570,5
1043,12767,3
1087,12767,5
11022,12767,2
10133,12769,4
1043,12769,5
1071,12769,5
10746294,12769,5
1087,12769,1
10894,12769,5
10908,12769,3
11155,12769,5
1121,12769,5
1147,12769,1
1194,12769,5
12424466,12769,2
12557,12769,5
12637,12769,5
1268367,12769,5
1269570,12769,3
12767,12769,4
1043,1277,5
1071,1277,4
1087,1277,1
10894,1277,5
10908,1277,3
11155,1277,5
1121,1277,5
1194,1277,5
12424466,1277,1
12557,1277,5
12637,1277,5
1268367,1277,5
1269570,1277,1
12769,1277,3
1087,12804,2
11912,12804,5
12104,12804,3
12767,12804,5
12769,12804,3
10133,13,3
1043,13,1
1071,13,1
1087,13,2
1121,13,1
11912,13,3
12093591,13,2
12104,13,1
12424466,13,1
12557,13,1
1268367,13,1
1269570,13,1
12769,13,1
10133,13058,3
12093591,13058,5
12424466,13058,5
