"node_1","node_2","edge"
7123,7403039,5
17293,7403039,5
7403039,4442,5
4832,4053,3
4053,13300,1
7123,6266,5
4832,6266,4
17293,6266,5
7403039,6266,5
4442,6266,5
4053,6266,5
898,20803,5
13300,9514,5
4834,19926,5
20225,19926,5
7123,6977318,5
17293,6977318,5
7403039,6977318,5
4442,6977318,5
13300,6977318,3
6266,6977318,5
7403039,4070,5
6977318,4070,5
9514,7197,3
4834,6957847,3
19926,6957847,5
7180510,6957847,3
13300,528,5
9514,528,1
4070,528,2
20803,18784,1
528,18784,5
7123,5796529,5
17293,5796529,5
7403039,5796529,5
4442,5796529,5
6266,5796529,5
6977318,5796529,5
4070,5796529,5
19926,6969531,5
6957847,6969531,4
4832,6959918,5
4053,6959918,2
7469,6959918,5
6977318,6959918,4
898,20766,5
20803,20766,5
18784,20766,5
13300,12462,5
9514,12462,5
7197,12462,5
18784,12462,5
20690,12462,3
13300,6960184,5
9514,6960184,5
7197,6960184,5
18784,6960184,5
20690,6960184,1
12462,6960184,5
13300,40616064,5
9514,40616064,5
7197,40616064,5
18784,40616064,5
20690,40616064,5
12462,40616064,5
6960184,40616064,5
9514,40772573,2
4070,40772573,2
18784,40772573,2
7205,13133,1
20766,13133,4
6960184,13133,5
4834,6982895,4
20225,6982895,5
6957847,6982895,5
6969531,6982895,5
20690,6982895,5
7403039,3787,5
7180510,3787,2
6977318,3787,5
5796529,3787,5
40772573,3787,1
6982895,3787,1
4834,7067258,5
20225,7067258,2
6957847,7067258,5
6969531,7067258,5
20766,7067258,5
20690,7067258,5
7123,7042058,5
17293,7042058,5
7403039,7042058,5
4442,7042058,5
13300,7042058,5
6266,7042058,5
9514,7042058,3
6977318,7042058,5
4070,7042058,5
5796529,7042058,5
6959918,7042058,5
3787,7042058,5
6957847,7014952,1
20690,7014952,5
9514,20142,5
20628,20142,3
528,20142,2
12462,20142,5
6960184,20142,5
40616064,20142,5
6982895,20142,5
6968228,900,3
40772573,900,4
898,1739,1
20803,1739,5
19926,1739,3
7180510,1739,1
20628,1739,5
20766,1739,5
6982895,1739,2
528,6852,5
20766,6852,1
12462,6852,1
6960184,6852,5
40616064,6852,5
40772573,6852,3
7123,2710,5
7403039,2710,5
4442,2710,1
7205,2710,1
6266,2710,5
6968228,2710,5
9514,2710,5
6977318,2710,5
4070,2710,5
7197,2710,5
18784,2710,4
5796529,2710,5
12462,2710,5
6960184,2710,5
40616064,2710,5
13133,2710,5
3787,2710,4
7042058,2710,5
900,2710,4
6852,2710,5
20803,19673,3
19926,19673,5
20628,19673,3
12462,19673,5
6982895,19673,3
20628,2633,5
20690,2633,2
1739,2633,5
2710,2633,5
20803,20948,2
20628,20948,5
20766,20948,5
12462,20948,2
40616064,20948,1
1739,20948,5
19673,20948,1
2633,20948,5
7123,6609,5
17293,6609,5
7403039,6609,5
4442,6609,5
898,6609,5
6266,6609,5
6977318,6609,5
4070,6609,5
5796529,6609,5
20690,6609,5
3787,6609,5
7042058,6609,5
1739,6609,1
2710,6609,5
20948,6609,1
4834,26396456,5
6968228,26396456,5
6957847,26396456,5
6969531,26396456,5
20766,26396456,5
20690,26396456,5
7067258,26396456,5
13300,16637917,1
9514,16637917,5
7180510,16637917,5
20628,16637917,5
6957847,16637917,2
6969531,16637917,4
20142,16637917,5
1739,16637917,1
19673,16637917,5
2633,16637917,3
20948,16637917,5
20803,7183,5
6968228,7183,1
6977318,7183,2
528,7183,2
5796529,7183,3
20766,7183,5
12462,7183,4
6960184,7183,5
40616064,7183,5
40772573,7183,5
13133,7183,5
7042058,7183,4
2710,7183,5
6609,7183,3
6968228,18875,1
6977318,18875,3
528,18875,5
5796529,18875,4
7042058,18875,5
2710,18875,2
6609,18875,5
898,7066580,3
7180510,7066580,5
6957847,7066580,5
6969531,7066580,5
20690,7066580,1
7014952,7066580,5
6609,7066580,5
7403039,40616055,5
6266,40616055,1
6968228,40616055,5
7180510,40616055,3
6977318,40616055,5
5796529,40616055,5
7042058,40616055,5
2710,40616055,3
6609,40616055,5
20803,22090797,3
9514,22090797,2
20628,22090797,5
12462,22090797,5
900,22090797,1
1739,22090797,1
19673,22090797,5
20948,22090797,5
7123,6959873,5
17293,6959873,5
7403039,6959873,5
4442,6959873,5
7205,6959873,3
13300,6959873,2
6266,6959873,5
6977318,6959873,5
4070,6959873,5
5796529,6959873,5
6959918,6959873,5
6960184,6959873,5
13133,6959873,5
3787,6959873,5
7042058,6959873,5
2710,6959873,5
6609,6959873,5
