"node_1","node_2","edge"
1,10041,3
10041,10076,5
1,1025,3
1,1084,3
10041,1084,5
10076,1084,5
1025,1084,5
1,11031032,1
1,1116,5
10041,1116,3
1025,1116,5
1084,1116,5
1,11289,3
1025,11289,5
1084,11289,5
1116,11289,3
1,11410,5
11031032,11410,2
1116,11410,1
1025,11519,5
1084,11519,5
11289,11519,3
1,11879,4
10041,11879,5
10076,11879,4
1025,11879,5
1084,11879,5
11031032,11879,2
11289,11879,5
11410,11879,5
10041,11914,1
10076,11914,2
1025,11914,3
1084,11914,5
11031032,11914,1
11410,11914,5
11519,11914,5
11879,11914,3
1,1268367,3
1025,1268367,5
1084,1268367,5
1116,1268367,5
11289,1268367,5
11519,1268367,5
11879,1268367,5
11914,1268367,3
1,127,5
10076,127,2
1025,127,5
1084,127,5
11031032,127,2
1116,127,5
11289,127,5
11410,127,5
11879,127,5
11914,127,1
1268367,127,5
10041,12921,5
10076,12921,5
1084,12921,5
11879,12921,5
11914,12921,3
10041,12922,5
10076,12922,5
1084,12922,5
11879,12922,5
11914,12922,5
12921,12922,5
1,130,1
1025,130,5
1084,130,5
11289,130,5
11410,130,2
11879,130,2
11914,130,2
1268367,130,5
127,130,5
1,13065,5
10041,13065,1
1,1309,3
10041,1309,5
10076,1309,5
1084,1309,5
11031032,1309,4
11410,1309,5
11879,1309,5
11914,1309,5
127,1309,5
12921,1309,5
12922,1309,5
1,13123,4
10041,13123,5
11031032,13123,1
1116,13123,5
11410,13123,5
11879,13123,1
11914,13123,1
1309,13123,3
10041,13124,1
10076,13124,1
1025,13124,5
1084,13124,5
11519,13124,5
11879,13124,2
11914,13124,3
1268367,13124,5
12921,13124,5
12922,13124,5
13065,13124,4
1309,13124,2
1,13125,5
10041,13125,2
1025,13125,5
1084,13125,4
11031032,13125,1
1116,13125,3
11410,13125,4
11519,13125,5
11879,13125,1
11914,13125,4
1268367,13125,5
127,13125,1
13065,13125,5
1309,13125,2
13123,13125,2
13124,13125,5
1,13126,4
10041,13126,5
10076,13126,3
1025,13126,5
1084,13126,5
1116,13126,5
11289,13126,1
11410,13126,2
11519,13126,2
11879,13126,5
11914,13126,5
1268367,13126,5
127,13126,5
12921,13126,5
12922,13126,5
130,13126,1
1309,13126,5
13123,13126,4
13124,13126,3
13125,13126,4
10041,13127,1
10076,13127,4
1025,13127,2
1084,13127,5
11289,13127,1
11879,13127,4
1268367,13127,3
127,13127,3
12921,13127,5
12922,13127,5
1309,13127,3
13126,13127,2
1,13130,5
1025,13130,5
1084,13130,5
1116,13130,3
11289,13130,5
11410,13130,2
11879,13130,5
11914,13130,1
1268367,13130,5
127,13130,5
130,13130,4
13065,13130,2
1309,13130,3
13126,13130,5
1,13131,3
10041,13131,1
11031032,13131,4
11410,13131,5
11879,13131,5
11914,13131,5
127,13131,4
1309,13131,5
13123,13131,5
13125,13131,5
13126,13131,1
13130,13131,1
1,13133,3
1025,13133,5
1084,13133,5
1116,13133,1
11289,13133,5
11879,13133,5
1268367,13133,5
127,13133,5
130,13133,1
13065,13133,4
13126,13133,1
13130,13133,5
1,13136,2
10041,13136,5
10076,13136,5
1025,13136,5
1084,13136,5
11289,13136,5
11879,13136,5
1268367,13136,5
127,13136,5
12921,13136,5
12922,13136,5
130,13136,3
13065,13136,5
1309,13136,5
13124,13136,4
13126,13136,5
13127,13136,5
13130,13136,5
13133,13136,5
1,13137,2
10041,13137,1
10076,13137,2
1025,13137,5
1084,13137,5
1116,13137,1
11289,13137,5
11410,13137,3
11879,13137,5
11914,13137,2
1268367,13137,5
127,13137,5
12921,13137,5
12922,13137,5
130,13137,3
1309,13137,4
13126,13137,5
13127,13137,2
13130,13137,5
13131,13137,3
13133,13137,5
13136,13137,5
1,13139,5
10076,13139,2
1025,13139,5
1084,13139,5
1116,13139,5
11289,13139,5
11410,13139,4
11519,13139,2
11879,13139,5
11914,13139,1
1268367,13139,5
127,13139,5
130,13139,5
13125,13139,2
13126,13139,3
13127,13139,1
13130,13139,5
13131,13139,5
13133,13139,5
13136,13139,5
13137,13139,5
10076,13140,5
127,13140,3
13065,13140,5
13124,13140,1
13125,13140,1
13130,13140,1
13133,13140,5
13136,13140,5
1,13141,5
10041,13141,5
10076,13141,5
1025,13141,5
1084,13141,5
1116,13141,2
11289,13141,5
11410,13141,2
11879,13141,5
11914,13141,2
1268367,13141,5
127,13141,5
12921,13141,5
12922,13141,5
130,13141,5
1309,13141,5
13124,13141,3
13126,13141,5
13127,13141,5
13130,13141,5
13133,13141,5
13136,13141,5
13137,13141,5
13139,13141,5
1,13143,1
10041,13143,4
10076,13143,3
1084,13143,5
1116,13143,1
11289,13143,1
11410,13143,3
11879,13143,3
12921,13143,5
12922,13143,5
1309,13143,3
13123,13143,3
13126,13143,3
13127,13143,1
13131,13143,5
13136,13143,5
13137,13143,4
13139,13143,2
13141,13143,5
13143,13300,1
1,14,5
10041,14,4
1025,14,5
1084,14,4
1116,14,5
11289,14,1
11410,14,5
11519,14,2
11879,14,2
11914,14,2
1268367,14,5
127,14,5
13065,14,3
1309,14,1
13123,14,5
13125,14,5
13126,14,5
13130,14,3
13131,14,5
13137,14,1
13139,14,4
13141,14,1
13143,14,1
1,14196,1
1025,14196,5
1084,14196,5
1116,14196,2
11289,14196,5
11519,14196,5
11879,14196,1
11914,14196,5
1268367,14196,5
127,14196,5
13124,14196,5
13125,14196,3
13126,14196,3
13130,14196,5
13133,14196,2
13136,14196,4
13137,14196,3
13139,14196,5
13141,14196,3
14,14196,2
10041,14493,5
10076,14493,5
1025,14493,1
1084,14493,5
1116,14493,5
11879,14493,3
11914,14493,1
1268367,14493,1
12921,14493,5
12922,14493,5
13065,14493,1
1309,14493,4
13123,14493,5
13124,14493,2
13126,14493,5
13127,14493,1
13131,14493,2
13136,14493,5
13137,14493,2
13141,14493,5
13143,14493,4
14,14493,5
1,145,2
10041,145,1
10076,145,3
1025,145,5
1084,145,5
1116,145,2
