"node_1","node_2","edge"
4838,8779923,5
10435,7964,5
10435,1933752,5
7964,1933752,5
10435,7065,5
7964,7065,2
20709,7065,3
10435,7358,5
7964,7358,5
1933752,7358,5
7065,7358,3
8779923,8836262,5
4838,4412,5
8779923,4412,3
10435,4412,5
7964,4412,1
1933752,4412,5
7065,4412,5
7358,4412,5
4412,8876046,1
4840,20230,5
20709,20230,5
4838,8810380,5
4412,8810380,5
4840,7357,5
10435,7357,5
7964,7357,2
1933752,7357,5
20709,7357,2
7065,7357,5
7358,7357,5
4412,7357,5
20230,7357,5
20230,40625967,2
7964,7378,2
20709,7378,5
7065,7378,1
7358,7378,4
20230,7378,5
7357,7378,5
10435,132,3
7964,132,3
20709,780,4
20709,6969,5
20230,6969,5
7378,6969,2
780,6969,3
10435,7359,5
7964,7359,2
1933752,7359,1
8836262,7359,1
4412,7359,5
7357,7359,5
10435,7347,5
7964,7347,5
1933752,7347,5
20709,7347,1
7065,7347,5
7358,7347,5
4412,7347,5
7357,7347,5
132,7347,1
7359,7347,5
10435,1457,5
7964,1457,5
1933752,1457,5
7358,1457,2
4412,1457,5
8876046,1457,2
8810380,1457,5
7357,1457,5
7359,1457,1
7347,1457,5
19780,8885721,5
10435,7354,5
7964,7354,5
7065,7354,5
7358,7354,3
4412,7354,3
7357,7354,5
132,7354,1
7359,7354,1
7347,7354,5
1933752,8885396,5
20709,8885396,4
7358,8885396,1
20230,8885396,5
7357,8885396,3
7378,8885396,5
6969,8885396,5
7347,8885396,2
8885721,8885396,1
10435,7366,5
7964,7366,5
1933752,7366,5
7065,7366,3
7358,7366,5
4412,7366,5
7357,7366,5
132,7366,3
7359,7366,5
7347,7366,5
1457,7366,4
7354,7366,4
8885396,7366,1
10435,7375,5
7964,7375,5
7358,7375,1
4412,7375,5
7357,7375,5
7347,7375,4
1457,7375,1
7366,7375,3
7964,8482,5
7065,8482,3
7358,8482,3
4412,8482,2
7357,8482,3
1457,8482,1
7354,8482,5
7366,8482,3
