"node_1","node_2","edge"
13359,1457,5
13359,17306,5
1457,17306,5
19743,20144,5
19743,20594,5
20144,20594,5
19743,21140,5
20144,21140,5
20594,21140,5
19743,8787467,3
20144,8787467,5
20594,8787467,5
19743,8840365,5
20144,8840365,5
20594,8840365,5
21140,8840365,5
1457,724,3
17306,724,2
13359,6458,5
13359,7347,5
19743,7347,1
13359,7357,5
7347,7357,1
13359,7366,5
1457,7366,5
17306,7366,5
6458,7366,2
13359,15886,5
13359,28138590,2
1457,28138590,3
17306,28138590,1
724,28138590,5
13359,33,5
15886,33,5
13359,2142,5
15886,2142,5
33,2142,5
13359,3827368,5
1457,3827368,5
17306,3827368,4
7366,3827368,2
28138590,3827368,1
2142,3827368,3
13359,259,5
17306,259,1
19743,259,1
6458,259,5
7347,259,5
7366,259,5
2142,259,1
3827368,259,1
19743,7065,5
20144,7065,3
20594,7065,4
8787467,7065,3
19743,8778138,5
20144,8778138,5
20594,8778138,5
21140,8778138,5
8787467,8778138,2
8840365,8778138,5
7065,8778138,1
19743,26832372,3
20144,26832372,2
20594,26832372,1
21140,26832372,5
8787467,26832372,2
8840365,26832372,5
8778138,26832372,1
13359,246,5
17306,246,1
7366,246,1
13359,541,5
1457,541,3
17306,541,4
7366,541,4
246,541,1
13359,1287,5
3827368,1287,2
13359,6095,5
1457,6095,5
17306,6095,5
13359,7343,5
1457,7343,1
541,7343,1
13359,7348,5
259,7348,2
13359,7349,5
7366,7349,1
259,7349,1
13359,7354,5
7366,7354,1
3827368,7354,4
259,7354,1
13359,7370,5
13359,9484,5
6458,9484,1
259,9484,2
13359,18611,5
7366,18611,1
13359,18787,5
17306,18787,1
7366,18787,3
259,18787,3
13359,4157991,4
3827368,4157991,2
7354,4157991,2
13359,11953972,3
13359,26826647,5
1457,26826647,3
17306,26826647,4
6458,26826647,5
7347,26826647,3
7357,26826647,3
7366,26826647,5
15886,26826647,5
28138590,26826647,5
33,26826647,5
2142,26826647,5
3827368,26826647,5
259,26826647,4
246,26826647,2
541,26826647,5
1287,26826647,5
7343,26826647,5
7348,26826647,5
7349,26826647,4
7354,26826647,5
7370,26826647,3
9484,26826647,5
18611,26826647,4
18787,26826647,2
4157991,26826647,1
11953972,26826647,5
19743,19871,5
20144,19871,5
20594,19871,5
21140,19871,3
8840365,19871,5
7065,19871,2
8778138,19871,5
13359,132,5
26826647,132,5
13359,372,5
6458,372,1
7366,372,1
259,372,3
6095,372,2
7354,372,1
13359,1087,5
21140,1087,1
6458,1087,3
7366,1087,1
259,1087,4
246,1087,1
541,1087,1
1287,1087,1
6095,1087,1
7343,1087,3
7348,1087,1
9484,1087,1
26826647,1087,3
372,1087,2
13359,2446,5
3827368,2446,2
259,2446,1
7354,2446,3
4157991,2446,1
13359,3840,5
259,3840,2
13359,5232,5
19743,5232,2
259,5232,1
26826647,5232,5
13359,6870,5
13359,7358,5
26826647,7358,5
1087,7358,1
13359,7362,5
7366,7362,2
3827368,7362,1
259,7362,2
26826647,7362,1
1087,7362,1
13359,7374,3
1457,7374,2
17306,7374,2
3827368,7374,1
13359,8313,5
259,8313,2
26826647,8313,2
1087,8313,1
13359,13356,5
1457,13356,1
17306,13356,2
26826647,13356,1
13359,18652,5
6458,18652,1
259,18652,2
26826647,18652,3
1087,18652,2
15886,18788,5
33,18788,3
2142,18788,3
13359,1933752,5
259,1933752,2
26826647,1933752,1
1087,1933752,1
13359,8774869,5
15886,8774869,5
33,8774869,3
26826647,8774869,5
18788,8774869,5
13359,8856333,5
3827368,8856333,3
1287,8856333,4
26826647,8856333,5
13359,11410,5
19743,11410,4
3827368,11410,1
259,11410,3
19743,8778264,2
8787467,8778264,1
15886,8778264,5
33,8778264,3
2142,8778264,5
259,8778264,1
7065,8778264,1
26832372,8778264,2
18788,8778264,5
1933752,8778264,1
8774869,8778264,2
26832372,18279,1
13359,8824122,5
15886,8824122,2
259,8824122,2
26832372,8824122,2
18788,8824122,3
1933752,8824122,1
8778264,8824122,2
19743,8821544,5
20144,8821544,5
20594,8821544,5
21140,8821544,5
8787467,8821544,5
8840365,8821544,5
7347,8821544,5
7357,8821544,5
259,8821544,5
7065,8821544,5
8778138,8821544,5
9484,8821544,1
18787,8821544,2
19871,8821544,5
1087,8821544,5
5232,8821544,5
7358,8821544,1
1933752,8821544,5
11410,8821544,5
8778264,8821544,3
18279,8821544,1
1457,4836,5
17306,4836,5
724,4836,5
11953972,4836,1
7374,4836,5
13356,4836,2
8856333,4836,5
19743,4840,5
20144,4840,5
20594,4840,5
