"node_1","node_2","edge"
4842,20690,2
898,20690,4
898,581,2
20690,581,4
7414,581,1
13416,581,2
581,7403,3
4841,21140,5
898,21140,5
20690,21140,5
898,585385,4
581,7419,3
4842,7408,5
20690,7408,5
7403,7408,3
581,18878,1
898,9218497,5
20690,9218497,5
581,9218497,5
7403,9218497,5
585385,9218497,3
18878,9218497,5
20690,19661,3
581,19661,4
585385,19661,5
9218497,19661,5
4842,20808,5
20690,20808,5
581,20808,1
7408,20808,4
9218497,20808,5
7404,7400,4
581,7400,2
19661,9151634,5
20808,9151634,1
7400,9151634,1
4842,19738,5
20690,19738,5
581,19738,1
585385,19738,5
9218497,19738,5
19661,19738,5
20808,19738,4
585385,9161131,5
9218497,9161131,5
19661,9161131,5
19738,9161131,5
4842,650,5
898,650,2
581,650,1
4841,2633,1
898,2633,3
20690,2633,5
21140,2633,5
9218497,2633,5
7400,5237,1
7419,7055700,3
581,7412,1
7055700,7412,1
7404,9161793,2
898,9161793,5
7414,9161793,2
581,9161793,5
7403,9161793,1
7419,9161793,3
18878,9161793,1
7400,9161793,3
7410,9161793,2
7412,9161793,2
21140,589,2
2633,589,5
7055700,589,5
7404,1543,5
3184,1543,3
7402,1543,1
7414,1543,5
13416,1543,2
7408,1543,2
7400,1543,4
7410,1543,5
5237,1543,5
898,20598,5
20690,20598,5
581,20598,5
7403,20598,1
585385,20598,5
18878,20598,1
9218497,20598,5
19661,20598,4
19738,20598,5
9161131,20598,5
650,20598,5
2633,20598,3
7404,2710,1
3184,2710,1
7414,2710,1
581,2710,5
7403,2710,5
7408,2710,1
18878,2710,3
9218497,2710,5
7410,2710,1
5237,2710,3
7412,2710,1
589,2710,2
7404,61441,1
898,61441,2
581,61441,3
9218497,61441,5
20808,61441,2
2633,61441,3
5237,61441,3
7055700,61441,5
7412,61441,2
589,61441,5
2710,61441,5
7404,9237902,2
898,9237902,5
3184,9237902,2
7402,9237902,3
7414,9237902,4
13416,9237902,5
581,9237902,5
7403,9237902,5
18878,9237902,5
9218497,9237902,5
20808,9237902,5
7400,9237902,5
7410,9237902,2
650,9237902,4
2633,9237902,3
7412,9237902,1
589,9237902,2
20598,9237902,5
2710,9237902,5
61441,9237902,5
4841,7417,5
20690,7417,5
21140,7417,5
9218497,7417,2
19738,7417,1
2633,7417,5
7055700,7417,5
9161793,7417,1
589,7417,4
4841,1739,5
898,1739,5
20690,1739,2
21140,1739,5
7408,1739,4
9218497,1739,1
19661,1739,4
20808,1739,1
9151634,1739,3
2633,1739,5
7412,1739,1
7417,1739,4
4841,2021,5
898,2021,5
21140,2021,5
2633,2021,5
7055700,2021,3
7412,2021,3
589,2021,5
7417,2021,3
1739,2021,5
4841,3412,5
898,3412,5
21140,3412,5
7055700,3412,5
7412,3412,1
589,3412,5
61441,3412,1
7417,3412,2
1739,3412,5
2021,3412,5
7404,9208334,3
581,9208334,5
18878,9208334,1
7400,9208334,5
650,9208334,4
4842,1020,5
20231,1020,1
20690,1020,5
7408,1020,5
9218497,1020,2
20808,1020,2
650,1020,5
20598,1020,4
1739,1020,5
4842,9205486,5
7404,9205486,2
581,9205486,5
7419,9205486,1
19661,9205486,1
7400,9205486,4
7055700,9205486,5
7412,9205486,1
20598,9205486,5
7417,9205486,5
1739,9205486,1
3412,9205486,3
1543,9247604,3
9237902,9247604,1
9205486,9247604,2
21140,9204332,3
2710,9204332,1
9237902,9204332,1
4842,7420,1
4841,7420,5
7419,7420,1
2633,7420,1
7055700,7420,2
7412,7420,3
7417,7420,5
1739,7420,5
2021,7420,5
1020,7420,5
9205486,7420,5
4842,12904,5
581,12904,1
7408,12904,4
9218497,12904,2
7055700,12904,5
589,12904,5
2710,12904,4
61441,12904,2
9237902,12904,4
3412,12904,1
9205486,12904,4
9204332,12904,2
7420,12904,1
581,7405,3
585385,7405,5
9237902,7405,3
20690,19224,5
21140,19224,5
19661,19224,2
9151634,19224,1
2633,19224,5
9161793,19224,1
7417,19224,5
1739,19224,5
1020,19224,3
7420,19224,1
581,7418,5
7400,7418,1
7410,7418,2
5237,7418,2
1543,7418,1
2710,7418,5
9208334,7418,5
4842,10041,1
7404,10041,2
898,10041,1
581,10041,5
7419,10041,1
9218497,10041,1
19661,10041,1
7400,10041,2
9151634,10041,1
2633,10041,5
7055700,10041,2
7412,10041,2
9161793,10041,5
589,10041,3
20598,10041,1
61441,10041,4
9237902,10041,2
7417,10041,1
1739,10041,3
3412,10041,1
9205486,10041,5
7420,10041,5
12904,10041,2
898,7413,5
20690,7413,5
13416,7413,1
581,7413,5
7403,7413,1
21140,7413,2
7419,7413,1
18878,7413,2
9218497,7413,5
20808,7413,4
19738,7413,2
7412,7413,2
20598,7413,5
2710,7413,3
61441,7413,5
9237902,7413,5
1739,7413,2
2021,7413,2
3412,7413,3
1020,7413,3
9205486,7413,4
7420,7413,4
12904,7413,4
7405,7413,2
10041,7413,5
4841,29268873,5
898,29268873,2
21140,29268873,5
19661,29268873,3
9151634,29268873,5
589,29268873,3
1739,29268873,5
2021,29268873,5
3412,29268873,5
7413,29268873,1
7404,1702,4
898,1702,4
7414,1702,5
13416,1702,2
581,1702,5
7403,1702,4
18878,1702,5
9218497,1702,5
7400,1702,4
7410,1702,2
9161793,1702,5
1543,1702,5
20598,1702,1
2710,1702,5
61441,1702,5
9237902,1702,5
9208334,1702,3
9204332,1702,1
10041,1702,4
7413,1702,2
4842,21007,5
20690,21007,2
581,21007,5
7403,21007,3
7419,21007,5
7408,21007,1
20808,21007,3
20598,21007,2
61441,21007,5
9204332,21007,2
7413,21007,5
7404,2959035,1
898,2959035,1
3184,2959035,1
5237,2959035,5
2710,2959035,5
61441,2959035,5
9208334,2959035,2
7418,2959035,3
1702,2959035,1
7404,3597997,1
9218497,3597997,4
9151634,3597997,3
2633,3597997,1
589,3597997,3
2710,3597997,5
61441,3597997,5
9237902,3597997,5
7417,3597997,1
12904,3597997,3
10041,3597997,1
7413,3597997,5
29268873,3597997,5
4842,9254380,2
898,9254380,5
20690,9254380,5
581,9254380,5
7403,9254380,1
585385,9254380,5
18878,9254380,1
9218497,9254380,5
19661,9254380,2
20808,9254380,2
19738,9254380,5
9161131,9254380,5
650,9254380,5
20598,9254380,5
61441,9254380,2
9237902,9254380,5
1020,9254380,5
10041,9254380,1
7413,9254380,5
1702,9254380,3
21007,9254380,1
581,19992,1
7413,19992,2
21007,19992,2
4841,130,2
7404,130,3
898,130,5
7402,130,1
21140,130,5
9218497,130,5
20808,130,2
7412,130,4
589,130,5
2710,130,5
61441,130,5
9237902,130,5
1739,130,2
2021,130,5
3412,130,5
9204332,130,1
7413,130,4
29268873,130,5
1702,130,2
2959035,130,5
3597997,130,5
7404,9538400,3
898,9538400,3
3184,9538400,1
7410,9538400,1
5237,9538400,2
7412,9538400,3
2710,9538400,5
61441,9538400,5
7418,9538400,1
29268873,9538400,1
2959035,9538400,5
130,9538400,5
898,9214481,1
13416,9214481,1
7419,9214481,1
18878,9214481,1
19661,9214481,2
9151634,9214481,2
2633,9214481,1
7055700,9214481,1
9161793,9214481,2
1739,9214481,3
9205486,9214481,2
7420,9214481,2
19224,9214481,1
10041,9214481,3
29268873,9214481,1
130,9214481,1
9538400,9214481,2
4841,7409,5
898,7409,5
581,7409,4
21140,7409,5
7419,7409,4
7400,7409,1
9151634,7409,5
7055700,7409,4
7412,7409,2
9161793,7409,5
7417,7409,4
1739,7409,5
2021,7409,5
3412,7409,5
9205486,7409,5
10041,7409,5
29268873,7409,5
1702,7409,5
130,7409,3
9214481,7409,2
898,7522,1
20690,7522,2
581,7522,1
585385,7522,2
7408,7522,3
9218497,7522,3
20808,7522,2
9151634,7522,1
7055700,7522,4
9161793,7522,3
61441,7522,1
9237902,7522,5
3412,7522,1
9205486,7522,3
12904,7522,2
10041,7522,5
1702,7522,2
9254380,7522,1
9214481,7522,1
7409,7522,3
20690,19117,5
7414,19117,1
581,19117,4
7403,19117,5
7408,19117,5
18878,19117,1
9218497,19117,5
19661,19117,5
20808,19117,4
7400,19117,1
20598,19117,1
2710,19117,5
61441,19117,5
9237902,19117,5
9204332,19117,1
19224,19117,1
7418,19117,5
7413,19117,1
1702,19117,4
2959035,19117,5
9254380,19117,2
130,19117,5
9538400,19117,3
7522,19117,4
7404,1864,5
7402,1864,2
7414,1864,2
7408,1864,2
19661,1864,5
7400,1864,5
9151634,1864,5
1543,1864,5
1739,1864,2
9205486,1864,3
7420,1864,2
19224,1864,1
10041,1864,4
7413,1864,1
29268873,1864,5
1702,1864,1
3597997,1864,3
9214481,1864,2
3184,7313,1
7414,7313,3
13416,7313,2
581,7313,4
18878,7313,5
7410,7313,1
650,7313,2
2633,7313,1
7055700,7313,1
1543,7313,2
20598,7313,3
2710,7313,1
61441,7313,4
9237902,7313,5
3412,7313,1
9208334,7313,5
9205486,7313,2
9204332,7313,3
7418,7313,5
1702,7313,5
2959035,7313,5
9538400,7313,2
898,9177511,5
20690,9177511,2
581,9177511,5
585385,9177511,5
7419,9177511,3
9218497,9177511,1
19738,9177511,1
650,9177511,5
7055700,9177511,5
9161793,9177511,5
20598,9177511,3
61441,9177511,5
9237902,9177511,2
7417,9177511,1
3412,9177511,2
7405,9177511,1
10041,9177511,4
7413,9177511,5
1702,9177511,5
21007,9177511,3
2959035,9177511,3
9254380,9177511,4
19992,9177511,1
9538400,9177511,1
9214481,9177511,1
7409,9177511,3
7313,9177511,3
4842,1277,5
7404,1277,3
7402,1277,1
7414,1277,1
581,1277,3
9218497,1277,5
20808,1277,2
7400,1277,2
7410,1277,1
7055700,1277,5
7412,1277,2
589,1277,5
2710,1277,5
61441,1277,5
9237902,1277,5
7417,1277,3
3412,1277,2
9205486,1277,5
9247604,1277,2
12904,1277,5
10041,1277,5
7413,1277,2
1702,1277,1
3597997,1277,5
9254380,1277,2
130,1277,5
9538400,1277,3
9214481,1277,1
7409,1277,1
7522,1277,5
7055700,13410,4
589,13410,3
2710,13410,1
61441,13410,4
9237902,13410,4
9204332,13410,1
12904,13410,3
2959035,13410,2
3597997,13410,2
130,13410,3
9538400,13410,1
19117,13410,2
7313,13410,1
1277,13410,5
20690,18733,5
21140,18733,5
7408,18733,5
18878,18733,2
9218497,18733,2
2633,18733,5
5237,18733,5
589,18733,1
2710,18733,5
7417,18733,5
1739,18733,2
9205486,18733,1
12904,18733,4
19224,18733,4
7413,18733,3
3597997,18733,5
1277,18733,1
4842,19298,3
898,19298,5
20690,19298,5
585385,19298,5
9218497,19298,2
19661,19298,5
2633,19298,5
20598,19298,5
7417,19298,3
1739,19298,5
1020,19298,2
9205486,19298,3
7420,19298,5
19224,19298,5
10041,19298,2
9254380,19298,3
9214481,19298,3
7522,19298,5
19117,19298,2
18733,19298,1
7404,9252409,3
898,9252409,3
3184,9252409,1
7400,9252409,1
7410,9252409,2
5237,9252409,5
7412,9252409,2
2710,9252409,5
61441,9252409,5
9208334,9252409,3
9204332,9252409,1
7418,9252409,3
1702,9252409,5
2959035,9252409,5
130,9252409,5
9538400,9252409,5
19117,9252409,5
7313,9252409,5
9177511,9252409,5
13410,9252409,3
7404,40616278,1
898,40616278,4
3184,40616278,1
7410,40616278,1
5237,40616278,4
2710,40616278,5
61441,40616278,5
9208334,40616278,2
7418,40616278,3
29268873,40616278,2
1702,40616278,2
2959035,40616278,5
130,40616278,5
9538400,40616278,5
19117,40616278,5
7313,40616278,4
9177511,40616278,4
13410,40616278,4
9252409,40616278,5
7402,1854,1
21140,1854,5
7419,1854,1
9151634,1854,1
7055700,1854,2
7412,1854,1
9161793,1854,1
2710,1854,2
61441,1854,3
1739,1854,5
2021,1854,3
3412,1854,5
1020,1854,2
9205486,1854,1
9204332,1854,1
7420,1854,1
12904,1854,2
19224,1854,1
10041,1854,3
29268873,1854,1
2959035,1854,4
3597997,1854,3
130,1854,4
9538400,1854,3
9214481,1854,2
7409,1854,3
7522,1854,2
7313,1854,1
1277,1854,2
13410,1854,2
9252409,1854,4
40616278,1854,3
3184,257,1
7414,257,2
13416,257,1
581,257,4
18878,257,5
7410,257,1
2633,257,1
5237,257,2
7412,257,1
1543,257,4
2710,257,4
61441,257,5
9237902,257,5
9208334,257,5
7405,257,1
7418,257,5
1702,257,5
2959035,257,5
130,257,2
9538400,257,4
19117,257,2
7313,257,5
9177511,257,3
9252409,257,5
40616278,257,5
4842,9332599,3
898,9332599,4
20690,9332599,1
581,9332599,2
7403,9332599,1
7419,9332599,1
7408,9332599,4
7400,9332599,1
9161793,9332599,5
1739,9332599,2
1020,9332599,5
9205486,9332599,5
7420,9332599,5
19224,9332599,1
7418,9332599,1
10041,9332599,5
7413,9332599,5
1702,9332599,5
9214481,9332599,2
7409,9332599,5
1864,9332599,3
9177511,9332599,2
4842,40616271,5
7055700,40616271,5
589,40616271,2
61441,40616271,1
7417,40616271,3
7420,40616271,3
12904,40616271,4
10041,40616271,2
3597997,40616271,1
9177511,40616271,1
1277,40616271,5
13410,40616271,3
18733,40616271,3
19661,9257534,1
37969605,9257534,5
898,9188381,4
20690,9188381,2
3184,9188381,1
7402,9188381,1
7414,9188381,1
13416,9188381,3
581,9188381,5
7403,9188381,4
7419,9188381,1
9218497,9188381,5
20808,9188381,3
7055700,9188381,5
589,9188381,5
20598,9188381,5
2710,9188381,5
61441,9188381,5
9237902,9188381,5
2021,9188381,3
3412,9188381,5
9205486,9188381,2
9204332,9188381,2
12904,9188381,5
7405,9188381,3
