"node_1","node_2","edge"
10289,10457,3
10289,10850394,5
10457,10850394,5
10289,10855231,2
10457,10855231,5
10850394,10855231,5
10289,1087,2
10457,1087,3
10850394,1087,5
10855231,1087,2
10289,10936540,1
10457,10936540,3
10850394,10936540,5
10855231,10936540,5
1087,10936540,3
10289,11998703,2
10457,11998703,3
10850394,11998703,3
10855231,11998703,3
1087,11998703,2
10936540,11998703,2
1017,12012840,2
10457,12012840,3
10850394,12012840,3
10855231,12012840,3
1087,12012840,1
10936540,12012840,3
11998703,12012840,1
1017,1277,3
10289,1277,2
10457,1277,3
10850394,1277,5
10855231,1277,4
1087,1277,3
10936540,1277,5
11998703,1277,3
12012840,1277,4
1017,12904,2
10289,12904,2
10457,12904,2
10850394,12904,4
10855231,12904,3
1087,12904,3
10936540,12904,4
11998703,12904,2
12012840,12904,3
1277,12904,4
1017,1338,2
10289,1338,2
10457,1338,2
10850394,1338,4
10855231,1338,3
1087,1338,2
10936540,1338,2
11998703,1338,2
12012840,1338,1
1277,1338,2
12904,1338,2
10850394,13410,3
10855231,13410,2
1087,13410,2
10936540,13410,1
11998703,13410,1
1277,13410,1
12904,13410,1
1338,13410,2
1020,13416,1
10850394,13416,1
13410,13416,1
1020,13418,1
10457,13418,3
10850394,13418,3
10855231,13418,3
10936540,13418,2
1017,13419,1
10457,13419,3
10850394,13419,4
10855231,13419,4
1087,13419,1
10936540,13419,1
11998703,13419,1
1277,13419,2
13418,13419,3
1017,1543,1
10457,1543,3
10850394,1543,4
10855231,1543,4
1087,1543,2
10936540,1543,1
11998703,1543,2
12904,1543,2
13410,1543,1
13418,1543,1
13419,1543,1
1017,15925210,1
10457,15925210,1
10850394,15925210,2
10855231,15925210,2
1087,15925210,2
10936540,15925210,1
11998703,15925210,2
1277,15925210,1
12904,15925210,2
13410,15925210,1
13418,15925210,1
13419,15925210,2
1543,15925210,2
1017,1625,1
10457,1625,3
10850394,1625,4
10855231,1625,4
1087,1625,2
10936540,1625,2
11998703,1625,1
12012840,1625,2
1277,1625,3
12904,1625,3
1338,1625,2
13410,1625,1
13418,1625,2
13419,1625,2
1543,1625,4
15925210,1625,1
1017,1702,1
1020,1702,2
10850394,1702,2
10855231,1702,2
1087,1702,2
11998703,1702,1
1277,1702,2
12904,1702,2
1338,1702,1
13410,1702,1
13419,1702,1
1543,1702,2
15925210,1702,2
1020,17056,2
10850394,17056,1
10855231,17056,1
1087,17056,1
10936540,17056,1
11998703,17056,1
1277,17056,1
12904,17056,1
1338,17056,1
13410,17056,1
1543,17056,3
15925210,17056,1
1625,17056,1
1702,17056,1
1020,1739,2
10457,1739,2
10850394,1739,2
12012840,1739,1
12904,1739,1
15925210,1739,1
1020,1758,2
10457,1758,1
10850394,1758,3
10855231,1758,1
1087,1758,1
11998703,1758,1
12012840,1758,1
1277,1758,1
12904,1758,1
1338,1758,1
13410,1758,1
1543,1758,1
1625,1758,1
17056,1758,2
1739,1758,1
1020,18878,1
10850394,18878,2
10855231,18878,2
1087,18878,2
10936540,18878,1
11998703,18878,1
1277,18878,2
12904,18878,2
1338,18878,1
1543,18878,1
15925210,18878,1
1702,18878,1
