"node_1","node_2","edge"
4845,4846,5
18418,7585,5
4845,8198075,5
4845,8355026,5
18418,8355026,2
4843,8755126,5
18418,8755126,5
7585,8755126,2
4843,8754577,5
8355026,8754577,5
4845,722,5
4846,722,5
18418,722,5
7585,722,2
4845,6562,5
4846,6562,5
18418,6562,5
722,6562,3
4846,4628676,5
18418,8140715,5
7585,8140715,5
8355026,8140715,5
8755126,8140715,5
722,8140715,5
4846,13240,5
8198075,8395929,5
4846,15138,5
18418,15138,5
4845,8755422,5
4846,8755422,5
18418,8755422,5
722,8755422,1
6562,8755422,5
4846,8208142,5
8198075,8208142,5
8395929,8208142,5
15138,8208142,5
8755126,8192002,1
722,8192002,5
13240,8192002,2
4843,7574,5
4845,425,5
4846,425,5
4628676,425,5
4845,10660,1
18418,10660,3
722,10660,1
8192002,10660,5
425,10660,1
8755126,8494447,1
722,8494447,1
13240,8494447,5
8755126,14665,3
722,14665,1
8140715,14665,5
8192002,14665,5
10660,14665,5
8494447,14665,1
4628676,15510,5
425,15510,5
14665,15510,2
4843,13145,5
8754577,13145,5
4846,8233911,5
4628676,8233911,4
8494447,8233911,5
4845,42678906,5
4846,42678906,5
4628676,42678906,5
8233911,42678906,5
4846,1096,5
4628676,1096,1
13240,1096,5
8494447,1096,5
8233911,1096,1
4628676,10193,5
1096,10193,5
4628676,8420861,4
8494447,8420861,5
13145,8420861,1
1096,8420861,5
10193,8420861,5
4845,5886,5
4846,5886,5
18418,5886,5
6562,5886,3
4845,11390,5
4846,11390,5
6562,11390,2
4845,11735,5
4846,11735,5
6562,11735,1
15510,11735,5
42678906,11735,2
11390,11735,5
4845,8189946,5
4846,8189946,5
6562,8189946,4
8755422,8189946,1
425,8189946,4
42678906,8189946,1
5886,8189946,1
11390,8189946,5
11735,8189946,5
4845,16117046,5
4846,16117046,5
18418,16117046,5
8198075,16117046,1
6562,16117046,5
8755422,16117046,4
5886,16117046,3
11390,16117046,5
11735,16117046,5
8189946,16117046,5
4845,8189983,5
4846,8189983,4
6562,8189983,2
8192002,8189983,4
10660,8189983,1
8494447,8189983,5
8189946,8189983,2
4846,7116,5
8198075,7116,2
8395929,7116,2
8494447,7116,5
6562,14495,2
425,14495,3
10660,14495,2
14665,14495,1
11390,14495,5
7116,14495,5
4845,259,5
4846,259,5
18418,259,5
722,259,3
6562,259,3
8140715,259,3
8494447,259,1
5886,259,1
16117046,259,1
4846,7583,5
18418,7583,5
722,7583,1
8140715,7583,5
8494447,7583,5
18418,7588,5
722,7588,1
8140715,7588,5
8192002,7588,1
8494447,7588,2
4845,13782,5
4846,13782,5
8233911,13782,1
