"node_1","node_2","edge"
92285,4848,5
4850,536763,5
4850,1321106,5
296660,7701,5
296660,20184,1
7701,20184,2
296660,19962,5
296660,188159,5
7701,188159,5
19962,188159,1
2741,20092,1
440540,20092,1
296660,7703,5
7701,7703,5
188159,7703,5
296660,5978,5
188159,5978,1
440540,5978,1
7703,5978,3
799869,14655,1
296660,14655,3
7701,14655,5
20184,14655,5
188159,14655,5
7703,14655,5
5978,14655,5
20092,19602,2
14655,19602,5
7701,19746,1
20184,19746,5
14655,19746,5
19602,19746,5
799869,19964,3
296660,19964,1
20184,19964,1
5978,19964,5
14655,19964,5
19746,19964,2
799869,20822,5
1321106,20822,5
20092,20822,2
14655,20822,3
19602,20822,5
19746,20822,5
19964,20822,2
4850,216148,5
4850,213652,5
92285,428074,5
4848,428074,5
7701,7705,3
20184,7705,1
14655,7705,1
19602,7705,3
296660,19521,4
7701,19521,4
19962,19521,3
188159,19521,4
7703,19521,3
5978,19521,2
14655,19521,3
19964,19521,1
7705,19521,2
799869,19850,1
20092,19850,2
19602,19850,2
20822,19850,1
7705,19850,1
296660,214032,2
7701,214032,4
5978,214032,3
14655,214032,2
19602,214032,4
19746,214032,3
19964,214032,1
7705,214032,5
19521,214032,4
19850,214032,3
799869,263854,3
7701,263854,5
20184,263854,2
20092,263854,5
14655,263854,5
19602,263854,5
7705,263854,5
19521,263854,5
19850,263854,5
214032,263854,5
20184,20604,2
19962,20604,2
20092,20604,1
19602,20604,3
19746,20604,5
20822,20604,4
188159,9515,5
5978,9515,4
14655,9515,5
214032,9515,2
7701,17440517,3
20184,17440517,3
188159,17440517,2
7703,17440517,2
14655,17440517,3
19602,17440517,1
19746,17440517,5
20822,17440517,3
7705,17440517,1
19521,17440517,1
214032,17440517,2
263854,17440517,5
296660,281510,5
7701,281510,4
19962,281510,3
188159,281510,4
7703,281510,1
5978,281510,1
9515,281510,2
9515,19934,1
17440517,19934,2
281510,19934,1
296660,5271,3
7701,5271,3
19962,5271,1
188159,5271,4
7703,5271,1
5978,5271,2
19521,5271,1
214032,5271,5
263854,5271,3
17440517,5271,5
281510,5271,1
20184,7702,1
19962,7702,3
5978,7702,1
19964,7702,4
281510,7702,5
5271,7702,5
296660,93095,4
7701,93095,5
20184,93095,3
188159,93095,5
7703,93095,5
14655,93095,4
19746,93095,5
7705,93095,3
19521,93095,3
214032,93095,4
263854,93095,5
20604,93095,1
17440517,93095,5
281510,93095,4
5271,93095,5
7701,20386,2
20184,20386,5
188159,20386,1
281510,20386,1
296660,741768,5
7701,741768,5
188159,741768,5
7703,741768,5
5978,741768,3
14655,741768,5
19964,741768,3
19521,741768,1
17440517,741768,1
281510,741768,1
5271,741768,1
93095,741768,1
20386,741768,2
20092,19421,4
19602,19421,4
20822,19421,3
19850,19421,5
20604,19421,3
9515,19421,1
799869,19439,5
19962,19439,4
20092,19439,1
19964,19439,1
20822,19439,4
7705,19439,1
19521,19439,3
19850,19439,3
214032,19439,5
263854,19439,3
20604,19439,3
5271,19439,3
20386,19439,1
19421,19439,2
799869,20079,5
19962,20079,5
188159,20079,1
20092,20079,2
19964,20079,2
20822,20079,5
7705,20079,2
19521,20079,3
19850,20079,5
263854,20079,5
19421,20079,5
19439,20079,5
799869,20476,3
19602,20476,5
20822,20476,5
19850,20476,3
20604,20476,3
19421,20476,5
19439,20476,5
20079,20476,5
799869,441455,5
19962,441455,5
188159,441455,2
20092,441455,2
14655,441455,5
19602,441455,3
19746,441455,4
19964,441455,5
