"node_1","node_2","edge"
20184,20079,1
20079,19950,5
20079,20435,5
19950,20435,5
20079,26055,5
19950,26055,4
4850,967008,5
20079,967008,5
19950,967008,5
20435,967008,3
26055,967008,5
20079,19196,5
19950,19196,2
20435,19196,3
26055,19196,5
967008,19196,5
20079,20982,3
19950,20982,1
26055,20982,1
20079,7705,5
19950,7705,1
20435,7705,2
26055,7705,5
967008,7705,5
20079,20554,4
26055,20554,2
967008,20554,3
20079,4061,1
20079,19230,1
26055,19230,1
967008,19230,1
20079,20092,5
26055,20092,5
967008,20092,5
20982,20092,3
7705,20092,1
20435,37888,4
967008,37888,1
7705,37888,5
26055,8071,1
20079,19103,1
26055,19103,1
967008,19103,1
20079,19906,3
26055,19906,2
967008,19906,1
20554,94921,1
20092,94921,3
8071,94921,4
19103,94921,1
20079,19746,1
20435,19746,1
26055,19746,1
967008,19746,3
20079,19850,3
26055,19850,3
20079,20765,5
19950,20765,5
20435,20765,3
26055,20765,5
967008,20765,5
19196,20765,5
20982,20765,5
7705,20765,2
20554,20765,2
20092,20765,3
19103,20765,1
19906,20765,1
19746,20765,5
19850,20765,5
20604,20765,2
20079,5978,5
26055,5978,5
967008,5978,2
20079,7701,5
26055,7701,1
967008,7701,1
20982,7701,3
7705,7701,5
20092,7701,3
94921,7701,2
5978,7701,1
20079,40478184,5
19950,40478184,1
26055,40478184,5
967008,40478184,5
19196,40478184,1
20982,40478184,4
7705,40478184,5
4061,40478184,1
20092,40478184,5
8071,40478184,3
19906,40478184,3
19746,40478184,3
20765,40478184,1
5978,40478184,5
7701,40478184,5
20079,19421,3
26055,19421,3
20765,19421,2
40478184,19421,2
20079,20146,5
19950,20146,3
20435,20146,5
26055,20146,5
967008,20146,5
19196,20146,2
20982,20146,3
7705,20146,2
20079,20476,1
20435,20476,1
26055,20476,3
967008,20476,1
20765,20476,1
20146,20476,2
19950,27221,5
20435,27221,5
19196,27221,5
20982,27221,5
7705,27221,2
20554,27221,1
19230,27221,1
19103,27221,1
19746,27221,3
19850,27221,3
7701,27221,1
19421,27221,2
20146,27221,5
20476,27221,5
4850,28141,1
19950,28141,5
20435,28141,5
967008,28141,5
19196,28141,5
20982,28141,5
7705,28141,2
19230,28141,1
19746,28141,3
19850,28141,1
20146,28141,5
20476,28141,5
27221,28141,5
20079,2954,5
19950,2954,2
20435,2954,2
26055,2954,5
967008,2954,5
19196,2954,2
20982,2954,3
7705,2954,2
19746,2954,1
40478184,2954,1
20146,2954,5
27221,2954,5
28141,2954,5
20079,19439,2
19950,19439,5
26055,19439,5
19196,19439,2
20982,19439,4
7705,19439,2
20554,19439,3
20092,19439,5
19906,19439,1
19746,19439,2
19850,19439,3
20604,19439,1
20765,19439,5
7701,19439,1
19421,19439,1
20476,19439,3
2954,19439,4
20184,20764,1
20079,20764,5
19950,20764,5
26055,20764,5
967008,20764,5
19196,20764,2
20982,20764,4
7705,20764,5
20554,20764,4
20092,20764,5
19103,20764,2
19906,20764,2
19746,20764,3
19850,20764,3
20604,20764,2
20765,20764,5
7701,20764,3
40478184,20764,4
19421,20764,2
20146,20764,4
20476,20764,3
2954,20764,5
19439,20764,5
19950,20778,2
26055,20778,5
19196,20778,2
20982,20778,5
20554,20778,5
20092,20778,4
8071,20778,3
19906,20778,2
19850,20778,3
20604,20778,1
20765,20778,1
5978,20778,3
20146,20778,3
20476,20778,3
2954,20778,5
19439,20778,5
20764,20778,5
4848,857048,2
19950,857048,2
20982,857048,5
20554,857048,1
20092,857048,5
8071,857048,2
19850,857048,1
20604,857048,1
20146,857048,3
2954,857048,5
19439,857048,5
20764,857048,5
20778,857048,5
94921,319809,5
40478184,319809,2
857048,319809,2
20079,19602,5
19950,19602,2
26055,19602,5
967008,19602,5
19196,19602,1
20982,19602,1
7705,19602,1
20765,19602,4
20146,19602,2
27221,19602,3
28141,19602,2
2954,19602,5
19439,19602,5
20764,19602,5
20778,19602,5
857048,19602,5
20079,19603,5
19950,19603,4
20435,19603,2
26055,19603,5
967008,19603,5
19196,19603,2
20982,19603,2
7705,19603,1
20554,19603,1
20765,19603,4
20146,19603,3
20476,19603,1
27221,19603,3
28141,19603,2
2954,19603,5
19439,19603,5
20764,19603,5
20778,19603,5
857048,19603,5
19602,19603,5
20079,20183,5
19950,20183,3
20435,20183,5
26055,20183,5
967008,20183,5
19196,20183,5
20982,20183,2
7705,20183,1
20554,20183,1
20092,20183,1
19906,20183,1
19850,20183,1
20765,20183,4
5978,20183,2
7701,20183,2
20146,20183,1
20476,20183,2
2954,20183,5
19439,20183,5
20764,20183,5
20778,20183,5
857048,20183,2
19602,20183,5
19603,20183,5
20079,20186,5
19950,20186,1
20435,20186,3
26055,20186,5
967008,20186,5
19196,20186,5
20982,20186,2
7705,20186,1
20554,20186,1
19906,20186,1
19850,20186,1
20765,20186,2
5978,20186,3
7701,20186,2
40478184,20186,1
20146,20186,2
20476,20186,1
2954,20186,5
19439,20186,5
20764,20186,5
20778,20186,5
19602,20186,5
19603,20186,5
20183,20186,5
26055,40616528,5
19196,40616528,5
20982,40616528,3
20554,40616528,5
19230,40616528,1
296660,40616528,1
8071,40616528,4
19906,40616528,3
19850,40616528,2
20604,40616528,1
20765,40616528,5
5978,40616528,3
19421,40616528,2
20476,40616528,3
2954,40616528,2
19439,40616528,5
20764,40616528,3
20778,40616528,5
19602,40616528,5
19603,40616528,5
20183,40616528,5
20186,40616528,5
37888,9023,1
20765,9023,1
7701,9023,1
40478184,9023,2
27221,9023,1
40616528,9023,1
20765,19521,1
20184,19964,2
20982,19964,2
37888,19964,5
20765,19964,1
7701,19964,1
19439,19964,3
20764,19964,3
857048,19964,4
20183,19964,5
20186,19964,4
20079,5271,1
20982,5271,2
20765,5271,2
7701,5271,4
40478184,5271,1
19439,5271,4
20764,5271,2
20778,5271,4
20183,5271,2
20186,5271,2
40616528,5271,5
9023,5271,2
19964,5271,1
20079,29335007,1
20435,29335007,2
20982,29335007,5
20092,29335007,1
37888,29335007,2
7701,29335007,5
20183,29335007,2
20186,29335007,5
19964,29335007,5
5271,29335007,4
20982,741,2
37888,741,1
7701,741,1
40616528,741,2
19964,741,4
5271,741,5
29335007,741,5
20435,3412,5
5978,3412,1
20146,3412,3
857048,3412,3
319809,3412,4
9023,3412,1
19964,3412,2
5271,3412,1
29335007,3412,1
741,3412,5
20079,7703,2
26055,7703,1
7701,7703,2
40478184,7703,3
19439,7703,1
20764,7703,2
40616528,7703,3
5271,7703,3
741,7703,3
3412,7703,5
7701,7707,2
40478184,7707,2
19439,7707,1
20183,7707,2
20186,7707,2
40616528,7707,5
19964,7707,3
5271,7707,4
29335007,7707,5
741,7707,5
3412,7707,5
7703,7707,2
20184,20068,4
20079,20068,5
19950,20068,5
20435,20068,5
26055,20068,5
967008,20068,5
19196,20068,5
7705,20068,5
20554,20068,4
4061,20068,2
19230,20068,2
20092,20068,4
296660,20068,1
19103,20068,1
19906,20068,3
19850,20068,4
20765,20068,5
5978,20068,5
7701,20068,5
40478184,20068,5
19421,20068,2
20146,20068,5
20476,20068,1
2954,20068,5
20764,20068,5
19602,20068,5
19603,20068,5
20183,20068,5
20186,20068,5
9023,20068,1
19521,20068,1
5271,20068,5
3412,20068,5
7703,20068,5
20184,170016,5
20079,170016,5
19950,170016,3
20435,170016,5
26055,170016,5
967008,170016,5
19196,170016,4
7705,170016,5
20554,170016,3
4061,170016,1
19230,170016,2
20092,170016,2
19906,170016,3
19850,170016,3
20604,170016,2
20765,170016,3
5978,170016,5
7701,170016,4
40478184,170016,5
19421,170016,1
20146,170016,5
20476,170016,1
2954,170016,5
20764,170016,5
19602,170016,5
19603,170016,5
20183,170016,5
20186,170016,5
19964,170016,2
5271,170016,2
3412,170016,5
7703,170016,5
7707,170016,5
20068,170016,5
20079,188159,1
40478184,188159,1
857048,188159,1
20068,188159,3
170016,188159,1
20184,214032,4
20079,214032,5
20435,214032,5
7705,214032,5
20554,214032,3
4061,214032,1
19746,214032,1
19850,214032,3
20604,214032,3
5978,214032,3
7701,214032,5
20146,214032,5
2954,214032,2
19439,214032,5
20764,214032,5
20778,214032,1
857048,214032,4
19602,214032,5
19603,214032,4
20183,214032,5
20186,214032,5
9023,214032,4
19521,214032,3
