"node_1","node_2","edge"
4825736,4593407,5
19117,898,5
19117,19640,5
898,19640,5
19117,1243924,5
898,1243924,5
19640,1243924,5
4825736,4444,5
4593407,4444,5
19117,4444,2
898,4444,1
1243924,4444,1
19117,4071,5
898,4071,4
1243924,4071,5
4444,4071,5
19117,4737508,5
898,4737508,3
19640,4737508,2
1243924,4737508,5
4444,4737508,2
4071,4737508,5
19117,19326,4
19640,19326,5
1243924,19326,1
4825736,4759762,5
19326,4759762,5
4601492,16523,5
4601492,4710950,5
16523,4710950,5
4593407,20366,5
19117,20366,4
898,20366,1
19640,20366,1
1243924,20366,1
4444,20366,2
4737508,20366,5
4593407,4593106,5
19117,4593106,1
20366,4593106,5
4593407,4891235,5
19117,4891235,5
1243924,4891235,4
4444,4891235,1
4737508,4891235,5
20366,4891235,5
4593106,4891235,5
19117,20813,5
898,20813,5
19640,20813,5
1243924,20813,5
20366,8572,1
19640,20918,5
20366,20918,3
4891235,20918,5
20813,20918,1
8572,20918,5
19640,5490194,1
20366,5490194,3
8572,5490194,5
20918,5490194,5
19117,259,5
898,259,5
19640,259,5
1243924,259,5
4071,259,3
4737508,259,2
20366,259,1
4891235,259,1
4593407,674,5
19117,674,5
898,674,3
1243924,674,5
4444,674,5
4071,674,5
4737508,674,5
20366,674,1
4891235,674,1
259,674,5
19117,7678,5
898,7678,3
1243924,7678,5
4444,7678,5
4071,7678,5
4737508,7678,5
259,7678,4
674,7678,5
19117,19517,5
25008634,19517,5
898,19517,5
19640,19517,5
1243924,19517,5
4737508,19517,1
20366,19517,1
4891235,19517,1
8572,19517,5
5490194,19517,5
259,19517,5
19117,4604442,5
898,4604442,5
19640,4604442,5
1243924,4604442,5
4071,4604442,4
4737508,4604442,5
20366,4604442,1
4891235,4604442,3
20813,4604442,4
8572,4604442,1
259,4604442,5
674,4604442,4
7678,4604442,5
19517,4604442,5
19117,4794805,5
898,4794805,5
19640,4794805,5
1243924,4794805,5
4444,4794805,1
4071,4794805,5
4737508,4794805,5
19326,4794805,3
20366,4794805,3
4593106,4794805,1
4891235,4794805,5
20813,4794805,5
259,4794805,5
674,4794805,5
7678,4794805,5
19517,4794805,5
4604442,4794805,5
4737508,19492,5
4891235,19492,5
19326,4593613,2
4593106,4593613,2
4593613,7693,2
19640,3116,5
20366,3116,2
20918,3116,5
19640,585385,5
19326,585385,5
20813,585385,5
20918,585385,5
3116,585385,5
19117,19336,3
1243924,19336,1
19326,19336,5
4759762,19336,5
4794805,19336,2
4593613,19336,1
4593407,7059,2
19117,7059,5
898,7059,1
1243924,7059,3
4444,7059,5
4071,7059,5
4737508,7059,5
259,7059,1
674,7059,5
7678,7059,5
4794805,7059,5
19117,900,5
898,900,5
19640,900,5
1243924,900,5
4444,900,1
4071,900,3
4737508,900,5
4891235,900,2
20813,900,2
259,900,5
674,900,5
7678,900,5
19517,900,5
4604442,900,5
4794805,900,5
7059,900,3
4601492,3412,5
19117,3412,5
898,3412,5
19640,3412,5
1243924,3412,5
4444,3412,1
4071,3412,3
4737508,3412,3
16523,3412,3
259,3412,5
674,3412,2
7678,3412,3
19517,3412,5
4604442,3412,5
4794805,3412,5
7059,3412,1
900,3412,5
19117,19353,5
25008634,19353,5
898,19353,5
19640,19353,5
1243924,19353,5
20366,19353,1
259,19353,5
19517,19353,5
4604442,19353,5
4794805,19353,5
900,19353,5
3412,19353,5
19117,20893,5
898,20893,5
19640,20893,5
1243924,20893,5
4737508,20893,5
20366,20893,5
4891235,20893,5
20813,20893,5
8572,20893,1
20918,20893,5
