"node_1","node_2","edge"
7624,2077,5
7624,7641,3
2077,7641,1
7631,7641,3
7624,18257,2
7641,18257,1
7624,7626,1
7641,7626,3
20234,7626,2
18257,7626,2
13625,9931274,1
20234,20145,2
20234,20383,5
20145,20383,5
20234,9929262,3
20145,9929262,3
20383,9929262,3
20234,9992830,4
20145,9992830,4
20383,9992830,3
9929262,9992830,3
20234,10002554,3
20145,10002554,4
20383,10002554,2
9929262,10002554,5
9992830,10002554,5
7624,7639,1
2077,7639,2
18257,7639,1
13625,7639,1
9998377,7639,1
7626,7639,5
7641,1858,2
20234,1858,2
20234,9932326,3
1858,9932326,4
20234,7636,1
18257,7636,1
9998377,7636,3
7626,7636,1
7639,7636,5
9932326,7636,1
7624,9954654,1
2077,9954654,1
7639,9954654,2
7636,9954654,2
7624,7635,1
2077,7635,2
7631,7635,1
7641,7635,4
18257,7635,2
7626,7635,5
7639,7635,3
20234,40616900,3
20145,40616900,4
20383,40616900,3
9929262,40616900,5
9992830,40616900,3
10002554,40616900,2
18257,7999,2
13625,7999,1
7624,9933920,1
18257,9933920,2
13625,9933920,2
7999,9933920,2
13625,9938038,3
7999,9938038,2
9933920,9938038,3
13625,9955345,2
9998377,9955345,5
7635,9955345,1
7999,9955345,1
9933920,9955345,2
9938038,9955345,2
13625,10023436,2
9998377,10023436,5
7639,10023436,1
9932326,10023436,1
7636,10023436,2
7999,10023436,3
9933920,10023436,2
9938038,10023436,5
9955345,10023436,5
2077,1689,2
18257,1689,2
13625,1689,3
9998377,1689,2
7626,1689,2
7639,1689,2
7635,1689,4
9955345,1689,1
2077,1338,1
7631,1338,1
7641,1338,3
18257,1338,1
13625,1338,1
9998377,1338,2
7626,1338,5
7639,1338,4
7636,1338,5
7635,1338,2
9955345,1338,2
10023436,1338,1
1689,1338,3
7624,9931277,1
2077,9931277,1
9933920,9931277,1
1338,9931277,1
20145,18244,1
9929262,18244,1
10002554,18244,5
7624,4161718,1
18257,4161718,5
9933920,4161718,1
1689,4161718,3
7624,9995408,1
18257,9995408,3
9932326,9995408,2
4161718,9995408,1
7624,1854,1
2077,1854,5
7641,1854,2
9998377,1854,1
7626,1854,1
7635,1854,1
9955345,1854,2
1689,1854,3
7624,2046,2
2077,2046,2
1854,2046,1
2077,5264,1
7641,5264,1
13625,5264,2
7626,5264,2
7639,5264,1
7635,5264,3
1689,5264,1
1338,5264,2
1854,5264,2
7624,28304289,1
2077,28304289,1
7641,28304289,3
7626,28304289,1
7635,28304289,2
2046,28304289,1
7631,7637,2
13625,7637,3
9998377,7637,1
9955345,7637,1
1689,7637,1
1338,7637,1
2046,7637,1
5264,7637,1
2077,2218,2
9998377,2218,1
9938038,2218,1
10023436,2218,2
1854,2218,2
2077,7646,2
20145,7646,4
20383,7646,1
9992830,7646,1
10002554,7646,1
40616900,7646,1
2218,7646,1
7624,40616562,2
20234,40616562,5
18257,40616562,1
7626,40616562,2
20383,40616562,2
7639,40616562,1
1858,40616562,3
9932326,40616562,4
7636,40616562,3
7635,40616562,1
7999,40616562,1
1338,40616562,2
7637,40616562,1
7631,207,1
7641,207,3
9931274,207,1
7636,207,2
1338,207,1
28304289,207,3
7631,6008,1
7641,6008,1
7636,6008,1
2046,6008,1
28304289,6008,2
7646,6008,1
40616562,6008,2
207,6008,5
7641,9955381,2
7636,9955381,1
28304289,9955381,2
207,9955381,5
6008,9955381,3
2077,9960400,3
7641,9960400,2
13625,9960400,3
7626,9960400,1
7635,9960400,1
9955345,9960400,3
1689,9960400,2
1338,9960400,3
1854,9960400,2
5264,9960400,2
7637,9960400,1
2077,793,1
13625,793,5
9931274,793,1
7635,793,1
1689,793,1
2046,793,2
5264,793,1
7637,793,3
7646,793,2
6008,793,3
9960400,793,1
7624,27979201,1
7631,27979201,1
20234,27979201,3
7626,27979201,1
1858,27979201,4
9932326,27979201,5
7636,27979201,1
7999,27979201,1
10023436,27979201,1
1338,27979201,1
7637,27979201,1
40616562,27979201,4
9955345,9930920,3
9960400,9930920,1
18257,5897,1
9933920,5897,1
9938038,10023432,1
9931277,10023432,3
20234,17603063,4
18257,17603063,1
7626,17603063,1
9932326,17603063,3
9938038,17603063,1
2218,17603063,1
40616562,17603063,3
10023432,17603063,1
20234,26135321,3
13625,26135321,5
9931274,26135321,3
9932326,26135321,1
1689,26135321,2
1338,26135321,1
5264,26135321,1
7637,26135321,2
40616562,26135321,4
793,26135321,2
17603063,26135321,1
7641,1702,4
20234,1702,5
7626,1702,2
1858,1702,1
9932326,1702,2
7636,1702,4
7635,1702,1
1338,1702,3
28304289,1702,2
40616562,1702,4
207,1702,5
6008,1702,5
9955381,1702,3
27979201,1702,1
17603063,1702,2
26135321,1702,2
7641,10980,1
7626,10980,1
7635,10980,1
9955345,10980,5
1338,10980,2
1854,10980,2
9960400,10980,5
9930920,10980,5
20234,6628,1
13625,6628,2
9998377,6628,4
