"node_1","node_2","edge"
9932333,16165268,4
7624,16299521,1
9932333,16299521,4
16165268,16299521,5
9932333,16324677,5
16165268,16324677,4
16299521,16324677,4
16299521,7639,1
2057,7991,1
7639,7631,3
2057,18879,1
7624,18879,1
16833,18879,5
7624,6273,1
7639,6273,1
7631,6273,2
9932333,10980,1
16165268,10980,1
7991,10980,1
9932333,9955345,1
16165268,9955345,1
16299521,9955345,1
6273,9955345,1
10980,9955345,5
16833,12373218,1
6273,12373218,3
10980,12373218,3
9955345,12373218,1
9932333,9955314,1
16165268,9955314,1
16299521,9955314,1
2057,20234,4
20234,20383,5
20234,28304289,4
20383,28304289,3
2057,2586,1
7639,2586,1
7631,2586,3
16299521,7626,1
9932333,11716,1
16299521,11716,1
16324677,11716,1
7624,16326726,1
9932333,16326726,1
16165268,16326726,1
16299521,16326726,1
16324756,16326726,4
10980,16326726,4
9955345,16326726,2
12373218,16326726,2
7624,16326768,1
9932333,16326768,1
16165268,16326768,1
16299521,16326768,1
16324677,16326768,1
16324756,16326768,5
9955314,16326768,1
7636,16326768,1
16326726,16326768,5
7631,21047,1
16833,21047,1
6273,21047,2
12373218,21047,1
16299521,4122,1
9955345,4122,3
9932333,13625,1
16299521,13625,1
7639,13625,1
9955345,13625,1
9932333,9954697,1
16165268,9954697,1
16299521,9954697,2
9955345,9954697,1
13625,9954697,1
16833,15910938,1
18879,15910938,1
9954697,15910938,1
9932333,27978030,1
16299521,27978030,1
9954697,27978030,1
9932333,43587295,1
16165268,43587295,1
16299521,43587295,1
7639,43587295,1
7631,43587295,4
9955345,43587295,2
4122,43587295,2
13625,43587295,1
9954697,43587295,1
15910938,43587295,2
27978030,43587295,1
9932333,21008,1
16165268,21008,1
16299521,21008,1
16324677,21008,1
7636,21008,2
28304289,21008,2
9954697,21008,1
15910938,21008,2
27978030,21008,1
43587295,21008,3
9932333,17602960,1
16165268,17602960,1
16299521,17602960,1
16324756,17602960,3
28304289,17602960,2
16326726,17602960,3
16326768,17602960,5
27978030,17602960,1
21008,17602960,4
7991,257,1
16833,257,3
18879,257,1
9932333,16282985,1
16165268,16282985,1
16299521,16282985,1
7991,16282985,2
10980,16282985,2
9955345,16282985,2
13625,16282985,1
9954697,16282985,1
27978030,16282985,3
43587295,16282985,2
257,16282985,2
9932333,17603063,1
16299521,17603063,1
7631,17603063,1
43587295,17603063,2
21008,17603063,1
7624,2695,1
7639,2695,1
16833,2695,3
18879,2695,2
6273,2695,2
10980,2695,2
12373218,2695,1
16326726,2695,1
21047,2695,1
15910938,2695,1
257,2695,3
2586,7641,1
7624,5264,1
16833,5264,2
18879,5264,1
2586,5264,1
9932333,4265,1
16165268,4265,1
16299521,4265,1
16833,4265,1
18879,4265,2
10980,4265,1
9955345,4265,2
9954697,4265,1
15910938,4265,2
21008,4265,4
2695,4265,1
9932333,43660833,1
16165268,43660833,1
16299521,43660833,1
7639,43660833,1
7631,43660833,2
9955345,43660833,3
4122,43660833,3
13625,43660833,1
9954697,43660833,1
15910938,43660833,2
43587295,43660833,5
21008,43660833,2
16282985,43660833,1
17603063,43660833,1
4265,43660833,1
7624,27979201,1
7639,27979201,1
7631,27979201,1
2586,27979201,3
21047,27979201,1
257,27979201,4
2695,27979201,3
7641,27979201,1
5264,27979201,1
7631,27977510,2
2586,27977510,3
15910938,27977510,1
43587295,27977510,2
43660833,27977510,1
16324756,9954654,2
16326726,9954654,1
16326768,9954654,2
9932333,9933913,1
16165268,9933913,1
16299521,9933913,1
16324756,9933913,2
6273,9933913,1
10980,9933913,1
9955345,9933913,2
16326726,9933913,4
16326768,9933913,2
4122,9933913,1
43587295,9933913,1
21008,9933913,1
17602960,9933913,1
17603063,9933913,1
43660833,9933913,1
2057,546166,4
7624,546166,1
20234,546166,3
2586,546166,2
27978030,546166,1
