"node_1","node_2","edge"
4860,4859,5
50219,20240,4
739169,21861,5
4089,21861,2
4860,20694,5
4859,12560,5
4860,524433,5
20694,524433,5
898,524433,4
12560,524433,5
4860,742051,5
4859,742051,5
20694,742051,5
898,742051,3
12560,742051,5
524433,742051,5
4860,40617154,5
19682,40617154,5
4712,40617154,5
898,40617154,5
12560,40617154,5
524433,40617154,5
742051,40617154,5
21861,11420,5
12573,143169,1
14592,143169,4
11420,143169,3
13002,143169,5
12573,495967,5
14592,495967,5
11420,495967,5
13002,495967,5
143169,495967,5
4857,532183,5
739169,532183,1
13002,532183,5
143169,532183,5
20694,19117,1
12560,19117,3
524433,19117,5
742051,19117,5
40617154,19117,5
4860,20093,5
20694,20093,5
898,20093,5
12560,20093,1
524433,20093,5
742051,20093,5
40617154,20093,5
4857,3828,5
741091,3828,5
14592,3828,5
3210,3828,1
11420,3828,3
13002,3828,5
495967,3828,5
532183,3828,3
4860,13261,5
4859,13261,5
19682,13261,3
20240,13261,2
10678785,13261,1
898,13261,5
12560,13261,5
524433,13261,5
742051,13261,5
19117,13261,5
20093,13261,5
19682,1344246,4
4712,1344246,3
898,1344246,5
12560,1344246,2
524433,1344246,5
143169,1344246,5
20093,1344246,5
13261,1344246,5
19682,7783,5
4712,7783,1
12560,7783,5
524433,7783,5
742051,7783,5
40617154,7783,5
19117,7783,5
13261,7783,1
1344246,7783,2
739169,511723,3
12573,511723,1
11420,511723,5
13002,511723,4
143169,511723,5
495967,511723,5
532183,511723,5
3828,511723,5
21861,20811,4
20694,20811,5
524433,20811,4
742051,20811,5
20093,20811,5
13261,20811,5
739169,17302,4
14592,17302,1
143169,17302,5
495967,17302,5
532183,17302,5
511723,17302,5
50219,19593,5
20694,19593,5
898,19593,5
12560,19593,3
524433,19593,5
742051,19593,5
40617154,19593,5
19117,19593,2
20093,19593,5
13261,19593,5
1344246,19593,1
7783,19593,5
20811,19593,5
898,20688,5
524433,20688,5
742051,20688,3
20093,20688,3
20811,20688,5
19593,20688,5
898,742674,5
524433,742674,5
742051,742674,5
20093,742674,5
20811,742674,5
19593,742674,5
20688,742674,5
19682,904,5
4712,904,1
898,904,3
12560,904,5
524433,904,5
742051,904,5
40617154,904,5
19117,904,5
13261,904,5
1344246,904,5
7783,904,5
20811,904,2
19593,904,5
