"node_1","node_2","edge"
21561,4712,5
532183,3624,2
532183,4858,2
3624,4858,5
532183,7746,1
3624,7746,5
4858,7746,5
3624,10402,2
4858,10402,5
7746,10402,3
4858,40613801,1
10402,40613801,1
18457,898,5
4712,898,5
21561,15793,5
898,15793,5
18457,20093,2
898,20093,5
15793,20093,1
18457,742454,5
4712,742454,1
898,742454,5
15793,742454,5
20093,742454,5
4712,19721,5
15793,19721,3
20093,19721,5
742454,19721,5
18457,19117,5
4712,19117,3
898,19117,4
15793,19117,5
20093,19117,5
742454,19117,5
19721,19117,3
20093,19682,3
742454,19682,5
19117,19682,5
21561,20240,5
19721,20240,2
19117,20240,1
18457,22614,5
4712,22614,4
898,22614,5
15793,22614,5
20093,22614,5
742454,22614,5
19721,22614,5
19117,22614,5
19682,22614,5
18457,146227,5
4712,146227,2
898,146227,5
15793,146227,5
20093,146227,5
742454,146227,5
19721,146227,5
19117,146227,5
19682,146227,5
22614,146227,5
10402,23620,3
18465,286832,5
532183,286832,5
3624,286832,5
4858,286832,5
7746,286832,5
10402,286832,5
40613801,286832,5
23620,286832,5
532183,172320,5
3624,172320,4
4858,172320,2
7746,172320,5
10402,172320,2
40613801,172320,4
286832,172320,5
10402,16395,5
20093,742674,5
742454,742674,3
19721,742674,5
19117,742674,5
19682,742674,3
22614,742674,5
146227,742674,5
18465,282907,2
532183,282907,5
3624,282907,5
4858,282907,5
7746,282907,5
10402,282907,5
40613801,282907,3
23620,282907,3
286832,282907,5
172320,282907,5
18457,124086,5
898,124086,5
15793,124086,4
20093,124086,5
742454,124086,5
19721,124086,3
19117,124086,4
19682,124086,5
22614,124086,5
146227,124086,5
742674,124086,2
3624,17295,5
4858,17295,3
7746,17295,4
10402,17295,2
286832,17295,5
172320,17295,5
282907,17295,5
18465,67458,2
532183,67458,5
3624,67458,5
4858,67458,5
7746,67458,5
10402,67458,5
40613801,67458,1
23620,67458,5
286832,67458,5
172320,67458,5
282907,67458,5
17295,67458,5
18465,154098,5
3210,154098,2
532183,154098,5
3624,154098,5
7746,154098,5
10402,154098,5
23620,154098,5
286832,154098,5
172320,154098,5
282907,154098,5
17295,154098,5
67458,154098,5
21561,4859,5
4712,4859,2
898,4859,5
15793,4859,5
20093,4859,5
742454,4859,5
19721,4859,5
19117,4859,5
19682,4859,5
22614,4859,5
146227,4859,5
124086,4859,2
4858,7785,2
10402,7785,5
40613801,7785,1
18457,1020,3
898,1020,5
15793,1020,1
20093,1020,5
742454,1020,5
19117,1020,5
19682,1020,1
22614,1020,5
146227,1020,5
742674,1020,5
124086,1020,5
4859,1020,2
18457,18825,5
4712,18825,3
898,18825,5
15793,18825,5
20093,18825,5
742454,18825,5
19117,18825,5
19682,18825,5
22614,18825,5
146227,18825,5
742674,18825,5
124086,18825,5
4859,18825,5
1020,18825,5
16395,610,5
742674,610,5
532183,21464,1
3624,21464,5
4858,21464,5
7746,21464,5
286832,21464,5
172320,21464,5
282907,21464,5
17295,21464,4
67458,21464,5
154098,21464,5
18465,27361,5
532183,27361,5
3624,27361,5
4858,27361,5
7746,27361,5
10402,27361,5
40613801,27361,5
898,27361,2
20093,27361,3
23620,27361,4
286832,27361,5
172320,27361,5
742674,27361,5
282907,27361,5
17295,27361,5
67458,27361,5
1020,27361,3
18825,27361,1
610,27361,1
21464,27361,5
4858,24730004,5
10402,24730004,5
40613801,24730004,3
23620,24730004,1
286832,24730004,2
16395,24730004,5
742674,24730004,5
282907,24730004,1
67458,24730004,1
7785,24730004,3
610,24730004,5
27361,24730004,5
3210,20989133,1
4089,20989133,1
532183,20989133,5
4445,20989133,1
7746,20989133,1
40613801,20989133,5
23620,20989133,5
172320,20989133,5
16395,20989133,5
7787,20989133,5
5291,20989133,5
7785,20989133,5
610,20989133,1
24730004,20989133,5
19117,20811,1
742674,20811,2
24730004,20811,5
21561,259,3
16395,259,5
495725,259,1
24730004,259,5
20989133,259,3
286832,4079,3
742674,4079,2
21464,4079,1
27361,4079,5
20989133,4079,3
21561,7780,2
20989133,7780,5
18457,507640,5
4712,507640,5
898,507640,5
15793,507640,5
20093,507640,5
742454,507640,5
19117,507640,5
19682,507640,5
22614,507640,5
146227,507640,5
742674,507640,5
124086,507640,5
4859,507640,5
1020,507640,5
18825,507640,5
532183,2117070,3
40613801,2117070,5
172320,2117070,5
16395,2117070,5
7785,2117070,2
24730004,2117070,5
20989133,2117070,2
259,2117070,5
21561,904,5
4712,904,5
898,904,5
15793,904,3
20093,904,5
742454,904,5
19721,904,5
19117,904,5
20240,904,5
22614,904,5
146227,904,5
124086,904,5
4859,904,5
1020,904,5
18825,904,5
507640,904,5
4858,645,5
286832,645,5
282907,645,2
67458,645,2
154098,645,5
21464,645,4
27361,645,4
20989133,645,1
898,19902,2
15793,19902,1
20093,19902,5
742454,19902,5
19721,19902,5
19117,19902,5
19682,19902,5
22614,19902,5
146227,19902,5
742674,19902,4
124086,19902,5
4859,19902,5
1020,19902,5
18825,19902,5
507640,19902,5
904,19902,5
7785,2710,5
20989133,14158,5
10402,130,2
16395,130,5
610,130,5
27361,130,5
24730004,130,5
20989133,130,5
259,130,5
2117070,130,5
851,3273,5
4089,3273,2
4445,3273,1
10402,3273,5
40613801,3273,5
23620,3273,5
172320,3273,1
3185,3273,3
16395,3273,5
67458,3273,5
610,3273,5
24730004,3273,5
20989133,3273,5
259,3273,5
4079,3273,2
7780,3273,5
2117070,3273,5
14158,3273,5
130,3273,5
