"node_1","node_2","edge"
4864,9361921,5
9128935,9151792,5
9128935,9199102,5
9151792,9152714,5
9128935,9153409,5
5598,1741,3
9361921,1741,2
9128935,9154193,4
9128935,14214,2
9199102,14214,5
9152714,14214,1
9151792,9152396,5
9128935,9152587,5
9151792,9152587,5
1741,9354200,2
4864,7558,3
9361921,7558,2
9199102,7558,3
9152714,7558,5
9154193,7558,2
14214,7558,1
4864,19117,3
9297956,19117,3
1741,19117,2
4864,9156011,1
4862,9156011,2
4862,9355851,5
9156011,9355851,5
9199102,3178,5
14214,3178,5
9152396,3178,1
9152587,3178,1
4864,9171248,5
19117,9171248,1
9128935,40617300,5
9209288,40617300,5
9154193,40617300,5
7558,40617300,3
4864,20148,5
9297956,20148,5
9354200,20148,1
19117,20148,5
9128471,20148,1
4862,9151828,5
9199102,9236655,5
14214,9236655,1
7558,9236655,1
3178,9236655,1
14214,7827,1
9297956,4099,5
9361921,4099,5
9199102,4099,3
9152714,4099,1
9354200,4099,2
9298273,4099,1
19117,19414,1
4864,19744,2
9297956,19744,3
19117,19744,1
9156011,19744,1
9355851,19744,1
20148,19744,1
9297956,20782,5
9361921,20782,5
1741,20782,1
19117,20782,3
4099,20782,3
19414,20782,5
1741,9239381,1
9213521,9239381,1
19414,9239381,5
20782,9239381,2
1741,40617236,2
4862,14216,1
9152714,14216,2
9152396,14216,1
7827,14216,2
9128935,9296497,5
9128935,12939,5
9151792,12939,5
9199102,12939,5
9154193,12939,1
14214,12939,2
9152587,12939,1
7558,12939,1
40617300,12939,1
9296497,12939,1
9128935,9301789,5
9153409,9301789,5
9296497,9301789,5
12939,9301789,3
9156011,20830,2
14214,4446,1
9152587,4446,1
5598,12323,4
9361921,12323,5
1741,12323,5
19117,12323,2
9156011,12323,1
9355851,12323,2
20148,12323,1
9239381,12323,1
9297956,19231,5
19117,19231,1
9156011,19231,2
10936540,19231,2
5598,20280,5
4864,20280,5
4862,20280,3
9361921,20280,1
19117,20280,3
9156011,20280,2
9171248,20280,3
20148,20280,3
9298273,20280,1
19414,20280,2
9239381,20280,2
12323,20280,3
4864,7834,1
9361921,7834,2
19117,7834,1
20148,7834,1
20280,7834,2
9298273,14225,5
4099,14225,1
20830,14225,1
20280,14225,1
4864,6038,5
7558,6038,1
9239381,6038,2
12939,6038,1
20830,6038,2
5598,904,5
1741,904,3
19117,904,1
9213521,904,3
19744,904,1
9239381,904,5
12323,904,5
20280,904,5
19744,9128076,2
12323,9128076,1
9298273,19645,1
19414,19645,2
9239381,19645,2
9128076,19645,5
19117,9128310,2
19414,9128310,1
19231,9128310,1
19645,9128310,5
4864,7594,5
9361921,7594,5
9152587,7594,3
7558,7594,1
9151828,7594,1
4446,7594,5
4862,19489,1
9151828,19489,2
19231,19489,1
14225,19489,2
4864,4098,2
9152587,4098,1
9354200,4098,2
9190544,4098,1
14216,4098,3
4446,4098,1
7594,4098,5
9298273,3619,2
14225,3619,1
19645,3619,1
4862,20672,2
9355851,20672,3
20148,20672,1
19414,20672,1
20782,20672,5
9239381,20672,1
20280,20672,2
7834,20672,1
4862,20809,2
9355851,20809,1
9239381,20809,1
12323,20809,4
6038,20809,3
9128076,20809,1
3619,20809,1
20672,20809,2
4864,20388,1
9354200,20388,5
19117,20388,2
20148,20388,1
20782,20388,2
1741,20860,1
12323,20860,2
20280,20860,3
9128471,19999,1
20148,19999,1
19414,19999,1
9239381,19999,1
12323,19999,2
20860,19999,1
4864,9204450,1
9361921,9204450,5
1741,9204450,2
12323,9204450,3
20388,9204450,1
4864,3746,5
9361921,3746,4
9190544,3746,2
4098,3746,5
9128935,40617224,5
9209288,40617224,5
9154193,40617224,5
7558,40617224,1
40617300,40617224,5
9152396,7829,1
14216,7829,2
3746,7829,3
1741,9128665,1
19744,9128665,1
14216,9128665,1
