"node_1","node_2","edge"
15890,21165,5
9157278,9152587,5
4864,9696,3
9157278,9143897,5
9152587,9143897,5
9157278,9152843,5
9696,19489,1
4864,11693,3
4864,9156955,5
9373105,40617249,3
4864,40617254,1
9373105,40617254,5
9128021,40617254,1
40617249,40617254,5
9157278,9151792,5
9152587,9151792,5
9143897,9151792,5
4864,20148,2
9158344,20148,4
9373105,20148,1
11693,20148,2
40617254,20148,2
15890,7764,5
21165,7764,5
9696,7764,3
15890,10936540,5
9152587,10936540,5
9143897,10936540,3
9151792,10936540,5
9177389,9130922,2
7831,9130922,2
9696,7820,3
19489,7820,5
7831,7820,3
9130922,7820,1
15890,7821,3
9696,7821,5
19489,7821,3
7764,7821,2
7820,7821,4
21165,7558,2
9128021,7558,1
9373105,19333,1
9128021,19333,1
11693,19333,2
20148,19333,3
15890,40617224,5
21165,40617224,5
7764,40617224,3
9151462,9175026,2
9128021,9175026,2
9177389,9175026,2
9151792,9152714,2
7831,9152714,2
9128695,3619,5
21165,3178,1
9128021,3178,1
9128695,904,5
20148,904,3
3619,904,3
19489,3746,1
7831,3746,1
7558,3746,1
3178,3746,2
9128021,9128817,4
40617254,9128817,2
904,9128817,2
3746,9128817,1
4864,4098,2
19489,4098,1
7831,4098,3
7820,4098,1
7558,4098,3
3746,4098,3
9151462,4099,2
19489,4099,2
9128021,4099,2
9175026,4099,1
3178,4099,2
9696,7827,1
9158344,7827,1
7831,7827,1
7820,7827,1
3178,7827,1
3746,7827,1
4098,7827,3
4099,7827,1
15890,14214,5
9151792,14214,1
7831,14214,1
7827,14214,2
9696,14216,3
9128021,14216,3
7764,14216,4
9177389,14216,2
9130922,14216,1
7820,14216,3
7821,14216,3
3178,14216,1
4099,14216,2
15890,9213521,5
21165,9213521,5
7764,9213521,3
7831,9213521,1
40617224,9213521,5
904,9213521,3
7827,9213521,2
14214,9213521,2
9128695,1741,5
904,1741,5
9128695,12323,5
4864,12323,1
9696,12323,1
20148,12323,1
19333,12323,1
904,12323,5
9128817,12323,1
1741,12323,5
9128695,4413,3
4864,4413,5
9128021,4413,1
9156955,4413,2
3746,4413,1
4098,4413,4
9696,20782,3
19333,20782,1
9128817,20782,1
12323,20782,2
21165,7823,2
9696,7823,5
7820,7823,1
7821,7823,4
40617224,7823,1
7827,7823,1
15890,4446,5
21165,4446,5
7764,4446,5
7558,4446,2
40617224,4446,5
3178,4446,2
7827,4446,1
9213521,4446,5
4413,4446,1
15890,40617214,5
21165,40617214,5
7764,40617214,2
40617224,40617214,4
14214,40617214,4
9213521,40617214,3
7823,40617214,1
4446,40617214,5
19489,7829,1
9177389,7829,1
7831,7829,1
9130922,7829,1
7820,7829,1
9175026,7829,3
9152714,7829,2
4099,7829,2
14216,7829,1
21165,1528,5
9696,1528,2
7823,1528,2
21165,21053,4
7558,21053,2
4099,21053,3
4413,21053,1
1528,21053,3
