"node_1","node_2","edge"
3708158,5548,5
4867,5609,5
4865,5618,5
3708158,5618,5
4867,3691367,5
4865,7877,5
4867,7876,5
5609,7876,5
7876,8497,5
4867,3880695,5
3691367,3880695,5
4867,4087278,5
3691367,4087278,5
3880695,4087278,5
4867,5539,5
3691367,5539,5
3880695,5539,5
4087278,5539,5
4865,5555,5
5618,5555,5
7877,5555,5
3708158,4031870,2
5618,4031870,5
3691367,7898,4
4865,18881,2
5607,3838542,5
5548,3838542,5
7876,3801116,5
4867,5615,5
5609,5615,5
7876,5615,5
7877,7887,2
3838542,7887,1
4867,3880800,5
7877,3880800,1
7898,3880800,5
7887,3880800,1
5604,5585,5
4867,4184970,5
5609,4184970,4
3691367,4184970,3
3880695,4184970,5
4087278,4184970,5
5539,4184970,5
5615,4184970,5
4867,19780,4
3691367,19780,2
7876,19780,5
3880695,19780,2
4087278,19780,1
5539,19780,3
4184970,19780,1
4867,20617,4
7876,20617,5
8497,20617,5
5615,20617,5
4184970,20617,5
19780,20617,5
4867,20243,3
5609,20243,5
7876,20243,2
8497,20243,3
3880695,20243,5
4087278,20243,4
5539,20243,5
5615,20243,1
19780,20243,4
20617,20243,2
4865,10435,5
7877,10435,1
4867,5541,5
3691367,5541,5
3880695,5541,5
4087278,5541,5
5539,5541,5
7898,5541,3
4184970,5541,5
19780,5541,5
20243,5541,4
4867,5579,5
3691367,5579,5
7876,5579,1
3880695,5579,5
4087278,5579,5
5539,5579,5
4184970,5579,2
5541,5579,5
7898,6327,3
3880800,6327,5
4867,20424,3
5609,20424,2
18881,20424,5
5615,20424,5
4184970,20424,5
20617,20424,5
5607,958,2
5604,958,3
7887,958,1
3880800,958,5
5585,958,5
6327,958,1
3880800,7354,1
5585,7354,1
4865,21110,5
20424,21110,5
3708158,5768,5
5548,5768,3
5609,5768,5
20424,5768,1
4865,17308,5
4047182,17308,5
3708158,17308,5
5548,17308,2
5604,17308,1
5618,17308,1
5555,17308,4
4031870,17308,4
5585,17308,2
4867,19770,5
5609,19770,5
3691367,19770,5
3880695,19770,5
4087278,19770,5
5539,19770,5
5615,19770,5
19780,19770,3
5541,19770,5
5579,19770,5
20424,19770,5
4865,207,5
3708158,207,2
3880800,207,5
6327,207,2
4865,4073,5
3708158,1355,5
5548,1355,5
5609,1355,5
3801116,1355,2
20424,1355,5
5768,1355,5
4865,4447,1
20424,7309,5
19770,7309,2
4867,6969,4
7876,6969,5
8497,6969,5
19780,6969,5
20617,6969,5
20243,6969,5
7354,6969,2
4867,7900,1
5609,7900,5
7876,7900,4
8497,7900,5
19780,7900,5
20617,7900,4
20243,7900,2
20424,7900,2
6969,7900,5
7876,19466,5
8497,19466,5
19780,19466,5
20617,19466,5
20243,19466,1
6969,19466,5
7900,19466,5
4867,19600,2
7876,19600,1
3801116,19600,4
5615,19600,4
20617,19600,3
5541,19600,1
20424,19600,4
6969,19600,2
4865,132,5
4047182,132,5
5604,132,3
7877,132,2
5555,132,1
5585,132,1
958,132,2
4865,7886,5
20424,7886,5
19780,4370663,5
20617,4370663,5
7354,4370663,1
5768,4370663,2
6969,4370663,5
19466,4370663,5
207,10936540,1
5607,3785491,3
3691367,3785491,5
4087278,3785491,5
19770,3785491,5
3801116,1194,3
20424,1194,5
5768,1194,5
1355,1194,5
7309,1194,1
4865,6899,2
18881,2692,5
20424,2692,5
21110,2692,5
5768,2692,1
19770,2692,5
1355,2692,2
7309,2692,5
7886,2692,5
1194,2692,3
4867,4181163,5
5609,4181163,5
7876,4181163,5
8497,4181163,3
3801116,4181163,4
5615,4181163,5
7887,4181163,4
20617,4181163,5
20243,4181163,3
1355,4181163,5
6969,4181163,5
7900,4181163,5
19466,4181163,1
