"node_1","node_2","edge"
10019,1025,2
10408,1041,1
10019,10435,1
10408,1075727,1
10019,1087,2
10019,10936540,1
10408,10936540,1
10019,115,2
10041,11653,1
10041,11724,2
1075727,11724,2
10041,1194,2
11724,1194,1
10019,12289604,1
10019,12382,1
10041,12382,2
10245740,12382,1
1025,12382,1
10936540,12382,2
10019,1256,1
10041,1256,1
1025,1256,1
12382,1256,2
10041,12582,1
1041,12582,1
10245740,1277,1
1075727,1277,2
10019,1281,2
1025,1281,2
10435,1281,1
1087,1281,1
12289604,1281,1
1256,1281,1
10245740,12819,1
10408,12819,1
10435,12819,1
11653,12819,1
1277,12819,1
10019,12984,1
10041,12984,1
11653,12984,1
1256,12984,1
1281,12984,1
10435,132,1
10041,13535,1
10435,13535,1
11724,13535,1
1194,13535,1
1256,13535,1
1281,13535,1
10019,1355,1
10245740,1355,2
10435,1355,1
10041,13601454,1
1025,13601454,2
11724,13601454,3
1194,13601454,1
12289604,13601454,2
1256,13601454,2
1281,13601454,2
13535,13601454,1
10435,13848,1
1075727,13848,2
12289604,13848,1
132,13848,1
10408,13874,1
1075727,13874,2
10245740,14026605,3
10435,14026605,1
1256,14026605,1
10041,14028804,2
1075727,14028804,1
1194,14028804,1
12382,14028804,2
1256,14028804,2
132,14028804,1
13535,14028804,1
13848,14028804,2
10041,14178,1
1075727,14178,2
1194,14178,1
12582,14178,2
13848,14178,2
13874,14178,1
10245740,14259,1
12289604,14259,1
1194,14260,1
1256,14260,1
1281,14260,2
13601454,14260,1
12382,14262,1
1256,14262,1
1281,14262,1
12984,14262,1
14026605,14262,1
10245740,14265,1
11724,14265,1
10041,14268,1
10245740,14268,2
1194,14268,1
12289604,14268,1
12582,14268,2
14026605,14268,1
14178,14268,2
10019,14270,1
1025,14270,1
1256,14270,1
1281,14270,2
12984,14270,1
13601454,14270,1
14028804,14270,1
14260,14270,1
14262,14270,1
1025,14272,2
1075727,14272,2
1256,14272,1
1281,14272,2
12984,14272,1
13535,14272,2
13601454,14272,2
13848,14272,2
14028804,14272,2
14178,14272,1
14260,14272,2
14270,14272,1
10041,145,1
10245740,145,1
12289604,145,1
12382,145,2
12582,145,1
14028804,145,2
14268,145,1
1087,14882,2
115,14882,2
11724,14882,1
14028804,14882,1
14265,14882,1
1025,14911,1
10668,14911,1
12289604,14911,2
1256,14911,2
12582,14911,1
1281,14911,2
13535,14911,2
13601454,14911,2
14178,14911,1
14260,14911,2
14270,14911,2
14272,14911,2
145,14911,1
14882,14911,1
10245740,14991,2
10408,14991,1
12819,14991,1
14260,14991,1
1041,1505,1
115,1505,1
1194,1505,1
12582,1505,2
14178,1505,1
14265,1505,1
14268,1505,2
14882,1505,2
10019,1522,2
10245740,1522,1
10435,1522,1
12289604,1522,1
12582,1522,2
1281,1522,2
14026605,1522,1
14911,1522,1
10245740,15297,1
1025,15297,1
10435,15297,1
12289604,15297,2
1256,15297,1
1281,15297,2
13601454,15297,2
14026605,15297,2
14260,15297,1
14268,15297,1
14270,15297,1
14272,15297,1
14911,15297,2
1522,15297,1
12382,1540,1
1281,1540,3
14262,1540,1
14272,1540,2
1522,1540,1
10245740,15662,1
14026605,15662,1
14268,15662,1
1522,15662,1
10245740,15910,2
11653,15910,1
12582,15910,2
12819,15910,2
12984,15910,1
13535,15910,1
14265,15910,1
14991,15910,2
1087,15952,2
11724,15952,1
1281,15952,1
13535,15952,1
14260,15952,1
14268,15952,1
145,15952,1
14882,15952,2
14911,15952,2
1505,15952,2
1522,15952,1
1540,15952,1
10041,15954836,1
1025,15954836,1
12382,15954836,1
1256,15954836,1
1281,15954836,1
12984,15954836,1
13874,15954836,2
14028804,15954836,1
14260,15954836,1
14262,15954836,2
14270,15954836,1
1522,15954836,1
1540,15954836,1
15910,15954836,1
11724,15971,1
12582,15971,1
14178,15971,1
14268,15971,1
145,15971,1
14882,15971,2
14911,15971,1
1505,15971,1
1522,15971,1
15952,15971,1
1025,16129,1
10408,16129,2
1075727,16129,2
11724,16129,1
1256,16129,1
1281,16129,2
13601454,16129,2
13874,16129,2
14270,16129,1
14272,16129,1
14882,16129,1
14911,16129,2
10245740,16206,2
10408,16206,1
1116,16206,1
115,16206,1
12984,16206,1
14270,16206,1
14882,16206,2
1505,16206,2
15952,16206,2
15971,16206,1
1025,1622298,3
10668,1622298,1
12289604,1622298,2
1256,1622298,2
1281,1622298,2
12984,1622298,1
13535,1622298,1
13601454,1622298,2
14260,1622298,1
14262,1622298,2
14270,1622298,3
14272,1622298,2
14911,1622298,2
1522,1622298,1
15297,1622298,2
15910,1622298,1
15952,1622298,1
15954836,1622298,1
16129,1622298,2
10041,1623103,1
12289604,1623103,1
12382,1623103,2
1256,1623103,1
14028804,1623103,2
14882,1623103,1
14911,1623103,1
15952,1623103,1
10408,16704,2
16129,16704,2
1041,16712085,1
11653,16712085,2
12289604,16712085,1
12582,16712085,1
1281,16712085,2
12819,16712085,1
13535,16712085,1
13601454,16712085,2
