"node_1","node_2","edge"
7160,14243,1
7160,7859,5
7160,14355,5
7160,19052,5
14355,19052,5
14243,18575,2
14355,18575,3
19052,18575,1
7160,7848,1
14243,1917,5
18575,1917,5
5768,2695,5
18575,8116738,2
7160,37089272,3
14355,37089272,5
14243,34745210,1
34745210,10936540,1
5768,1355,5
2695,1355,3
14243,16673314,5
18575,16673314,5
1917,16673314,5
8116738,16673314,4
7858,16673314,3
37089272,16673314,5
34745210,16673314,1
5768,20845086,4
19052,20845086,2
1917,20845086,5
39430677,20845086,5
1355,20845086,3
20845086,207,1
5768,566,5
2695,566,4
1355,566,2
5768,2533,5
2695,2533,5
34745210,2533,3
6647,2533,3
1355,2533,5
207,2533,1
566,2533,5
5768,7847,5
2695,7847,5
1355,7847,3
20845086,7847,1
566,7847,5
2533,7847,5
2533,7852,2
2533,18880,5
14243,19699613,5
7847,19699613,2
2533,259,1
7160,7007,5
14355,7007,1
566,7007,2
2533,7007,4
2533,7864,5
7847,7864,1
5768,2710,5
18575,2710,1
2695,2710,5
8116738,2710,1
1355,2710,5
566,2710,5
7847,2710,5
7007,2710,5
2533,913,2
2695,651,1
8116738,651,5
20845086,651,3
7847,651,1
2710,651,5
37089272,1702,1
2533,1702,1
5768,1116,1
2695,1116,1
566,1116,4
2533,1116,5
7847,1116,1
18880,1116,2
2533,61441,1
14243,1096,5
5768,1096,4
2695,1096,3
34745210,1096,3
4109,1096,5
6647,1096,2
1355,1096,5
207,1096,3
2533,1096,5
7847,1096,5
18880,1096,1
19699613,1096,5
7864,1096,2
1116,1096,1
7499,8196762,5
2695,5946,2
20845086,5946,1
566,5946,1
7847,5946,3
2710,5946,5
651,5946,5
651,8145766,2
5768,860,5
2695,860,5
6647,860,1
1355,860,5
566,860,5
2533,860,5
7847,860,5
7007,860,5
7864,860,2
2710,860,5
1702,860,1
1116,860,5
1096,860,2
566,32372850,5
2533,32372850,5
7847,32372850,1
7852,32372850,3
18880,32372850,5
7864,32372850,1
1116,32372850,3
5946,32372850,2
860,32372850,2
5768,14761,5
7859,14761,3
18575,14761,1
2695,14761,5
7858,14761,3
34745210,14761,5
4109,14761,4
6647,14761,5
