"node_1","node_2","edge"
40617571,7084,3
40617571,7667249,5
40617571,8640,3
7682431,7055534,1
7682431,8638,5
7705793,7515,1
6790,6791,5
40617571,6791,2
40617571,7871,3
40617571,7517,5
6788,12474,5
7959698,12474,3
7705793,12474,3
7682431,12474,2
7055534,12474,2
7515,12474,3
6790,4869,5
40617571,4869,5
7084,4869,3
8386,4869,3
7667249,4869,5
8640,4869,3
7667212,4869,2
6791,4869,5
7871,4869,3
7517,4869,3
40617571,7914,5
7667249,7914,4
8640,7914,3
6791,7914,5
7871,7914,3
7517,7914,5
4869,7914,5
7959698,7934,2
7055534,7934,5
7515,7934,3
12474,7934,5
7959698,29422700,2
7515,29422700,1
7871,29422700,2
12474,29422700,2
7934,29422700,2
6790,26185725,3
40617571,26185725,3
6791,26185725,5
4869,26185725,2
7914,26185725,3
7959698,7917,4
7515,7917,2
7871,7917,3
26185725,7917,1
7959698,7939,5
7705793,7939,1
7917,7939,5
6790,20244,1
6788,20244,2
12474,20244,5
7934,20244,5
29422700,20244,1
40617571,7690567,1
26185725,7690567,2
40617571,7396,5
8640,7396,5
7667212,7396,2
4869,7396,2
7914,7396,3
7055534,18889,1
7871,18889,3
7914,18889,1
26185725,18889,4
7917,18889,3
7396,18889,1
8640,7678740,5
7914,7678740,1
7396,7678740,1
6790,7709982,5
9327,7709982,5
8640,7709982,3
6791,7709982,5
7517,7709982,1
4869,7709982,3
7914,7709982,1
7678740,7709982,1
6788,7921230,5
12474,7921230,5
7705793,20152,3
7682431,20152,1
7055534,20152,1
7515,20152,2
12474,20152,5
7934,20152,5
29422700,20152,2
20244,20152,5
6750,20152,1
40617571,7663969,2
7667249,7663969,5
7871,7663969,5
4869,7663969,5
7914,7663969,1
7705793,7940,3
7682431,7940,5
8638,7940,1
7515,7940,3
12474,7940,5
7934,7940,5
29422700,7940,1
20244,7940,5
20152,7940,5
40617571,9224,3
7667249,9224,4
7682431,9224,2
8638,9224,4
7871,9224,2
4869,9224,2
7914,9224,1
26185725,9224,3
7917,9224,1
18889,9224,3
7663969,9224,1
7682431,20837,4
8638,20837,5
12474,20837,1
7934,20837,2
7055534,1739,1
12474,1739,2
7934,1739,1
29422700,7904089,1
20244,7904089,1
7709982,7904089,1
1739,7904089,2
