"node_1","node_2","edge"
1739,1854,2
12017,18889,2
1687,18889,1
12525,19054,5
1687,19054,2
1854,19054,5
18889,19383,1
1854,19907,2
19054,20152,1
19383,20152,3
1739,20202,2
1854,20202,2
19907,20202,2
20152,20202,5
19907,20221,4
1739,20244,4
1854,20244,2
19907,20244,5
20152,20244,5
20202,20244,2
12525,2034,2
1687,2034,4
19054,2034,4
1687,2077,1
1739,2077,1
18889,2077,1
19054,2077,2
20152,2077,1
20202,2077,1
2034,2077,2
1739,20837,3
19383,20837,4
19907,20837,1
20152,20837,3
20202,20837,3
20244,20837,2
2077,20837,1
1739,21140,2
19383,21140,3
20152,21140,3
20221,21140,2
20837,21140,3
1687,2135,3
18889,2135,3
19054,2135,3
20152,2135,2
2034,2135,3
2077,2135,3
12525,2147,3
1687,2147,1
19907,2147,1
20152,2147,1
20221,2147,4
20244,2147,1
21140,2147,1
1687,2633,1
19383,2633,1
19907,2633,1
20152,2633,4
20202,2633,3
20221,2633,1
20244,2633,2
2077,2633,1
20837,2633,3
21140,2633,2
1687,281,1
18889,281,3
20221,281,1
2077,281,3
2135,281,3
1739,29422700,1
1854,29422700,2
19054,29422700,1
19907,29422700,4
20152,29422700,3
20202,29422700,2
20221,29422700,4
20244,29422700,4
2077,29422700,1
21140,29422700,1
2147,29422700,3
281,29422700,1
12017,372,1
1687,372,2
18889,372,2
20221,372,3
29422700,372,3
12525,40617571,2
1687,40617571,3
1854,40617571,2
19054,40617571,3
2034,40617571,3
12017,4122,1
1687,4122,1
2034,4122,2
40617571,4122,2
12525,435,1
1687,435,3
1739,435,1
1854,435,1
18889,435,3
19054,435,1
19907,435,1
20202,435,1
20221,435,1
20244,435,1
2034,435,2
2077,435,3
2135,435,3
2633,435,1
281,435,2
372,435,2
40617571,435,1
4122,435,3
12017,4411,2
1739,4411,1
18889,4411,3
19383,4411,1
19907,4411,1
20152,4411,2
20244,4411,1
20837,4411,1
21140,4411,1
2135,4411,1
29422700,4411,1
372,4411,1
435,4411,3
1739,4870,3
1854,4870,4
19907,4870,3
20152,4870,3
20202,4870,3
20221,4870,3
20244,4870,3
20837,4870,3
21140,4870,2
29422700,4870,3
372,4870,1
4411,4870,3
12017,5300,1
1687,5300,3
18889,5300,2
19054,5300,2
20152,5300,1
20202,5300,1
20221,5300,3
2034,5300,1
2077,5300,1
21140,5300,1
2135,5300,1
2633,5300,2
435,5300,3
4870,5300,1
12017,592,3
1687,592,2
1854,592,1
18889,592,1
2034,592,1
40617571,592,2
435,592,2
4411,592,1
4870,592,1
1854,6790,3
19054,6790,1
19383,6790,1
2034,6790,3
40617571,6790,2
4122,6790,3
4411,6790,1
12017,6791,3
18889,6791,1
2034,6791,3
2135,6791,1
281,6791,2
40617571,6791,3
4122,6791,3
435,6791,3
4411,6791,1
592,6791,3
6790,6791,3
1687,7663969,3
18889,7663969,1
20244,7663969,1
372,7663969,1
40617571,7663969,3
4122,7663969,3
435,7663969,3
592,7663969,1
6790,7663969,2
6791,7663969,2
12017,7667296,2
12525,7667296,2
18889,7667296,3
19383,7667296,2
20202,7667296,1
2077,7667296,1
2135,7667296,1
281,7667296,1
29422700,7667296,1
435,7667296,1
4411,7667296,3
592,7667296,3
6790,7667296,1
6791,7667296,1
7663969,7667296,1
1854,7674656,1
19054,7674656,1
19383,7674656,2
21140,7674656,1
2135,7674656,1
2633,7674656,1
281,7674656,1
4122,7674656,1
4870,7674656,1
7663969,7674656,1
1739,7688376,1
19383,7688376,1
2034,7688376,2
2077,7688376,1
6791,7688376,1
18889,7735956,1
20152,7735956,2
20244,7735956,1
20837,7735956,2
21140,7735956,2
29422700,7735956,1
372,7735956,1
4122,7735956,1
4870,7735956,1
6790,7735956,1
6791,7735956,1
7663969,7735956,1
1687,7750108,1
1854,7750108,1
19054,7750108,1
20152,7750108,2
20244,7750108,2
2077,7750108,1
2633,7750108,1
29422700,7750108,3
40617571,7750108,2
6790,7750108,1
7663969,7750108,2
7667296,7750108,1
7688376,7750108,1
1687,7871,2
1854,7871,3
19054,7871,2
19383,7871,1
2034,7871,1
2633,7871,1
40617571,7871,1
592,7871,1
6790,7871,2
7674656,7871,1
7688376,7871,2
1854,7872,1
18889,7872,1
19383,7872,2
20152,7872,1
20837,7872,1
21140,7872,2
2633,7872,3
29422700,7872,1
40617571,7872,1
435,7872,1
4411,7872,1
6791,7872,1
7667296,7872,1
7674656,7872,2
7871,7872,1
12017,7913,1
1687,7913,1
18889,7913,3
19383,7913,2
20152,7913,2
20202,7913,1
20221,7913,1
2077,7913,1
21140,7913,2
2135,7913,1
2147,7913,1
2633,7913,2
281,7913,1
372,7913,2
435,7913,4
4411,7913,2
5300,7913,1
592,7913,2
6791,7913,3
7667296,7913,3
7688376,7913,1
7872,7913,1
1687,7914,2
1854,7914,2
18889,7914,2
19054,7914,2
20152,7914,2
20202,7914,1
2034,7914,1
2077,7914,1
21140,7914,2
2135,7914,3
29422700,7914,2
372,7914,1
4122,7914,1
435,7914,2
4411,7914,3
5300,7914,2
592,7914,1
6790,7914,2
6791,7914,2
7663969,7914,2
7667296,7914,4
7688376,7914,1
7735956,7914,1
7872,7914,1
7913,7914,2
1687,7915,1
1739,7915,1
19054,7915,3
20152,7915,2
2077,7915,1
21140,7915,2
2633,7915,2
435,7915,2
4411,7915,1
5300,7915,3
6791,7915,1
7663969,7915,2
7667296,7915,2
7750108,7915,2
7913,7915,3
7914,7915,2
1687,7917,2
18889,7917,1
19054,7917,3
20152,7917,2
2034,7917,1
2077,7917,1
2135,7917,1
2147,7917,2
2633,7917,2
29422700,7917,1
372,7917,1
40617571,7917,2
435,7917,3
5300,7917,2
7663969,7917,3
7688376,7917,1
7750108,7917,2
7914,7917,2
7915,7917,1
12525,7918,1
1687,7918,2
18889,7918,1
19054,7918,2
20202,7918,1
2034,7918,2
2077,7918,1
2633,7918,1
40617571,7918,2
4122,7918,1
435,7918,2
4411,7918,1
4870,7918,1
5300,7918,1
592,7918,1
6790,7918,1
7663969,7918,2
7667296,7918,1
7674656,7918,1
7735956,7918,1
7750108,7918,1
7871,7918,2
7914,7918,2
7915,7918,1
7917,7918,1
1687,7919,1
1739,7919,1
19383,7919,1
19907,7919,1
20152,7919,2
20202,7919,2
20244,7919,1
2034,7919,1
2077,7919,1
20837,7919,2
2135,7919,1
2633,7919,3
281,7919,1
40617571,7919,1
