"node_1","node_2","edge"
2218,298,1
20971,18894,1
2218,18894,5
298,18894,5
856,18894,4
2116,18894,3
3838,18894,5
2218,20254,2
18894,20254,5
18894,61441,3
4873,5845254,5
4752,5845254,5
20971,5845254,5
2218,5845254,5
3829,5845254,5
4450,5845254,1
298,5845254,5
856,5845254,5
2116,5845254,5
3838,5845254,5
18894,5845254,5
20254,5845254,5
61441,5845254,5
2218,3222,5
18894,3222,5
5845254,3222,5
18894,10442,4
5845254,10442,4
18894,1864,5
5845254,1864,5
5845254,3188,1
4752,3412,1
2218,3412,5
298,3412,5
856,3412,5
2116,3412,3
3838,3412,2
18894,3412,5
20254,3412,5
61441,3412,2
5845254,3412,5
3222,3412,5
20971,8202,1
2218,8202,5
298,8202,5
856,8202,5
2116,8202,5
3838,8202,5
18894,8202,5
20254,8202,5
61441,8202,2
5845254,8202,5
3222,8202,5
10442,8202,5
1864,8202,5
3412,8202,5
2218,8204,2
18894,8204,5
5845254,8204,5
3412,8204,5
8202,8204,5
2218,10289,5
18894,10289,5
5845254,10289,5
3222,10289,1
3412,10289,5
8202,10289,5
4752,6182,5
20971,6182,5
2218,6182,5
3829,6182,1
4450,6182,1
298,6182,5
856,6182,5
2116,6182,5
3838,6182,5
18894,6182,5
20254,6182,5
61441,6182,5
5845254,6182,5
3222,6182,5
10442,6182,4
1864,6182,5
3412,6182,5
8202,6182,5
8204,6182,5
10289,6182,5
20971,8211,1
2218,8211,5
18894,8211,5
20254,8211,3
5845254,8211,5
3222,8211,4
3412,8211,5
8202,8211,5
8204,8211,3
10289,8211,5
6182,8211,5
4871,5848221,5
4872,5848221,3
5845254,6383723,1
4873,1338,5
4752,1338,5
20971,1338,5
2218,1338,5
3829,1338,5
4714,1338,5
4450,1338,5
298,1338,5
856,1338,5
2116,1338,5
3838,1338,5
18894,1338,5
20254,1338,5
61441,1338,5
5845254,1338,5
3222,1338,5
10442,1338,5
1864,1338,5
3188,1338,5
3412,1338,5
8202,1338,5
8204,1338,5
10289,1338,5
6182,1338,5
8211,1338,5
4873,1791605,5
4752,1791605,5
20971,1791605,5
2218,1791605,5
3829,1791605,5
4714,1791605,2
4450,1791605,5
298,1791605,5
856,1791605,5
2116,1791605,5
3838,1791605,5
18894,1791605,5
20254,1791605,5
61441,1791605,5
5845254,1791605,5
3222,1791605,5
10442,1791605,5
1864,1791605,5
3188,1791605,5
3412,1791605,5
8202,1791605,5
8204,1791605,5
10289,1791605,5
6182,1791605,5
8211,1791605,5
1338,1791605,5
4752,8920,2
20971,8920,2
2218,8920,5
3829,8920,1
298,8920,5
856,8920,5
2116,8920,3
3838,8920,2
18894,8920,5
20254,8920,5
61441,8920,3
5845254,8920,5
3222,8920,5
1864,8920,1
3412,8920,5
8202,8920,5
8204,8920,5
10289,8920,5
6182,8920,5
8211,8920,5
6383723,8920,5
1338,8920,5
1791605,8920,5
5845254,6283,2
6182,6283,2
1338,6283,5
1791605,6283,5
4871,5979759,5
20971,5846867,5
4871,874,3
2218,874,4
18894,874,5
20254,874,1
5845254,874,5
3412,874,5
8202,874,5
10289,874,2
6182,874,5
8211,874,3
1338,874,5
1791605,874,5
8920,874,5
4873,1854,5
4752,1854,5
20971,1854,5
2218,1854,5
3829,1854,5
4714,1854,2
4450,1854,5
298,1854,5
856,1854,5
2116,1854,5
3838,1854,5
18894,1854,5
20254,1854,5
61441,1854,5
5845254,1854,5
3222,1854,5
10442,1854,5
1864,1854,5
3188,1854,5
3412,1854,5
8202,1854,5
8204,1854,5
10289,1854,5
6182,1854,5
8211,1854,5
1338,1854,5
1791605,1854,5
8920,1854,5
6283,1854,5
874,1854,5
2218,2446,1
18894,2446,1
5845254,2446,5
3412,2446,5
8202,2446,5
6182,2446,5
1338,2446,5
1791605,2446,5
8920,2446,5
1854,2446,5
4873,3479,1
4752,3479,5
20971,3479,3
2218,3479,5
3829,3479,3
298,3479,5
856,3479,5
2116,3479,5
3838,3479,5
18894,3479,5
20254,3479,5
61441,3479,5
5845254,3479,5
3222,3479,5
10442,3479,5
1864,3479,5
3188,3479,1
3412,3479,5
8202,3479,5
8204,3479,5
10289,3479,5
6182,3479,5
8211,3479,5
1338,3479,5
1791605,3479,5
8920,3479,5
6283,3479,1
874,3479,5
1854,3479,5
2446,3479,5
4873,4028,5
4752,4028,5
20971,4028,5
2218,4028,5
3829,4028,5
4450,4028,5
298,4028,5
856,4028,5
2116,4028,5
3838,4028,5
18894,4028,5
20254,4028,5
61441,4028,5
5845254,4028,5
3222,4028,5
10442,4028,5
1864,4028,5
3188,4028,5
3412,4028,5
8202,4028,5
8204,4028,5
10289,4028,5
6182,4028,5
8211,4028,5
1338,4028,5
1791605,4028,5
8920,4028,5
6283,4028,5
874,4028,5
1854,4028,5
2446,4028,5
3479,4028,5
5845254,8197,5
6182,8197,3
1338,8197,5
1791605,8197,5
8920,8197,4
1854,8197,5
3479,8197,4
4028,8197,5
2218,8201,3
18894,8201,5
5845254,8201,5
3412,8201,5
8202,8201,5
10289,8201,1
6182,8201,5
8211,8201,3
1338,8201,5
1791605,8201,5
8920,8201,5
1854,8201,5
3479,8201,5
4028,8201,5
4752,8208,1
20971,8208,2
2218,8208,5
298,8208,5
856,8208,5
2116,8208,5
3838,8208,3
18894,8208,5
20254,8208,5
61441,8208,2
5845254,8208,5
3222,8208,5
10442,8208,3
1864,8208,3
3412,8208,5
8202,8208,5
8204,8208,5
10289,8208,5
6182,8208,5
8211,8208,5
1338,8208,5
1791605,8208,5
8920,8208,5
874,8208,5
1854,8208,5
2446,8208,5
3479,8208,5
4028,8208,5
8197,8208,2
8201,8208,5
2218,8212,5
298,8212,5
856,8212,5
2116,8212,5
3838,8212,3
18894,8212,5
20254,8212,5
61441,8212,2
5845254,8212,5
3222,8212,5
10442,8212,5
1864,8212,2
3412,8212,5
8202,8212,5
8204,8212,5
10289,8212,5
6182,8212,5
8211,8212,5
1338,8212,5
1791605,8212,5
8920,8212,5
874,8212,5
1854,8212,5
2446,8212,3
3479,8212,5
4028,8212,5
8201,8212,5
8208,8212,5
4752,8968,4
20971,8968,1
2218,8968,5
298,8968,5
856,8968,5
2116,8968,5
3838,8968,5
18894,8968,5
20254,8968,5
61441,8968,5
5845254,8968,5
3222,8968,5
10442,8968,5
1864,8968,5
3188,8968,2
3412,8968,5
8202,8968,5
8204,8968,5
10289,8968,5
6182,8968,5
