"node_1","node_2","edge"
4872,18370,5
61441,1116,3
1116,2116,2
61441,3479,5
3188,3479,5
298,3479,3
856,3479,1
1116,3479,5
2116,3479,5
3479,3829,3
3479,4450,3
3479,4714,1
61441,4752,1
1116,4752,5
3479,4752,5
61441,10442,1
1116,10442,5
3479,10442,5
4752,10442,5
61441,6238436,1
1116,6238436,5
3479,6238436,5
4752,6238436,3
10442,6238436,4
1116,2218,3
3479,2218,3
1116,20254,5
3479,20254,5
10442,20254,1
2218,20254,1
3188,10289,4
1116,10289,5
3479,10289,5
4752,10289,3
6238436,10289,1
4080,5881897,3
1116,5881897,5
3479,5881897,5
4752,5881897,1
10442,5881897,4
6238436,5881897,5
61441,5866948,5
298,5866948,1
17158,5866948,5
1116,5866948,2
2116,5866948,2
3479,5866948,1
3829,5866948,1
4450,5866948,1
4752,5866948,5
10442,5866948,5
20254,5866948,2
3838,5866948,5
1116,8968,3
3479,8968,1
6238436,8968,4
5881897,8968,3
5866948,8968,3
4874,4023,5
20254,4023,5
3479,1864,3
5881897,1864,1
61441,18894,2
1116,18894,5
3479,18894,5
4752,18894,5
10442,18894,5
6238436,18894,5
2218,18894,2
20254,18894,5
5881897,18894,3
5866948,18894,5
1116,16883640,5
3479,16883640,5
10442,16883640,3
6238436,16883640,5
5881897,16883640,5
18894,16883640,4
3479,2446,3
5866948,2446,5
18894,2446,1
61441,40687459,5
3188,40687459,2
298,40687459,5
4080,40687459,2
17158,40687459,5
856,40687459,5
1116,40687459,5
2116,40687459,5
3479,40687459,5
3829,40687459,5
4450,40687459,5
4752,40687459,5
6283,40687459,3
10442,40687459,5
6238436,40687459,1
2218,40687459,2
20254,40687459,5
3838,40687459,5
5866948,40687459,5
8968,40687459,5
18894,40687459,5
2446,40687459,5
61441,5866043,5
3188,5866043,4
298,5866043,5
4080,5866043,2
17158,5866043,5
856,5866043,2
1116,5866043,5
2116,5866043,5
3479,5866043,5
3829,5866043,4
4450,5866043,4
4752,5866043,5
10442,5866043,5
6238436,5866043,4
2218,5866043,2
20254,5866043,3
5881897,5866043,5
3838,5866043,5
5866948,5866043,5
8968,5866043,5
18894,5866043,5
2446,5866043,5
40687459,5866043,5
61441,6182,5
3188,6182,5
298,6182,3
856,6182,1
1116,6182,5
2116,6182,4
3479,6182,5
3829,6182,5
4450,6182,4
4752,6182,5
10442,6182,5
6238436,6182,5
2218,6182,5
20254,6182,3
10289,6182,5
5881897,6182,5
5866948,6182,1
8968,6182,1
1864,6182,5
18894,6182,5
16883640,6182,5
2446,6182,5
40687459,6182,5
5866043,6182,5
1116,8204,5
3479,8204,5
4752,8204,2
10442,8204,2
6238436,8204,5
10289,8204,2
5881897,8204,1
5866948,8204,1
18894,8204,4
16883640,8204,5
40687459,8204,5
5866043,8204,5
6182,8204,5
1116,8208,4
3479,8208,5
10442,8208,2
6238436,8208,2
2218,8208,1
20254,8208,1
5881897,8208,1
5866948,8208,2
18894,8208,5
16883640,8208,3
40687459,8208,5
5866043,8208,5
6182,8208,5
8204,8208,2
4874,5844915,3
1116,5844915,5
3479,5844915,5
20254,5844915,5
5866948,5844915,1
4023,5844915,5
18894,5844915,2
40687459,5844915,5
5866043,5844915,2
6182,5844915,3
4023,6417,5
5844915,6417,5
4872,5979380,3
18370,5979380,3
17158,5979380,1
5979380,6107674,3
6417,20458,2
2351,20458,5
4872,5848194,5
5979380,5848194,5
6107674,5848194,5
18370,5848103,3
17158,5848103,5
4752,5848103,2
6182,5848103,1
5979380,5848103,5
6107674,5848103,1
5848194,5848103,3
17158,8200,3
3479,8200,1
6238436,8200,2
8968,8200,5
16883640,8200,3
5848103,8200,3
61441,24602551,3
298,24602551,3
17158,24602551,5
856,24602551,1
1116,24602551,5
2116,24602551,3
3829,24602551,2
4450,24602551,3
4752,24602551,5
10442,24602551,5
3838,24602551,5
5866948,24602551,5
8968,24602551,5
18894,24602551,5
2446,24602551,5
40687459,24602551,5
5866043,24602551,5
8204,24602551,2
8208,24602551,1
8200,24602551,5
61441,8196,2
3188,8196,1
1116,8196,5
3479,8196,5
4752,8196,5
10442,8196,5
6238436,8196,5
10289,8196,3
5881897,8196,5
5866948,8196,3
8968,8196,1
18894,8196,5
16883640,8196,4
2446,8196,1
40687459,8196,5
5866043,8196,5
6182,8196,5
8204,8196,3
8208,8196,1
24602551,8196,5
1116,8197,1
3479,8197,5
6182,8197,5
61441,13204,5
3188,13204,5
298,13204,5
4080,13204,1
17158,13204,5
856,13204,5
1116,13204,5
2116,13204,5
3479,13204,5
3829,13204,5
4450,13204,5
4714,13204,5
4752,13204,5
6283,13204,1
10442,13204,5
6238436,13204,5
2218,13204,5
20254,13204,5
10289,13204,5
5881897,13204,5
3838,13204,2
8968,13204,5
1864,13204,5
18894,13204,5
16883640,13204,5
2446,13204,4
5866043,13204,5
6182,13204,5
8204,13204,5
8208,13204,5
5844915,13204,5
5848103,13204,5
8200,13204,5
8196,13204,5
8197,13204,5
61441,6229630,5
3188,6229630,5
298,6229630,5
4080,6229630,1
856,6229630,4
