"node_1","node_2","edge"
10009117,10009122,2
10009122,10010123,1
10009122,10011967,1
10011967,10016364,2
10009122,14618,1
10010123,14620,2
10016364,14620,1
10009117,18250,1
14618,18250,2
10009117,1854,1
10009122,1854,1
14618,1854,1
10010123,19237,1
10010123,19414,1
18250,19414,1
19237,19414,1
14618,29412503,1
14620,29412503,1
18250,29412503,1
19414,29412503,1
14620,40613709,1
19237,40613709,1
10009117,40615677,1
10009122,40617618,1
10011967,40617618,2
10009117,6579,1
18250,6579,1
10009122,6951,1
40615677,6951,1
10009117,7564,1
10009122,7564,1
1854,7564,1
10010123,7837,1
10016364,7837,1
10009117,8214,2
10009122,8214,1
10016364,8214,1
40615677,8214,1
10009122,8215,1
10010123,8215,1
10009117,8222,1
10009122,8222,1
1854,8222,1
10010123,8225,1
10011967,8226,1
29412503,8226,1
40617618,8226,1
10009122,9181,1
1854,9181,1
7564,9181,1
