"node_1","node_2","edge"
10008471,10009122,2
10009117,10009122,2
10009117,10011967,1
10008471,10016364,4
10009117,10016364,1
10009122,10016364,4
10011967,10016364,1
10008471,1116,4
10009122,1116,4
10016364,1116,4
1116,11514,1
10009117,1396,1
10016364,14594,1
11514,14594,3
1396,14594,1
10016364,14618,1
11514,14618,3
14594,14618,3
10008443,14620,3
10011967,14620,1
10016364,14620,2
1116,14620,1
1396,14620,3
10009117,16657654,3
10009122,16657654,1
1116,16657654,1
10009117,1687,2
10009122,1687,2
10016364,1687,3
1116,1687,4
16657654,1687,2
10008471,1692,1
10009117,1692,2
10009122,1692,2
10016364,1692,2
1116,1692,2
11514,1692,1
16657654,1692,2
1687,1692,1
10009122,1758,1
10011967,1758,1
10016364,1758,2
1116,1758,3
11514,1758,1
16657654,1758,1
1692,1758,2
10008471,1854,3
10009122,1854,1
10016364,1854,3
1116,1854,3
11514,1854,1
14594,1854,1
1687,1854,1
1692,1854,1
1758,1854,1
10008471,18614,2
10009122,18614,2
10011967,18614,1
10016364,18614,2
1116,18614,2
1396,18614,1
14594,18614,1
16657654,18614,1
1687,18614,1
1692,18614,2
1854,18614,2
10009117,18997,1
10011967,18997,1
1396,18997,1
14594,18997,1
10009117,19237,1
10011967,19237,1
14618,19237,1
1692,19237,1
1758,19237,1
10009122,19414,1
10011967,19414,3
1116,19414,1
14594,19414,1
14618,19414,1
18614,19414,1
19237,19414,1
10009117,19588,1
10009122,19588,1
10011967,19588,2
10016364,19588,1
14594,19588,3
14618,19588,3
18614,19588,1
10011967,19697,2
10016364,19697,1
11514,19697,1
1396,19697,1
14594,19697,2
14618,19697,2
18614,19697,1
18997,19697,1
19237,19697,1
19414,19697,1
19588,19697,2
10009122,19999,1
10016364,19999,1
1116,19999,2
11514,19999,1
14594,19999,2
14618,19999,2
19237,19999,1
19588,19999,2
19697,19999,2
10009117,20255,1
10009122,20255,2
10016364,20255,1
1116,20255,2
11514,20255,2
16657654,20255,1
1687,20255,1
19237,20255,2
19414,20255,2
19588,20255,1
10008471,2034,1
10009122,2034,2
10016364,2034,2
1116,2034,3
11514,2034,1
1396,2034,1
14594,2034,1
18614,2034,2
18997,2034,2
19697,2034,1
10008471,20972,1
10009117,20972,3
10009122,20972,2
10011967,20972,2
10016364,20972,3
1116,20972,3
16657654,20972,2
1687,20972,2
1692,20972,2
18614,20972,2
19588,20972,1
19697,20972,1
2034,20972,1
10008443,21140,1
10009122,21140,1
10016364,21140,1
1116,21140,1
11514,21140,3
1396,21140,1
14594,21140,2
14618,21140,2
19237,21140,2
19414,21140,1
19588,21140,1
19697,21140,1
20255,21140,2
10008349,2633,1
10009122,2633,1
10016364,2633,3
1116,2633,4
