"node_1","node_2","edge"
13,132,1
13,14436,1
132,14436,1
10441,1494,1
12584,1494,1
132,1494,2
14436,1494,2
1143,1540,1
132,1540,1
1494,1540,3
1143,15672,3
132,15672,1
1494,15672,1
1540,15672,2
1143,16206,2
14436,16206,1
1494,16206,2
1540,16206,2
15672,16206,3
1143,1692,1
13,1692,1
1494,1692,2
1540,1692,1
15672,1692,2
16206,1692,2
14436,17310,2
1494,17310,2
1540,17310,2
15672,17310,1
16206,17310,4
1692,17310,2
14436,1758,1
1494,1758,2
15672,1758,2
16206,1758,2
1692,1758,2
1494,1846856,1
17310,1846856,1
13,1854,1
1540,1854,2
1758,1854,1
13,1871,1
16206,1871,1
1846856,1871,2
1540,18794,1
1692,18794,2
17310,18794,1
1846856,18794,1
1854,18794,1
10441,18946,1
16206,18946,1
1758,18946,3
1846856,18946,1
10441,19393,1
132,19393,1
14436,19393,1
1846856,19393,2
1871,19393,1
13,19496,1
17310,19496,1
1871,19496,1
18946,19496,1
19393,19496,1
1143,19505,2
132,19505,1
14436,19505,1
1494,19505,1
15672,19505,1
16206,19505,1
1758,19505,2
1854,19505,1
1871,19505,2
18794,19505,1
19393,19505,2
19496,19505,2
1143,19570,1
17310,19570,2
1846856,19570,3
1854,19570,1
1871,19570,2
18794,19570,1
18946,19570,1
1143,19634,2
1494,19634,1
1540,19634,1
17310,19634,1
1758,19634,1
1846856,19634,2
1871,19634,1
18794,19634,2
18946,19634,1
19393,19634,3
19570,19634,1
1143,19754,3
13,19754,1
1494,19754,1
1540,19754,1
15672,19754,2
16206,19754,1
1692,19754,1
1846856,19754,2
19393,19754,2
19496,19754,2
19505,19754,2
1143,19965,2
1540,19965,2
15672,19965,2
16206,19965,2
1692,19965,2
17310,19965,2
19393,19965,1
19505,19965,2
19754,19965,1
12584,20153,1
132,20153,1
14436,20153,1
1494,20153,1
1540,20153,1
15672,20153,1
16206,20153,1
1846856,20153,1
18946,20153,1
19393,20153,1
19496,20153,2
19570,20153,1
19634,20153,1
12584,2034,1
14436,2034,1
1494,2034,2
1540,2034,1
15672,2034,1
16206,2034,1
1692,2034,2
17310,2034,2
1758,2034,1
1846856,2034,1
18794,2034,1
19393,2034,1
10441,2046,1
1143,2046,1
13,2046,2
1494,2046,2
15672,2046,2
16206,2046,3
1692,2046,2
17310,2046,1
1758,2046,2
1846856,2046,1
1854,2046,1
18794,2046,1
18946,2046,1
19496,2046,1
19570,2046,1
19634,2046,1
19754,2046,1
19965,2046,1
2034,2046,1
10441,20564,1
1143,20564,2
12584,20564,1
15672,20564,1
1854,20564,1
1871,20564,2
18946,20564,2
19393,20564,3
19496,20564,2
19505,20564,2
19634,20564,2
19754,20564,2
19965,20564,2
2046,20564,1
15672,207,1
1758,207,1
19393,207,1
19496,207,1
19505,207,1
19634,207,1
10441,20741,2
1143,20741,1
13,20741,2
132,20741,1
15672,20741,1
1854,20741,1
1871,20741,2
19393,20741,2
19496,20741,2
19505,20741,3
19634,20741,2
19754,20741,3
20564,20741,2
12584,20941,1
14436,20941,1
1494,20941,1
19496,20941,2
19505,20941,1
19570,20941,2
12584,20969,1
1494,20969,1
16206,20969,2
17310,20969,1
1846856,20969,3
1871,20969,2
19505,20969,1
19570,20969,2
19754,20969,1
19965,20969,2
20941,20969,1
10441,20999,1
132,20999,2
1494,20999,2
16206,20999,1
1692,20999,2
1758,20999,2
1854,20999,1
1871,20999,1
19505,20999,1
13,21083,1
1494,21083,1
1540,21083,1
17310,21083,1
1758,21083,1
1854,21083,2
18794,21083,1
19505,21083,1
20564,21083,1
20941,21083,1
20969,21083,1
1692,21140,1
1846856,21140,3
1854,21140,1
1871,21140,2
19393,21140,2
19570,21140,2
19634,21140,2
20153,21140,1
207,21140,2
20969,21140,1
12584,214,1
132,214,1
1494,214,2
15672,214,3
1758,214,2
18946,214,2
19505,214,1
20153,214,1
2034,214,1
2046,214,1
207,214,1
20941,214,1
20969,214,1
20999,214,2
13,2142,2
132,2142,1
14436,2142,1
1540,2142,2
15672,2142,1
16206,2142,1
1692,2142,1
1854,2142,2
1871,2142,1
19496,2142,2
20153,2142,2
2034,2142,1
20941,2142,2
21083,2142,2
21140,2142,2
214,2142,1
1494,2147,1
16206,2147,1
1692,2147,1
17310,2147,2
19393,2147,1
19505,2147,1
19965,2147,1
14436,219,1
1494,219,2
15672,219,3
16206,219,3
1692,219,2
17310,219,2
1758,219,1
18794,219,2
19393,219,1
19634,219,1
20153,219,2
2034,219,3
2046,219,2
20941,219,1
20999,219,2
21083,219,1
214,219,1
2142,219,2
10441,2207,1
1540,2207,1
17310,2207,3
1758,2207,1
18946,2207,1
20941,2207,1
21083,2207,1
2147,2207,1
132,2218,1
14436,2218,1
1494,2218,2
15672,2218,3
16206,2218,3
1692,2218,2
1758,2218,2
19965,2218,1
2034,2218,1
2046,2218,2
20999,2218,2
214,2218,3
2142,2218,1
219,2218,4
12584,2307,1
1494,2307,1
1758,2307,1
1846856,2307,1
20153,2307,1
20969,2307,1
20999,2307,2
21140,2307,1
12584,242686,1
14436,242686,1
1494,242686,5
1540,242686,1
15672,242686,1
16206,242686,1
1692,242686,2
19634,242686,1
20153,242686,2
2034,242686,1
2046,242686,2
20741,242686,2
20969,242686,1
214,242686,1
2142,242686,1
219,242686,2
2218,242686,3
1143,2572,1
13,2572,2
132,2572,2
1494,2572,1
1540,2572,3
