"node_1","node_2","edge"
40613205,9057,5
4882,20559,1
18926,8097,5
8081,8094,1
8081,8096,1
8094,8096,4
8081,8082,1
8094,8082,1
8096,8082,1
40613205,5720,5
5977,5720,1
9057,5720,3
8081,5720,1
8094,5720,1
8096,5720,1
8082,5720,1
18926,19523,3
8097,19523,1
4882,9728716,1
20559,9728716,5
780,9693381,1
9798491,9709040,1
8094,9693477,3
8096,9693477,3
8082,9693477,1
4882,40617662,2
8096,40617662,1
19523,40617662,3
5977,8089,2
8081,8089,4
8094,8089,3
8096,8089,2
8082,8089,3
5720,8089,3
8096,8478789,1
9706087,8478789,2
5977,7990,3
8081,7990,4
8094,7990,3
8096,7990,2
8082,7990,2
5720,7990,4
8089,7990,5
5977,8083,3
4882,8083,2
8081,8083,3
8094,8083,3
8096,8083,2
8082,8083,3
5720,8083,5
8089,8083,5
7990,8083,5
40617657,7982,1
40617657,40617659,2
8096,40617659,1
9706087,40617659,1
8478789,40617659,3
4882,20476,1
20559,20476,5
19523,20476,1
9728716,20476,3
5977,3069,1
8081,3069,3
8094,3069,2
8096,3069,2
8082,3069,3
5720,3069,2
8089,3069,5
7990,3069,5
8083,3069,4
8082,8092,1
4881,9791037,1
5977,6896,2
8081,6896,3
8094,6896,2
8096,6896,2
8082,6896,2
5720,6896,3
8089,6896,5
7990,6896,5
8083,6896,5
3069,6896,3
780,9804151,1
19523,9707567,3
40617657,9721173,1
8094,9721173,3
8096,9721173,3
8082,9721173,1
9693477,9721173,5
9706087,9721173,3
5977,6549,1
8081,6549,2
8094,6549,2
8096,6549,1
8082,6549,1
5720,6549,2
19523,6549,2
8089,6549,3
7990,6549,3
8083,6549,4
20476,6549,3
3069,6549,2
6896,6549,3
6549,21665,4
4882,5775,1
20559,5775,3
9728716,5775,3
20476,5775,2
18926,19740,2
20559,19740,2
8097,19740,1
19523,19740,1
9728716,19740,1
40617662,19740,2
8083,19740,1
20476,19740,2
5775,19740,2
4882,19950,1
20559,19950,5
9728716,19950,3
20476,19950,3
5775,19950,3
19740,19950,3
9798491,39764734,1
8081,39764734,2
8096,39764734,1
8082,39764734,1
8089,39764734,4
3069,39764734,3
5977,9799404,2
8094,9799404,1
8096,9799404,1
8082,9799404,1
19523,9799404,1
9693477,9799404,2
9706087,9799404,1
20476,9799404,2
8092,9799404,2
9721173,9799404,4
6549,9799404,3
8096,4122,1
8082,4122,2
5720,4122,2
8092,4122,3
