"node_1","node_2","edge"
4265,4756,5
4265,19523,2
4756,19523,2
9728721,19523,4
4756,8081,3
4756,5977,2
19523,794887,2
4265,7170,5
4756,7170,5
5977,7170,2
4265,17107,5
4756,17107,3
7170,17107,5
4265,644,5
4756,644,5
7170,644,5
17107,644,5
4265,8098,5
4756,8098,5
8081,8098,1
7170,8098,5
17107,8098,1
644,8098,5
4265,17056,5
4756,17056,5
5977,17056,5
7170,17056,5
17107,17056,5
644,17056,5
8098,17056,5
4265,6896,3
4756,6896,3
8081,6896,1
7170,6896,4
644,6896,3
8098,6896,1
17056,6896,5
9728721,8090,5
4265,9692188,5
4756,9692188,5
7170,9692188,5
17107,9692188,2
644,9692188,5
8098,9692188,2
17056,9692188,5
4756,391796,4
19523,391796,3
4756,10995179,1
19523,10995179,2
794887,10995179,5
391796,10995179,2
17107,11527,5
17056,11527,1
17107,8092,1
19523,904,1
794887,904,5
391796,904,1
4265,8849,3
4756,8849,1
5977,8849,5
7170,8849,5
17107,8849,2
644,8849,1
17056,8849,5
4756,9691966,3
19523,9691966,5
8090,9691966,1
391796,9691966,2
10995179,9691966,4
904,9691966,1
9728721,9716872,1
794887,9716872,5
904,9716872,1
4756,9691916,5
19523,9691916,5
8081,9691916,3
5977,9691916,2
391796,9691916,5
10995179,9691916,5
904,9691916,1
9691966,9691916,5
4265,9709802,5
4756,9709802,5
8081,9709802,2
5977,9709802,2
7170,9709802,5
17107,9709802,4
644,9709802,5
8098,9709802,5
17056,9709802,5
6896,9709802,5
9692188,9709802,5
8849,9709802,1
8081,1091,1
6896,1091,2
904,1091,5
4265,8352,2
4756,8352,5
8081,8352,2
7170,8352,5
644,8352,3
8098,8352,1
17056,8352,5
6896,8352,4
9709802,8352,5
1091,8352,3
17107,8086,4
11527,8086,5
8092,8086,4
19523,19740,1
794887,19740,3
391796,19740,1
9691916,19740,3
4265,6549,5
4756,6549,5
19523,6549,1
794887,6549,1
7170,6549,5
644,6549,4
8098,6549,1
17056,6549,5
6896,6549,2
9709802,6549,4
8352,6549,3
4756,8082,2
7170,8082,1
17056,8082,2
6896,8082,1
9709802,8082,1
6896,8089,1
904,8089,5
1091,8089,5
8352,8089,1
4756,9732939,5
8081,9732939,5
5977,9732939,3
7170,9732939,1
6896,9732939,2
391796,9732939,2
9691966,9732939,5
9691916,9732939,5
9709802,9732939,5
8352,9732939,5
19740,9732939,5
6549,9732939,1
19523,15840,2
7170,15840,1
6896,15840,2
391796,15840,2
904,15840,3
1091,15840,2
8352,15840,2
6549,15840,2
8089,15840,5
4756,5775,5
8081,5775,2
5977,5775,1
7170,5775,5
644,5775,2
8098,5775,3
17056,5775,3
6896,5775,2
391796,5775,1
9691966,5775,4
9691916,5775,5
9709802,5775,5
1091,5775,1
8352,5775,5
9732939,5775,5
15840,5775,1
4265,2695,5
4756,2695,5
8081,2695,1
7170,2695,5
644,2695,5
8098,2695,1
17056,2695,5
6896,2695,1
9692188,2695,1
9709802,2695,5
1091,2695,3
8352,2695,3
6549,2695,2
4265,9693113,5
4756,9693113,5
5977,9693113,1
7170,9693113,5
17107,9693113,5
644,9693113,5
8098,9693113,5
17056,9693113,5
6896,9693113,4
9692188,9693113,5
8849,9693113,2
9709802,9693113,5
8352,9693113,5
6549,9693113,4
8082,9693113,1
9732939,9693113,3
15840,9693113,2
5775,9693113,4
2695,9693113,5
19523,18926,1
9691966,18926,4
9728721,9710518,2
19523,9710518,1
794887,9710518,2
9691916,9710518,1
4756,40619741,5
8081,40619741,4
5977,40619741,3
794887,40619741,2
7170,40619741,1
6896,40619741,2
391796,40619741,1
8092,40619741,1
9691916,40619741,4
9709802,40619741,5
1091,40619741,4
8352,40619741,5
19740,40619741,3
6549,40619741,2
9732939,40619741,5
5775,40619741,5
2695,40619741,2
9693113,40619741,3
9710518,40619741,1
9732939,28735618,3
40619741,28735618,3
19523,9701086,5
794887,9701086,5
10995179,9701086,5
9691966,9701086,5
9716872,9701086,3
9691916,9701086,5
19740,9701086,1
9732939,9701086,1
5775,9701086,1
18926,9701086,4
9710518,9701086,2
9691966,9695207,2
9691916,9695207,5
9732939,9695207,5
40619741,9695207,5
17107,12296,4
11527,12296,2
8092,12296,5
8086,12296,3
7170,9693659,1
17056,9693659,3
9728721,9726190,5
8090,9726190,5
9691966,9726190,5
17107,6329,5
11527,6329,4
8092,6329,5
8086,6329,5
12296,6329,5
4265,12047,1
8081,12047,1
7170,12047,5
644,12047,1
17056,12047,5
6896,12047,2
9692188,12047,2
9709802,12047,3
1091,12047,5
8352,12047,3
8089,12047,1
9732939,12047,2
5775,12047,2
2695,12047,1
9693113,12047,3
40619741,12047,5
4265,17440,5
8081,17440,2
7170,17440,5
17107,17440,1
644,17440,3
17056,17440,5
9692188,17440,5
8849,17440,3
9709802,17440,2
9693113,17440,3
28735618,17440,2
9693659,17440,5
12047,17440,5
9693659,9718602,1
19523,9735330,2
9710518,9735330,1
9718602,9735330,5
4265,3627,1
794887,3627,4
10995179,3627,1
1091,3627,5
8089,3627,1
2695,3627,1
4756,6052,3
19523,6052,1
794887,6052,2
391796,6052,3
8352,6052,2
19740,6052,1
6549,6052,1
9732939,6052,4
15840,6052,2
5775,6052,1
40619741,6052,5
4756,2046,4
8081,2046,4
5977,2046,1
7170,2046,5
644,2046,1
8098,2046,2
17056,2046,3
6896,2046,2
9691916,2046,5
9709802,2046,5
8352,2046,5
9732939,2046,5
5775,2046,5
9693113,2046,5
40619741,2046,5
12047,2046,4
17440,2046,1
4265,9697219,1
4756,9697219,5
19523,9697219,4
8081,9697219,1
7170,9697219,1
17056,9697219,3
391796,9697219,2
10995179,9697219,3
904,9697219,1
9691966,9697219,5
9691916,9697219,5
19740,9697219,1
9732939,9697219,3
5775,9697219,5
9693113,9697219,1
9701086,9697219,5
2046,9697219,1
4265,207,3
4756,207,4
7170,207,3
644,207,2
17056,207,5
9691966,207,1
9691916,207,1
9709802,207,2
9732939,207,1
9693113,207,2
17440,207,2
4265,6210,4
4756,6210,5
7170,6210,5
644,6210,2
17056,6210,5
9692188,6210,3
8849,6210,1
9709802,6210,2
9693113,6210,3
28735618,6210,1
9693659,6210,2
12047,6210,3
17440,6210,5
4265,7990,1
7170,7990,2
17056,7990,5
8849,7990,1
9709802,7990,1
9693113,7990,1
9693659,7990,1
12047,7990,2
17440,7990,5
6210,7990,5
4265,2218,5
4756,2218,2
8081,2218,3
7170,2218,5
644,2218,4
8098,2218,1
17056,2218,5
9692188,2218,1
8849,2218,1
9709802,2218,5
8352,2218,2
9732939,2218,3
2695,2218,1
9693113,2218,4
40619741,2218,2
28735618,2218,1
9693659,2218,5
12047,2218,2
17440,2218,5
9735330,2218,1
2046,2218,5
207,2218,2
6210,2218,5
7990,2218,3
4265,8084,5
4756,8084,5
5977,8084,4
7170,8084,5
17107,8084,5
644,8084,5
8098,8084,4
17056,8084,5
6896,8084,2
9692188,8084,5
8849,8084,4
9709802,8084,5
8352,8084,1
6549,8084,2
2695,8084,5
9693113,8084,5
9693659,8084,1
12047,8084,1
17440,8084,4
207,8084,3
6210,8084,3
7990,8084,3
2218,8084,3
4265,9105,5
4756,9105,5
5977,9105,4
7170,9105,5
17107,9105,5
644,9105,5
8098,9105,5
17056,9105,5
6896,9105,3
9692188,9105,5
8849,9105,5
9709802,9105,5
8352,9105,4
6549,9105,4
8082,9105,1
5775,9105,3
2695,9105,5
9693113,9105,5
9693659,9105,3
12047,9105,5
17440,9105,5
2046,9105,3
9697219,9105,1
207,9105,3
6210,9105,5
7990,9105,5
2218,9105,5
8084,9105,5
4265,9692184,5
4756,9692184,4
7170,9692184,5
644,9692184,4
8098,9692184,1
17056,9692184,5
6896,9692184,1
9692188,9692184,1
9709802,9692184,4
8352,9692184,1
6549,9692184,1
15840,9692184,2
2695,9692184,1
9693113,9692184,3
12047,9692184,1
17440,9692184,3
6210,9692184,1
2218,9692184,2
8084,9692184,3
9105,9692184,4
9728721,6955,5
19523,6955,2
794887,6955,5
10995179,6955,5
904,6955,1
9716872,6955,5
19740,6955,1
40619741,6955,1
9701086,6955,5
3627,6955,5
6052,6955,1
794887,18841,5
10995179,18841,1
904,18841,1
9716872,18841,5
15840,18841,1
40619741,18841,1
9701086,18841,4
6955,18841,5
4265,8096,2
7170,8096,3
644,8096,1
17056,8096,4
6896,8096,1
9709802,8096,1
15840,8096,1
5775,8096,1
9693113,8096,3
12047,8096,1
8084,8096,1
9105,8096,3
19523,9690952,1
904,9690952,1
1091,9690952,3
8352,9690952,1
8089,9690952,1
9732939,9690952,4
5775,9690952,2
40619741,9690952,5
6052,9690952,1
6955,9690952,1
8081,5840,1
11527,5840,1
9709802,5840,1
12296,5840,5
9693659,5840,3
2046,5840,3
2218,5840,2
4265,8094,1
4756,8094,1
7170,8094,4
644,8094,1
17056,8094,5
9709802,8094,2
9693113,8094,2
12047,8094,1
17440,8094,1
8084,8094,1
9105,8094,3
11527,9733997,2
8086,9733997,1
12296,9733997,5
5840,9733997,5
4756,8097,4
794887,8097,5
391796,8097,3
10995179,8097,1
9716872,8097,1
9709802,8097,1
8352,8097,2
19740,8097,2
6549,8097,2
9732939,8097,3
15840,8097,5
40619741,8097,5
6052,8097,5
6955,8097,5
18841,8097,4
794887,674,5
904,674,1
15840,674,5
6955,674,2
18841,674,2
8097,674,2
4756,298,1
9691916,298,1
9732939,298,2
40619741,298,2
4756,221293,5
8081,221293,4
5977,221293,3
7170,221293,3
8098,221293,1
6896,221293,3
8092,221293,1
9691916,221293,3
9709802,221293,5
8352,221293,5
19740,221293,4
6549,221293,1
9732939,221293,5
5775,221293,5
2695,221293,1
9693113,221293,4
40619741,221293,5
28735618,221293,4
9695207,221293,3
12047,221293,3
6052,221293,5
2046,221293,5
207,221293,1
2218,221293,4
9690952,221293,4
8097,221293,3
298,221293,1
9732939,8083,1
221293,8083,1
4265,40617666,5
4756,40617666,5
5977,40617666,3
7170,40617666,5
17107,40617666,5
644,40617666,5
8098,40617666,5
17056,40617666,5
6896,40617666,2
9692188,40617666,5
8849,40617666,5
9709802,40617666,5
8352,40617666,2
6549,40617666,3
8082,40617666,1
5775,40617666,1
2695,40617666,5
9693113,40617666,5
9693659,40617666,4
7111,40617666,1
12047,40617666,5
17440,40617666,5
2046,40617666,1
9697219,40617666,1
207,40617666,3
6210,40617666,5
7990,40617666,5
2218,40617666,5
8084,40617666,5
9105,40617666,5
9692184,40617666,5
8096,40617666,2
8094,40617666,3
9691966,7991,1
18926,7991,2
9701086,7991,3
5840,7991,5
