"node_1","node_2","edge"
4885,1776599,3
7287,4886,5
6597515,6703170,5
20100,8128,1
8115,8128,5
8115,19924,4
8128,19924,5
6600529,6513,5
6513,19321,5
6600529,6507936,5
6513,6507936,5
7800,19669,5
19657,19669,5
6600529,19669,3
6507936,19669,3
8128,8114,3
898,19627,3
7800,19627,2
19924,19627,3
19657,19627,5
20822,19627,1
19669,19627,5
7132,6702513,5
19657,19952,5
19627,19952,5
20100,685,1
19657,685,5
8118,685,1
19321,685,5
20822,685,5
8114,685,5
7800,6635636,5
6600529,6635636,5
6507936,6635636,5
19669,6635636,2
19627,6635636,5
13619,6635636,4
4885,8630,5
7132,8104,5
6513,8104,4
19321,8104,1
6702513,8104,5
685,8104,2
8115,2710,5
8128,2710,5
19924,2710,5
6513,2710,3
19321,2710,1
6600529,6624202,5
6507936,6624202,5
19669,6624202,1
6635636,6624202,3
6702513,40617755,4
6624202,40617755,5
20620,19642,5
898,19642,5
7800,19642,5
19924,19642,3
19657,19642,5
20822,19642,2
19669,19642,5
19627,19642,5
19952,19642,5
6635636,19642,5
21116,1854,5
8115,8134,1
1854,8134,5
6513,8109,3
2710,8109,1
20100,1809,1
19657,1809,4
8118,1809,2
19321,1809,5
20822,1809,5
8114,1809,5
685,1809,5
8104,1809,3
4889,6460656,5
898,6460656,5
19657,6460656,5
6513,6460656,1
20822,6460656,3
19627,6460656,5
19952,6460656,5
13619,6460656,5
6420042,6460656,5
4889,6474553,5
898,6474553,5
19657,6474553,5
6513,6474553,1
20822,6474553,2
19627,6474553,5
19952,6474553,5
13619,6474553,5
6420042,6474553,5
8104,6474553,1
6460656,6474553,5
8115,6102,4
8128,6102,5
19924,6102,4
6702513,6102,1
685,6102,5
2710,6102,5
1809,6102,5
8115,3789,1
19924,3789,2
6513,3789,2
2710,3789,5
7132,14466,5
6702513,14466,5
8104,14466,1
21116,8138,2
1854,8138,1
8134,8138,5
20620,19117,3
898,19117,5
19321,19117,5
19669,19117,3
19642,19117,3
8115,1569,2
19924,1569,5
2710,1569,5
6460656,1569,2
6474553,1569,1
6102,1569,2
3789,1569,4
40617745,6553663,5
6635636,904,5
6460656,904,4
6474553,904,5
8115,1825679,5
6597515,1825679,5
6703170,1825679,5
8128,1825679,5
2710,1825679,5
8128,6420056,5
685,6420056,5
2710,6420056,2
19642,6420056,1
1809,6420056,5
1825679,6420056,2
4885,6474974,1
19657,6474974,5
19952,6474974,5
13619,6420956,1
3789,6420956,2
14466,6420956,5
1569,6420956,1
8630,8113,5
14466,8113,1
6420956,8113,5
20822,6851,5
8114,6851,5
8104,6851,5
4448,6851,2
1569,6851,5
6420042,6421445,1
6624202,6421445,5
40617755,6421445,5
6460656,6421445,5
6474553,6421445,5
904,6421445,1
19657,20580,5
19627,20580,5
19952,20580,3
685,20580,5
13619,20580,2
19642,20580,5
1809,20580,5
6460656,20580,5
6474553,20580,5
6474974,20580,1
8115,793,1
8128,793,1
19924,793,2
8114,793,1
685,793,3
2710,793,3
1809,793,5
3789,793,5
14466,793,1
1569,793,1
1825679,793,2
6420056,793,1
6851,793,2
19321,6702399,4
904,6702399,5
6421445,6702399,1
6600529,6679761,5
6513,6679761,5
6507936,6679761,5
19669,6679761,5
685,6679761,5
6635636,6679761,5
6624202,6679761,5
1809,6679761,5
6102,6679761,1
1569,6679761,1
7132,5969,5
19924,5969,2
6702513,5969,5
8104,5969,5
40617755,5969,5
8109,5969,3
6102,5969,4
14466,5969,5
4888,6581483,5
4889,6581483,5
19657,6581483,2
13619,6581483,5
6420042,6581483,4
20580,6581483,3
20620,6420286,3
19657,6420286,5
19321,6420286,5
19669,6420286,5
19627,6420286,5
19952,6420286,1
6635636,6420286,1
19642,6420286,5
6460656,6420286,2
6474553,6420286,2
19117,6420286,5
904,6420286,3
1825679,6420286,3
20580,6420286,2
904,6475321,4
6421445,6475321,3
