"node_1","node_2","edge"
4890,4889,5
4890,19665,5
4889,19665,5
4889,19321,5
19665,19321,5
4890,6421796,5
4889,6421796,5
19665,6421796,5
19627,6421796,1
6109,19657,5
8193,20560,5
6930,20560,5
4886,6422546,5
6930,20467,5
6102,20467,1
19373,20467,2
19657,20467,5
20560,20467,5
19665,19759,1
19373,19759,2
19627,19759,2
20467,19759,2
19924,32041801,1
19373,32041801,3
19627,32041801,5
20560,32041801,5
20467,32041801,3
19759,32041801,5
32041801,8123,1
6930,5883,5
20467,5883,5
19759,5883,4
32041801,5883,5
6930,20580,5
19657,20580,3
20467,20580,5
20580,8575,5
4890,6621474,3
4889,6621474,5
6421796,6621474,5
6930,20810,5
6102,20810,2
19373,20810,3
19657,20810,5
20560,20810,5
20822,20810,1
20620,20810,1
20467,20810,5
19759,20810,1
32041801,20810,1
5883,20810,5
20580,20810,5
4890,1126201,3
4889,1126201,5
19665,1126201,1
6421796,1126201,3
6930,19403,5
19657,19403,5
20560,19403,5
20822,19403,1
20467,19403,5
5883,19403,3
20580,19403,5
8575,19403,5
20810,19403,5
4890,4694,5
4889,4694,5
6102,4694,1
19924,4694,1
19665,4694,5
19373,4694,2
19321,4694,5
6421796,4694,5
19759,4694,5
32041801,4694,5
5883,4694,5
8104,4694,3
6621474,4694,2
1126201,4694,1
6102,15283,3
19924,15283,3
19665,15283,3
19373,15283,5
19627,15283,5
19321,15283,2
4120,15283,2
20467,15283,3
19759,15283,5
32041801,15283,5
8123,15283,3
5883,15283,5
8104,15283,3
20810,15283,2
4694,15283,5
6102,8115,2
6930,6420286,5
20560,6420286,2
20467,6420286,5
19759,6420286,4
32041801,6420286,5
5883,6420286,2
20580,6420286,2
20810,6420286,5
19403,6420286,5
4694,6420286,1
15283,6420286,5
6102,2566,5
4129,2566,5
19924,2566,5
19665,2566,5
19373,2566,5
19627,2566,5
19321,2566,5
20620,2566,1
4120,2566,5
19759,2566,5
32041801,2566,5
8123,2566,5
5883,2566,5
8104,2566,5
19986,2566,3
4694,2566,5
15283,2566,5
6420286,2566,5
6930,19710,5
19665,19710,1
20560,19710,2
20467,19710,5
20580,19710,5
20810,19710,5
19403,19710,5
6420286,19710,5
32041801,4117,1
8575,4117,3
15283,4117,3
2566,4117,5
20467,6861,2
32041801,6861,3
20810,6861,3
15283,6861,5
2566,6861,5
15283,6420056,1
2566,6420056,3
6930,19420,5
20560,19420,5
20467,19420,5
20580,19420,5
20810,19420,5
19403,19420,5
6420286,19420,5
19710,19420,5
4694,5300526,4
15283,5300526,1
2566,5300526,5
6422546,6577020,5
19420,6577020,5
19627,1569,1
19321,1569,1
15283,1569,3
2566,1569,2
4889,20430,2
6930,20430,2
6102,20430,2
19924,20430,3
19665,20430,5
19373,20430,5
19627,20430,5
19321,20430,5
20467,20430,5
19759,20430,5
32041801,20430,5
8123,20430,3
5883,20430,5
8104,20430,4
20810,20430,5
19986,20430,1
19403,20430,2
4694,20430,5
15283,20430,5
6420286,20430,5
2566,20430,5
19710,20430,5
6861,20430,4
5300526,20430,3
19759,20894,5
6109,6446587,5
6422546,6446587,5
8109,40617671,3
6422546,40617671,5
20580,40617671,1
8575,40617671,2
6446587,40617671,1
6421796,2362,3
6577020,2362,5
6446587,2362,1
6102,24796979,3
19321,24796979,1
6422546,24796979,1
8575,24796979,1
8115,24796979,5
40617671,24796979,5
8193,8128,5
6422546,8128,1
2566,8128,1
20467,2725,2
32041801,2725,3
20810,2725,2
15283,2725,5
2566,2725,5
20430,2725,5
6102,5212023,5
4129,5212023,5
8118,5212023,5
19924,5212023,5
19665,5212023,5
4448,5212023,1
19373,5212023,5
19627,5212023,5
19321,5212023,5
20620,5212023,2
4120,5212023,5
19759,5212023,5
3789,5212023,3
32041801,5212023,5
8123,5212023,5
5883,5212023,5
8104,5212023,5
19986,5212023,5
4694,5212023,5
15283,5212023,5
8115,5212023,1
6420286,5212023,5
2566,5212023,5
19710,5212023,1
4117,5212023,5
6861,5212023,5
6420056,5212023,5
5300526,5212023,5
1569,5212023,5
20430,5212023,5
24796979,5212023,2
8128,5212023,4
2725,5212023,5
7132,11929,1
19924,11929,1
19665,11929,2
19373,11929,2
19627,11929,3
19759,11929,5
32041801,11929,5
5883,11929,5
8104,11929,1
6621474,11929,5
4694,11929,5
15283,11929,5
6420286,11929,4
2566,11929,5
4117,11929,1
6861,11929,2
20430,11929,5
2725,11929,5
5212023,11929,5
6422546,16168,5
40617671,16168,5
5212023,16168,1
4886,1020,1
19924,1020,1
8109,1020,5
19321,1020,5
19657,1020,4
6422546,1020,5
19759,1020,5
32041801,1020,5
5883,1020,5
20580,1020,5
4694,1020,4
15283,1020,5
2566,1020,5
6861,1020,1
20430,1020,5
40617671,1020,5
24796979,1020,5
5212023,1020,5
11929,1020,5
16168,1020,5
19924,7741,1
19373,7741,1
19627,7741,2
19759,7741,5
32041801,7741,5
5883,7741,4
4694,7741,5
15283,7741,5
8115,7741,1
6420286,7741,3
2566,7741,5
6861,7741,1
20430,7741,5
8128,7741,4
5212023,7741,5
11929,7741,5
1020,7741,5
19759,9402,1
15283,9402,3
2566,9402,5
20430,9402,2
20894,9402,5
5212023,9402,5
11929,9402,1
6422546,8134,5
6577020,8134,1
6446587,8134,2
19373,6458089,1
19627,6458089,5
6421796,6458089,5
6621474,6458089,5
8115,6458089,5
1569,6458089,3
2362,6458089,3
24796979,6458089,5
11929,6458089,5
19373,6550667,5
19627,6550667,5
6421796,6550667,5
8104,6550667,3
6621474,6550667,5
19986,6550667,5
8115,6550667,1
5300526,6550667,3
1569,6550667,5
24796979,6550667,1
6458089,6550667,5
40617671,19304,4
