"node_1","node_2","edge"
2341,9144107,5
14492,21491,5
2956,19188,5
2956,21132,1
19188,21132,5
19188,8930928,1
18954,8930928,5
8155,8930928,5
4423,8930928,5
4891,9153814,5
21491,1901616,1
4893,8937570,3
7762,9140449,5
1901616,9140449,5
9144107,2133,5
4891,2133,1
7762,2133,5
18954,2133,3
8155,2133,1
4423,2133,5
9140449,2133,2
4893,8566,1
2133,8566,2
18622,207,1
2133,207,2
14492,8952681,3
9144107,8952681,5
4423,8952681,4
2133,8952681,5
6310,9094426,1
2046,9094426,1
18954,9094426,5
4423,9094426,3
2511,9094426,5
2133,9094426,5
8566,9094426,3
4891,9033570,5
9153814,9033570,5
2133,8156,3
8952681,8156,4
4893,19233,5
2956,19233,5
19188,19233,5
21132,19233,4
8930928,19233,2
8566,19233,1
9094426,19233,4
2133,8770,4
8952681,8770,2
9094426,8770,2
2956,9062136,1
7762,9062136,1
8153,9062136,4
2046,9062136,3
8155,9062136,4
18796,9062136,1
4423,9062136,5
8566,9062136,5
207,9062136,5
8156,9062136,5
19233,9062136,5
8770,9062136,5
4893,3004,5
2956,3004,1
19188,3004,4
21132,3004,3
9094426,3004,5
19233,3004,3
9062136,3004,5
19188,8936402,5
18622,8936402,3
1901616,8936402,1
8566,8936402,3
207,8936402,2
8156,8936402,3
19233,8936402,4
8770,8936402,1
2133,14490,4
8566,14490,2
207,14490,2
8952681,14490,1
9062136,14490,5
8936402,14490,3
4892,20970,5
4893,20970,2
6310,20970,2
2956,20970,5
19188,20970,5
21132,20970,5
8937570,20970,3
8566,20970,1
9094426,20970,4
8156,20970,1
19233,20970,2
3004,20970,5
14490,20970,2
4892,9051255,3
2956,9051255,1
19188,9051255,5
21132,9051255,5
8930928,9051255,5
8156,9051255,2
3004,9051255,5
20970,9051255,5
4893,8966392,3
18622,8966392,5
8566,8966392,5
207,8966392,5
9033570,8966392,5
8770,8966392,1
9062136,8966392,5
14490,8966392,5
2956,20253,1
19188,20253,5
21132,20253,1
9094426,20253,2
19233,20253,3
9062136,20253,5
3004,20253,1
20970,20253,5
9051255,20253,5
4423,2134,1
2133,2134,5
8952681,2134,2
9094426,2134,5
9062136,2134,1
4891,2741,2
18954,2741,2
8155,2741,3
18796,2741,1
4423,2741,3
18622,2741,2
2133,2741,5
8566,2741,5
207,2741,5
8952681,2741,4
9094426,2741,5
8770,2741,4
9062136,2741,5
8936402,2741,3
14490,2741,5
8966392,2741,5
2134,2741,3
2046,12442,1
18954,12442,3
8155,12442,5
18622,12442,5
8930928,12442,4
2133,12442,3
8566,12442,5
207,12442,5
8952681,12442,2
9094426,12442,3
9033570,12442,1
8770,12442,4
9062136,12442,5
8936402,12442,2
14490,12442,5
20970,12442,1
8966392,12442,5
2134,12442,1
2741,12442,5
4891,9100920,5
21132,9100920,1
18954,9100920,1
8155,9100920,2
18796,9100920,5
4423,9100920,5
2133,9100920,5
8566,9100920,5
207,9100920,5
8952681,9100920,5
9033570,9100920,5
8156,9100920,4
8770,9100920,2
8936402,9100920,1
14490,9100920,5
20970,9100920,1
8966392,9100920,5
2134,9100920,4
2741,9100920,5
12442,9100920,5
2133,2147,2
9094426,2147,5
9062136,2147,4
8966392,2147,2
2741,2147,2
12442,2147,5
4893,1854,5
4891,1854,5
7762,1854,2
18796,1854,2
4423,1854,3
9140449,1854,1
2133,1854,5
8566,1854,5
207,1854,5
8952681,1854,5
9033570,1854,5
8156,1854,1
8770,1854,1
8936402,1854,5
14490,1854,2
8966392,1854,5
2134,1854,2
2741,1854,5
12442,1854,2
9100920,1854,5
8930928,6113,1
2133,6113,4
207,6113,4
8952681,6113,2
9033570,6113,2
9062136,6113,5
8936402,6113,3
14490,6113,2
8966392,6113,5
2741,6113,5
12442,6113,5
9100920,6113,5
1854,6113,5
14492,4122,5
21491,4122,3
8952681,4122,2
2341,4773,5
9144107,4773,5
18622,4773,4
207,4773,4
8936402,4773,2
8966392,4773,5
2741,4773,3
12442,4773,5
9100920,4773,5
1854,4773,3
6113,4773,5
8930928,14485,1
2133,14485,4
8952681,14485,2
9062136,14485,3
8936402,14485,4
2741,14485,2
9100920,14485,5
1854,14485,5
4773,14485,5
18954,9043485,3
4423,9043485,4
8966392,9043485,2
12442,9043485,2
9100920,9043485,1
6113,9043485,2
4773,9043485,5
2133,4265,1
207,4265,3
8952681,4265,1
9062136,4265,4
14490,4265,2
8966392,4265,5
2741,4265,5
12442,4265,5
9100920,4265,4
1854,4265,2
6113,4265,2
4773,4265,2
8566,7313,1
8952681,7313,2
8936402,7313,5
14490,7313,2
20970,7313,1
8966392,7313,4
2741,7313,5
12442,7313,3
9100920,7313,4
1854,7313,2
6113,7313,1
4773,7313,1
4265,7313,3
4423,9160326,1
2133,9160326,5
8566,9160326,5
8952681,9160326,5
8156,9160326,2
8770,9160326,1
14490,9160326,5
20970,9160326,3
9051255,9160326,5
2134,9160326,1
2741,9160326,5
12442,9160326,5
9100920,9160326,5
1854,9160326,5
6113,9160326,2
14485,9160326,2
4265,9160326,5
7313,9160326,5
4892,3483,4
2046,3483,3
8155,3483,1
4423,3483,4
18622,3483,1
8937570,3483,1
2511,3483,1
207,3483,5
8952681,3483,1
8770,3483,3
9062136,3483,5
14490,3483,5
20970,3483,5
2741,3483,1
6113,3483,4
4773,3483,2
9043485,3483,4
4265,3483,5
7313,3483,5
9160326,3483,2
4892,7308,1
8153,7308,3
2046,7308,4
8937570,7308,3
2511,7308,1
2133,7308,2
8566,7308,3
207,7308,5
8952681,7308,2
19233,7308,2
8770,7308,5
9062136,7308,5
3004,7308,1
14490,7308,5
20970,7308,5
8966392,7308,4
20253,7308,1
2741,7308,5
12442,7308,5
2147,7308,3
6113,7308,5
4773,7308,5
14485,7308,1
9043485,7308,3
4265,7308,5
7313,7308,5
9160326,7308,5
3483,7308,5
4892,8618,5
2956,8618,3
2046,8618,4
18796,8618,1
8937570,8618,5
2511,8618,1
2133,8618,5
207,8618,5
2818,8618,1
8952681,8618,2
8770,8618,3
3004,8618,3
14490,8618,5
20970,8618,5
20253,8618,1
2134,8618,3
2741,8618,2
2147,8618,2
6113,8618,5
4265,8618,4
7313,8618,5
9160326,8618,5
3483,8618,5
7308,8618,5
4892,420791,5
2956,420791,1
8153,420791,1
2046,420791,5
21132,420791,2
18954,420791,1
18796,420791,2
4423,420791,3
18622,420791,3
8937570,420791,5
