"node_1","node_2","edge"
6310,16109704,5
6310,19233,5
16109704,19233,5
16109704,18954,2
19233,18954,5
6310,16659093,5
16109704,16659093,5
19233,16659093,5
6310,20626,5
16109704,20626,5
19233,20626,5
18954,20626,5
16659093,20626,5
6310,2134,5
16109704,2134,5
19233,2134,3
18954,2134,5
16659093,2134,5
20626,2134,5
6310,1321159,5
16109704,1321159,5
19233,1321159,5
16659093,1321159,5
20626,1321159,5
2134,1321159,5
6310,16109197,5
16109704,16109197,5
19233,16109197,5
16659093,16109197,5
20626,16109197,3
1321159,16109197,5
14865,8930147,5
6310,16109247,5
16109704,16109247,5
19233,16109247,5
18954,16109247,3
16659093,16109247,5
20626,16109247,5
2134,16109247,5
1321159,16109247,5
16109197,16109247,5
18892,9335694,5
6310,8929915,5
16109704,8929915,5
19233,8929915,5
18954,8929915,5
16659093,8929915,5
20626,8929915,5
1321159,8929915,5
16109197,8929915,5
16109247,8929915,5
6310,3627,2
16109704,3627,3
19233,3627,5
18954,3627,5
20626,3627,4
18892,3627,1
2134,3627,5
16109197,3627,2
16109247,3627,5
8929915,3627,5
16109704,18796,2
19233,18796,5
18954,18796,5
20626,18796,1
2134,18796,1
16109197,18796,2
16109247,18796,5
8929915,18796,5
3627,18796,5
14865,8677,5
9033570,8677,5
8930147,8677,3
14865,13750669,5
9033570,13750669,2
8930147,13750669,5
18892,9050683,3
18892,2034,1
9335694,2034,5
16109704,19188,5
16659093,19188,5
20626,19188,3
16109197,19188,1
8929915,19188,3
14865,788,1
13750669,788,2
566,788,1
8677,1598,1
13750669,1598,2
6310,8935322,5
16109704,8935322,5
19233,8935322,5
16659093,8935322,5
20626,8935322,5
2134,8935322,5
1321159,8935322,5
16109197,8935322,5
16109247,8935322,5
8929915,8935322,5
3627,8935322,2
18796,8935322,1
6310,898,5
16109704,898,5
19233,898,5
18954,898,5
16659093,898,5
20626,898,4
1321159,898,5
16109197,898,5
16109247,898,5
8929915,898,5
3627,898,5
18796,898,5
19188,898,5
8935322,898,5
19233,1039,5
18954,1039,5
18892,1039,5
2134,1039,1
16109247,1039,2
9335694,1039,5
8929915,1039,5
3627,1039,5
18796,1039,5
2034,1039,2
8935322,1039,1
898,1039,5
6310,15924959,5
16109704,15924959,5
19233,15924959,5
18954,15924959,5
16659093,15924959,5
20626,15924959,4
2134,15924959,5
1321159,15924959,5
16109197,15924959,5
16109247,15924959,5
8929915,15924959,5
3627,15924959,5
18796,15924959,5
8935322,15924959,5
898,15924959,5
1039,15924959,3
6310,19117,5
16109704,19117,5
19233,19117,3
16659093,19117,5
1321159,19117,2
16109197,19117,5
16109247,19117,5
8929915,19117,5
19188,19117,1
8935322,19117,5
898,19117,3
14865,8960580,5
9033570,8960580,5
8930147,8960580,5
8677,8960580,5
13750669,8960580,5
788,8960580,1
14865,8929965,5
8930147,8929965,5
8677,8929965,5
8960580,8929965,2
1598,1926,5
6310,16109248,5
16109704,16109248,5
19233,16109248,5
16659093,16109248,5
20626,16109248,5
1321159,16109248,5
16109197,16109248,5
16109247,16109248,5
8929915,16109248,5
3627,16109248,2
19188,16109248,5
8935322,16109248,5
898,16109248,5
15924959,16109248,3
19117,16109248,2
6310,8929696,5
16109704,8929696,5
19233,8929696,5
18954,8929696,3
16659093,8929696,5
20626,8929696,4
1321159,8929696,5
16109197,8929696,5
16109247,8929696,5
8929915,8929696,5
3627,8929696,5
18796,8929696,5
19188,8929696,5
8935322,8929696,5
898,8929696,5
1039,8929696,3
15924959,8929696,5
19117,8929696,2
1926,8929696,1
16109248,8929696,5
18892,2695,1
6310,20253,5
16109704,20253,5
19233,20253,5
18954,20253,1
16659093,20253,5
20626,20253,5
2134,20253,5
1321159,20253,5
16109197,20253,5
16109247,20253,5
8929915,20253,5
3627,20253,2
18796,20253,1
8935322,20253,5
898,20253,5
15924959,20253,5
19117,20253,3
16109248,20253,5
8929696,20253,4
6310,2612,5
16109704,2612,5
19233,2612,5
18954,2612,5
16659093,2612,3
20626,2612,5
18892,2612,2
2134,2612,5
1321159,2612,3
16109197,2612,5
16109247,2612,5
9335694,2612,1
8929915,2612,5
3627,2612,5
18796,2612,5
8935322,2612,5
898,2612,5
1039,2612,5
15924959,2612,5
16109248,2612,5
14490,2612,2
8929696,2612,5
20253,2612,5
18954,943,3
18892,943,5
9335694,943,4
3627,943,5
18796,943,1
9050683,943,1
1039,943,5
2612,943,5
6310,2133,5
16109704,2133,5
19233,2133,5
18954,2133,5
16659093,2133,4
20626,2133,5
18892,2133,2
2134,2133,5
1321159,2133,3
16109197,2133,5
16109247,2133,5
8929915,2133,5
3627,2133,5
18796,2133,5
8935322,2133,5
898,2133,5
1039,2133,5
15924959,2133,5
19117,2133,2
2081,2133,1
16109248,2133,5
14490,2133,1
8929696,2133,5
20253,2133,5
2612,2133,5
943,2133,5
16109704,4423,1
19233,4423,5
18954,4423,5
2134,4423,2
8929915,4423,3
3627,4423,5
18796,4423,5
898,4423,1
1039,4423,5
15924959,4423,3
8929696,4423,1
20253,4423,1
2612,4423,5
943,4423,1
2133,4423,5
13750669,668,1
9335694,5690784,5
2034,5690784,5
788,5690784,1
1039,5690784,2
8929965,5690784,1
668,5690784,1
8929915,14485,1
3627,14485,1
8929696,14485,2
2612,14485,2
2133,14485,3
14865,4773,2
8930147,4773,1
8677,4773,5
8960580,4773,5
8929965,4773,5
19233,8945712,5
18954,8945712,5
20626,8945712,5
8929915,8945712,2
3627,8945712,5
18796,8945712,2
9050683,8945712,1
19188,8945712,5
898,8945712,1
1039,8945712,3
2081,8945712,5
16109248,8945712,5
20253,8945712,3
2612,8945712,5
2133,8945712,5
4423,8945712,5
16109704,2692,1
19233,2692,5
18954,2692,5
18892,2692,4
16109197,2692,1
16109247,2692,2
9335694,2692,1
8929915,2692,5
3627,2692,5
18796,2692,5
9050683,2692,1
898,2692,5
1039,2692,5
15924959,2692,4
16109248,2692,2
8929696,2692,3
2612,2692,5
943,2692,5
2133,2692,5
4423,2692,5
