"node_1","node_2","edge"
3216,1336,5
3216,6137,5
1336,6137,5
20087,21445,5
3216,4048,5
1336,4048,3
6137,4048,5
20087,20250,5
6137,20250,3
21445,20250,5
20087,2468,5
3216,2468,5
1336,2468,5
6137,2468,5
4048,2468,5
20250,2468,5
6137,5987,3
21445,5987,5
4048,5987,5
4895,7485,5
4895,9699738,5
20087,1194,5
3216,1194,5
1336,1194,5
6137,1194,5
4048,1194,5
20250,1194,5
2468,1194,5
3216,8068,5
1336,8068,5
6137,8068,1
2468,8068,5
1194,8068,3
8068,9689583,1
4895,23440076,5
7485,23440076,4
9689583,23440076,5
3216,8044,5
1336,8044,5
6137,8044,5
4048,8044,1
2468,8044,5
5987,8044,3
1194,8044,5
8068,8044,5
20087,9714975,5
21445,9714975,5
20250,9714975,5
1194,9714975,5
3216,396,5
1336,396,5
6137,396,5
21445,396,1
4048,396,5
2468,396,5
5987,396,5
1194,396,5
8068,396,1
8044,396,2
20087,1715,3
3216,1715,5
1336,1715,5
6137,1715,5
4048,1715,5
20250,1715,5
2468,1715,5
5987,1715,3
1194,1715,5
8068,1715,2
8044,1715,5
396,1715,5
3216,1887,5
1336,1887,5
6137,1887,5
4048,1887,5
2468,1887,5
1194,1887,5
8068,1887,5
396,1887,5
1715,1887,5
20087,2151,5
3216,2151,5
1336,2151,5
6137,2151,5
4048,2151,5
20250,2151,3
2468,2151,5
1194,2151,5
8044,2151,3
9714975,2151,5
396,2151,5
1715,2151,5
1887,2151,5
20087,3831,1
3216,3831,5
1336,3831,5
6137,3831,5
4048,3831,5
2468,3831,5
1194,3831,5
8068,3831,5
8044,3831,3
396,3831,5
1715,3831,5
1887,3831,5
2151,3831,5
3216,8378,5
1336,8378,5
6137,8378,5
4048,8378,5
2468,8378,5
1194,8378,5
8068,8378,5
8044,8378,1
396,8378,5
1715,8378,5
1887,8378,5
2151,8378,5
3831,8378,5
20087,14185,5
3216,14185,5
6137,14185,5
21445,14185,5
4048,14185,5
20250,14185,5
2468,14185,5
1194,14185,5
9714975,14185,5
396,14185,5
1715,14185,5
1887,14185,5
2151,14185,5
3831,14185,3
8378,14185,5
3216,19018,5
1336,19018,5
6137,19018,5
4048,19018,5
2468,19018,5
1194,19018,5
8068,19018,2
396,19018,5
1715,19018,5
1887,19018,5
2151,19018,5
3831,19018,5
8378,19018,5
14185,19018,5
20087,20839,1
3216,20839,5
1336,20839,5
6137,20839,5
4048,20839,5
2468,20839,5
1194,20839,5
8068,20839,4
396,20839,5
1715,20839,5
1887,20839,5
2151,20839,5
3831,20839,5
8378,20839,5
14185,20839,5
19018,20839,5
20087,21110,1
3216,21110,5
1336,21110,5
6137,21110,5
4048,21110,5
2468,21110,5
1194,21110,5
8068,21110,5
8044,21110,4
396,21110,5
1715,21110,5
1887,21110,5
2151,21110,5
3831,21110,5
8378,21110,5
14185,21110,5
19018,21110,5
20839,21110,5
20087,9690197,5
3216,9690197,5
1336,9690197,2
6137,9690197,5
21445,9690197,5
4048,9690197,5
20250,9690197,4
2468,9690197,5
5987,9690197,5
1194,9690197,5
9714975,9690197,4
396,9690197,5
1715,9690197,5
1887,9690197,5
2151,9690197,5
3831,9690197,5
8378,9690197,5
14185,9690197,5
19018,9690197,5
20839,9690197,5
21110,9690197,5
4895,8681,5
4895,17294,5
8068,17294,1
9689583,17294,1
8681,17294,5
4895,9740402,5
9689583,9740402,5
23440076,9740402,4
8681,9740402,5
17294,9740402,5
3216,8917,5
1336,8917,5
6137,8917,5
4048,8917,3
2468,8917,5
1194,8917,5
8068,8917,5
396,8917,5
1715,8917,5
1887,8917,5
2151,8917,5
3831,8917,5
8378,8917,5
14185,8917,5
19018,8917,5
20839,8917,5
21110,8917,5
9690197,8917,5
20087,20844,5
3216,20844,5
6137,20844,5
21445,20844,5
4048,20844,5
2468,20844,5
5987,20844,2
1194,20844,5
9714975,20844,2
396,20844,5
1715,20844,5
2151,20844,5
8378,20844,5
14185,20844,5
19018,20844,5
20839,20844,5
9690197,20844,5
20087,8048,5
21445,8048,3
20250,8048,2
1194,8048,3
9714975,8048,5
2151,8048,5
14185,8048,2
20844,8048,5
3216,9764962,5
1336,9764962,5
6137,9764962,5
4048,9764962,5
2468,9764962,5
1194,9764962,5
8068,9764962,5
8044,9764962,2
396,9764962,5
1715,9764962,5
1887,9764962,5
2151,9764962,5
3831,9764962,5
8378,9764962,5
14185,9764962,5
19018,9764962,5
20839,9764962,5
21110,9764962,5
9690197,9764962,5
8917,9764962,5
20844,9764962,5
3216,4083,5
1336,4083,5
6137,4083,5
4048,4083,5
2468,4083,5
5987,4083,5
1194,4083,5
8068,4083,4
8044,4083,3
396,4083,5
1715,4083,5
1887,4083,5
2151,4083,5
3831,4083,5
8378,4083,5
14185,4083,5
19018,4083,5
20839,4083,5
21110,4083,5
9690197,4083,5
8917,4083,5
20844,4083,5
9764962,4083,5
3216,2018,5
1336,2018,5
6137,2018,5
4048,2018,5
2468,2018,5
1194,2018,5
8068,2018,4
396,2018,5
1715,2018,5
1887,2018,5
2151,2018,5
3831,2018,5
8378,2018,5
14185,2018,5
19018,2018,5
20839,2018,5
21110,2018,5
9690197,2018,5
8917,2018,5
20844,2018,2
9764962,2018,5
4083,2018,5
20087,20154,5
6137,20154,5
21445,20154,3
4048,20154,5
20250,20154,3
2468,20154,2
1194,20154,1
9714975,20154,5
2151,20154,3
14185,20154,5
19018,20154,5
8048,20154,2
3216,20208,5
6137,20208,5
4048,20208,5
20250,20208,5
2468,20208,5
5987,20208,3
1194,20208,5
396,20208,5
1715,20208,5
1887,20208,4
2151,20208,1
3831,20208,5
8378,20208,4
19018,20208,5
20839,20208,5
21110,20208,2
9690197,20208,5
8917,20208,3
20844,20208,5
9764962,20208,5
4083,20208,5
2018,20208,2
20154,20208,4
3216,26840822,5
1336,26840822,5
6137,26840822,5
4048,26840822,5
2468,26840822,5
1194,26840822,5
8068,26840822,5
8044,26840822,3
396,26840822,5
1715,26840822,5
1887,26840822,5
2151,26840822,5
3831,26840822,5
8378,26840822,5
14185,26840822,5
19018,26840822,5
20839,26840822,5
21110,26840822,5
9690197,26840822,5
8917,26840822,5
20844,26840822,5
9764962,26840822,5
4083,26840822,5
2018,26840822,5
20208,26840822,5
3216,10936540,2
1336,10936540,5
8068,10936540,5
23440076,10936540,5
21110,10936540,5
4895,13432,5
9699738,13432,3
9689583,13432,1
23440076,13432,2
8681,13432,5
9740402,13432,5
6137,9688247,1
21445,9688247,5
4048,9688247,2
20250,9688247,3
5987,9688247,5
396,9688247,2
14185,9688247,2
9690197,9688247,3
20844,9688247,5
4083,9688247,5
20154,9688247,1
20208,9688247,3
4895,40618009,5
7485,40618009,5
9699738,40618009,5
23440076,40618009,5
13432,40618009,5
3216,2446,5
1336,2446,5
6137,2446,5
4048,2446,3
2468,2446,5
1194,2446,5
8068,2446,5
396,2446,5
1715,2446,5
1887,2446,5
2151,2446,5
3831,2446,5
8378,2446,5
14185,2446,5
19018,2446,5
20839,2446,5
21110,2446,5
9690197,2446,5
8917,2446,5
9764962,2446,5
4083,2446,5
2018,2446,5
26840822,2446,5
10936540,2446,5
3216,18609,1
1336,18609,2
2468,18609,1
8068,18609,1
8044,18609,1
21110,18609,1
7485,5661,2
9689583,5661,5
23440076,5661,5
9740402,5661,1
7485,9773186,5
8068,9773186,3
8681,9773186,5
3216,4572,5
1336,4572,5
6137,4572,5
4048,4572,2
2468,4572,5
1194,4572,5
8068,4572,5
8044,4572,1
396,4572,5
1715,4572,5
1887,4572,5
2151,4572,5
3831,4572,4
8378,4572,5
19018,4572,5
20839,4572,5
21110,4572,5
9690197,4572,5
8917,4572,5
9764962,4572,5
4083,4572,5
2018,4572,5
20208,4572,3
26840822,4572,5
2446,4572,5
7485,9722479,5
13432,9722479,5
40618009,9722479,2
6137,24575218,5
21445,24575218,5
4048,24575218,5
5987,24575218,5
396,24575218,5
1715,24575218,1
19018,24575218,5
4083,24575218,5
