"node_1","node_2","edge"
10041,10135,2
10149,10880,1
10149,11368,2
10149,1147,1
10880,1147,2
1128,1147,1
10149,11860,1
10880,11860,1
11368,11860,1
1147,11860,2
10041,1233,2
10149,1233,1
11368,1233,2
10880,1387711,2
1128,1387711,1
10880,14048157,2
1128,14048157,2
1147,14048157,2
11860,14048157,1
13432,14048157,1
10041,14456,1
10880,14456,2
1233,14456,2
13432,14456,2
1387711,14456,1
10041,1490,2
10149,1490,1
10880,1490,2
1147,1490,1
1233,1490,2
14048157,1490,2
10149,1536,1
11368,1536,1
11860,1536,2
10149,1540,2
10880,1540,2
1128,1540,1
11368,1540,2
1147,1540,2
11860,1540,2
1387711,1540,1
1536,1540,1
10880,15634613,1
11368,15634613,1
11860,15634613,1
1490,15634613,1
1536,15634613,1
10149,15752623,2
11368,15752623,2
11860,15752623,1
1233,15752623,1
13432,15752623,1
1536,15752623,1
1540,15752623,2
1269570,15843,2
13432,15843,2
1233,15964506,1
13432,15964506,2
14456,15964506,1
1536,15964506,1
15634613,15964506,1
15752623,15964506,1
11368,16010478,1
1387711,16010478,1
14456,16010478,1
1536,16010478,1
10149,16010523,2
11368,16010523,2
11860,16010523,1
1233,16010523,2
1269570,16010523,2
1540,16010523,2
15634613,16010523,1
15752623,16010523,3
15964506,16010523,1
1233,16010888,1
1269570,16010888,2
1336,16010888,1
1387711,16010888,1
1490,16010888,1
15843,16010888,2
10135,16011527,1
10880,16011527,2
1147,16011527,1
11860,16011527,2
1269570,16011527,1
14048157,16011527,2
1490,16011527,1
15752623,16011527,1
16010523,16011527,1
10149,16066,1
10880,16066,1
1147,16066,1
11860,16066,1
1269570,16066,1
13432,16066,2
1387711,16066,1
14048157,16066,1
1536,16066,1
15634613,16066,1
15843,16066,1
16010478,16066,1
16010888,16066,1
10135,16088589,1
10149,16088589,1
10880,16088589,1
1147,16088589,1
11860,16088589,1
1269570,16088589,1
1336,16088589,1
14048157,16088589,1
1536,16088589,1
1540,16088589,2
15752623,16088589,1
15843,16088589,1
16010888,16088589,1
16011527,16088589,1
10135,16334,1
10149,16334,2
10880,16334,2
1128,16334,1
11368,16334,1
1147,16334,1
11860,16334,1
13432,16334,1
1387711,16334,1
14048157,16334,2
14456,16334,1
1490,16334,1
1536,16334,1
1540,16334,1
15634613,16334,1
15752623,16334,1
15964506,16334,1
16010478,16334,1
16010523,16334,1
16011527,16334,1
16066,16334,1
10135,16603596,2
10880,16603596,1
1336,16603596,1
13432,16603596,1
1387711,16603596,2
14456,16603596,2
1490,16603596,1
15964506,16603596,1
16010478,16603596,1
16010888,16603596,2
10135,16603612,1
1128,16603612,1
1269570,16603612,1
13432,16603612,2
14048157,16603612,1
14456,16603612,2
15752623,16603612,1
15964506,16603612,1
16010523,16603612,1
16011527,16603612,2
16603596,16603612,1
10149,16615587,1
10880,16615587,2
1128,16615587,1
1147,16615587,3
1233,16615587,1
1387711,16615587,2
14048157,16615587,2
14456,16615587,1
1490,16615587,2
1536,16615587,1
15843,16615587,1
16010888,16615587,3
16011527,16615587,1
16066,16615587,2
16603596,16615587,1
10041,16620826,1
10149,16620826,1
10880,16620826,1
1147,16620826,1
11860,16620826,1
1233,16620826,1
13432,16620826,2
14048157,16620826,1
1490,16620826,1
1536,16620826,1
1540,16620826,1
15843,16620826,2
16010888,16620826,1
16011527,16620826,1
16066,16620826,1
16088589,16620826,2
16334,16620826,1
10149,16677834,2
10880,16677834,2
1128,16677834,1
1147,16677834,2
11860,16677834,2
1336,16677834,1
1387711,16677834,1
14048157,16677834,1
1490,16677834,1
1536,16677834,2
1540,16677834,1
15634613,16677834,2
16010888,16677834,1
16011527,16677834,1
16066,16677834,1
16334,16677834,1
16615587,16677834,2
13432,16678277,2
14456,16678277,2
15964506,16678277,2
16334,16678277,1
16603596,16678277,1
10149,16683630,1
10880,16683630,1
1128,16683630,1
11368,16683630,1
1147,16683630,1
11860,16683630,1
1336,16683630,1
13432,16683630,1
1387711,16683630,1
14048157,16683630,1
14456,16683630,1
1536,16683630,1
1540,16683630,1
15634613,16683630,1
15752623,16683630,2
15964506,16683630,1
16010523,16683630,1
16011527,16683630,1
16088589,16683630,1
16603612,16683630,1
16620826,16683630,1
10149,17288,1
10880,17288,1
1128,17288,1
11368,17288,1
1147,17288,1
11860,17288,1
1387711,17288,1
14048157,17288,1
14456,17288,2
1490,17288,1
1536,17288,1
1540,17288,1
15634613,17288,1
15752623,17288,1
16010523,17288,1
16011527,17288,1
16334,17288,1
16603612,17288,1
16620826,17288,1
16677834,17288,1
16678277,17288,1
10135,17294,2
13432,17294,1
15634613,17294,1
15752623,17294,1
15964506,17294,1
16010523,17294,1
16603596,17294,2
16683630,17294,1
14456,1817,1
15964506,1817,1
16334,1817,1
16603596,1817,1
10041,18467,1
10135,18467,1
1336,18467,1
13432,18467,1
1387711,18467,1
14048157,18467,1
14456,18467,2
1490,18467,1
15752623,18467,1
16010478,18467,1
16010523,18467,1
16011527,18467,1
16603612,18467,1
16615587,18467,1
16677834,18467,1
16683630,18467,3
17288,18467,1
17294,18467,1
11860,18609,1
14048157,18609,1
15634613,18609,1
15752623,18609,2
15964506,18609,1
16010523,18609,1
16011527,18609,2
16334,18609,1
16615587,18609,1
16677834,18609,1
16683630,18609,1
17288,18609,1
17294,18609,1
1817,18609,2
18467,18609,1
1336,1887,1
14456,1887,2
1490,1887,1
15752623,1887,1
16010523,1887,1
16011527,1887,1
16334,1887,1
16603612,1887,1
17288,1887,1
11860,18890,1
1233,18890,1
1387711,18890,1
14456,18890,1
1490,18890,2
15634613,18890,1
15964506,18890,1
16010523,18890,1
16010888,18890,2
16066,18890,1
16334,18890,1
16615587,18890,1
16620826,18890,1
16678277,18890,1
17288,18890,1
17294,18890,1
1817,18890,1
18609,18890,1
1887,18890,1
11860,191,1
1233,191,2
1269570,191,1
14456,191,1
15752623,191,1
15964506,191,1
16010523,191,1
16011527,191,1
16334,191,1
16603612,191,1
16678277,191,1
17288,191,1
1817,191,1
18467,191,1
18609,191,1
1887,191,2
18890,191,1
10880,19462,1
1233,19462,2
14048157,19462,1
14456,19462,1
1490,19462,1
15634613,19462,1
15964506,19462,1
16010888,19462,1
16620826,19462,1
16677834,19462,1
16683630,19462,1
10041,19522,1
10880,19522,1
1233,19522,1
13432,19522,1
14456,19522,1
15752623,19522,1
16010523,19522,1
16011527,19522,1
16066,19522,2
16334,19522,1
16603596,19522,1
16603612,19522,1
16615587,19522,1
17288,19522,1
18467,19522,1
1887,19522,1
191,19522,1
19462,19522,1
10041,19658,1
11860,19658,1
1233,19658,2
14456,19658,1
1490,19658,1
15752623,19658,1
16010523,19658,2
16010888,19658,1
16011527,19658,1
16603612,19658,1
16615587,19658,1
16620826,19658,1
17288,19658,1
18467,19658,1
1887,19658,1
18890,19658,2
191,19658,2
19462,19658,1
19522,19658,1
10880,1983946,1
14048157,1983946,2
1490,1983946,1
1540,1983946,2
15843,1983946,1
16010523,1983946,1
16066,1983946,1
16334,1983946,1
16677834,1983946,1
17288,1983946,1
18467,1983946,1
19462,1983946,1
1233,19860,1
1387711,19860,1
1490,19860,2
1536,19860,1
15843,19860,1
16010888,19860,2
16066,19860,2
16088589,19860,1
16615587,19860,2
16677834,19860,1
19462,19860,1
10880,19874,1
1147,19874,1
11860,19874,1
1233,19874,1
1387711,19874,1
14048157,19874,2
1490,19874,1
16010478,19874,1
16010888,19874,2
16011527,19874,1
16603596,19874,1
16603612,19874,1
16615587,19874,2
16620826,19874,2
16677834,19874,2
18467,19874,2
18609,19874,1
191,19874,1
19462,19874,1
19522,19874,2
19658,19874,1
1233,19894,1
1269570,19894,2
15843,19894,2
16010523,19894,1
16010888,19894,1
16066,19894,1
16088589,19894,1
16615587,19894,1
19860,19894,1
10041,20023,2
11368,20023,1
1233,20023,2
1269570,20023,1
13432,20023,1
14456,20023,1
1490,20023,2
1536,20023,1
15634613,20023,1
15843,20023,1
16010888,20023,1
16088589,20023,1
16334,20023,1
16615587,20023,1
16620826,20023,1
16677834,20023,1
16678277,20023,1
191,20023,1
19462,20023,1
19522,20023,1
19860,20023,1
19874,20023,1
10041,20087,1
10880,20087,1
1147,20087,1
11860,20087,1
1233,20087,1
1269570,20087,1
14048157,20087,1
1490,20087,2
1536,20087,1
1540,20087,1
15634613,20087,1
15843,20087,1
16010888,20087,1
16011527,20087,1
16066,20087,1
16334,20087,1
16615587,20087,2
16677834,20087,1
17288,20087,1
18467,20087,1
18890,20087,1
19522,20087,1
19658,20087,2
19860,20087,2
19894,20087,1
20023,20087,1
10041,20154,1
10880,20154,3
11368,20154,1
1147,20154,1
11860,20154,1
1233,20154,2
1269570,20154,1
13432,20154,1
1387711,20154,1
1490,20154,2
1536,20154,1
15843,20154,3
16010523,20154,1
16010888,20154,3
16066,20154,3
16088589,20154,1
16334,20154,1
16615587,20154,3
16620826,20154,1
16677834,20154,1
18890,20154,2
19462,20154,1
19522,20154,2
19658,20154,1
19860,20154,2
19874,20154,2
19894,20154,1
20023,20154,3
20087,20154,1
1269570,2018,1
14456,2018,1
16010523,2018,2
16010888,2018,1
16011527,2018,1
16678277,2018,1
17288,2018,1
18890,2018,1
191,2018,2
19658,2018,2
19894,2018,1
20087,2018,1
20154,2018,1
10041,202,1
10149,202,2
10880,202,2
1147,202,1
11860,202,1
1233,202,1
1387711,202,1
14048157,202,1
14456,202,2
1490,202,2
1540,202,1
16010478,202,1
16011527,202,1
16066,202,1
16088589,202,1
16334,202,1
16620826,202,2
16683630,202,1
17288,202,1
18890,202,1
19462,202,1
19522,202,1
19658,202,1
20023,202,2
20154,202,3
10041,20208,1
1233,20208,1
1269570,20208,1
1387711,20208,1
1490,20208,1
15752623,20208,1
15843,20208,1
15964506,20208,1
16010888,20208,1
16088589,20208,1
16603596,20208,1
16615587,20208,1
16620826,20208,1
17294,20208,1
18467,20208,1
18890,20208,2
19462,20208,1
19658,20208,1
19860,20208,1
19874,20208,2
20023,20208,1
20087,20208,1
20154,20208,2
202,20208,1
10041,20217,1
10880,20217,1
1233,20217,1
1269570,20217,1
1336,20217,1
13432,20217,1
1490,20217,1
15634613,20217,1
15843,20217,1
16010888,20217,1
16088589,20217,1
16620826,20217,1
16677834,20217,1
19462,20217,1
19522,20217,1
1983946,20217,1
19860,20217,1
19874,20217,1
20023,20217,1
20154,20217,2
202,20217,1
20208,20217,1
11368,20250,1
1233,20250,1
1269570,20250,1
14456,20250,1
1540,20250,1
15634613,20250,1
15752623,20250,1
16010523,20250,2
16010888,20250,1
16088589,20250,2
16615587,20250,1
16683630,20250,1
17288,20250,1
18467,20250,1
19462,20250,1
19522,20250,1
19658,20250,1
19874,20250,1
19894,20250,1
20023,20250,1
20154,20250,1
202,20250,1
20208,20250,1
20217,20250,1
10149,2034,1
10880,2034,2
1147,2034,1
11860,2034,1
1387711,2034,1
14048157,2034,1
14456,2034,1
1490,2034,1
1540,2034,1
15964506,2034,1
16010478,2034,1
16010888,2034,1
16011527,2034,1
16334,2034,1
16603596,2034,1
16615587,2034,1
16677834,2034,1
16678277,2034,1
17288,2034,1
19462,2034,1
19522,2034,1
1983946,2034,1
19874,2034,1
20023,2034,1
20087,2034,1
20154,2034,1
2018,2034,1
20208,2034,1
20217,2034,1
10149,20391,1
10880,20391,1
1128,20391,1
1147,20391,1
11860,20391,1
14048157,20391,1
1490,20391,2
1540,20391,1
15634613,20391,1
16010888,20391,1
16011527,20391,2
16088589,20391,1
16603612,20391,1
16620826,20391,2
16683630,20391,1
18890,20391,1
19462,20391,2
19874,20391,2
202,20391,1
20208,20391,1
20217,20391,1
20250,20391,2
10149,20497,1
10880,20497,1
1147,20497,1
11860,20497,1
1336,20497,1
1387711,20497,3
1490,20497,1
1540,20497,1
15843,20497,1
16010888,20497,3
16066,20497,2
16088589,20497,1
16603596,20497,2
16615587,20497,3
16677834,20497,1
19522,20497,1
1983946,20497,1
19874,20497,1
19894,20497,1
20087,20497,1
20154,20497,2
20208,20497,2
2034,20497,1
10041,20539735,1
10880,20539735,1
1336,20539735,1
14048157,20539735,1
1490,20539735,1
15634613,20539735,1
15964506,20539735,1
16010523,20539735,1
16011527,20539735,1
16088589,20539735,1
16620826,20539735,1
18609,20539735,1
18890,20539735,2
19874,20539735,1
20087,20539735,1
20154,20539735,1
20208,20539735,1
20217,20539735,1
20391,20539735,1
20497,20539735,1
10149,20539736,1
11368,20539736,1
11860,20539736,1
1233,20539736,1
1336,20539736,1
1387711,20539736,1
14048157,20539736,1
1490,20539736,1
1540,20539736,1
15752623,20539736,1
16010523,20539736,1
16011527,20539736,1
16334,20539736,1
16603596,20539736,1
16620826,20539736,1
17288,20539736,1
18609,20539736,1
1887,20539736,1
18890,20539736,1
191,20539736,1
19658,20539736,1
19874,20539736,2
20154,20539736,1
2018,20539736,1
2034,20539736,1
20391,20539736,1
20539735,20539736,1
10880,20539760,2
1128,20539760,1
1147,20539760,1
1387711,20539760,1
14048157,20539760,2
14456,20539760,1
1490,20539760,1
1540,20539760,1
16010478,20539760,1
16010888,20539760,1
16011527,20539760,1
16066,20539760,2
16088589,20539760,1
16334,20539760,2
16615587,20539760,1
16620826,20539760,1
16677834,20539760,1
16683630,20539760,1
17288,20539760,2
18890,20539760,1
19658,20539760,1
19860,20539760,1
19874,20539760,1
20154,20539760,1
202,20539760,2
20208,20539760,1
20250,20539760,1
20391,20539760,1
20497,20539760,1
10149,20539920,1
10880,20539920,2
1128,20539920,1
1147,20539920,1
11860,20539920,1
1336,20539920,1
1387711,20539920,1
14048157,20539920,2
1490,20539920,2
1536,20539920,1
1540,20539920,1
15634613,20539920,1
15843,20539920,1
16010523,20539920,1
16010888,20539920,1
16011527,20539920,1
16088589,20539920,1
16334,20539920,1
16615587,20539920,2
16620826,20539920,1
16677834,20539920,1
17288,20539920,1
18609,20539920,1
1887,20539920,1
18890,20539920,1
19462,20539920,1
19522,20539920,1
19658,20539920,1
1983946,20539920,1
19860,20539920,1
20087,20539920,2
20154,20539920,1
2018,20539920,1
202,20539920,1
20208,20539920,1
20217,20539920,1
2034,20539920,1
20391,20539920,1
20539735,20539920,1
20539736,20539920,1
10135,20539966,1
1233,20539966,1
1269570,20539966,1
1387711,20539966,1
1490,20539966,1
15843,20539966,1
16010478,20539966,1
16010888,20539966,1
16088589,20539966,2
16334,20539966,1
16620826,20539966,1
191,20539966,1
19462,20539966,1
19874,20539966,1
20023,20539966,1
20154,20539966,1
20208,20539966,1
20217,20539966,1
2034,20539966,2
10880,20602,1
14048157,20602,2
1490,20602,2
15634613,20602,1
15843,20602,1
16010478,20602,1
16011527,20602,1
16066,20602,1
16334,20602,2
16677834,20602,1
18609,20602,1
19462,20602,1
19522,20602,1
19860,20602,1
19874,20602,1
20087,20602,1
202,20602,2
20208,20602,1
20217,20602,1
2034,20602,1
20391,20602,1
20539920,20602,2
10880,20698,2
1128,20698,1
1147,20698,1
11860,20698,1
13432,20698,1
14048157,20698,3
1490,20698,1
1540,20698,1
15634613,20698,1
16011527,20698,2
16066,20698,1
16088589,20698,2
16603612,20698,1
16615587,20698,1
16620826,20698,2
16677834,20698,1
16683630,20698,1
19462,20698,1
19658,20698,1
19860,20698,1
19874,20698,1
20087,20698,1
20208,20698,1
20217,20698,1
2034,20698,1
20391,20698,2
20539920,20698,1
20602,20698,1
10149,207,1
10880,207,1
1147,207,1
11860,207,1
1233,207,1
1336,207,1
14048157,207,1
1490,207,1
1536,207,1
1540,207,1
15752623,207,1
15964506,207,1
16011527,207,1
16334,207,1
16603612,207,1
16677834,207,1
16678277,207,2
17288,207,1
17294,207,1
20087,207,1
20208,207,1
20217,207,1
2034,207,1
20539920,207,1
20602,207,1
20698,207,2
10149,20839,1
10880,20839,2
1128,20839,1
1147,20839,1
11860,20839,1
1233,20839,1
1269570,20839,1
1387711,20839,1
14048157,20839,1
1490,20839,2
1536,20839,1
15634613,20839,2
16010888,20839,1
16066,20839,1
16088589,20839,1
16334,20839,1
16603612,20839,1
16615587,20839,1
16620826,20839,1
16677834,20839,2
17288,20839,1
19462,20839,1
1983946,20839,2
19860,20839,2
19874,20839,1
20023,20839,2
20087,20839,1
20154,20839,2
20208,20839,1
20217,20839,1
20250,20839,1
2034,20839,1
20391,20839,1
20497,20839,2
20539760,20839,1
20539920,20839,1
20539966,20839,1
20602,20839,1
20698,20839,1
10880,20901,1
1147,20901,1
11860,20901,1
14048157,20901,1
1490,20901,1
1536,20901,2
15634613,20901,1
15752623,20901,2
15964506,20901,1
16010478,20901,1
16010523,20901,1
16011527,20901,3
16088589,20901,1
16603596,20901,1
16603612,20901,1
16615587,20901,3
16620826,20901,1
16677834,20901,1
16683630,20901,2
17294,20901,1
18467,20901,1
18609,20901,1
1887,20901,1
18890,20901,1
191,20901,2
19462,20901,1
19522,20901,1
19658,20901,2
19874,20901,3
20154,20901,1
202,20901,1
20208,20901,1
20391,20901,1
20497,20901,1
20539735,20901,1
20539736,20901,1
20539760,20901,2
20539920,20901,1
20698,20901,1
10880,21191,1
1387711,21191,1
1490,21191,1
16010888,21191,1
16011527,21191,1
16334,21191,1
16615587,21191,1
16677834,21191,2
17288,21191,1
18467,21191,1
18609,21191,1
18890,21191,1
19874,21191,1
20154,21191,1
202,21191,1
20217,21191,1
20250,21191,1
20539760,21191,1
20539920,21191,1
20901,21191,1
10135,2218,1
10880,2218,1
1128,2218,1
1147,2218,1
11860,2218,1
14048157,2218,1
1540,2218,1
16010478,2218,1
16011527,2218,1
16088589,2218,1
16334,2218,2
16615587,2218,2
16677834,2218,1
17288,2218,1
1983946,2218,1
20087,2218,1
2034,2218,1
20539760,2218,1
20539920,2218,1
20539966,2218,1
20901,2218,1
10880,22252976,1
1233,22252976,1
1336,22252976,2
14048157,22252976,1
14456,22252976,1
15964506,22252976,1
16010888,22252976,2
16603596,22252976,2
16615587,22252976,1
16683630,22252976,1
191,22252976,1
19522,22252976,1
19874,22252976,1
2018,22252976,1
2034,22252976,1
20497,22252976,2
20901,22252976,2
2218,22252976,1
10880,23439609,1
13432,23439609,1
1387711,23439609,1
16010888,23439609,1
16603596,23439609,1
16603612,23439609,1
16615587,23439609,1
16677834,23439609,1
16683630,23439609,1
18609,23439609,1
19894,23439609,1
20154,23439609,1
20497,23439609,1
20539760,23439609,1
21191,23439609,1
22252976,23439609,1
10880,23439632,1
1128,23439632,1
1147,23439632,1
11860,23439632,1
1269570,23439632,1
1336,23439632,1
14048157,23439632,1
14456,23439632,1
1490,23439632,1
1536,23439632,1
1540,23439632,1
15634613,23439632,2
15964506,23439632,1
16010523,23439632,1
16011527,23439632,1
16334,23439632,2
16615587,23439632,1
16677834,23439632,1
17288,23439632,1
17294,23439632,1
18609,23439632,1
19462,23439632,1
19522,23439632,1
1983946,23439632,1
19874,23439632,1
19894,23439632,1
20087,23439632,1
20154,23439632,1
202,23439632,1
20217,23439632,1
2034,23439632,1
20539735,23439632,1
20539920,23439632,1
20602,23439632,1
20698,23439632,1
207,23439632,1
20839,23439632,2
21191,23439632,1
2218,23439632,1
10149,23439657,1
10880,23439657,1
1128,23439657,1
11368,23439657,1
1147,23439657,1
11860,23439657,1
1387711,23439657,1
14048157,23439657,1
1536,23439657,1
1540,23439657,2
15634613,23439657,2
15752623,23439657,2
15964506,23439657,1
16010523,23439657,1
16011527,23439657,1
16088589,23439657,1
16603596,23439657,1
16620826,23439657,1
16683630,23439657,1
19462,23439657,1
202,23439657,1
20250,23439657,2
2034,23439657,1
20391,23439657,2
20539736,23439657,1
20539760,23439657,1
20698,23439657,2
20901,23439657,1
22252976,23439657,1
10135,23439671,1
1269570,23439671,1
1336,23439671,1
13432,23439671,1
1387711,23439671,1
14048157,23439671,1
14456,23439671,1
15634613,23439671,1
15843,23439671,1
15964506,23439671,1
16010523,23439671,1
16010888,23439671,2
16066,23439671,1
16088589,23439671,1
16334,23439671,2
16603596,23439671,2
16615587,23439671,1
16620826,23439671,1
16678277,23439671,2
17288,23439671,1
1817,23439671,1
18609,23439671,1
18890,23439671,1
191,23439671,1
19658,23439671,1
19860,23439671,1
19894,23439671,2
20087,23439671,1
20154,23439671,1
2018,23439671,1
20497,23439671,2
20539735,23439671,2
20839,23439671,1
22252976,23439671,1
10880,23439684,1
1336,23439684,1
13432,23439684,1
14048157,23439684,3
1490,23439684,1
16011527,23439684,2
16088589,23439684,1
16620826,23439684,2
16678277,23439684,1
16683630,23439684,1
17288,23439684,1
17294,23439684,1
18890,23439684,2
191,23439684,1
19874,23439684,1
20087,23439684,1
20154,23439684,1
2018,23439684,1
202,23439684,2
20391,23439684,1
20539735,23439684,1
20539736,23439684,1
20539920,23439684,2
20698,23439684,1
20901,23439684,1
23439632,23439684,1
23439657,23439684,1
23439671,23439684,2
13432,23439685,1
15752623,23439685,1
16334,23439685,2
16603596,23439685,1
16603612,23439685,1
16615587,23439685,1
16620826,23439685,1
202,23439685,1
20539736,23439685,1
2218,23439685,1
23439657,23439685,1
10041,23439963,1
1233,23439963,1
13432,23439963,1
1490,23439963,1
1536,23439963,1
16010478,23439963,1
16066,23439963,3
16334,23439963,1
16603612,23439963,1
16615587,23439963,1
16620826,23439963,1
16677834,23439963,1
16683630,23439963,1
19860,23439963,1
20154,23439963,1
202,23439963,2
20208,23439963,1
20217,23439963,1
2034,23439963,1
20539760,23439963,2
20539966,23439963,2
20602,23439963,1
20698,23439963,1
20839,23439963,1
23439685,23439963,1
10149,2344,1
10880,2344,2
1128,2344,1
11368,2344,1
1147,2344,2
11860,2344,1
1387711,2344,1
14048157,2344,2
1490,2344,1
1536,2344,1
1540,2344,1
15634613,2344,1
15752623,2344,1
15964506,2344,1
16010523,2344,1
16011527,2344,2
16088589,2344,2
16334,2344,1
16620826,2344,1
16677834,2344,1
16678277,2344,1
16683630,2344,1
17288,2344,1
18609,2344,1
1887,2344,1
1983946,2344,2
19874,2344,1
20087,2344,1
202,2344,1
20250,2344,1
2034,2344,1
20391,2344,1
20539736,2344,1
20539760,2344,1
20539920,2344,2
20698,2344,2
207,2344,2
20901,2344,1
2218,2344,1
23439632,2344,1
23439657,2344,1
23439684,2344,1
23439685,2344,1
1269570,23440008,1
1387711,23440008,1
1540,23440008,1
15843,23440008,1
16010888,23440008,2
16066,23440008,1
16088589,23440008,1
16603596,23440008,1
16615587,23440008,2
16620826,23440008,1
16677834,23440008,1
16683630,23440008,1
19874,23440008,2
20023,23440008,1
20154,23440008,2
20208,23440008,1
20217,23440008,1
20250,23440008,1
2034,23440008,1
20497,23440008,1
20539760,23440008,1
20539966,23440008,1
20839,23440008,1
22252976,23440008,1
23439657,23440008,1
10149,23440009,1
10880,23440009,2
1147,23440009,1
11860,23440009,1
1233,23440009,1
13432,23440009,1
14048157,23440009,1
14456,23440009,1
1490,23440009,1
1536,23440009,2
15634613,23440009,1
15843,23440009,1
16010478,23440009,2
16010888,23440009,1
16011527,23440009,1
16066,23440009,1
16334,23440009,1
16615587,23440009,2
16677834,23440009,2
17288,23440009,2
18467,23440009,1
19462,23440009,1
19658,23440009,1
1983946,23440009,1
19860,23440009,1
19874,23440009,1
20023,23440009,1
20087,23440009,1
20154,23440009,2
20208,23440009,1
20217,23440009,2
20250,23440009,1
2034,23440009,2
20539760,23440009,1
20539920,23440009,2
20539966,23440009,1
20602,23440009,2
20698,23440009,2
207,23440009,1
20839,23440009,2
2218,23440009,1
23439632,23440009,1
23439657,23440009,1
23439684,23440009,1
23439963,23440009,2
2344,23440009,1
23440008,23440009,1
1128,23440050,1
13432,23440050,4
14456,23440050,1
15843,23440050,1
15964506,23440050,1
16603596,23440050,2
16620826,23440050,1
16678277,23440050,1
17294,23440050,1
20023,23440050,1
20250,23440050,1
20391,23440050,1
23439632,23440050,1
23439657,23440050,1
23439671,23440050,1
23440009,23440050,1
1128,23440086,1
1269570,23440086,1
13432,23440086,3
14048157,23440086,1
14456,23440086,1
15752623,23440086,1
15964506,23440086,1
16010478,23440086,1
16010523,23440086,1
16011527,23440086,1
16066,23440086,1
16603612,23440086,1
16620826,23440086,1
16678277,23440086,1
18609,23440086,1
191,23440086,1
20154,23440086,1
2018,23440086,1
20539760,23440086,1
20698,23440086,1
207,23440086,1
20901,23440086,2
2218,23440086,1
23439657,23440086,1
23439963,23440086,1
23440050,23440086,3
10880,23440135,1
1147,23440135,1
11860,23440135,1
1336,23440135,1
13432,23440135,1
14048157,23440135,2
1490,23440135,1
15634613,23440135,1
16011527,23440135,2
16334,23440135,2
16615587,23440135,1
16620826,23440135,1
16677834,23440135,1
16678277,23440135,2
17288,23440135,1
191,23440135,1
19462,23440135,1
19860,23440135,1
19894,23440135,1
20087,23440135,1
2034,23440135,1
20497,23440135,1
20539920,23440135,1
20602,23440135,1
20698,23440135,1
207,23440135,2
20839,23440135,2
2218,23440135,1
23439632,23440135,1
23439671,23440135,1
23439684,23440135,1
2344,23440135,1
23440009,23440135,1
10149,23440838,1
10880,23440838,1
1147,23440838,1
11860,23440838,2
14048157,23440838,1
14456,23440838,1
1490,23440838,1
1540,23440838,2
15752623,23440838,2
16010523,23440838,1
16011527,23440838,1
16088589,23440838,1
16334,23440838,1
16603612,23440838,1
16615587,23440838,1
16620826,23440838,1
16683630,23440838,1
17288,23440838,2
18467,23440838,1
1887,23440838,1
191,23440838,1
19462,23440838,1
19522,23440838,1
19658,23440838,1
19874,23440838,1
2018,23440838,1
202,23440838,1
20250,23440838,1
20391,23440838,1
20497,23440838,1
20539736,23440838,1
20539760,23440838,1
207,23440838,1
20901,23440838,2
22252976,23440838,1
23439657,23440838,1
2344,23440838,1
10135,23440851,1
1128,23440851,1
14048157,23440851,1
