"node_1","node_2","edge"
5396527,40618194,5
4903,19174,5
1827333,19174,5
5396527,20315,3
40618194,20315,5
20315,4478182,3
20315,14517,5
4478182,14517,4
20315,14523,5
4478182,14523,5
14517,14523,5
2710,4682907,3
4682907,1713,1
20315,15747,4
14517,15747,4
14523,15747,3
5396527,4273,3
40618194,4273,5
20315,4273,5
14517,4273,2
14523,4273,3
4682907,5005953,5
1713,5005953,5
4903,19295,5
5085766,19295,3
1827333,19295,5
19174,19295,5
1827333,3094,5
1713,40615591,1
4903,4904,5
19124,4904,3
1827333,4904,5
19174,4904,5
19295,4904,5
4903,4529681,5
19124,4529681,2
1827333,4529681,5
19174,4529681,5
19295,4529681,5
4904,4529681,5
14517,16259,5
2875,16259,1
3228,16259,5
4682878,16259,1
3475,16259,1
20326,25849376,3
3228,25849376,3
6041,207,3
4478182,207,2
14523,207,2
14538,207,3
2710,4481031,3
3094,4481031,5
259,4481031,1
3228,14533,1
16259,14533,5
25849376,14533,5
5396527,20316,5
40618194,20316,5
20315,20316,5
14517,20316,2
14523,20316,1
4273,20316,4
5005953,4020,1
16259,19865,2
5085766,20091,5
1827333,20091,5
19295,20091,5
4481031,20091,2
40618194,3866,1
4682907,3866,1
14523,4133,1
6041,14531,2
16259,14531,3
25849376,14531,5
207,14531,3
14533,14531,5
4462,14541,5
2710,14541,5
6041,14541,5
4478182,14541,5
14523,14541,5
2566,14541,3
1713,14541,5
15747,14541,2
4273,14541,5
259,14541,5
592,14541,4
14538,14541,5
207,14541,5
14533,14541,5
19865,14541,1
4133,14541,5
14531,14541,5
14541,19165,1
2710,19812,1
6041,19812,5
4478182,19812,3
14523,19812,4
207,19812,5
4481031,19812,4
14531,19812,5
14541,19812,5
4462,40618317,5
2710,40618317,5
6041,40618317,5
4478182,40618317,5
14517,40618317,2
14523,40618317,5
2566,40618317,5
1713,40618317,5
15747,40618317,5
20326,40618317,1
4273,40618317,5
40615591,40618317,3
259,40618317,5
592,40618317,5
14538,40618317,5
207,40618317,5
3790,40618317,3
14533,40618317,5
20316,40618317,3
4020,40618317,3
19865,40618317,3
4133,40618317,5
14531,40618317,5
14541,40618317,5
19165,40618317,5
19812,40618317,5
4462,43688311,5
2710,43688311,5
6041,43688311,5
4478182,43688311,5
14517,43688311,2
14523,43688311,5
2566,43688311,5
1713,43688311,5
15747,43688311,5
4273,43688311,5
40615591,43688311,2
259,43688311,5
592,43688311,5
14538,43688311,5
207,43688311,5
3790,43688311,2
14533,43688311,5
20316,43688311,3
4020,43688311,2
19865,43688311,3
4133,43688311,5
14531,43688311,5
14541,43688311,5
19165,43688311,4
19812,43688311,5
40618317,43688311,5
14526,147,1
40615591,147,5
16259,147,2
40618194,20317,5
20315,20317,5
4478182,20317,5
14517,20317,5
14523,20317,5
4682907,20317,1
15747,20317,5
20326,20317,1
4273,20317,5
592,20317,3
3475,20317,2
25849376,20317,3
207,20317,4
3790,20317,1
20316,20317,5
20091,20317,1
3866,20317,3
4133,20317,5
19812,20317,1
14521,20317,5
4901,5164050,5
5005953,5164050,5
4903,20505,2
1827333,20505,5
19174,20505,1
19295,20505,2
4904,20505,5
4529681,20505,5
20317,20505,3
14541,19152,5
40618317,19152,5
43688311,19152,5
14526,4131,5
16259,4131,5
4481031,4131,4
147,4131,3
16259,20682,5
40615591,9024,5
14541,9024,2
40618317,9024,5
43688311,9024,5
147,9024,1
5396527,1864,5
40618194,1864,5
20315,1864,1
20317,1864,5
5396527,2610,5
40618194,2610,5
20315,2610,5
14517,2610,3
14523,2610,2
4273,2610,1
20316,2610,5
3866,2610,1
20317,2610,5
20315,2741,5
4478182,2741,1
14517,2741,4
14523,2741,5
14541,2741,1
40618317,2741,4
43688311,2741,2
20317,2741,5
2610,2741,1
14541,3175,3
40618317,3175,5
43688311,3175,5
14541,3382,2
40618317,3382,5
43688311,3382,5
14541,14535,5
40618317,14535,5
43688311,14535,5
20317,14535,1
4462,4455566,5
2710,4455566,5
6041,4455566,5
4478182,4455566,5
14517,4455566,2
14523,4455566,5
2566,4455566,5
1713,4455566,5
15747,4455566,4
4273,4455566,5
40615591,4455566,3
259,4455566,5
592,4455566,5
14538,4455566,5
207,4455566,5
3790,4455566,3
