"node_1","node_2","edge"
4902,5031574,5
5031574,4631466,5
4631466,2566,1
20920,2610,5
4631466,5090497,3
2566,855,1
20920,855,4
20920,9779,5
2610,9779,5
20920,20316,5
2610,20316,5
9779,20316,5
2610,898,1
855,898,5
9779,898,5
4631466,20326,5
2610,20326,5
9779,20326,5
20316,20326,5
4900,4453736,5
4453774,4453736,5
20920,20315,5
2610,20315,5
9779,20315,5
20316,20315,5
20326,20315,5
20920,4884248,5
2610,4884248,5
9779,4884248,5
20316,4884248,5
898,4884248,5
20326,4884248,5
20315,4884248,5
4631466,2875,2
9779,2875,4
4884248,2875,3
9779,4078,1
4884248,4078,1
5031574,5007889,5
4631466,5007889,5
2610,5007889,2
5031574,1700,5
4631466,1700,5
2610,1700,5
9779,1700,5
20316,1700,2
20326,1700,2
20315,1700,1
4884248,1700,5
5007889,1700,5
5031574,4133,2
4631466,4133,5
5007889,4133,1
1700,4133,5
4900,4662510,5
1244,4662510,4
4453736,4662510,5
4078,4662510,1
4902,4650195,5
5031574,4650195,5
19165,4650195,5
9779,4449,5
4884248,4449,5
20316,23415968,5
898,23415968,1
20326,23415968,3
20315,23415968,5
4884248,23415968,5
2566,8263,5
20920,8263,5
855,8263,5
898,8263,5
1700,8263,2
20700,8263,5
5031574,4020,2
4631466,4020,5
1700,4020,5
4631466,19124,5
1700,19124,1
8263,19124,5
20920,20682,1
2610,20682,3
855,20682,5
9779,20682,5
20315,20682,4
4884248,20682,5
23415968,20682,5
8263,20682,5
1244,4741801,3
4900,4681667,5
4453774,4681667,3
4453736,4681667,5
4662510,4681667,5
5031574,14526,5
4631466,14526,5
2566,14526,1
9779,14526,3
20326,14526,4
4884248,14526,3
5007889,14526,3
1700,14526,5
4133,14526,5
4662510,14526,1
4020,14526,5
19124,14526,1
5031574,4662533,5
4631466,4662533,5
9779,4662533,2
4884248,4662533,2
5007889,4662533,3
1700,4662533,5
4133,4662533,1
4020,4662533,2
14526,4662533,5
2566,1059481,5
20920,1059481,5
855,1059481,5
8263,1059481,5
20682,1059481,4
4900,4451603,5
4453736,4451603,5
4662510,4451603,5
4681667,4451603,5
4618089,4823763,5
4662510,4462,3
4451603,4462,1
4631466,592,5
9779,592,2
4884248,592,2
1700,592,2
14526,592,5
4133,40618129,1
4451603,40618129,5
592,40618129,1
9779,3175,3
4884248,3175,2
2610,11923,2
9779,11923,5
20315,11923,2
4884248,11923,5
23415968,11923,5
4618089,11923,5
4823763,11923,5
40618129,11923,3
855,1792,5
19927,1792,1
8263,1792,5
4618089,1792,2
4823763,1792,5
4900,5091044,3
4451603,5091044,1
4631466,20505,2
5090497,20505,5
14526,20505,3
20920,40618141,5
2610,40618141,5
9779,40618141,5
20316,40618141,5
898,40618141,5
20326,40618141,5
20315,40618141,5
4884248,40618141,5
2875,40618141,3
1700,40618141,5
4449,40618141,5
20682,40618141,5
14526,40618141,3
4662533,40618141,1
592,40618141,1
3175,40618141,1
11923,40618141,5
20920,18940873,4
2610,18940873,5
9779,18940873,5
20316,18940873,5
19927,18940873,2
20326,18940873,5
20315,18940873,5
4884248,18940873,5
40618129,18940873,5
11923,18940873,4
20505,18940873,3
40618141,18940873,5
4631466,20430,1
855,20430,5
1700,20430,1
8263,20430,5
1059481,20430,1
4618089,20430,5
4823763,20430,5
4453774,9508,5
4453736,9508,5
4462,4567471,5
9508,4567471,2
5090497,19812,5
19927,19812,1
4823763,19812,1
20505,19812,1
18940873,19812,5
5031574,259,5
4631466,259,5
2610,259,5
9779,259,5
20316,259,3
20326,259,3
20315,259,5
4884248,259,5
1700,259,5
4133,259,2
4020,259,1
14526,259,5
4662533,259,4
592,259,5
40618129,259,1
40618141,259,5
18940873,259,1
5031574,4995603,5
4631466,4995603,5
9779,4995603,1
4884248,4995603,1
1700,4995603,5
14526,4995603,5
4662533,4995603,5
592,4995603,5
259,4995603,4
2610,20537,3
5090497,20537,5
855,20537,3
5007889,20537,1
8263,20537,5
4823763,20537,1
20505,20537,4
18940873,20537,4
20430,20537,3
19812,20537,5
4631466,2034,5
14526,2034,1
5031574,14501,5
4631466,14501,5
1700,14501,5
4133,14501,1
14526,14501,5
4662533,14501,4
4618089,14501,5
4823763,14501,5
592,14501,1
40618129,14501,5
11923,14501,5
18940873,14501,1
20430,14501,1
259,14501,3
4995603,14501,3
4902,19881,5
2566,19881,5
20920,19881,1
855,19881,5
898,19881,4
19927,19881,3
20700,19881,3
23415968,19881,5
8263,19881,5
19124,19881,2
20682,19881,5
14526,19881,1
1059481,19881,5
1792,19881,5
20430,19881,5
9508,19881,3
20537,19881,5
4900,3790,3
9779,3790,3
4884248,3790,2
8263,3790,2
40618141,3790,1
4567471,3790,2
259,3790,2
9062,20794,2
23415968,20794,5
20537,19295,1
19881,19295,5
4631466,3382,5
4662510,3382,5
14526,3382,2
40618129,3382,3
5091044,3382,1
14501,3382,1
20920,4136,1
2610,4136,5
9779,4136,5
20316,4136,3
20326,4136,3
20315,4136,5
4884248,4136,5
2875,4136,1
4078,4136,1
3475,4136,5
4020,4136,3
592,4136,5
3175,4136,1
40618141,4136,5
18940873,4136,5
259,4136,5
3790,4136,2
23415968,19102,3
4618089,19102,4
4823763,19102,5
20537,19102,2
14501,19102,3
19881,19102,1
2610,4134,1
855,4134,1
19927,4134,2
5007889,4134,4
8263,4134,5
20537,4134,3
19881,4134,4
4681667,5004164,5
4567471,5004164,5
4466849,5004164,5
4462,4814319,4
5091044,4814319,5
4462,4938823,3
5091044,4938823,5
4814319,4938823,5
2610,4499146,1
4618089,4499146,2
855,4529681,5
4631466,4737751,3
8263,4737751,3
20537,4737751,2
