"node_1","node_2","edge"
4905,4906,5
4908,14696,2
4908,4909,5
14696,4909,5
14696,20002,5
28739552,2710,5
28739552,4074,1
28739552,2695,5
2710,2695,5
2695,18895,1
20002,19239,2
4908,9538400,5
4909,9538400,5
14696,20725,1
9538400,20725,1
4908,20393,5
14696,20393,5
20002,20393,5
9538400,20393,5
2695,1864,1
2710,3204,5
2695,3204,5
2710,7135,5
2695,7135,5
18895,7135,1
1864,7135,1
3204,7135,5
4908,898,5
9538400,898,5
20591,898,5
2710,3984187,2
2695,3984187,2
3204,3984187,1
2710,130,4
2695,130,5
3204,130,5
7135,130,4
2710,2248,5
2695,2248,5
18895,2248,4
1864,2248,1
3204,2248,5
7135,2248,5
3984187,2248,3
130,2248,5
2695,3189,1
2248,3189,2
2710,6069,5
2695,6069,5
3204,6069,5
7135,6069,5
2248,6069,5
2710,6354,5
2695,6354,5
3204,6354,5
7135,6354,5
130,6354,1
2248,6354,5
6069,6354,2
3096,2596138,1
2710,2596138,5
2695,2596138,5
18895,2596138,2
3204,2596138,5
7135,2596138,5
3984187,2596138,3
130,2596138,5
2248,2596138,5
6069,2596138,5
6354,2596138,5
28739552,3019196,5
2710,3019196,4
2695,3019196,5
3204,3019196,5
7135,3019196,3
2248,3019196,5
6069,3019196,1
2596138,3019196,5
28739552,3488394,5
3096,3488394,5
2710,3488394,5
4074,3488394,5
2695,3488394,5
18895,3488394,5
8267,3488394,5
3625,3488394,5
1864,3488394,5
3204,3488394,5
7135,3488394,5
3984187,3488394,5
3471,3488394,5
3728,3488394,5
4159,3488394,5
130,3488394,5
2248,3488394,5
3189,3488394,5
6069,3488394,5
6354,3488394,5
2596138,3488394,5
3019196,3488394,5
2710,3386124,2
2695,3386124,5
7135,3386124,5
2248,3386124,4
3488394,3386124,5
20002,20803,5
3488394,20803,1
28739552,489,5
2710,489,5
4074,489,2
2695,489,5
18895,489,3
1864,489,2
3204,489,5
7135,489,5
3984187,489,2
3471,489,1
130,489,5
2248,489,5
3189,489,1
6069,489,5
6354,489,5
2596138,489,5
3019196,489,5
3488394,489,5
3386124,489,5
2710,978,5
2695,978,5
3204,978,5
7135,978,5
130,978,4
2248,978,5
6069,978,5
6354,978,5
2596138,978,5
3019196,978,1
3488394,978,5
3386124,978,4
489,978,5
2710,1830,5
2695,1830,5
18895,1830,2
3204,1830,5
7135,1830,5
3984187,1830,1
130,1830,4
2248,1830,5
6069,1830,5
6354,1830,5
2596138,1830,5
3019196,1830,5
3488394,1830,5
3386124,1830,2
489,1830,5
978,1830,5
2710,4697,5
2695,4697,5
3204,4697,5
7135,4697,5
130,4697,4
2248,4697,5
6069,4697,3
