"node_1","node_2","edge"
10041,10714883,2
1025,10714883,1
1025,10716682,2
10041,10770271,2
10714883,10770271,4
10716682,10770271,3
10716682,10785041,1
10041,10785108,4
10770271,10785108,3
10785041,10785108,5
1025,1084,1
10041,10986,2
1025,10986,1
10770271,10986,4
10785108,10986,3
10041,1102677,5
10714883,1102677,5
10770271,1102677,4
10785108,1102677,3
10986,1102677,4
10041,1116,1
10714883,1116,5
10770271,1116,4
10785108,1116,2
10986,1116,2
1102677,1116,5
10041,1137,1
1025,1137,5
10716682,1137,5
10785108,1137,2
1084,1137,2
1102677,1137,1
1116,1137,1
10714883,119,3
10770271,119,2
10785108,119,1
10986,119,1
1102677,119,3
1116,119,2
10716682,1269570,1
10041,1277,1
1025,1277,3
10716682,1277,1
10770271,1277,1
10785108,1277,4
10986,1277,2
1102677,1277,2
1137,1277,5
1023548,13,1
10716682,13,5
1025,130,1
10714883,130,5
10716682,130,1
10770271,130,1
1102677,130,3
1137,130,2
10041,1338,5
1025,1338,1
10714883,1338,5
10770271,1338,5
10785041,1338,1
10785108,1338,5
10986,1338,5
1102677,1338,5
1116,1338,5
1137,1338,1
119,1338,2
1277,1338,2
130,1338,3
1025,13389,4
10714883,13389,5
10716682,13389,3
10770271,13389,1
1102677,13389,3
1116,13389,1
1137,13389,5
1277,13389,2
1338,13389,2
10041,137295,1
1116,137295,5
119,137295,5
10041,14,3
10714883,14,5
10770271,14,4
10785041,14,3
10785108,14,3
1102677,14,5
1116,14,5
119,14,2
130,14,3
1338,14,5
13389,14,3
10041,1401,3
1025,1401,3
10714883,1401,1
10716682,1401,1
10770271,1401,2
10785108,1401,2
1084,1401,2
10986,1401,3
1102677,1401,3
1116,1401,2
1137,1401,3
119,1401,1
1269570,1401,4
1277,1401,5
130,1401,2
1338,1401,3
10041,14089,2
10714883,14089,1
10770271,14089,5
10785041,14089,5
10785108,14089,5
10986,14089,4
1102677,14089,5
1116,14089,3
1137,14089,1
119,14089,1
1277,14089,2
1338,14089,5
14,14089,4
1401,14089,5
10716682,1421,1
10785041,1421,5
10785108,1421,4
1338,1421,1
14,1421,2
14089,1421,4
1025,1433,1
10714883,1433,4
10770271,1433,2
10785108,1433,2
10986,1433,2
1102677,1433,5
1116,1433,1
1137,1433,2
1338,1433,5
14,1433,3
1401,1433,4
14089,1433,2
10041,14341,3
10714883,14341,5
10716682,14341,2
10770271,14341,4
10785041,14341,2
10785108,14341,3
10986,14341,2
1102677,14341,5
1116,14341,5
1137,14341,1
119,14341,2
130,14341,3
1338,14341,5
13389,14341,4
14,14341,5
14089,14341,5
1421,14341,2
1433,14341,4
10041,145,5
1025,145,4
10716682,145,2
10770271,145,5
10785108,145,5
10986,145,4
1102677,145,4
1116,145,5
1137,145,5
119,145,1
1277,145,5
130,145,2
1338,145,5
13389,145,5
1401,145,3
14089,145,5
1433,145,5
14341,145,4
1025,14687,3
10770271,14687,1
10986,14687,1
1102677,14687,1
1338,14687,3
145,14687,1
10041,14690,1
10714883,14690,5
10770271,14690,4
10785108,14690,4
10986,14690,1
1102677,14690,5
1116,14690,2
119,14690,2
1338,14690,5
13389,14690,1
14,14690,5
1401,14690,2
14089,14690,3
1433,14690,1
14341,14690,5
145,14690,3
14687,14690,3
1025,14692,1
10716682,14692,1
10770271,14692,3
10785108,14692,2
10986,14692,3
1102677,14692,3
1137,14692,3
1338,14692,3
14,14692,1
1401,14692,2
14341,14692,3
145,14692,5
1025,14694,2
10716682,14694,4
10770271,14694,1
10785108,14694,1
10986,14694,1
1102677,14694,1
1137,14694,5
1277,14694,1
13,14694,1
13389,14694,2
1401,14694,1
14341,14694,2
145,14694,4
10714883,14695,5
10716682,14695,3
10770271,14695,3
10785108,14695,1
10986,14695,1
1102677,14695,5
1116,14695,1
1137,14695,3
1338,14695,4
14,14695,2
1401,14695,1
14341,14695,5
145,14695,5
14690,14695,1
14694,14695,1
1025,14699,2
10714883,14699,4
10716682,14699,2
10770271,14699,1
10986,14699,1
14,14699,1
1401,14699,3
1421,14699,1
14341,14699,1
14687,14699,1
14690,14699,1
10041,147,4
1025,147,2
10714883,147,4
10716682,147,1
10770271,147,3
10785108,147,3
10986,147,2
1102677,147,4
1116,147,4
1137,147,5
1277,147,5
130,147,1
1338,147,5
13389,147,3
137295,147,2
14,147,3
1401,147,2
14089,147,3
1433,147,2
14341,147,4
145,147,5
14690,147,1
14692,147,2
14694,147,1
14695,147,4
1025,14700,1
10716682,14700,3
1084,14700,1
1137,14700,5
1277,14700,3
1401,14700,1
14694,14700,2
10041,14701,2
10714883,14701,5
10770271,14701,1
10785108,14701,2
1102677,14701,5
1116,14701,1
1338,14701,3
137295,14701,2
14,14701,4
1401,14701,2
14089,14701,1
14341,14701,5
145,14701,2
14690,14701,5
14695,14701,1
14699,14701,1
147,14701,3
10041,14705,3
10714883,14705,3
10770271,14705,5
10785108,14705,5
10986,14705,5
1102677,14705,5
1116,14705,4
1137,14705,3
1277,14705,3
13,14705,1
1338,14705,5
14,14705,4
1401,14705,3
14089,14705,5
1433,14705,2
14341,14705,5
145,14705,5
14690,14705,5
14692,14705,1
14694,14705,1
14695,14705,2
147,14705,5
14701,14705,1
10041,14706,5
1025,14706,1
10714883,14706,4
10716682,14706,1
10770271,14706,5
10785108,14706,5
10986,14706,5
1102677,14706,5
1116,14706,5
1137,14706,4
119,14706,2
1269570,14706,4
1277,14706,5
130,14706,3
1338,14706,5
14,14706,3
1401,14706,5
14089,14706,5
1433,14706,5
14341,14706,5
145,14706,5
14687,14706,1
14690,14706,5
14692,14706,1
14695,14706,3
14699,14706,1
147,14706,5
14701,14706,5
14705,14706,5
10714883,14707,3
10770271,14707,2
10785108,14707,3
10986,14707,1
1102677,14707,5
1116,14707,2
119,14707,1
1338,14707,5
137295,14707,4
14,14707,2
1401,14707,3
14089,14707,3
14341,14707,3
145,14707,3
14687,14707,1
14690,14707,2
147,14707,1
14701,14707,1
14705,14707,1
14706,14707,5
10041,14708,2
10714883,14708,2
10716682,14708,1
1084,14708,2
1269570,14708,3
1277,14708,1
137295,14708,4
1401,14708,3
1433,14708,1
145,14708,1
14695,14708,1
14699,14708,1
147,14708,2
14701,14708,3
14706,14708,5
14707,14708,2
1023548,14709,4
10716682,14709,1
1269570,14709,3
1401,14709,4
1433,14709,1
14699,14709,1
14700,14709,1
14706,14709,3
14708,14709,3
1025,14711,4
10714883,14711,5
10716682,14711,1
1102677,14711,5
1116,14711,2
1137,14711,5
1277,14711,2
1338,14711,4
13389,14711,5
14,14711,5
14341,14711,5
145,14711,4
14694,14711,2
14695,14711,1
147,14711,2
14700,14711,1
14701,14711,1
1025,14712,2
10714883,14712,1
1102677,14712,1
1137,14712,2
137295,14712,1
14,14712,1
1401,14712,2
145,14712,2
14706,14712,1
1025,14714,3
10770271,14714,1
10785108,14714,3
1084,14714,2
10986,14714,2
1102677,14714,1
1137,14714,3
1277,14714,3
1338,14714,1
13389,14714,1
1401,14714,3
14089,14714,1
1433,14714,1
145,14714,3
14687,14714,2
14690,14714,2
14692,14714,1
14694,14714,1
14699,14714,1
147,14714,2
14700,14714,1
14701,14714,1
14705,14714,1
14706,14714,3
14708,14714,1
1023548,15158,1
1025,15158,1
10785041,15158,4
10785108,15158,2
1137,15158,2
137295,15158,2
1421,15158,4
145,15158,2
1023548,15180,3
1025,15180,2
10714883,15180,2
10716682,15180,2
10770271,15180,2
10785041,15180,3
10785108,15180,2
10986,15180,2
1102677,15180,3
1116,15180,2
1137,15180,3
1277,15180,1
1338,15180,4
13389,15180,2
14,15180,2
1401,15180,1
14089,15180,2
1421,15180,3
14341,15180,3
145,15180,3
14692,15180,1
14694,15180,2
14695,15180,1
147,15180,2
14705,15180,2
14706,15180,2
14709,15180,2
14711,15180,1
14714,15180,1
1025,15237,2
10714883,15237,3
10716682,15237,2
10770271,15237,3
10785108,15237,2
10986,15237,1
1102677,15237,3
1116,15237,1
1137,15237,2
1277,15237,2
1338,15237,3
13389,15237,2
14,15237,3
1401,15237,1
14089,15237,1
14341,15237,3
145,15237,5
14690,15237,3
14692,15237,1
14694,15237,2
14695,15237,2
147,15237,3
14700,15237,1
14701,15237,3
14705,15237,3
14706,15237,3
14711,15237,3
15158,15237,2
10041,15441,1
1025,15441,3
10714883,15441,2
10716682,15441,3
1084,15441,1
10986,15441,1
1102677,15441,2
1116,15441,3
1137,15441,3
1269570,15441,1
1277,15441,3
130,15441,1
1338,15441,2
13389,15441,3
14,15441,2
14089,15441,1
1433,15441,2
14341,15441,2
145,15441,4
14690,15441,2
14692,15441,3
14694,15441,3
14695,15441,3
147,15441,4
14700,15441,3
14705,15441,3
14706,15441,2
14711,15441,5
14714,15441,3
15158,15441,1
15180,15441,5
10041,15479,3
10714883,15479,3
10770271,15479,3
10785108,15479,3
10986,15479,3
1102677,15479,3
1116,15479,3
119,15479,3
1277,15479,1
130,15479,2
1338,15479,3
13389,15479,2
14,15479,3
1401,15479,2
14089,15479,3
1433,15479,3
14341,15479,3
145,15479,3
14690,15479,3
14692,15479,2
14695,15479,3
