"node_1","node_2","edge"
2314066,8904862,5
2314066,4912,5
2314066,8286,5
8904862,8286,5
4912,8286,5
12688,8299,5
12688,20162,5
8299,20162,5
20162,5788539,5
574,5314930,5
576,5314930,2
574,8722838,2
12688,8722838,5
8299,8722838,5
20162,8722838,5
12688,18982309,5
8299,18982309,5
20162,18982309,5
8722838,18982309,5
12688,4606,5
8722838,4606,5
18982309,4606,5
5314930,21110,2
3394,21110,5
12688,19502,5
8299,19502,5
20162,19502,5
18982309,19502,5
8299,20585,5
20162,20585,5
5788539,20585,5
18982309,20585,4
4606,20585,3
19502,20585,5
12688,14731,5
8299,14731,5
20162,14731,5
2314066,4911,5
8904862,4911,5
4912,4911,5
8286,4911,5
20585,8292,5
2314066,8712270,5
8904862,8712270,5
4912,8712270,5
8286,8712270,5
4911,8712270,5
8299,2566,5
20162,2566,5
4606,2566,5
19502,2566,4
20585,2566,5
2314066,6232,5
8904862,6232,5
8286,6232,5
8299,6232,1
4911,6232,5
8712270,6232,5
2314066,14482,5
8904862,14482,5
4912,14482,5
8286,14482,5
4911,14482,5
8712270,14482,5
6232,14482,5
2314066,8920961,5
3394,8920961,5
21110,8920961,5
4911,8920961,5
8712270,8920961,5
6232,8920961,5
14482,8920961,2
2314066,8859152,5
4912,8859152,5
8286,8859152,5
4911,8859152,5
8712270,8859152,5
14482,8859152,5
2314066,6970,5
8904862,6970,5
4912,6970,5
8286,6970,5
4911,6970,5
8712270,6970,5
6232,6970,5
14482,6970,5
8920961,6970,5
8859152,6970,5
12688,4914,5
8299,4914,5
8722838,4914,5
18982309,4914,5
4606,4914,2
2566,4914,5
8292,8296,5
5314930,18615,1
21110,18615,2
2314066,11930,5
8904862,11930,5
4912,11930,5
8286,11930,5
4911,11930,5
8712270,11930,5
6232,11930,5
14482,11930,5
8920961,11930,5
8859152,11930,5
6970,11930,5
12688,535781,5
4606,535781,3
20585,535781,5
14731,535781,5
2566,535781,5
574,8293,5
5314930,8293,5
8292,8293,5
8296,8293,5
2314066,8663053,5
3394,8663053,1
4911,8663053,3
8859152,8663053,5
8296,8663053,1
2314066,8928302,5
8904862,8928302,5
8286,8928302,5
4911,8928302,5
8712270,8928302,5
6232,8928302,5
14482,8928302,5
8920961,8928302,5
6970,8928302,5
11930,8928302,5
2314066,18423,5
4912,18423,5
8286,18423,5
4911,18423,5
8712270,18423,3
14482,18423,5
8859152,18423,5
6970,18423,5
11930,18423,5
8663053,18423,5
12688,19571,1
20162,19571,5
5788539,19571,5
20585,19571,5
12688,20726,5
20162,20726,5
5788539,20726,5
8722838,20726,2
18982309,20726,3
20585,20726,5
14731,20726,5
2566,20726,5
535781,20726,5
19571,20726,5
